* Measurement data measured by REW V5.31.3
* Source: EXCL: Loopback 1/2 (2- E2x2), LINE_IN (Master Volume), R, volume: 1.000. Timing signal peak level -15.8 dBFS, measurement signal peak level -6.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 21, 2024 12:45:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0204 ms (-7.0 mm, -0.28 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 7.7 ppm
* Measurement: FATFreq x HBB Deuce L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 71.740, 119.3734
1.015000, 72.109, 117.7753
1.030000, 72.473, 116.1822
1.044000, 72.806, 114.6949
1.060000, 73.180, 112.9897
1.075000, 73.521, 111.3814
1.090000, 73.854, 109.7615
1.106000, 74.200, 108.0277
1.120000, 74.497, 106.5232
1.138000, 74.873, 104.6237
1.150000, 75.121, 103.3831
1.172000, 75.568, 101.1664
1.180000, 75.728, 100.3795
1.206000, 76.241, 97.8937
1.220000, 76.513, 96.6000
1.241000, 76.914, 94.7162
1.250000, 77.084, 93.9288
1.265000, 77.364, 92.6417
1.280000, 77.641, 91.3847
1.315000, 78.274, 88.5568
1.320000, 78.363, 88.1637
1.340000, 78.716, 86.6151
1.360000, 79.064, 85.1010
1.380000, 79.407, 83.6161
1.400000, 79.746, 82.1555
1.430000, 80.246, 79.9996
1.450000, 80.574, 78.5798
1.475000, 80.977, 76.8255
1.500000, 81.372, 75.1108
1.525000, 81.757, 73.4439
1.550000, 82.133, 71.8233
1.575000, 82.500, 70.2455
1.600000, 82.859, 68.7061
1.625000, 83.211, 67.2006
1.650000, 83.555, 65.7243
1.675000, 83.893, 64.2725
1.700000, 84.224, 62.8404
1.725000, 84.550, 61.4235
1.750000, 84.871, 60.0172
1.775000, 85.187, 58.6171
1.800000, 85.500, 57.2195
1.825000, 85.808, 55.8213
1.850000, 86.111, 54.4246
1.875000, 86.408, 53.0364
1.900000, 86.699, 51.6620
1.925000, 86.984, 50.3044
1.950000, 87.263, 48.9655
1.975000, 87.536, 47.6463
2.000000, 87.805, 46.3470
2.030000, 88.120, 44.8140
