* Measurement data measured by REW V5.31.3
* Source: EXCL: Loopback 1/2 (2- E2x2), LINE_IN (Master Volume), R, volume: 1.000. Timing signal peak level -15.6 dBFS, measurement signal peak level -7.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 21, 2024 12:48:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0215 ms (-7.4 mm, -0.29 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 7.3 ppm
* Measurement: FATFreq x HBB Deuce R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 70.053, 118.9409
1.015000, 70.428, 117.3722
1.030000, 70.797, 115.8077
1.044000, 71.134, 114.3466
1.060000, 71.512, 112.6709
1.075000, 71.858, 111.0900
1.090000, 72.194, 109.4973
1.106000, 72.544, 107.7928
1.120000, 72.844, 106.3144
1.138000, 73.223, 104.4489
1.150000, 73.473, 103.2310
1.172000, 73.922, 101.0556
1.180000, 74.083, 100.2835
1.206000, 74.598, 97.8447
1.220000, 74.870, 96.5754
1.241000, 75.273, 94.7267
1.250000, 75.443, 93.9539
1.265000, 75.723, 92.6906
1.280000, 76.000, 91.4563
1.315000, 76.633, 88.6783
1.320000, 76.722, 88.2921
1.340000, 77.075, 86.7698
1.360000, 77.423, 85.2808
1.380000, 77.766, 83.8200
1.400000, 78.104, 82.3825
1.430000, 78.603, 80.2600
1.450000, 78.932, 78.8618
1.475000, 79.336, 77.1339
1.500000, 79.731, 75.4453
1.525000, 80.116, 73.8044
1.550000, 80.492, 72.2093
1.575000, 80.860, 70.6562
1.600000, 81.219, 69.1407
1.625000, 81.570, 67.6584
1.650000, 81.915, 66.2045
1.675000, 82.252, 64.7742
1.700000, 82.584, 63.3629
1.725000, 82.910, 61.9661
1.750000, 83.231, 60.5793
1.775000, 83.547, 59.1984
1.800000, 83.859, 57.8195
1.825000, 84.167, 56.4398
1.850000, 84.470, 55.0617
1.875000, 84.768, 53.6923
1.900000, 85.059, 52.3369
1.925000, 85.344, 50.9982
1.950000, 85.623, 49.6779
1.975000, 85.897, 48.3771
2.000000, 86.165, 47.0959
2.030000, 86.481, 45.5839
2.060000, 86.790, 44.0984
2.090000, 87.094, 42.6372
2.120000, 87.392, 41.1978
2.140000, 87.588, 40.2488
2.180000, 87.974, 38.3715
2.200000, 88.164, 37.4408
2.240000, 88.537, 35.5912
2.270000, 88.809, 34.2161
2.300000, 89.075, 32.8546
2.330000, 89.335, 31.5094
2.360000, 89.590, 30.1820
2.400000, 89.921, 28.4417
2.430000, 90.165, 27.1590
2.470000, 90.482, 25.4783
2.500000, 90.716, 24.2389
2.540000, 91.022, 22.6120
2.580000, 91.322, 21.0074
2.620000, 91.615, 19.4154
2.650000, 91.828, 18.2292
2.690000, 92.106, 16.6624
2.720000, 92.310, 15.5007
2.760000, 92.576, 13.9726
2.800000, 92.836, 12.4707
2.850000, 93.152, 10.6324
2.900000, 93.461, 8.8380
2.950000, 93.762, 7.0800
3.000000, 94.055, 5.3416
3.040000, 94.282, 3.9634
3.070000, 94.448, 2.9392
3.110000, 94.665, 1.5890
3.150000, 94.878, 0.2589
3.200000, 95.138, -1.3724
3.250000, 95.391, -2.9663
3.300000, 95.639, -4.5247
3.350000, 95.880, -6.0592
3.400000, 96.115, -7.5778
3.450000, 96.343, -9.0774
3.500000, 96.564, -10.5538
3.550000, 96.781, -12.0033
3.600000, 96.992, -13.4229
3.650000, 97.200, -14.8118
3.700000, 97.403, -16.1760
3.750000, 97.600, -17.5233
3.820000, 97.869, -19.3820
3.870000, 98.055, -20.6866
3.950000, 98.345, -22.7279
4.000000, 98.522, -23.9727
4.060000, 98.730, -25.4377
4.120000, 98.933, -26.8804
4.180000, 99.130, -28.3026
4.250000, 99.353, -29.9332
4.310000, 99.541, -31.3035
4.370000, 99.724, -32.6472
4.440000, 99.933, -34.1851
4.500000, 100.107, -35.4840
4.550000, 100.250, -36.5533
4.620000, 100.445, -38.0288
4.680000, 100.608, -39.2717
4.750000, 100.794, -40.6958
4.820000, 100.976, -42.0958
4.870000, 101.103, -43.0844
4.940000, 101.277, -44.4520
5.000000, 101.423, -45.6075
5.080000, 101.613, -47.1219
5.150000, 101.775, -48.4233
5.220000, 101.932, -49.7076
5.300000, 102.108, -51.1561
5.380000, 102.279, -52.5814
5.450000, 102.424, -53.8070
5.520000, 102.566, -55.0132
5.600000, 102.724, -56.3734
5.700000, 102.916, -58.0470
5.800000, 103.100, -59.6859
5.900000, 103.279, -61.2882
6.000000, 103.451, -62.8617
