* Measurement data measured by REW V5.31.3
* Source: Loopback 1/2 (2- E2x2), LINE_IN (Master Volume), R, volume: 1.000. Timing signal peak level -33.0 dBFS, measurement signal peak level -32.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 21, 2024 9:29:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0574 ms (-20 mm, -0.77 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 5.2 ppm
* Measurement: Sennheiser IE200 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 64.658, 97.4818
1.015000, 65.034, 96.6327
1.030000, 65.404, 95.7584
1.044000, 65.745, 94.9185
1.060000, 66.128, 93.9288
1.075000, 66.482, 92.9714
1.090000, 66.830, 91.9861
1.106000, 67.195, 90.9148
1.120000, 67.507, 89.9796
1.138000, 67.896, 88.7952
1.150000, 68.148, 88.0185
1.172000, 68.596, 86.6222
1.180000, 68.754, 86.1233
1.206000, 69.255, 84.5326
1.220000, 69.516, 83.6948
1.241000, 69.897, 82.4608
1.250000, 70.057, 81.9397
1.265000, 70.318, 81.0807
1.280000, 70.575, 80.2327
1.315000, 71.156, 78.2900
1.320000, 71.237, 78.0159
1.340000, 71.558, 76.9269
1.360000, 71.874, 75.8470
1.380000, 72.185, 74.7738
1.400000, 72.494, 73.7045
1.430000, 72.953, 72.1026
1.450000, 73.258, 71.0331
1.475000, 73.637, 69.6988
1.500000, 74.008, 68.3851
1.525000, 74.370, 67.1000
1.550000, 74.721, 65.8420
1.575000, 75.064, 64.6080
1.600000, 75.399, 63.3948
1.625000, 75.726, 62.1991
1.650000, 76.046, 61.0174
1.675000, 76.359, 59.8466
1.700000, 76.667, 58.6834
1.725000, 76.969, 57.5247
1.750000, 77.267, 56.3675
1.775000, 77.560, 55.2088
1.800000, 77.851, 54.0461
1.825000, 78.138, 52.8777
1.850000, 78.421, 51.7062
1.875000, 78.699, 50.5384
1.900000, 78.971, 49.3783
1.925000, 79.237, 48.2284
1.950000, 79.497, 47.0901
1.975000, 79.753, 45.9642
2.000000, 80.004, 44.8512
2.030000, 80.300, 43.5326
2.060000, 80.589, 42.2319
2.090000, 80.873, 40.9480
2.120000, 81.153, 39.6793
2.140000, 81.337, 38.8410
2.180000, 81.699, 37.1793
2.200000, 81.878, 36.3542
2.240000, 82.229, 34.7128
2.270000, 82.485, 33.4907
2.300000, 82.736, 32.2789
2.330000, 82.981, 31.0793
2.360000, 83.222, 29.8933
2.400000, 83.535, 28.3347
2.430000, 83.766, 27.1833
2.470000, 84.067, 25.6715
2.500000, 84.289, 24.5546
2.540000, 84.581, 23.0866
2.580000, 84.866, 21.6379
2.620000, 85.145, 20.2014
2.650000, 85.350, 19.1317
2.690000, 85.616, 17.7183
2.720000, 85.812, 16.6697
2.760000, 86.067, 15.2890
2.800000, 86.318, 13.9296
2.850000, 86.623, 12.2623
2.900000, 86.923, 10.6306
2.950000, 87.215, 9.0297
3.000000, 87.500, 7.4484
3.040000, 87.722, 6.1963
3.070000, 87.885, 5.2659
3.110000, 88.099, 4.0388
3.150000, 88.309, 2.8284
3.200000, 88.565, 1.3406
3.250000, 88.816, -0.1177
3.300000, 89.063, -1.5479
3.350000, 89.304, -2.9572
3.400000, 89.539, -4.3506
3.450000, 89.768, -5.7265
3.500000, 89.992, -7.0828
3.550000, 90.212, -8.4179
3.600000, 90.427, -9.7305
3.650000, 90.639, -11.0208
3.700000, 90.846, -12.2924
3.750000, 91.049, -13.5500
3.820000, 91.326, -15.2873
3.870000, 91.519, -16.5098
3.950000, 91.820, -18.4307
4.000000, 92.004, -19.6089
4.060000, 92.220, -21.0027
4.120000, 92.432, -22.3803
4.180000, 92.638, -23.7424
4.250000, 92.873, -25.3094
4.310000, 93.069, -26.6314
4.370000, 93.261, -27.9333
4.440000, 93.480, -29.4309
4.500000, 93.663, -30.7015
4.550000, 93.812, -31.7509
4.620000, 94.016, -33.2027
4.680000, 94.186, -34.4286
4.750000, 94.381, -35.8363
4.820000, 94.570, -37.2247
4.870000, 94.701, -38.2078
4.940000, 94.881, -39.5710
5.000000, 95.031, -40.7244
