* Measurement data measured by REW V5.31.3
* Source: Loopback 1/2 (2- E2x2), LINE_IN (Master Volume), R, volume: 1.000. Timing signal peak level -34.6 dBFS, measurement signal peak level -30.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 17, 2024 6:02:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0611 ms (-21 mm, -0.83 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 4.5 ppm
* Measurement: Truthear Hola S2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 67.003, 173.8036
1.015000, 67.074, 172.2916
1.030000, 67.148, 170.7498
1.044000, 67.222, 169.2809
1.060000, 67.310, 167.5632
1.075000, 67.399, 165.9107
1.090000, 67.493, 164.2130
1.106000, 67.599, 162.3456
1.120000, 67.694, 160.6595
1.138000, 67.818, 158.4246
1.150000, 67.902, 156.8978
1.172000, 68.058, 154.0358
1.180000, 68.115, 152.9783
1.206000, 68.304, 149.4962
1.220000, 68.409, 147.6009
1.241000, 68.568, 144.7441
1.250000, 68.637, 143.5179
1.265000, 68.755, 141.4753
1.280000, 68.875, 139.4380
1.315000, 69.164, 134.7241
1.320000, 69.206, 134.0568
1.340000, 69.379, 131.4061
1.360000, 69.557, 128.7875
1.380000, 69.741, 126.2033
1.400000, 69.930, 123.6542
1.430000, 70.225, 119.8948
1.450000, 70.430, 117.4291
1.475000, 70.697, 114.3907
1.500000, 70.979, 111.4091
1.525000, 71.274, 108.4975
1.550000, 71.582, 105.6640
1.575000, 71.901, 102.9127
1.600000, 72.229, 100.2439
1.625000, 72.563, 97.6556
1.650000, 72.903, 95.1434
1.675000, 73.246, 92.7017
1.700000, 73.591, 90.3239
1.725000, 73.935, 88.0027
1.750000, 74.277, 85.7310
1.775000, 74.615, 83.5009
1.800000, 74.946, 81.3057
1.825000, 75.271, 79.1401
1.850000, 75.592, 77.0069
1.875000, 75.912, 74.9174
1.900000, 76.233, 72.8790
1.925000, 76.554, 70.8950
1.950000, 76.874, 68.9662
1.975000, 77.194, 67.0920
2.000000, 77.512, 65.2704
2.030000, 77.890, 63.1497
2.060000, 78.265, 61.0945
2.090000, 78.635, 59.0977
2.120000, 78.998, 57.1515
2.140000, 79.237, 55.8782
2.180000, 79.704, 53.3798
2.200000, 79.932, 52.1514
2.240000, 80.379, 49.7372
2.270000, 80.707, 47.9692
2.300000, 81.029, 46.2405
2.330000, 81.346, 44.5515
2.360000, 81.658, 42.9014
2.400000, 82.065, 40.7586
2.430000, 82.364, 39.1912
2.470000, 82.755, 37.1480
2.500000, 83.043, 35.6459
2.540000, 83.419, 33.6761
2.580000, 83.786, 31.7351
2.620000, 84.143, 29.8187
2.650000, 84.405, 28.3999
2.690000, 84.745, 26.5370
2.720000, 84.995, 25.1631
2.760000, 85.320, 23.3633
2.800000, 85.638, 21.5997
2.850000, 86.024, 19.4431
2.900000, 86.400, 17.3335
2.950000, 86.765, 15.2576
3.000000, 87.119, 13.1998
3.040000, 87.393, 11.5686
3.070000, 87.593, 10.3573
3.110000, 87.854, 8.7616
3.150000, 88.109, 7.1906
3.200000, 88.418, 5.2637
3.250000, 88.719, 3.3779
3.300000, 89.010, 1.5265
3.350000, 89.293, -0.3091
3.400000, 89.565, -2.1367
3.450000, 89.828, -3.9482
3.500000, 90.082, -5.7341
3.550000, 90.328, -7.4872
3.600000, 90.566, -9.2028
3.650000, 90.797, -10.8810
3.700000, 91.020, -12.5355
3.750000, 91.235, -14.1820
3.820000, 91.523, -16.4684
3.870000, 91.720, -18.0763
3.950000, 92.021, -20.5844
4.000000, 92.202, -22.1045
4.060000, 92.411, -23.8888
4.120000, 92.610, -25.6534
4.180000, 92.800, -27.4005
4.250000, 93.011, -29.4015
4.310000, 93.184, -31.0712
4.370000, 93.350, -32.6903
4.440000, 93.536, -34.5245
4.500000, 93.687, -36.0693
4.550000, 93.808, -37.3386
4.620000, 93.969, -39.0796
4.680000, 94.102, -40.5297
