* Measurement data measured by REW V5.31.3
* Source: Loopback 1/2 (2- E2x2), LINE_IN (Master Volume), R, volume: 1.000. Timing signal peak level -33.7 dBFS, measurement signal peak level -33.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 17, 2024 6:05:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0596 ms (-20 mm, -0.8 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 4.5 ppm
* Measurement: Truthear Hola S2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 70.990, 144.0891
1.015000, 71.149, 143.0752
1.030000, 71.306, 142.0652
1.044000, 71.451, 141.1243
1.060000, 71.616, 140.0493
1.075000, 71.768, 139.0395
1.090000, 71.918, 138.0251
1.106000, 72.077, 136.9322
1.120000, 72.214, 135.9604
1.138000, 72.386, 134.6890
1.150000, 72.500, 133.8300
1.172000, 72.703, 132.2379
1.180000, 72.776, 131.6551
1.206000, 73.008, 129.7537
1.220000, 73.130, 128.7289
1.241000, 73.310, 127.1958
1.250000, 73.387, 126.5415
1.265000, 73.512, 125.4563
1.280000, 73.635, 124.3791
1.315000, 73.916, 121.9052
1.320000, 73.956, 121.5570
1.340000, 74.112, 120.1786
1.360000, 74.265, 118.8248
1.380000, 74.416, 117.4972
1.400000, 74.564, 116.1967
1.430000, 74.783, 114.2980
1.450000, 74.927, 113.0662
1.475000, 75.103, 111.5539
1.500000, 75.274, 110.0456
1.525000, 75.441, 108.5319
1.550000, 75.603, 107.0162
1.575000, 75.760, 105.5030
1.600000, 75.913, 103.9966
1.625000, 76.061, 102.5010
1.650000, 76.207, 101.0197
1.675000, 76.349, 99.5560
1.700000, 76.488, 98.1125
1.725000, 76.624, 96.6917
1.750000, 76.758, 95.2956
1.775000, 76.890, 93.9260
