* Measurement data measured by REW V5.31.3
* Source: Loopback 1/2 (2- E2x2), LINE_IN (Master Volume), R, volume: 1.000. Timing signal peak level -31.4 dBFS, measurement signal peak level -30.5 dBFS
* Format: 4M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 17, 2024 6:54:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0621 ms (-21 mm, -0.84 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 4.2 ppm
* Measurement: Truthear Zero R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 61.002, 114.5212
1.015000, 61.116, 112.7890
1.030000, 61.233, 111.0592
1.044000, 61.344, 109.4449
1.060000, 61.473, 107.5979
1.075000, 61.597, 105.8615
1.090000, 61.724, 104.1167
1.106000, 61.863, 102.2389
1.120000, 61.988, 100.5743
1.138000, 62.154, 98.4074
1.150000, 62.268, 96.9514
1.172000, 62.482, 94.2721
1.180000, 62.562, 93.2980
1.206000, 62.826, 90.1472
1.220000, 62.972, 88.4669
1.241000, 63.194, 85.9780
1.250000, 63.290, 84.9249
1.265000, 63.451, 83.1902
1.280000, 63.614, 81.4832
1.315000, 63.997, 77.6161
1.320000, 64.051, 77.0775
1.340000, 64.271, 74.9578
1.360000, 64.489, 72.8937
1.380000, 64.707, 70.8836
1.400000, 64.922, 68.9252
1.430000, 65.240, 66.0771
1.450000, 65.447, 64.2312
1.475000, 65.702, 61.9653
1.500000, 65.956, 59.7171
1.525000, 66.212, 57.4836
1.550000, 66.468, 55.2756
1.575000, 66.724, 53.1032
1.600000, 66.980, 50.9741
1.625000, 67.234, 48.8941
1.650000, 67.487, 46.8667
1.675000, 67.736, 44.8939
1.700000, 67.981, 42.9761
1.725000, 68.222, 41.1125
1.750000, 68.457, 39.3012
1.775000, 68.687, 37.5394
1.800000, 68.910, 35.8231
1.825000, 69.126, 34.1439
1.850000, 69.335, 32.4790
1.875000, 69.539, 30.8056
1.900000, 69.738, 29.1241
1.925000, 69.933, 27.4436
1.950000, 70.123, 25.7738
1.975000, 70.309, 24.1232
2.000000, 70.489, 22.4991
2.030000, 70.700, 20.5939
2.060000, 70.903, 18.7447
2.090000, 71.099, 16.9584
2.120000, 71.288, 15.2403
2.140000, 71.409, 14.1345
2.180000, 71.643, 12.0169
2.200000, 71.754, 10.9964
2.240000, 71.967, 8.9736
2.270000, 72.118, 7.4500
2.300000, 72.260, 5.9265
2.330000, 72.396, 4.4135
2.360000, 72.524, 2.9213
2.400000, 72.684, 0.9813
2.430000, 72.797, -0.4246
2.470000, 72.937, -2.2173
2.500000, 73.035, -3.4903
2.540000, 73.157, -5.0817
2.580000, 73.267, -6.5675
2.620000, 73.365, -8.0089
2.650000, 73.429, -9.0774
2.690000, 73.505, -10.4790
2.720000, 73.554, -11.5048
2.760000, 73.611, -12.8253
2.800000, 73.660, -14.0756
2.850000, 73.710, -15.5113
2.900000, 73.752, -16.7729
2.950000, 73.784, -17.8500
3.000000, 73.799, -18.7909
3.040000, 73.799, -19.4649
3.070000, 73.794, -19.9241
3.110000, 73.782, -20.4711
3.150000, 73.768, -20.9381
3.200000, 73.751, -21.3989
3.250000, 73.741, -21.7090
3.300000, 73.740, -21.8521
3.350000, 73.741, -21.8142
3.400000, 73.740, -21.6016
3.450000, 73.741, -21.2369
3.500000, 73.749, -20.7466
3.550000, 73.771, -20.1590
3.600000, 73.812, -19.5034
3.650000, 73.878, -18.8013
3.700000, 73.970, -18.0368
3.750000, 74.085, -17.1823
3.820000, 74.278, -15.8827
3.870000, 74.437, -14.9434
3.950000, 74.719, -13.5440
4.000000, 74.911, -12.7893
4.060000, 75.158, -12.0141
4.120000, 75.431, -11.3311
4.180000, 75.726, -10.7342
4.250000, 76.085, -10.1776
4.310000, 76.394, -9.8450
4.370000, 76.696, -9.6608
4.440000, 77.039, -9.6283
4.500000, 77.330, -9.7293
4.550000, 77.571, -9.8874
4.620000, 77.903, -10.2020
4.680000, 78.178, -10.5439
4.750000, 78.482, -11.0160
4.820000, 78.768, -11.5722
4.870000, 78.962, -12.0218
4.940000, 79.222, -12.7039
5.000000, 79.434, -13.3144
5.080000, 79.702, -14.1330
5.150000, 79.923, -14.8420
5.220000, 80.129, -15.5607
5.300000, 80.348, -16.3953
5.380000, 80.553, -17.2191
5.450000, 80.726, -17.9095
5.520000, 80.892, -18.5623
5.600000, 81.073, -19.2735
5.700000, 81.287, -20.1235
5.800000, 81.494, -20.9288
5.900000, 81.701, -21.6816
6.000000, 81.905, -22.3803
6.080000, 82.067, -22.9157
6.150000, 82.209, -23.3797
6.220000, 82.353, -23.8458
6.300000, 82.518, -24.3778
6.400000, 82.728, -25.0385
6.500000, 82.938, -25.7146
6.600000, 83.147, -26.4281
6.700000, 83.355, -27.1794
6.800000, 83.563, -27.9607
6.900000, 83.767, -28.7739
7.000000, 83.964, -29.6242
7.100000, 84.157, -30.5111
7.200000, 84.343, -31.4220
7.300000, 84.522, -32.3442
7.400000, 84.693, -33.2763
7.500000, 84.857, -34.2190
7.620000, 85.044, -35.3449
7.750000, 85.237, -36.5365
7.880000, 85.419, -37.7024
8.000000, 85.581, -38.7476
8.120000, 85.739, -39.7516
8.250000, 85.906, -40.7965
8.380000, 86.071, -41.8032
8.500000, 86.223, -42.6989
8.620000, 86.376, -43.5652
8.750000, 86.542, -44.4829
8.850000, 86.672, -45.1795
9.000000, 86.868, -46.2107
9.120000, 87.025, -47.0328
9.250000, 87.196, -47.9277
9.380000, 87.367, -48.8266
9.500000, 87.524, -49.6615
9.620000, 87.679, -50.5034
9.750000, 87.843, -51.4210
9.880000, 87.998, -52.3397
10.000000, 88.128, -53.1878
10.150000, 88.278, -54.2439
10.300000, 88.417, -55.2856
10.440000, 88.540, -56.2428
10.600000, 88.674, -57.3101
10.750000, 88.797, -58.2782
10.900000, 88.917, -59.2128
11.060000, 89.043, -60.1651
11.200000, 89.151, -60.9603
11.380000, 89.289, -61.9293
11.500000, 89.381, -62.5419
11.720000, 89.552, -63.6045
11.800000, 89.616, -63.9736
12.060000, 89.825, -65.1252
12.200000, 89.941, -65.7269
