* Measurement data measured by REW V5.31.3
* Source: Loopback 1/2 (2- E2x2), LINE_IN (Master Volume), R, volume: 1.000. Timing signal peak level -38.7 dBFS, measurement signal peak level -36.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 17, 2024 6:58:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0580 ms (-20 mm, -0.78 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 4.3 ppm
* Measurement: Truthear Zero Red 10 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 53.200, 130.7670
1.015000, 53.527, 129.2547
1.030000, 53.849, 127.7498
1.044000, 54.146, 126.3474
1.060000, 54.479, 124.7429
1.075000, 54.785, 123.2325
1.090000, 55.085, 121.7136
1.106000, 55.399, 120.0872
1.120000, 55.670, 118.6701
1.138000, 56.013, 116.8695
1.150000, 56.238, 115.6862
1.172000, 56.646, 113.5580
1.180000, 56.792, 112.7985
1.206000, 57.261, 110.3857
1.220000, 57.509, 109.1227
1.241000, 57.877, 107.2762
1.250000, 58.032, 106.5022
1.265000, 58.289, 105.2349
1.280000, 58.543, 103.9951
1.315000, 59.124, 101.2026
1.320000, 59.206, 100.8145
1.340000, 59.531, 99.2867
1.360000, 59.851, 97.7957
1.380000, 60.167, 96.3380
1.400000, 60.479, 94.9095
1.430000, 60.940, 92.8134
1.450000, 61.243, 91.4419
1.475000, 61.616, 89.7547
1.500000, 61.982, 88.1044
1.525000, 62.339, 86.4951
1.550000, 62.688, 84.9259
1.575000, 63.030, 83.3947
1.600000, 63.365, 81.8991
1.625000, 63.693, 80.4360
1.650000, 64.015, 79.0026
1.675000, 64.331, 77.5954
1.700000, 64.641, 76.2112
1.725000, 64.947, 74.8469
1.750000, 65.248, 73.4991
1.775000, 65.545, 72.1647
1.800000, 65.838, 70.8407
1.825000, 66.127, 69.5244
1.850000, 66.413, 68.2151
1.875000, 66.692, 66.9155
1.900000, 66.966, 65.6289
1.925000, 67.234, 64.3581
1.950000, 67.497, 63.1050
1.975000, 67.756, 61.8711
2.000000, 68.009, 60.6571
2.030000, 68.308, 59.2273
2.060000, 68.601, 57.8270
2.090000, 68.889, 56.4554
2.120000, 69.172, 55.1115
2.140000, 69.358, 54.2302
2.180000, 69.726, 52.4997
2.200000, 69.907, 51.6484
2.240000, 70.262, 49.9661
2.270000, 70.522, 48.7209
2.300000, 70.776, 47.4918
2.330000, 71.025, 46.2807
2.360000, 71.269, 45.0889
2.400000, 71.587, 43.5316
2.430000, 71.822, 42.3884
2.470000, 72.128, 40.8975
2.500000, 72.355, 39.8044
2.540000, 72.652, 38.3794
2.580000, 72.944, 36.9871
2.620000, 73.230, 35.6190
2.650000, 73.440, 34.6073
2.690000, 73.713, 33.2786
2.720000, 73.914, 32.2982
2.760000, 74.178, 31.0137
2.800000, 74.436, 29.7562
2.850000, 74.753, 28.2237
2.900000, 75.064, 26.7352
2.950000, 75.370, 25.2885
3.000000, 75.670, 23.8760
3.040000, 75.904, 22.7681
3.070000, 76.076, 21.9500
3.110000, 76.303, 20.8759
3.150000, 76.526, 19.8209
3.200000, 76.801, 18.5289
3.250000, 77.072, 17.2662
3.300000, 77.339, 16.0322
3.350000, 77.603, 14.8257
3.400000, 77.861, 13.6450
3.450000, 78.115, 12.4876
3.500000, 78.365, 11.3511
3.550000, 78.611, 10.2335
3.600000, 78.855, 9.1326
3.650000, 79.095, 8.0472
3.700000, 79.333, 6.9780
3.750000, 79.568, 5.9264
3.820000, 79.890, 4.4813
3.870000, 80.117, 3.4653
3.950000, 80.474, 1.8610
4.000000, 80.694, 0.8683
4.060000, 80.954, -0.3135
4.120000, 81.210, -1.4824
4.180000, 81.462, -2.6381
4.250000, 81.751, -3.9717
4.310000, 81.994, -5.1047
4.370000, 82.233, -6.2310
4.440000, 82.506, -7.5383
4.500000, 82.736, -8.6526
4.550000, 82.924, -9.5757
4.620000, 83.183, -10.8579
4.680000, 83.400, -11.9474
4.750000, 83.648, -13.2079
4.820000, 83.890, -14.4608
4.870000, 84.059, -15.3521
4.940000, 84.291, -16.5923
5.000000, 84.485, -17.6452
5.080000, 84.737, -19.0306
5.150000, 84.952, -20.2263
5.220000, 85.161, -21.4121
5.300000, 85.393, -22.7550
5.380000, 85.618, -24.0781
5.450000, 85.809, -25.2148
5.520000, 85.996, -26.3318
5.600000, 86.204, -27.5906
5.700000, 86.454, -29.1378
5.800000, 86.696, -30.6472
5.900000, 86.930, -32.1141
6.000000, 87.157, -33.5464
6.080000, 87.333, -34.6686
6.150000, 87.484, -35.6315
6.220000, 87.632, -36.5757
6.300000, 87.798, -37.6334
6.400000, 88.000, -38.9275
6.500000, 88.198, -40.1919
6.600000, 88.391, -41.4272
6.700000, 88.581, -42.6354
6.800000, 88.766, -43.8192
6.900000, 88.948, -44.9811
7.000000, 89.126, -46.1230
7.100000, 89.301, -47.2468
7.200000, 89.472, -48.3536
7.300000, 89.640, -49.4448
7.400000, 89.804, -50.5224
7.500000, 89.965, -51.5873
7.620000, 90.153, -52.8477
7.750000, 90.351, -54.1924
7.880000, 90.543, -55.5180
8.000000, 90.715, -56.7224
8.120000, 90.882, -57.9071
8.250000, 91.057, -59.1707
8.380000, 91.226, -60.4104
8.500000, 91.377, -61.5320
8.620000, 91.523, -62.6335
8.750000, 91.677, -63.8022
8.850000, 91.793, -64.6829
9.000000, 91.961, -65.9760
9.120000, 92.092, -66.9863
9.250000, 92.231, -68.0564
9.380000, 92.366, -69.1030
9.500000, 92.489, -70.0494
9.620000, 92.610, -70.9777
9.750000, 92.739, -71.9644
9.880000, 92.858, -72.9338
10.000000, 92.959, -73.8146
10.150000, 93.073, -74.8986
10.300000, 93.182, -75.9666
10.440000, 93.279, -76.9508
10.600000, 93.388, -78.0622
10.750000, 93.491, -79.0929
10.900000, 93.593, -80.1129
11.060000, 93.701, -81.1884
11.200000, 93.793, -82.1191
11.380000, 93.911, -83.2986
11.500000, 93.988, -84.0737
11.720000, 94.127, -85.4695
11.800000, 94.177, -85.9683
12.060000, 94.336, -87.5587
12.200000, 94.421, -88.3963
12.410000, 94.547, -89.6323
12.500000, 94.601, -90.1562
12.650000, 94.691, -91.0234
12.800000, 94.780, -91.8859
13.150000, 94.985, -93.8934
