* Measurement data measured by REW V5.31.3
* Source: Loopback 1/2 (2- E2x2), LINE_IN (Master Volume), R, volume: 1.000. Timing signal peak level -35.2 dBFS, measurement signal peak level -35.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 17, 2024 7:01:03 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0577 ms (-20 mm, -0.78 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: 4.4 ppm
* Measurement: Truthear Zero Red 10 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 62.081, 66.9481
1.015000, 62.286, 67.1247
1.030000, 62.489, 67.2702
1.044000, 62.677, 67.3779
1.060000, 62.889, 67.4680
1.075000, 63.084, 67.5207
1.090000, 63.277, 67.5437
1.106000, 63.480, 67.5414
1.120000, 63.656, 67.5261
1.138000, 63.881, 67.4950
1.150000, 64.030, 67.4675
1.172000, 64.302, 67.4022
1.180000, 64.401, 67.3735
1.206000, 64.719, 67.2615
1.220000, 64.889, 67.1889
1.241000, 65.142, 67.0633
1.250000, 65.250, 67.0033
1.265000, 65.428, 66.8948
1.280000, 65.606, 66.7757
1.315000, 66.016, 66.4559
1.320000, 66.075, 66.4054
1.340000, 66.306, 66.1911
1.360000, 66.535, 65.9572
1.380000, 66.761, 65.7036
1.400000, 66.986, 65.4304
1.430000, 67.318, 64.9836
1.450000, 67.537, 64.6618
1.475000, 67.806, 64.2392
1.500000, 68.072, 63.8098
1.525000, 68.334, 63.3794
1.550000, 68.592, 62.9461
1.575000, 68.847, 62.5069
1.600000, 69.099, 62.0594
1.625000, 69.347, 61.6012
1.650000, 69.591, 61.1303
1.675000, 69.833, 60.6448
1.700000, 70.072, 60.1429
1.725000, 70.308, 59.6232
1.750000, 70.542, 59.0842
1.775000, 70.773, 58.5249
1.800000, 71.001, 57.9442
1.825000, 71.228, 57.3427
1.850000, 71.451, 56.7263
1.875000, 71.672, 56.1036
1.900000, 71.890, 55.4776
1.925000, 72.104, 54.8486
1.950000, 72.316, 54.2163
1.975000, 72.525, 53.5804
2.000000, 72.731, 52.9404
2.030000, 72.976, 52.1665
2.060000, 73.217, 51.3851
2.090000, 73.455, 50.5953
2.120000, 73.690, 49.7962
2.140000, 73.845, 49.2577
2.180000, 74.152, 48.1660
2.200000, 74.303, 47.6134
2.240000, 74.602, 46.5014
2.270000, 74.823, 45.6655
2.300000, 75.040, 44.8293
2.330000, 75.253, 43.9929
2.360000, 75.464, 43.1561
2.400000, 75.741, 42.0397
2.430000, 75.945, 41.2012
2.470000, 76.214, 40.0809
2.500000, 76.413, 39.2380
2.540000, 76.675, 38.1094
2.580000, 76.933, 36.9753
2.620000, 77.186, 35.8388
2.650000, 77.373, 34.9868
2.690000, 77.619, 33.8526
2.720000, 77.800, 33.0039
2.760000, 78.038, 31.8752
2.800000, 78.272, 30.7500
2.850000, 78.560, 29.3480
2.900000, 78.843, 27.9497
2.950000, 79.121, 26.5531
3.000000, 79.393, 25.1573
3.040000, 79.606, 24.0431
3.070000, 79.764, 23.2099
3.110000, 79.971, 22.1034
3.150000, 80.175, 21.0030
3.200000, 80.426, 19.6369
3.250000, 80.673, 18.2817
3.300000, 80.915, 16.9361
3.350000, 81.153, 15.5966
3.400000, 81.386, 14.2621
3.450000, 81.615, 12.9352
3.500000, 81.839, 11.6184
3.550000, 82.059, 10.3136
3.600000, 82.275, 9.0218
3.650000, 82.488, 7.7428
3.700000, 82.697, 6.4733
3.750000, 82.902, 5.2100
3.820000, 83.182, 3.4541
3.870000, 83.378, 2.2126
3.950000, 83.685, 0.2539
4.000000, 83.872, -0.9513
4.060000, 84.093, -2.3809
4.120000, 84.309, -3.7983
4.180000, 84.521, -5.2036
