* Measurement data measured by REW V5.31.3
* Source: Loopback 1/2 (2- E2x2), LINE_IN (Master Volume), R, volume: 1.000. Timing signal peak level -34.1 dBFS, measurement signal peak level -33.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: Nov 17, 2024 6:57:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0595 ms (-20 mm, -0.8 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: 4.3 ppm
* Measurement: Truthear Zero Red L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 70.841, -155.6185
1.015000, 70.845, -157.4850
1.030000, 70.851, -159.3461
1.044000, 70.859, -161.0812
1.060000, 70.872, -163.0661
1.075000, 70.888, -164.9347
1.090000, 70.908, -166.8202
1.106000, 70.932, -168.8799
1.120000, 70.952, -170.7657
1.138000, 70.973, -173.3324
1.150000, 70.984, -175.1321
1.172000, 71.002, -178.6074
1.180000, 71.008, -179.9244
1.206000, 71.024, 175.6164
1.220000, 71.032, 173.1136
1.241000, 71.046, 169.2484
1.250000, 71.053, 167.5574
1.265000, 71.065, 164.7026
1.280000, 71.081, 161.8129
1.315000, 71.130, 155.0022
1.320000, 71.139, 154.0278
1.340000, 71.180, 150.1431
1.360000, 71.232, 146.2954
1.380000, 71.295, 142.5034
1.400000, 71.372, 138.7810
1.430000, 71.516, 133.3459
1.450000, 71.633, 129.8215
1.475000, 71.805, 125.4828
1.500000, 72.008, 121.1238
1.525000, 72.239, 116.7380
1.550000, 72.494, 112.3735
1.575000, 72.771, 108.0776
1.600000, 73.065, 103.8884
1.625000, 73.374, 99.8340
1.650000, 73.694, 95.9321
1.675000, 74.022, 92.1908
1.700000, 74.353, 88.6105
1.725000, 74.686, 85.1855
1.750000, 75.016, 81.9050
1.775000, 75.340, 78.7550
1.800000, 75.655, 75.7185
1.825000, 75.959, 72.7704
1.850000, 76.258, 69.8654
1.875000, 76.557, 66.9689
1.900000, 76.861, 64.0910
1.925000, 77.167, 61.2551
1.950000, 77.474, 58.4814
1.975000, 77.782, 55.7849
2.000000, 78.087, 53.1757
2.030000, 78.450, 50.1675
2.060000, 78.807, 47.2964
2.090000, 79.154, 44.5591
2.120000, 79.490, 41.9484
2.140000, 79.707, 40.2728
2.180000, 80.120, 37.0540
2.200000, 80.316, 35.4897
2.240000, 80.691, 32.3627
2.270000, 80.959, 29.9977
2.300000, 81.218, 27.6344
2.330000, 81.467, 25.2938
2.360000, 81.705, 22.9937
2.400000, 82.008, 20.0132
2.430000, 82.224, 17.8556
2.470000, 82.496, 15.0945
2.500000, 82.688, 13.1145
2.540000, 82.930, 10.5907
2.580000, 83.154, 8.1497
2.620000, 83.362, 5.6810
2.650000, 83.506, 3.7928
2.690000, 83.682, 1.2523
2.720000, 83.804, -0.6492
2.760000, 83.950, -3.1494
