* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -38.3 dBFS, measurement signal peak level -25.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -40.4 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 5:44:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay -0.0532 ms (-18 mm, -0.72 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -28.7 ppm
* Measurement: UC L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 73.428, -160.3947
1.015000, 73.510, -161.5857
1.030000, 73.597, -162.7238
1.044000, 73.680, -163.7487
1.060000, 73.780, -164.8870
1.075000, 73.876, -165.9324
1.090000, 73.974, -166.9642
1.106000, 74.084, -168.0492
1.120000, 74.188, -168.9718
1.138000, 74.334, -170.1038
1.150000, 74.439, -170.8195
1.172000, 74.646, -172.1344
1.180000, 74.725, -172.6765
1.206000, 74.997, -174.3224
1.220000, 75.152, -175.1408
1.241000, 75.392, -176.2828
1.250000, 75.497, -176.7420
1.265000, 75.676, -177.4690
1.280000, 75.858, -178.1505
1.315000, 76.290, -179.5811
1.320000, 76.353, -179.7688
1.340000, 76.601, 179.5167
1.360000, 76.849, 178.8596
1.380000, 77.093, 178.1205
1.400000, 77.332, 177.3717
1.430000, 77.678, 176.3084
1.450000, 77.898, 175.6305
1.475000, 78.161, 174.8157
1.500000, 78.417, 174.0522
1.525000, 78.670, 173.3499
1.550000, 78.921, 172.7095
1.575000, 79.170, 172.0566
1.600000, 79.417, 171.3300
1.625000, 79.661, 170.6548
1.650000, 79.903, 170.0255
1.675000, 80.142, 169.4366
1.700000, 80.379, 168.8823
1.725000, 80.614, 168.3569
1.750000, 80.846, 167.8553
1.775000, 81.076, 167.3190
1.800000, 81.303, 166.6920
1.825000, 81.527, 166.0772
1.850000, 81.749, 165.4733
1.875000, 81.968, 164.8879
1.900000, 82.184, 164.3257
1.925000, 82.398, 163.7888
1.950000, 82.609, 163.2791
1.975000, 82.818, 162.7455
2.000000, 83.024, 162.1387
2.030000, 83.269, 161.4469
2.060000, 83.510, 160.7864
2.090000, 83.748, 160.1537
2.120000, 83.983, 159.5449
2.140000, 84.138, 159.1502
2.180000, 84.444, 158.3301
2.200000, 84.595, 157.8796
2.240000, 84.893, 156.9959
2.270000, 85.112, 156.3512
2.300000, 85.328, 155.7253
2.330000, 85.541, 155.1199
2.360000, 85.751, 154.5349
2.400000, 86.026, 153.6689
2.430000, 86.229, 153.0270
2.470000, 86.496, 152.2017
2.500000, 86.693, 151.6035
2.540000, 86.952, 150.8304
2.580000, 87.208, 150.0388
2.620000, 87.459, 149.1811
2.650000, 87.643, 148.5511
2.690000, 87.886, 147.7297
2.720000, 88.065, 147.1295
2.760000, 88.300, 146.3557
2.800000, 88.530, 145.5198
2.850000, 88.813, 144.4992
2.900000, 89.090, 143.5190
2.950000, 89.361, 142.5714
3.000000, 89.625, 141.5734
3.040000, 89.832, 140.7637
3.070000, 89.985, 140.1670
3.110000, 90.185, 139.3879
3.150000, 90.382, 138.6292
3.200000, 90.623, 137.6539
3.250000, 90.859, 136.6859
3.300000, 91.091, 135.7496
3.350000, 91.319, 134.8369
3.400000, 91.541, 133.8819
3.450000, 91.758, 132.9221
3.500000, 91.970, 131.9859
3.550000, 92.178, 131.0779
3.600000, 92.382, 130.1528
3.650000, 92.583, 129.2367
3.700000, 92.780, 128.3430
3.750000, 92.972, 127.4637
3.820000, 93.235, 126.1958
3.870000, 93.418, 125.2983
3.950000, 93.704, 123.9069
4.000000, 93.879, 123.0326
4.060000, 94.085, 121.9911
4.120000, 94.287, 120.9683
4.180000, 94.483, 119.9517
4.250000, 94.707, 118.7404
4.310000, 94.894, 117.7290
4.370000, 95.078, 116.7371
4.440000, 95.287, 115.5613
4.500000, 95.462, 114.5666
4.550000, 95.605, 113.7484
4.620000, 95.800, 112.5844
4.680000, 95.963, 111.5978
4.750000, 96.149, 110.4717
4.820000, 96.331, 109.3322
4.870000, 96.457, 108.5193
4.940000, 96.630, 107.3951
5.000000, 96.774, 106.4273
5.080000, 96.960, 105.1462
5.150000, 97.118, 104.0484
5.220000, 97.270, 102.9378
5.300000, 97.438, 101.6729
5.380000, 97.600, 100.4268
