* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -37.9 dBFS, measurement signal peak level -27.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -40.4 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 5:42:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay -0.0531 ms (-18 mm, -0.72 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -28.8 ppm
* Measurement: UC R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 76.065, 21.8221
1.015000, 76.059, 21.1030
1.030000, 76.060, 20.3994
1.044000, 76.068, 19.7514
1.060000, 76.086, 19.0148
1.075000, 76.112, 18.3223
1.090000, 76.148, 17.6231
1.106000, 76.198, 16.8693
1.120000, 76.250, 16.2107
1.138000, 76.328, 15.3776
1.150000, 76.386, 14.8357
1.172000, 76.506, 13.7886
1.180000, 76.553, 13.3285
1.206000, 76.717, 11.8971
1.220000, 76.813, 11.1643
1.241000, 76.965, 10.1172
1.250000, 77.032, 9.6877
1.265000, 77.148, 8.9973
1.280000, 77.266, 8.3381
1.315000, 77.554, 6.9160
1.320000, 77.596, 6.7254
1.340000, 77.765, 5.9918
1.360000, 77.935, 5.3055
1.380000, 78.105, 4.5299
1.400000, 78.273, 3.7397
1.430000, 78.521, 2.6091
1.450000, 78.681, 1.8847
1.475000, 78.876, 1.0087
1.500000, 79.071, 0.1740
1.525000, 79.269, -0.6112
1.550000, 79.470, -1.3441
1.575000, 79.674, -2.0965
1.600000, 79.879, -2.9274
1.625000, 80.085, -3.7094
1.650000, 80.293, -4.4465
1.675000, 80.500, -5.1429
1.700000, 80.708, -5.8030
1.725000, 80.915, -6.4318
1.750000, 81.120, -7.0336
1.775000, 81.324, -7.6666
1.800000, 81.525, -8.3862
1.825000, 81.724, -9.0898
1.850000, 81.921, -9.7799
1.875000, 82.117, -10.4506
1.900000, 82.313, -11.0975
1.925000, 82.507, -11.7187
1.950000, 82.701, -12.3116
1.975000, 82.894, -12.9273
2.000000, 83.086, -13.6151
2.030000, 83.315, -14.4020
2.060000, 83.543, -15.1553
2.090000, 83.768, -15.8783
2.120000, 83.990, -16.5748
2.140000, 84.138, -17.0265
2.180000, 84.428, -17.9570
2.200000, 84.572, -18.4609
2.240000, 84.856, -19.4475
2.270000, 85.066, -20.1661
2.300000, 85.275, -20.8635
2.330000, 85.481, -21.5384
2.360000, 85.685, -22.1912
2.400000, 85.953, -23.1456
2.430000, 86.152, -23.8528
2.470000, 86.414, -24.7644
2.500000, 86.608, -25.4271
2.540000, 86.864, -26.2865
2.580000, 87.115, -27.1641
2.620000, 87.364, -28.1058
2.650000, 87.547, -28.7971
2.690000, 87.789, -29.6981
2.720000, 87.968, -30.3569
2.760000, 88.203, -31.2081
2.800000, 88.434, -32.1212
2.850000, 88.718, -33.2395
2.900000, 88.997, -34.3204
2.950000, 89.270, -35.3725
3.000000, 89.537, -36.4768
3.040000, 89.746, -37.3718
3.070000, 89.901, -38.0323
3.110000, 90.104, -38.8963
3.150000, 90.303, -39.7399
3.200000, 90.548, -40.8218
3.250000, 90.788, -41.8979
3.300000, 91.023, -42.9453
3.350000, 91.253, -43.9738
3.400000, 91.477, -45.0485
3.450000, 91.697, -46.1299
3.500000, 91.911, -47.1876
3.550000, 92.121, -48.2160
3.600000, 92.326, -49.2597
3.650000, 92.527, -50.2933
3.700000, 92.723, -51.3065
3.750000, 92.914, -52.3098
3.820000, 93.174, -53.7559
3.870000, 93.355, -54.7798
3.950000, 93.634, -56.3647
4.000000, 93.804, -57.3523
4.060000, 94.003, -58.5247
4.120000, 94.195, -59.6801
4.180000, 94.382, -60.8305
4.250000, 94.593, -62.1925
4.310000, 94.767, -63.3223
4.370000, 94.937, -64.4189
4.440000, 95.130, -65.7025
4.500000, 95.289, -66.7847
4.550000, 95.417, -67.6724
4.620000, 95.592, -68.9244
4.680000, 95.737, -69.9730
4.750000, 95.902, -71.1514
4.820000, 96.061, -72.3238
4.870000, 96.171, -73.1516
4.940000, 96.321, -74.2862
5.000000, 96.446, -75.2518
5.080000, 96.607, -76.5104
5.150000, 96.743, -77.5675
5.220000, 96.875, -78.6185
5.300000, 97.021, -79.7959
5.380000, 97.161, -80.9379
5.450000, 97.281, -81.9250
5.520000, 97.398, -82.8749
5.600000, 97.528, -83.9385
5.700000, 97.684, -85.2434
5.800000, 97.836, -86.5000
5.900000, 97.984, -87.7191
6.000000, 98.127, -88.8953
6.080000, 98.238, -89.8196
6.150000, 98.334, -90.6008
6.220000, 98.429, -91.3741
6.300000, 98.535, -92.2330
6.400000, 98.666, -93.2767
6.500000, 98.794, -94.2993
6.600000, 98.921, -95.2909
6.700000, 99.046, -96.2623
6.800000, 99.170, -97.2077
6.900000, 99.293, -98.1420
7.000000, 99.415, -99.0581
7.100000, 99.537, -99.9645
7.200000, 99.658, -100.8578
7.300000, 99.778, -101.7527
7.400000, 99.897, -102.6440
7.500000, 100.016, -103.5391
7.620000, 100.156, -104.6151
7.750000, 100.305, -105.7938
7.880000, 100.449, -106.9955
8.000000, 100.578, -108.1127
8.120000, 100.701, -109.2474
8.250000, 100.826, -110.4959
8.380000, 100.943, -111.7483
8.500000, 101.042, -112.9084
8.620000, 101.132, -114.0701
8.750000, 101.219, -115.3126
8.850000, 101.278, -116.2504
9.000000, 101.354, -117.6248
9.120000, 101.406, -118.6843
9.250000, 101.455, -119.7770
9.380000, 101.495, -120.8127
9.500000, 101.529, -121.7168
9.620000, 101.561, -122.5592
9.750000, 101.593, -123.4108
9.880000, 101.618, -124.2093
10.000000, 101.635, -124.8956
10.150000, 101.650, -125.7268
10.300000, 101.665, -126.5230
10.440000, 101.681, -127.2440
10.600000, 101.705, -128.0669
10.750000, 101.734, -128.8595
10.900000, 101.768, -129.6757
11.060000, 101.802, -130.5996
11.200000, 101.829, -131.4631
11.380000, 101.854, -132.5947
11.500000, 101.864, -133.3575
11.720000, 101.870, -134.7384
11.800000, 101.868, -135.2250
12.060000, 101.851, -136.7383
12.200000, 101.839, -137.5040
12.410000, 101.819, -138.5538
12.500000, 101.812, -138.9675
