* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -35.0 dBFS, measurement signal peak level -31.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -35.3 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 6:13:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0294 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -25.9 ppm
* Measurement: UC L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 66.811, -132.2352
1.015000, 66.524, -129.6662
1.030000, 66.258, -127.1701
1.044000, 66.031, -124.9231
1.060000, 65.799, -122.4719
1.075000, 65.609, -120.3029
1.090000, 65.448, -118.2669
1.106000, 65.309, -116.2144
1.120000, 65.217, -114.4600
1.138000, 65.134, -112.2285
1.150000, 65.100, -110.7621
1.172000, 65.079, -108.2311
1.180000, 65.084, -107.4303
1.206000, 65.139, -104.9392
1.220000, 65.192, -103.6814
1.241000, 65.298, -101.9149
1.250000, 65.352, -101.2038
1.265000, 65.451, -100.0818
1.280000, 65.561, -99.0400
1.315000, 65.850, -96.9271
1.320000, 65.893, -96.6619
1.340000, 66.072, -95.6937
1.360000, 66.253, -94.8703
1.380000, 66.433, -94.3259
1.400000, 66.606, -93.9837
1.430000, 66.845, -93.7650
1.450000, 66.984, -93.8213
1.475000, 67.138, -94.1038
1.500000, 67.284, -94.5530
1.525000, 67.432, -95.1139
1.550000, 67.583, -95.7582
1.575000, 67.737, -96.5388
1.600000, 67.895, -97.4993
1.625000, 68.056, -98.5009
1.650000, 68.220, -99.5394
1.675000, 68.388, -100.6143
1.700000, 68.560, -101.7281
1.725000, 68.735, -102.8861
1.750000, 68.914, -104.0952
1.775000, 69.096, -105.4180
1.800000, 69.282, -106.9161
1.825000, 69.472, -108.4934
1.850000, 69.667, -110.1528
1.875000, 69.866, -111.8713
1.900000, 70.071, -113.6181
1.925000, 70.281, -115.3672
1.950000, 70.494, -117.0979
1.975000, 70.711, -118.8478
2.000000, 70.931, -120.6573
2.030000, 71.199, -122.7675
2.060000, 71.470, -124.8174
2.090000, 71.743, -126.8138
2.120000, 72.017, -128.7675
2.140000, 72.201, -130.0533
2.180000, 72.567, -132.6589
2.200000, 72.751, -134.0117
2.240000, 73.123, -136.7258
2.270000, 73.407, -138.7449
2.300000, 73.695, -140.7224
2.330000, 73.986, -142.6402
2.360000, 74.278, -144.4883
2.400000, 74.667, -146.9533
2.430000, 74.957, -148.7303
2.470000, 75.339, -150.9897
2.500000, 75.621, -152.6114
2.540000, 75.988, -154.6958
2.580000, 76.346, -156.7651
2.620000, 76.697, -158.8944
2.650000, 76.957, -160.4680
2.690000, 77.300, -162.5142
2.720000, 77.554, -163.9976
2.760000, 77.886, -165.8911
2.800000, 78.211, -167.7743
2.850000, 78.606, -170.0007
2.900000, 78.987, -172.0797
2.950000, 79.352, -174.0533
3.000000, 79.703, -176.0613
3.040000, 79.974, -177.6693
3.070000, 80.172, -178.8496
3.110000, 80.429, 179.6239
3.150000, 80.678, 178.1629
3.200000, 80.979, 176.3859
3.250000, 81.269, 174.7100
3.300000, 81.548, 173.1530
3.350000, 81.815, 171.6639
3.400000, 82.070, 170.1488
3.450000, 82.312, 168.6547
