* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -35.3 dBFS, measurement signal peak level -30.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -35.3 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 6:10:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0312 ms (-11 mm, -0.42 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -25.9 ppm
* Measurement: UC R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 69.581, -137.7693
1.015000, 69.472, -138.5251
1.030000, 69.373, -139.2582
1.044000, 69.289, -139.9257
1.060000, 69.206, -140.6737
1.075000, 69.142, -141.3655
1.090000, 69.092, -142.0543
1.106000, 69.053, -142.7972
1.120000, 69.030, -143.4657
1.138000, 69.014, -144.3520
1.150000, 69.010, -144.9556
1.172000, 69.018, -146.1667
1.180000, 69.025, -146.7016
1.206000, 69.062, -148.4246
1.220000, 69.091, -149.3404
1.241000, 69.144, -150.6878
1.250000, 69.170, -151.2532
1.265000, 69.218, -152.1766
1.280000, 69.270, -153.0736
1.315000, 69.407, -155.0497
1.320000, 69.427, -155.3175
1.340000, 69.514, -156.3508
1.360000, 69.603, -157.3173
1.380000, 69.695, -158.3482
1.400000, 69.787, -159.3642
1.430000, 69.925, -160.7700
1.450000, 70.014, -161.6328
1.475000, 70.123, -162.6428
1.500000, 70.238, -163.6066
1.525000, 70.359, -164.5336
1.550000, 70.489, -165.4196
1.575000, 70.624, -166.3316
1.600000, 70.765, -167.3232
1.625000, 70.910, -168.2609
1.650000, 71.059, -169.1430
1.675000, 71.210, -169.9679
1.700000, 71.364, -170.7348
1.725000, 71.518, -171.4435
1.750000, 71.672, -172.0938
1.775000, 71.824, -172.7396
1.800000, 71.975, -173.4331
1.825000, 72.124, -174.0712
1.850000, 72.271, -174.6673
1.875000, 72.418, -175.2327
1.900000, 72.566, -175.7702
1.925000, 72.715, -176.2789
1.950000, 72.864, -176.7557
1.975000, 73.014, -177.2502
2.000000, 73.165, -177.8098
2.030000, 73.345, -178.4306
2.060000, 73.526, -178.9999
2.090000, 73.707, -179.5163
2.120000, 73.887, -179.9784
2.140000, 74.007, 179.7441
2.180000, 74.246, 179.2108
2.200000, 74.364, 178.9312
2.240000, 74.600, 178.4350
2.270000, 74.777, 178.1101
2.300000, 74.952, 177.8214
2.330000, 75.128, 177.5660
2.360000, 75.303, 177.3406
2.400000, 75.536, 176.9656
2.430000, 75.712, 176.6994
2.470000, 75.946, 176.3850
2.500000, 76.123, 176.1785
2.540000, 76.360, 175.9426
2.580000, 76.599, 175.7166
2.620000, 76.839, 175.4689
2.650000, 77.019, 175.3220
2.690000, 77.261, 175.1652
2.720000, 77.443, 175.0701
2.760000, 77.686, 174.9677
2.800000, 77.930, 174.7916
2.850000, 78.236, 174.5669
2.900000, 78.543, 174.3430
2.950000, 78.852, 174.1281
3.000000, 79.163, 173.8862
3.040000, 79.414, 173.6992
3.070000, 79.603, 173.5712
3.110000, 79.854, 173.4079
3.150000, 80.106, 173.2437
3.200000, 80.421, 172.9662
3.250000, 80.733, 172.6321
3.300000, 81.044, 172.2661
3.350000, 81.354, 171.8959
3.400000, 81.664, 171.4806
3.450000, 81.973, 171.0479
3.500000, 82.280, 170.6113
3.550000, 82.584, 170.1608
3.600000, 82.884, 169.6391
3.650000, 83.178, 169.0664
3.700000, 83.468, 168.4684
3.750000, 83.754, 167.8597
3.820000, 84.148, 166.9386
3.870000, 84.425, 166.2619
3.950000, 84.856, 165.1646
4.000000, 85.117, 164.4304
4.060000, 85.423, 163.5116
4.120000, 85.721, 162.5735
4.180000, 86.010, 161.6156
4.250000, 86.337, 160.4485
4.310000, 86.609, 159.4585
4.370000, 86.872, 158.4730
4.440000, 87.168, 157.2810
4.500000, 87.412, 156.2501
4.550000, 87.609, 155.3913
4.620000, 87.876, 154.1651
4.680000, 88.096, 153.1285
4.750000, 88.345, 151.9542
4.820000, 88.583, 150.7714
4.870000, 88.748, 149.9260
4.940000, 88.969, 148.7574
5.000000, 89.153, 147.7590
5.080000, 89.389, 146.4577
5.150000, 89.589, 145.3667
5.220000, 89.782, 144.2815
5.300000, 89.993, 143.0627
5.380000, 90.197, 141.8796
5.450000, 90.372, 140.8593
5.520000, 90.543, 139.8807
5.600000, 90.734, 138.7900
5.700000, 90.965, 137.4543
5.800000, 91.192, 136.1614
5.900000, 91.416, 134.8978
6.000000, 91.637, 133.6741
6.080000, 91.812, 132.7056
6.150000, 91.962, 131.8751
6.220000, 92.112, 131.0392
6.300000, 92.282, 130.0930
6.400000, 92.493, 128.9218
6.500000, 92.700, 127.7495
6.600000, 92.902, 126.5802
6.700000, 93.101, 125.3995
6.800000, 93.295, 124.2206
6.900000, 93.484, 123.0401
7.000000, 93.666, 121.8672
7.100000, 93.841, 120.6877
7.200000, 94.010, 119.5184
7.300000, 94.173, 118.3643
7.400000, 94.328, 117.2332
7.500000, 94.476, 116.1124
7.620000, 94.646, 114.8046
7.750000, 94.821, 113.4492
7.880000, 94.988, 112.1419
8.000000, 95.136, 110.9920
8.120000, 95.281, 109.8987
8.250000, 95.435, 108.7747
8.380000, 95.587, 107.7066
8.500000, 95.728, 106.7636
8.620000, 95.870, 105.8618
8.750000, 96.025, 104.9142
8.850000, 96.146, 104.1976
9.000000, 96.329, 103.1473
9.120000, 96.477, 102.3113
9.250000, 96.637, 101.4013
9.380000, 96.797, 100.4897
9.500000, 96.944, 99.6375
9.620000, 97.088, 98.7767
9.750000, 97.241, 97.8341
9.880000, 97.381, 96.8826
10.000000, 97.496, 96.0019
10.150000, 97.624, 94.8717
10.300000, 97.737, 93.7515
10.440000, 97.832, 92.7159
10.600000, 97.930, 91.5507
10.750000, 98.018, 90.4809
10.900000, 98.099, 89.4349
11.060000, 98.178, 88.3366
11.200000, 98.241, 87.3810
11.380000, 98.312, 86.2044
11.500000, 98.355, 85.4554
11.720000, 98.426, 84.1633
11.800000, 98.451, 83.7226
12.060000, 98.532, 82.3811
12.200000, 98.579, 81.7008
12.410000, 98.655, 80.7498
12.500000, 98.690, 80.3605
12.650000, 98.752, 79.7292
12.800000, 98.820, 79.1013
13.150000, 98.994, 77.5414
13.200000, 99.021, 77.2982
13.400000, 99.126, 76.2775
13.600000, 99.227, 75.1819
13.800000, 99.316, 74.0220
14.000000, 99.387, 72.8353
14.300000, 99.458, 71.0632
14.500000, 99.483, 69.9818
14.750000, 99.503, 68.8069
15.000000, 99.525, 67.8492
15.250000, 99.573, 67.0508
15.500000, 99.654, 66.3378
15.750000, 99.769, 65.5948
16.000000, 99.909, 64.7082
16.250000, 100.056, 63.6005
16.500000, 100.192, 62.3008
16.750000, 100.302, 60.8735
17.000000, 100.380, 59.4216
17.250000, 100.428, 58.0322
17.500000, 100.456, 56.8018
17.750000, 100.478, 55.7654
18.000000, 100.509, 54.8985
18.250000, 100.558, 54.1248
18.500000, 100.628, 53.3675
18.750000, 100.711, 52.5573
19.000000, 100.797, 51.6576
19.250000, 100.873, 50.6673
19.500000, 100.931, 49.6505
19.750000, 100.968, 48.6724
20.000000, 100.989, 47.7953
20.299999, 101.007, 46.9059
20.600000, 101.033, 46.1924
20.900000, 101.080, 45.5709
21.200001, 101.149, 44.9190
21.400000, 101.201, 44.4230
21.799999, 101.301, 43.2514
22.000000, 101.339, 42.5924
22.400000, 101.384, 41.2226
22.700001, 101.392, 40.2541
23.000000, 101.387, 39.3940
23.299999, 101.380, 38.6436
23.600000, 101.381, 37.9803
24.000000, 101.400, 37.1507
24.299999, 101.425, 36.5123
24.700001, 101.466, 35.6155
25.000000, 101.498, 34.9104
25.400000, 101.542, 33.9291
25.799999, 101.586, 32.9157
26.200001, 101.626, 31.8692
26.500000, 101.651, 31.0743
26.900000, 101.678, 30.0402
27.200001, 101.694, 29.3045
27.600000, 101.715, 28.3939
28.000000, 101.743, 27.5452
28.500000, 101.787, 26.4907
29.000000, 101.830, 25.3992
29.500000, 101.858, 24.3085
30.000000, 101.871, 23.3107
30.400000, 101.879, 22.5895
30.700001, 101.888, 22.0750
31.100000, 101.902, 21.3868
31.500000, 101.914, 20.6744
32.000000, 101.919, 19.7854
32.500000, 101.914, 18.9585
33.000000, 101.914, 18.2074
33.500000, 101.928, 17.4406
34.000000, 101.949, 16.5645
34.500000, 101.958, 15.5768
35.000000, 101.943, 14.5892
35.500000, 101.911, 13.7212
36.000000, 101.884, 13.0113
36.500000, 101.875, 12.3790
37.000000, 101.886, 11.7056
37.500000, 101.901, 10.9183
38.200001, 101.899, 9.6991
38.700001, 101.877, 8.8707
39.500000, 101.834, 7.7490
40.000000, 101.817, 7.1345
40.599998, 101.808, 6.4185
41.200001, 101.810, 5.7015
41.799999, 101.826, 4.9233
42.500000, 101.845, 3.8368
43.099998, 101.835, 2.8146
43.700001, 101.794, 1.9033
44.400002, 101.738, 1.1382
45.000000, 101.709, 0.6463
45.500000, 101.700, 0.2314
46.200001, 101.684, -0.4249
46.799999, 101.655, -0.9717
47.500000, 101.618, -1.4464
48.200001, 101.615, -1.8552
48.700001, 101.634, -2.3113
49.400002, 101.647, -3.3054
50.000000, 101.610, -4.2980
50.799999, 101.517, -5.3893
51.500000, 101.447, -6.0990
52.200001, 101.404, -6.7734
53.000000, 101.372, -7.5829
53.799999, 101.347, -8.4210
54.500000, 101.324, -9.1609
55.200001, 101.295, -9.8527
56.000000, 101.259, -10.5626
57.000000, 101.211, -11.3609
58.000000, 101.161, -12.1061
59.000000, 101.103, -12.9027
60.000000, 101.032, -13.7046
60.799999, 100.973, -14.3407
61.500000, 100.922, -14.8990
62.200001, 100.874, -15.4539
63.000000, 100.822, -16.1044
64.000000, 100.753, -16.8715
65.000000, 100.698, -17.5576
66.000000, 100.646, -18.3117
67.000000, 100.579, -19.0045
68.000000, 100.515, -19.6470
69.000000, 100.446, -20.2710
70.000000, 100.382, -20.8782
71.000000, 100.314, -21.5424
72.000000, 100.241, -22.1522
73.000000, 100.178, -22.7664
74.000000, 100.110, -23.4525
75.000000, 100.029, -24.0988
76.199997, 99.932, -24.7419
77.500000, 99.839, -25.4132
78.800003, 99.746, -26.0730
80.000000, 99.657, -26.6555
81.199997, 99.570, -27.2084
82.500000, 99.469, -27.8411
83.800003, 99.361, -28.3781
85.000000, 99.272, -28.8831
86.199997, 99.186, -29.4662
87.500000, 99.077, -30.1586
88.500000, 98.985, -30.5923
90.000000, 98.862, -31.0940
91.199997, 98.774, -31.4636
92.500000, 98.683, -31.8247
93.800003, 98.603, -32.1594
95.000000, 98.527, -32.5849
96.199997, 98.433, -33.0425
97.500000, 98.324, -33.4912
98.800003, 98.220, -33.9407
100.000000, 98.124, -34.4304
101.500000, 97.989, -34.9505
103.000000, 97.873, -35.2856
104.400002, 97.776, -35.6264
106.000000, 97.657, -36.0312
107.500000, 97.530, -36.3988
109.000000, 97.399, -36.7277
110.599998, 97.264, -37.0931
112.000000, 97.153, -37.3763
113.800003, 97.021, -37.7072
115.000000, 96.929, -37.8896
117.199997, 96.760, -38.1044
118.000000, 96.699, -38.2142
120.599998, 96.482, -38.6447
122.000000, 96.374, -38.8788
124.099998, 96.219, -39.1863
125.000000, 96.162, -39.2592
126.500000, 96.073, -39.4473
128.000000, 95.959, -39.6344
131.500000, 95.675, -39.5432
132.000000, 95.632, -39.5422
134.000000, 95.456, -39.4542
136.000000, 95.310, -39.4584
138.000000, 95.160, -39.5973
140.000000, 95.011, -39.5955
143.000000, 94.829, -39.5842
145.000000, 94.714, -39.7311
147.500000, 94.545, -39.8019
150.000000, 94.375, -39.5552
152.500000, 94.184, -39.3024
155.000000, 94.008, -39.0569
157.500000, 93.850, -39.0848
160.000000, 93.685, -39.2137
162.500000, 93.529, -39.1105
165.000000, 93.378, -38.2960
167.500000, 93.229, -37.1726
170.000000, 93.052, -36.7045
172.500000, 92.904, -37.0862
175.000000, 92.815, -37.2691
177.500000, 92.726, -36.4617
180.000000, 92.583, -35.5380
182.500000, 92.424, -35.0928
185.000000, 92.292, -34.7815
187.500000, 92.143, -33.8170
190.000000, 92.012, -32.9656
192.500000, 91.891, -33.2502
195.000000, 91.771, -33.5033
197.500000, 91.693, -32.7310
200.000000, 91.646, -31.5549
203.000000, 91.574, -30.1650
206.000000, 91.485, -29.1226
209.000000, 91.364, -28.7435
212.000000, 91.241, -28.4497
214.000000, 91.193, -27.8204
218.000000, 91.155, -26.5375
220.000000, 91.103, -26.0800
224.000000, 90.938, -24.8210
227.000000, 90.852, -23.9153
230.000000, 90.818, -23.2067
233.000000, 90.804, -22.3750
236.000000, 90.755, -21.3947
240.000000, 90.689, -20.1788
243.000000, 90.666, -19.1504
247.000000, 90.622, -18.0801
250.000000, 90.552, -17.7296
254.000000, 90.476, -16.8599
258.000000, 90.461, -15.9638
262.000000, 90.458, -15.2557
265.000000, 90.451, -14.5428
269.000000, 90.432, -13.7340
272.000000, 90.411, -13.1708
276.000000, 90.376, -12.2442
280.000000, 90.363, -11.3743
285.000000, 90.360, -10.4761
290.000000, 90.351, -9.7248
295.000000, 90.358, -8.5916
300.000000, 90.393, -7.5745
304.000000, 90.426, -6.9979
307.000000, 90.445, -6.5624
311.000000, 90.459, -5.9813
315.000000, 90.479, -5.4135
320.000000, 90.507, -4.7301
325.000000, 90.535, -4.0668
330.000000, 90.569, -3.2990
335.000000, 90.603, -2.5324
340.000000, 90.629, -1.9120
345.000000, 90.657, -1.3743
350.000000, 90.686, -0.7908
355.000000, 90.711, -0.2063
360.000000, 90.739, 0.3297
365.000000, 90.771, 0.8182
370.000000, 90.810, 1.2667
375.000000, 90.850, 1.7881
382.000000, 90.887, 2.4821
387.000000, 90.906, 2.9677
395.000000, 90.938, 3.7130
400.000000, 90.958, 4.1187
406.000000, 90.976, 4.5953
412.000000, 90.997, 5.0539
418.000000, 91.026, 5.5524
425.000000, 91.061, 6.1245
431.000000, 91.099, 6.4858
437.000000, 91.142, 6.8089
444.000000, 91.181, 7.3465
450.000000, 91.205, 7.8291
455.000000, 91.229, 8.1948
462.000000, 91.266, 8.6371
468.000000, 91.297, 9.0302
475.000000, 91.346, 9.5454
482.000000, 91.396, 9.9692
487.000000, 91.430, 10.2360
494.000000, 91.474, 10.5900
500.000000, 91.500, 10.9247
508.000000, 91.520, 11.3761
515.000000, 91.544, 11.7402
522.000000, 91.567, 12.0013
530.000000, 91.572, 12.4853
538.000000, 91.589, 13.0265
545.000000, 91.608, 13.4273
552.000000, 91.627, 13.7687
560.000000, 91.655, 14.1201
570.000000, 91.703, 14.5881
580.000000, 91.758, 15.0854
590.000000, 91.798, 15.5751
600.000000, 91.832, 16.1565
