* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -38.4 dBFS, measurement signal peak level -29.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -34.8 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 4:30:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay 0.0135 ms (4.6 mm, 0.18 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -28.5 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 63.229, -155.7603
1.015000, 63.319, -157.5309
1.030000, 63.416, -159.0160
1.044000, 63.513, -160.2047
1.060000, 63.630, -161.3846
1.075000, 63.745, -162.3581
1.090000, 63.865, -163.2324
1.106000, 64.002, -164.0690
1.120000, 64.139, -164.7123
1.138000, 64.344, -165.4151
1.150000, 64.498, -165.8110
1.172000, 64.812, -166.4909
1.180000, 64.936, -166.7908
1.206000, 65.367, -167.6271
1.220000, 65.616, -168.0022
1.241000, 66.006, -168.4787
1.250000, 66.178, -168.6541
1.265000, 66.471, -168.9117
1.280000, 66.769, -169.1298
1.315000, 67.474, -169.5056
1.320000, 67.574, -169.5460
1.340000, 67.974, -169.6787
1.360000, 68.367, -169.7663
1.380000, 68.747, -169.9469
1.400000, 69.111, -170.1467
1.430000, 69.615, -170.4005
1.450000, 69.918, -170.5459
1.475000, 70.260, -170.7036
1.500000, 70.574, -170.8288
1.525000, 70.869, -170.9176
1.550000, 71.147, -170.9707
1.575000, 71.410, -171.0616
1.600000, 71.659, -171.2500
1.625000, 71.897, -171.4085
1.650000, 72.126, -171.5401
1.675000, 72.346, -171.6476
1.700000, 72.560, -171.7339
1.725000, 72.769, -171.8019
1.750000, 72.975, -171.8538
1.775000, 73.180, -171.9455
1.800000, 73.386, -172.1306
1.825000, 73.592, -172.3051
1.850000, 73.799, -172.4742
1.875000, 74.001, -172.6375
1.900000, 74.198, -172.7927
1.925000, 74.390, -172.9372
1.950000, 74.578, -173.0678
1.975000, 74.761, -173.2341
2.000000, 74.941, -173.4836
2.030000, 75.153, -173.7567
2.060000, 75.360, -174.0063
2.090000, 75.564, -174.2320
2.120000, 75.765, -174.4341
2.140000, 75.897, -174.5559
2.180000, 76.160, -174.8221
2.200000, 76.291, -174.9913
2.240000, 76.547, -175.3128
2.270000, 76.735, -175.5423
2.300000, 76.919, -175.7600
2.330000, 77.099, -175.9639
2.360000, 77.277, -176.1532
2.400000, 77.509, -176.4976
2.430000, 77.681, -176.7507
2.470000, 77.908, -177.0565
2.500000, 78.076, -177.2610
2.540000, 78.300, -177.4992
2.580000, 78.522, -177.7405
2.620000, 78.740, -178.0343
2.650000, 78.902, -178.2365
2.690000, 79.114, -178.4851
2.720000, 79.272, -178.6559
2.760000, 79.480, -178.8593
2.800000, 79.686, -179.1275
2.850000, 79.944, -179.4416
2.900000, 80.201, -179.7150
2.950000, 80.459, -179.9433
3.000000, 80.715, 179.8066
3.040000, 80.918, 179.6111
3.070000, 81.071, 179.4788
3.110000, 81.273, 179.3172
3.150000, 81.476, 179.1686
3.200000, 81.730, 178.9379
3.250000, 81.986, 178.6895
3.300000, 82.245, 178.4529
3.350000, 82.506, 178.2492
3.400000, 82.769, 178.0246
3.450000, 83.033, 177.7987
3.500000, 83.298, 177.5796
3.550000, 83.565, 177.3540
3.600000, 83.833, 177.0630
3.650000, 84.103, 176.7286
3.700000, 84.374, 176.3868
3.750000, 84.648, 176.0588
3.820000, 85.034, 175.5508
3.870000, 85.310, 175.1638
3.950000, 85.752, 174.4892
4.000000, 86.026, 173.9842
4.060000, 86.353, 173.3167
4.120000, 86.681, 172.6339
4.180000, 87.008, 171.9307
4.250000, 87.386, 171.0321
4.310000, 87.705, 170.2240
4.370000, 88.019, 169.3623
4.440000, 88.378, 168.2542
4.500000, 88.680, 167.2719
4.550000, 88.928, 166.4398
4.620000, 89.269, 165.2185
4.680000, 89.553, 164.1434
4.750000, 89.874, 162.8601
4.820000, 90.185, 161.5029
4.870000, 90.400, 160.5048
4.940000, 90.693, 159.0929
5.000000, 90.935, 157.8617
5.080000, 91.244, 156.2131
5.150000, 91.501, 154.7736
5.220000, 91.745, 153.2896
5.300000, 92.010, 151.5703
5.380000, 92.259, 149.8689
5.450000, 92.465, 148.3972
5.520000, 92.659, 146.9646
5.600000, 92.866, 145.3260
5.700000, 93.104, 143.2831
5.800000, 93.322, 141.3279
5.900000, 93.521, 139.4820
6.000000, 93.700, 137.7122
6.080000, 93.831, 136.3419
6.150000, 93.939, 135.2133
6.220000, 94.043, 134.1467
6.300000, 94.156, 133.0148
6.400000, 94.287, 131.7018
6.500000, 94.413, 130.4922
6.600000, 94.542, 129.4126
6.700000, 94.672, 128.4600
6.800000, 94.805, 127.6206
6.900000, 94.946, 126.8523
7.000000, 95.098, 126.1540
7.100000, 95.261, 125.5257
7.200000, 95.435, 124.9438
7.300000, 95.620, 124.3528
7.400000, 95.817, 123.7492
7.500000, 96.025, 123.1346
7.620000, 96.283, 122.3538
7.750000, 96.569, 121.4045
7.880000, 96.859, 120.3533
8.000000, 97.126, 119.3071
8.120000, 97.384, 118.1698
8.250000, 97.654, 116.8470
8.380000, 97.911, 115.4689
8.500000, 98.133, 114.1552
8.620000, 98.340, 112.8076
8.750000, 98.548, 111.3466
8.850000, 98.697, 110.2359
9.000000, 98.901, 108.5929
9.120000, 99.052, 107.3163
9.250000, 99.204, 105.9907
9.380000, 99.346, 104.7205
9.500000, 99.471, 103.5956
9.620000, 99.592, 102.5262
9.750000, 99.718, 101.4194
9.880000, 99.834, 100.3544
10.000000, 99.931, 99.4097
10.150000, 100.040, 98.2429
10.300000, 100.140, 97.1094
10.440000, 100.228, 96.0750
10.600000, 100.324, 94.9177
10.750000, 100.411, 93.8511
10.900000, 100.495, 92.8061
11.060000, 100.579, 91.7069
11.200000, 100.647, 90.7496
11.380000, 100.727, 89.5713
11.500000, 100.777, 88.8221
11.720000, 100.867, 87.5215
11.800000, 100.900, 87.0722
12.060000, 101.013, 85.6680
12.200000, 101.079, 84.9188
12.410000, 101.183, 83.8145
12.500000, 101.228, 83.3403
12.650000, 101.303, 82.5449
12.800000, 101.377, 81.7390
13.150000, 101.535, 79.7851
13.200000, 101.555, 79.4988
13.400000, 101.630, 78.3561
13.600000, 101.695, 77.2416
13.800000, 101.749, 76.1771
14.000000, 101.795, 75.1823
14.300000, 101.855, 73.8083
14.500000, 101.895, 72.9897
14.750000, 101.953, 72.0477
15.000000, 102.023, 71.1549
15.250000, 102.106, 70.2392
15.500000, 102.194, 69.2949
15.750000, 102.281, 68.3142
16.000000, 102.360, 67.3079
16.250000, 102.429, 66.2837
16.500000, 102.488, 65.2913
16.750000, 102.541, 64.3558
17.000000, 102.593, 63.4830
17.250000, 102.650, 62.6496
17.500000, 102.712, 61.8469
17.750000, 102.779, 61.0460
18.000000, 102.850, 60.2200
18.250000, 102.921, 59.3417
18.500000, 102.986, 58.4234
18.750000, 103.043, 57.4825
19.000000, 103.090, 56.5437
19.250000, 103.128, 55.6240
19.500000, 103.159, 54.7601
19.750000, 103.186, 53.9654
20.000000, 103.214, 53.2390
20.299999, 103.255, 52.4209
20.600000, 103.308, 51.6341
20.900000, 103.371, 50.8307
21.200001, 103.440, 49.9658
21.400000, 103.486, 49.3484
21.799999, 103.568, 48.0301
22.000000, 103.602, 47.3416
22.400000, 103.650, 45.9427
22.700001, 103.669, 44.9294
23.000000, 103.674, 43.9875
23.299999, 103.671, 43.1433
23.600000, 103.663, 42.4247
24.000000, 103.662, 41.6637
24.299999, 103.678, 41.2008
24.700001, 103.726, 40.6397
25.000000, 103.781, 40.1866
25.400000, 103.868, 39.4514
25.799999, 103.952, 38.5630
26.200001, 104.018, 37.5770
26.500000, 104.052, 36.8271
26.900000, 104.084, 35.8720
27.200001, 104.102, 35.1987
27.600000, 104.121, 34.3538
28.000000, 104.135, 33.5638
28.500000, 104.146, 32.6634
29.000000, 104.161, 31.8901
29.500000, 104.195, 31.1846
30.000000, 104.249, 30.4166
30.400000, 104.294, 29.6872
30.700001, 104.321, 29.0840
31.100000, 104.342, 28.2569
31.500000, 104.349, 27.4684
32.000000, 104.350, 26.5986
32.500000, 104.358, 25.8187
33.000000, 104.373, 25.0522
