* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -37.0 dBFS, measurement signal peak level -29.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -34.8 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 4:32:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 Macbook Delay 0.0139 ms (4.8 mm, 0.19 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -28.6 ppm
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 64.236, 90.7888
1.015000, 64.000, 93.4412
1.030000, 63.783, 96.1252
1.044000, 63.597, 98.6555
1.060000, 63.408, 101.5726
1.075000, 63.256, 104.3268
1.090000, 63.128, 107.0945
1.106000, 63.021, 110.0548
1.120000, 62.947, 112.6472
1.138000, 62.879, 115.9783
1.150000, 62.849, 118.1952
1.172000, 62.824, 122.1535
1.180000, 62.823, 123.4928
1.206000, 62.852, 127.8161
1.220000, 62.885, 130.1145
1.241000, 62.956, 133.5127
1.250000, 62.993, 134.9483
1.265000, 63.064, 137.3099
1.280000, 63.145, 139.6288
1.315000, 63.365, 144.8530
1.320000, 63.400, 145.5762
1.340000, 63.544, 148.4073
1.360000, 63.696, 151.1397
1.380000, 63.854, 153.6375
1.400000, 64.014, 155.9772
1.430000, 64.254, 159.2811
1.450000, 64.412, 161.3481
1.475000, 64.608, 163.8015
1.500000, 64.818, 166.1614
1.525000, 65.049, 168.4470
1.550000, 65.299, 170.6536
1.575000, 65.564, 172.7040
1.600000, 65.843, 174.5366
1.625000, 66.132, 176.2791
1.650000, 66.429, 177.9300
1.675000, 66.730, 179.4892
1.700000, 67.033, -179.0427
1.725000, 67.335, -177.6643
1.750000, 67.633, -176.3732
1.775000, 67.925, -175.2206
1.800000, 68.207, -174.2540
1.825000, 68.478, -173.3594
1.850000, 68.741, -172.5168
1.875000, 69.001, -171.6984
1.900000, 69.258, -170.8976
1.925000, 69.514, -170.1168
