* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -35.9 dBFS, measurement signal peak level -35.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -32.3 dBFS using an acoustic timing reference
* Dated: Apr 3, 2025 6:57:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.0828 ms (-28 mm, -1.12 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -49.5 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 65.393, 17.7154
1.015000, 65.515, 16.6994
1.030000, 65.640, 15.7258
1.044000, 65.758, 14.8466
1.060000, 65.893, 13.8673
1.075000, 66.020, 12.9657
1.090000, 66.147, 12.0751
1.106000, 66.284, 11.1440
1.120000, 66.409, 10.3662
1.138000, 66.581, 9.4360
1.150000, 66.701, 8.8619
1.172000, 66.933, 7.8152
1.180000, 67.020, 7.3721
1.206000, 67.317, 6.0464
1.220000, 67.482, 5.3972
1.241000, 67.737, 4.5018
1.250000, 67.848, 4.1450
1.265000, 68.036, 3.5837
1.280000, 68.226, 3.0611
1.315000, 68.675, 1.9738
1.320000, 68.739, 1.8318
1.340000, 68.996, 1.2927
1.360000, 69.252, 0.7987
1.380000, 69.504, 0.2113
1.400000, 69.752, -0.3966
1.430000, 70.112, -1.2666
1.450000, 70.343, -1.8257
1.475000, 70.620, -2.4971
1.500000, 70.891, -3.1118
1.525000, 71.159, -3.6581
1.550000, 71.425, -4.1390
1.575000, 71.687, -4.6320
1.600000, 71.947, -5.2014
1.625000, 72.204, -5.7238
1.650000, 72.459, -6.2063
1.675000, 72.711, -6.6556
1.700000, 72.961, -7.0779
1.725000, 73.208, -7.4794
1.750000, 73.452, -7.8653
1.775000, 73.694, -8.2940
1.800000, 73.934, -8.8210
1.825000, 74.171, -9.3421
1.850000, 74.405, -9.8538
1.875000, 74.637, -10.3436
1.900000, 74.866, -10.8064
1.925000, 75.093, -11.2419
1.950000, 75.317, -11.6498
1.975000, 75.538, -12.0826
2.000000, 75.757, -12.5910
2.030000, 76.016, -13.1690
2.060000, 76.272, -13.7219
2.090000, 76.525, -14.2541
2.120000, 76.775, -14.7703
2.140000, 76.940, -15.1078
2.180000, 77.265, -15.8246
2.200000, 77.426, -16.2277
2.240000, 77.743, -17.0175
2.270000, 77.976, -17.5895
2.300000, 78.206, -18.1416
2.330000, 78.433, -18.6733
2.360000, 78.657, -19.1861
2.400000, 78.951, -19.9596
2.430000, 79.167, -20.5366
2.470000, 79.452, -21.2826
2.500000, 79.663, -21.8276
