* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -35.9 dBFS, measurement signal peak level -35.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -32.3 dBFS using an acoustic timing reference
* Dated: Apr 3, 2025 6:59:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.0593 ms (-20 mm, -0.8 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -28.1 ppm
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 63.494, 41.8642
1.015000, 63.421, 41.1646
1.030000, 63.359, 40.4520
1.044000, 63.313, 39.7718
1.060000, 63.276, 38.9724
1.075000, 63.257, 38.1981
1.090000, 63.255, 37.3978
1.106000, 63.271, 36.5224
1.120000, 63.299, 35.7559
1.138000, 63.349, 34.7888
1.150000, 63.392, 34.1604
1.172000, 63.488, 32.9595
1.180000, 63.528, 32.4445
1.206000, 63.676, 30.8367
1.220000, 63.766, 30.0093
1.241000, 63.912, 28.8193
1.250000, 63.979, 28.3278
1.265000, 64.095, 27.5328
1.280000, 64.216, 26.7669
1.315000, 64.517, 25.0855
1.320000, 64.561, 24.8565
1.340000, 64.742, 23.9658
1.360000, 64.926, 23.1165
1.380000, 65.112, 22.1721
1.400000, 65.298, 21.2073
1.430000, 65.575, 19.8051
1.450000, 65.755, 18.8950
1.475000, 65.978, 17.7932
1.500000, 66.205, 16.7654
1.525000, 66.441, 15.8277
1.550000, 66.686, 14.9778
1.575000, 66.937, 14.1371
1.600000, 67.195, 13.2402
1.625000, 67.456, 12.4087
1.650000, 67.721, 11.6337
1.675000, 67.988, 10.9065
1.700000, 68.255, 10.2189
1.725000, 68.522, 9.5633
1.750000, 68.787, 8.9328
1.775000, 69.049, 8.2677
1.800000, 69.307, 7.5114
1.825000, 69.560, 6.7683
1.850000, 69.809, 6.0456
1.875000, 70.058, 5.3610
1.900000, 70.306, 4.7202
1.925000, 70.553, 4.1221
1.950000, 70.800, 3.5654
1.975000, 71.046, 2.9955
2.000000, 71.291, 2.3601
2.030000, 71.583, 1.6409
2.060000, 71.872, 0.9566
2.090000, 72.159, 0.3005
2.120000, 72.442, -0.3341
2.140000, 72.628, -0.7483
2.180000, 72.995, -1.6143
2.200000, 73.176, -2.0893
2.240000, 73.533, -3.0109
2.270000, 73.796, -3.6683
2.300000, 74.057, -4.2953
2.330000, 74.314, -4.8929
2.360000, 74.568, -5.4641
2.400000, 74.901, -6.3066
2.430000, 75.148, -6.9302
2.470000, 75.472, -7.7341
2.500000, 75.711, -8.3206
2.540000, 76.025, -9.0864
2.580000, 76.334, -9.8771
2.620000, 76.637, -10.7295
2.650000, 76.861, -11.3500
2.690000, 77.154, -12.1522
2.720000, 77.370, -12.7345
2.760000, 77.653, -13.4822
2.800000, 77.931, -14.2920
2.850000, 78.272, -15.2837
2.900000, 78.605, -16.2430
2.950000, 78.930, -17.1782
3.000000, 79.247, -18.1647
3.040000, 79.494, -18.9630
3.070000, 79.676, -19.5498
3.110000, 79.915, -20.3144
3.150000, 80.149, -21.0578
3.200000, 80.435, -22.0138
3.250000, 80.715, -22.9643
3.300000, 80.989, -23.8866
3.350000, 81.256, -24.7883
3.400000, 81.516, -25.7330
3.450000, 81.769, -26.6820
