* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -34.8 dBFS, measurement signal peak level -31.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -39.2 dBFS using an acoustic timing reference
* Dated: Apr 26, 2025 1:03:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook S/N: 342 Delay -0.0245 ms (-8.4 mm, -0.33 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -27.9 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 75.848, 175.3882
1.015000, 76.024, 174.9007
1.030000, 76.199, 174.4226
1.044000, 76.360, 173.9790
1.060000, 76.540, 173.4688
1.075000, 76.704, 172.9821
1.090000, 76.862, 172.4846
1.106000, 77.027, 171.9505
1.120000, 77.170, 171.5014
1.138000, 77.356, 170.9677
1.150000, 77.481, 170.6419
1.172000, 77.712, 170.0182
1.180000, 77.797, 169.7190
1.206000, 78.073, 168.8264
1.220000, 78.223, 168.3898
1.241000, 78.448, 167.7888
1.250000, 78.545, 167.5496
1.265000, 78.706, 167.1738
1.280000, 78.867, 166.8244
1.315000, 79.242, 166.0978
1.320000, 79.295, 166.0028
1.340000, 79.507, 165.6415
1.360000, 79.718, 165.3098
1.380000, 79.927, 164.8702
1.400000, 80.134, 164.3968
1.430000, 80.439, 163.7056
1.450000, 80.638, 163.2510
1.475000, 80.883, 162.6922
1.500000, 81.124, 162.1658
1.525000, 81.362, 161.6846
1.550000, 81.598, 161.2498
1.575000, 81.831, 160.7875
1.600000, 82.062, 160.2370
1.625000, 82.290, 159.7245
1.650000, 82.516, 159.2451
1.675000, 82.740, 158.7939
1.700000, 82.961, 158.3661
1.725000, 83.180, 157.9564
1.750000, 83.397, 157.5605
1.775000, 83.612, 157.1204
1.800000, 83.825, 156.5805
1.825000, 84.035, 156.0444
1.850000, 84.244, 155.5114
1.875000, 84.451, 154.9900
