* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -34.9 dBFS, measurement signal peak level -25.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -39.2 dBFS using an acoustic timing reference
* Dated: Apr 26, 2025 1:06:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook S/N: 342 Delay -0.0245 ms (-8.4 mm, -0.33 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -28.1 ppm
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 74.444, 175.4322
1.015000, 74.556, 175.2307
1.030000, 74.671, 175.0251
1.044000, 74.781, 174.8261
1.060000, 74.909, 174.5866
1.075000, 75.033, 174.3473
1.090000, 75.161, 174.0932
1.106000, 75.302, 173.8174
1.120000, 75.428, 173.5948
1.138000, 75.592, 173.3514
1.150000, 75.704, 173.2166
1.172000, 75.910, 172.9342
1.180000, 75.986, 172.7554
1.206000, 76.236, 172.2382
1.220000, 76.372, 171.9928
1.241000, 76.577, 171.6631
1.250000, 76.665, 171.5347
1.265000, 76.813, 171.3358
1.280000, 76.962, 171.1541
1.315000, 77.309, 170.7849
1.320000, 77.359, 170.7374
1.340000, 77.557, 170.5571
1.360000, 77.754, 170.3939
1.380000, 77.951, 170.1113
1.400000, 78.146, 169.7850
1.430000, 78.435, 169.2984
1.450000, 78.625, 168.9719
1.475000, 78.859, 168.5696
1.500000, 79.092, 168.2043
1.525000, 79.324, 167.8894
1.550000, 79.555, 167.6222
1.575000, 79.785, 167.3254
1.600000, 80.014, 166.9359
1.625000, 80.241, 166.5777
1.650000, 80.468, 166.2446
1.675000, 80.693, 165.9310
1.700000, 80.918, 165.6314
1.725000, 81.140, 165.3407
1.750000, 81.361, 165.0545
1.775000, 81.580, 164.7151
1.800000, 81.798, 164.2677
1.825000, 82.014, 163.8176
1.850000, 82.228, 163.3702
1.875000, 82.441, 162.9404
1.900000, 82.653, 162.5334
1.925000, 82.863, 162.1493
1.950000, 83.072, 161.7881
1.975000, 83.279, 161.3967
2.000000, 83.485, 160.9244
2.030000, 83.729, 160.3825
2.060000, 83.972, 159.8576
2.090000, 84.212, 159.3449
2.120000, 84.449, 158.8398
2.140000, 84.606, 158.5049
2.180000, 84.916, 157.7820
2.200000, 85.070, 157.3709
2.240000, 85.373, 156.5590
2.270000, 85.598, 155.9671
2.300000, 85.820, 155.3926
2.330000, 86.039, 154.8357
2.360000, 86.256, 154.2948
2.400000, 86.542, 153.4784
2.430000, 86.753, 152.8648
2.470000, 87.031, 152.0633
2.500000, 87.237, 151.4710
2.540000, 87.508, 150.6882
2.580000, 87.774, 149.8688
2.620000, 88.036, 148.9733
2.650000, 88.230, 148.3115
2.690000, 88.484, 147.4440
2.720000, 88.672, 146.8062
2.760000, 88.919, 145.9775
2.800000, 89.162, 145.0805
2.850000, 89.459, 143.9720
2.900000, 89.749, 142.8879
2.950000, 90.032, 141.8175
3.000000, 90.308, 140.6793
3.040000, 90.524, 139.7486
3.070000, 90.683, 139.0580
3.110000, 90.891, 138.1508
3.150000, 91.095, 137.2619
3.200000, 91.343, 136.1222
3.250000, 91.586, 134.9876
3.300000, 91.822, 133.8796
3.350000, 92.051, 132.7822
3.400000, 92.274, 131.6285
3.450000, 92.490, 130.4622
3.500000, 92.701, 129.3186
3.550000, 92.904, 128.2075
3.600000, 93.103, 127.0875
3.650000, 93.295, 125.9850
3.700000, 93.481, 124.9052
3.750000, 93.661, 123.8307
3.820000, 93.903, 122.2801
3.870000, 94.069, 121.1840
3.950000, 94.324, 119.4995
4.000000, 94.477, 118.4649
4.060000, 94.655, 117.2500
4.120000, 94.825, 116.0578
4.180000, 94.987, 114.8741
4.250000, 95.168, 113.4831
4.310000, 95.317, 112.3427
4.370000, 95.461, 111.2537
4.440000, 95.623, 110.0027
4.500000, 95.755, 108.9631
4.550000, 95.861, 108.1190
4.620000, 96.005, 106.9405
4.680000, 96.124, 105.9674
4.750000, 96.260, 104.8952
4.820000, 96.392, 103.8523
4.870000, 96.484, 103.1306
4.940000, 96.609, 102.1592
5.000000, 96.714, 101.3422
5.080000, 96.853, 100.2888
5.150000, 96.973, 99.4189
5.220000, 97.093, 98.5704
5.300000, 97.227, 97.6398
5.380000, 97.361, 96.7465
5.450000, 97.479, 95.9676
5.520000, 97.597, 95.2150
5.600000, 97.732, 94.3748
5.700000, 97.903, 93.3429
5.800000, 98.073, 92.3272
5.900000, 98.243, 91.3003
6.000000, 98.413, 90.2791
6.080000, 98.548, 89.4536
6.150000, 98.665, 88.7357
6.220000, 98.780, 87.9998
6.300000, 98.909, 87.1504
6.400000, 99.067, 86.0767
6.500000, 99.220, 84.9875
6.600000, 99.366, 83.8967
6.700000, 99.505, 82.7870
6.800000, 99.637, 81.6716
6.900000, 99.761, 80.5572
7.000000, 99.877, 79.4603
7.100000, 99.984, 78.3634
7.200000, 100.083, 77.2818
7.300000, 100.175, 76.2238
7.400000, 100.260, 75.2001
7.500000, 100.338, 74.1961
7.620000, 100.424, 73.0350
7.750000, 100.511, 71.8438
7.880000, 100.589, 70.7076
8.000000, 100.658, 69.7148
8.120000, 100.724, 68.7717
8.250000, 100.794, 67.8046
8.380000, 100.864, 66.8854
8.500000, 100.928, 66.0691
8.620000, 100.993, 65.2855
8.750000, 101.065, 64.4599
8.850000, 101.121, 63.8340
9.000000, 101.206, 62.9150
9.120000, 101.274, 62.1849
