* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -35.3 dBFS, measurement signal peak level -35.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -45.1 dBFS using an acoustic timing reference
* Dated: May 4, 2025 10:59:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0275 ms (-9.4 mm, -0.37 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -28.5 ppm
* Measurement: OFF L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 69.902, 171.4529
1.015000, 70.076, 170.8084
1.030000, 70.250, 170.1806
1.044000, 70.409, 169.6031
1.060000, 70.589, 168.9460
1.075000, 70.753, 168.3267
1.090000, 70.914, 167.7010
1.106000, 71.081, 167.0350
1.120000, 71.228, 166.4752
1.138000, 71.421, 165.8067
1.150000, 71.551, 165.3962
1.172000, 71.795, 164.6286
1.180000, 71.884, 164.2806
1.206000, 72.179, 163.2432
1.220000, 72.339, 162.7368
1.241000, 72.582, 162.0412
1.250000, 72.687, 161.7651
1.265000, 72.861, 161.3322
1.280000, 73.036, 160.9310
1.315000, 73.444, 160.1022
1.320000, 73.502, 159.9946
1.340000, 73.733, 159.5871
1.360000, 73.963, 159.2158
1.380000, 74.189, 158.7425
1.400000, 74.413, 158.2408
1.430000, 74.741, 157.5161
1.450000, 74.954, 157.0443
1.475000, 75.213, 156.4689
1.500000, 75.467, 155.9299
1.525000, 75.718, 155.4396
1.550000, 75.966, 154.9991
1.575000, 76.210, 154.5347
1.600000, 76.451, 153.9855
1.625000, 76.689, 153.4778
1.650000, 76.924, 153.0068
1.675000, 77.156, 152.5676
1.700000, 77.386, 152.1554
1.725000, 77.613, 151.7651
1.750000, 77.837, 151.3925
1.775000, 78.059, 150.9795
1.800000, 78.278, 150.4707
1.825000, 78.495, 149.9695
1.850000, 78.710, 149.4744
1.875000, 78.922, 148.9924
1.900000, 79.131, 148.5284
1.925000, 79.337, 148.0846
1.950000, 79.541, 147.6636
1.975000, 79.742, 147.2145
2.000000, 79.940, 146.6884
2.030000, 80.175, 146.0892
2.060000, 80.406, 145.5172
2.090000, 80.634, 144.9695
2.120000, 80.858, 144.4426
2.140000, 81.006, 144.1012
2.180000, 81.298, 143.3845
2.200000, 81.442, 142.9840
2.240000, 81.725, 142.1938
2.270000, 81.934, 141.6132
2.300000, 82.138, 141.0466
2.330000, 82.339, 140.4967
2.360000, 82.537, 139.9641
2.400000, 82.796, 139.1649
2.430000, 82.987, 138.5713
2.470000, 83.238, 137.8093
2.500000, 83.422, 137.2585
2.540000, 83.665, 136.5489
2.580000, 83.903, 135.8199
2.620000, 84.136, 135.0197
2.650000, 84.307, 134.4285
2.690000, 84.531, 133.6545
2.720000, 84.696, 133.0875
2.760000, 84.912, 132.3561
2.800000, 85.123, 131.5623
2.850000, 85.381, 130.5958
2.900000, 85.633, 129.6735
2.950000, 85.879, 128.7862
3.000000, 86.118, 127.8444
3.040000, 86.304, 127.0752
3.070000, 86.440, 126.5072
3.110000, 86.619, 125.7653
3.150000, 86.794, 125.0438
3.200000, 87.007, 124.1175
3.250000, 87.216, 123.2036
3.300000, 87.419, 122.3270
3.350000, 87.618, 121.4750
3.400000, 87.811, 120.5782
3.450000, 87.998, 119.6747
3.500000, 88.180, 118.7956
3.550000, 88.358, 117.9476
3.600000, 88.532, 117.0879
3.650000, 88.702, 116.2441
3.700000, 88.868, 115.4278
3.750000, 89.030, 114.6272
3.820000, 89.249, 113.4704
3.870000, 89.400, 112.6548
3.950000, 89.636, 111.4038
4.000000, 89.780, 110.6258
4.060000, 89.948, 109.7088
4.120000, 90.112, 108.8168
4.180000, 90.271, 107.9352
4.250000, 90.452, 106.8878
4.310000, 90.603, 106.0238
4.370000, 90.750, 105.1877
4.440000, 90.918, 104.2055
4.500000, 91.059, 103.3854
4.550000, 91.173, 102.7176
4.620000, 91.329, 101.7701
4.680000, 91.460, 100.9748
4.750000, 91.610, 100.0792
4.820000, 91.757, 99.1806
4.870000, 91.860, 98.5467
4.940000, 92.000, 97.6801
5.000000, 92.118, 96.9371
5.080000, 92.272, 95.9589
5.150000, 92.404, 95.1301
5.220000, 92.532, 94.2967
5.300000, 92.675, 93.3575
5.380000, 92.814, 92.4397
5.450000, 92.933, 91.6339
5.520000, 93.049, 90.8501
5.600000, 93.179, 89.9610
5.700000, 93.336, 88.8549
5.800000, 93.489, 87.7749
5.900000, 93.636, 86.7087
6.000000, 93.778, 85.6628
6.080000, 93.888, 84.8292
6.150000, 93.982, 84.1191
6.220000, 94.074, 83.4097
6.300000, 94.176, 82.6140
6.400000, 94.300, 81.6352
6.500000, 94.420, 80.6671
6.600000, 94.536, 79.7242
6.700000, 94.648, 78.7939
6.800000, 94.757, 77.8831
6.900000, 94.863, 76.9842
7.000000, 94.965, 76.1079
7.100000, 95.065, 75.2430
7.200000, 95.162, 74.3965
7.300000, 95.256, 73.5611
7.400000, 95.349, 72.7439
7.500000, 95.438, 71.9353
7.620000, 95.543, 70.9848
7.750000, 95.653, 69.9772
7.880000, 95.760, 68.9819
8.000000, 95.855, 68.0841
8.120000, 95.947, 67.1993
8.250000, 96.044, 66.2559
8.380000, 96.138, 65.3314
8.500000, 96.221, 64.4902
8.620000, 96.302, 63.6631
8.750000, 96.387, 62.7827
8.850000, 96.451, 62.1148
9.000000, 96.542, 61.1337
9.120000, 96.613, 60.3621
9.250000, 96.688, 59.5411
9.380000, 96.761, 58.7372
9.500000, 96.826, 58.0047
9.620000, 96.890, 57.2867
9.750000, 96.956, 56.5218
9.880000, 97.013, 55.7684
10.000000, 97.054, 55.0883
10.150000, 97.093, 54.2286
10.300000, 97.123, 53.3925
10.440000, 97.146, 52.6327
10.600000, 97.168, 51.7878
10.750000, 97.191, 51.0178
10.900000, 97.213, 50.2683
11.060000, 97.236, 49.4742
11.200000, 97.255, 48.7726
11.380000, 97.278, 47.8946
11.500000, 97.292, 47.3238
11.720000, 97.318, 46.3056
11.800000, 97.328, 45.9441
12.060000, 97.363, 44.7863
12.200000, 97.384, 44.1576
12.410000, 97.415, 43.2368
12.500000, 97.428, 42.8502
12.650000, 97.448, 42.2160
12.800000, 97.468, 41.5945
13.150000, 97.509, 40.1679
13.200000, 97.515, 39.9649
13.400000, 97.538, 39.1668
13.600000, 97.562, 38.3910
13.800000, 97.586, 37.6370
14.000000, 97.609, 36.9015
14.300000, 97.641, 35.7994
14.500000, 97.662, 35.0851
14.750000, 97.686, 34.2144
15.000000, 97.711, 33.3653
15.250000, 97.739, 32.5126
15.500000, 97.766, 31.6813
15.750000, 97.792, 30.8733
16.000000, 97.816, 30.0890
16.250000, 97.838, 29.3077
16.500000, 97.859, 28.5496
16.750000, 97.880, 27.8130
17.000000, 97.902, 27.0936
17.250000, 97.925, 26.3747
17.500000, 97.948, 25.6680
17.750000, 97.969, 24.9743
18.000000, 97.989, 24.2926
18.250000, 98.007, 23.6123
18.500000, 98.024, 22.9471
18.750000, 98.040, 22.2998
19.000000, 98.056, 21.6703
19.250000, 98.072, 21.0447
19.500000, 98.089, 20.4338
19.750000, 98.106, 19.8353
20.000000, 98.123, 19.2466
20.299999, 98.142, 18.5366
20.600000, 98.160, 17.8374
20.900000, 98.176, 17.1501
21.200001, 98.190, 16.4694
21.400000, 98.198, 16.0220
21.799999, 98.211, 15.1506
22.000000, 98.217, 14.7257
22.400000, 98.228, 13.8838
22.700001, 98.236, 13.2675
23.000000, 98.242, 12.6625
23.299999, 98.248, 12.0625
23.600000, 98.254, 11.4742
24.000000, 98.260, 10.7084
24.299999, 98.266, 10.1399
24.700001, 98.272, 9.3953
25.000000, 98.277, 8.8449
25.400000, 98.283, 8.1119
25.799999, 98.287, 7.3915
26.200001, 98.289, 6.6826
26.500000, 98.290, 6.1598
26.900000, 98.290, 5.4796
27.200001, 98.291, 4.9774
27.600000, 98.291, 4.3179
28.000000, 98.292, 3.6697
28.500000, 98.292, 2.8662
29.000000, 98.290, 2.0766
29.500000, 98.287, 1.2971
30.000000, 98.282, 0.5373
30.400000, 98.275, -0.0592
30.700001, 98.269, -0.4976
31.100000, 98.262, -1.0730
31.500000, 98.254, -1.6434
32.000000, 98.243, -2.3470
32.500000, 98.232, -3.0451
33.000000, 98.219, -3.7294
33.500000, 98.205, -4.4007
34.000000, 98.192, -5.0564
34.500000, 98.180, -5.7028
35.000000, 98.169, -6.3395
35.500000, 98.157, -6.9697
36.000000, 98.145, -7.5900
36.500000, 98.132, -8.2032
37.000000, 98.119, -8.8074
37.500000, 98.104, -9.4047
38.200001, 98.083, -10.2230
38.700001, 98.066, -10.7971
39.500000, 98.039, -11.7022
40.000000, 98.022, -12.2584
40.599998, 98.000, -12.9176
41.200001, 97.977, -13.5658
41.799999, 97.953, -14.2053
42.500000, 97.924, -14.9334
43.099998, 97.901, -15.5359
43.700001, 97.880, -16.1287
44.400002, 97.857, -16.8250
45.000000, 97.835, -17.4246
45.500000, 97.815, -17.9159
46.200001, 97.786, -18.5795
46.799999, 97.764, -19.1354
47.500000, 97.738, -19.7849
48.200001, 97.710, -20.4323
48.700001, 97.690, -20.8859
49.400002, 97.661, -21.5065
50.000000, 97.636, -22.0300
50.799999, 97.603, -22.7230
51.500000, 97.573, -23.3216
52.200001, 97.542, -23.9086
53.000000, 97.507, -24.5671
53.799999, 97.470, -25.2171
54.500000, 97.438, -25.7789
55.200001, 97.404, -26.3319
56.000000, 97.366, -26.9525
57.000000, 97.318, -27.7142
58.000000, 97.270, -28.4633
59.000000, 97.221, -29.1988
60.000000, 97.172, -29.9179
60.799999, 97.133, -30.4805
61.500000, 97.100, -30.9674
62.200001, 97.067, -31.4520
63.000000, 97.029, -31.9998
64.000000, 96.979, -32.6680
65.000000, 96.930, -33.3208
66.000000, 96.881, -33.9656
67.000000, 96.831, -34.5991
68.000000, 96.781, -35.2235
69.000000, 96.730, -35.8361
70.000000, 96.680, -36.4401
71.000000, 96.630, -37.0346
72.000000, 96.580, -37.6182
73.000000, 96.531, -38.1946
74.000000, 96.481, -38.7632
75.000000, 96.430, -39.3213
76.199997, 96.370, -39.9742
77.500000, 96.305, -40.6643
78.800003, 96.241, -41.3459
80.000000, 96.181, -41.9661
81.199997, 96.121, -42.5703
82.500000, 96.058, -43.2156
83.800003, 95.994, -43.8485
85.000000, 95.936, -44.4183
86.199997, 95.879, -44.9789
87.500000, 95.818, -45.5733
88.500000, 95.772, -46.0261
90.000000, 95.703, -46.6947
91.199997, 95.648, -47.2197
92.500000, 95.588, -47.7791
93.800003, 95.529, -48.3277
95.000000, 95.475, -48.8284
96.199997, 95.420, -49.3210
97.500000, 95.360, -49.8438
98.800003, 95.300, -50.3571
100.000000, 95.245, -50.8246
101.500000, 95.176, -51.3951
103.000000, 95.109, -51.9525
104.400002, 95.046, -52.4618
106.000000, 94.976, -53.0364
107.500000, 94.910, -53.5733
109.000000, 94.844, -54.0953
110.599998, 94.774, -54.6377
112.000000, 94.714, -55.1068
113.800003, 94.637, -55.6963
115.000000, 94.586, -56.0803
117.199997, 94.493, -56.7733
118.000000, 94.460, -57.0238
120.599998, 94.356, -57.8235
122.000000, 94.303, -58.2369
124.099998, 94.225, -58.8439
125.000000, 94.192, -59.1004
126.500000, 94.137, -59.5226
128.000000, 94.081, -59.9387
131.500000, 93.956, -60.8931
132.000000, 93.938, -61.0271
134.000000, 93.870, -61.5562
136.000000, 93.804, -62.0704
138.000000, 93.740, -62.5728
140.000000, 93.678, -63.0627
143.000000, 93.587, -63.7818
145.000000, 93.527, -64.2505
147.500000, 93.453, -64.8248
150.000000, 93.381, -65.3853
152.500000, 93.309, -65.9351
155.000000, 93.237, -66.4688
157.500000, 93.166, -66.9902
160.000000, 93.096, -67.4987
162.500000, 93.026, -67.9842
165.000000, 92.960, -68.4602
167.500000, 92.895, -68.9331
170.000000, 92.830, -69.4071
172.500000, 92.763, -69.8697
175.000000, 92.696, -70.3210
177.500000, 92.631, -70.7592
180.000000, 92.567, -71.1958
182.500000, 92.503, -71.6141
185.000000, 92.441, -72.0129
187.500000, 92.382, -72.4074
190.000000, 92.323, -72.7922
192.500000, 92.266, -73.1470
195.000000, 92.211, -73.4871
197.500000, 92.159, -73.8251
200.000000, 92.109, -74.1574
203.000000, 92.051, -74.5441
206.000000, 91.995, -74.8994
209.000000, 91.942, -75.2044
212.000000, 91.897, -75.4830
214.000000, 91.872, -75.6696
218.000000, 91.840, -76.0753
220.000000, 91.829, -76.3173
224.000000, 91.808, -76.9033
227.000000, 91.785, -77.4077
