* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -36.9 dBFS, measurement signal peak level -34.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -45.1 dBFS using an acoustic timing reference
* Dated: May 4, 2025 10:52:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0264 ms (-9.1 mm, -0.36 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -28.2 ppm
* Measurement: OFF R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 70.238, 173.5435
1.015000, 70.398, 172.8566
1.030000, 70.558, 172.1887
1.044000, 70.706, 171.5754
1.060000, 70.873, 170.8792
1.075000, 71.027, 170.2246
1.090000, 71.177, 169.5646
1.106000, 71.336, 168.8621
1.120000, 71.477, 168.2695
1.138000, 71.662, 167.5574
1.150000, 71.788, 167.1172
1.172000, 72.024, 166.2947
1.180000, 72.112, 165.9268
1.206000, 72.400, 164.8256
1.220000, 72.558, 164.2859
1.241000, 72.798, 163.5418
1.250000, 72.901, 163.2456
1.265000, 73.074, 162.7802
1.280000, 73.248, 162.3476
1.315000, 73.654, 161.4509
1.320000, 73.711, 161.3341
1.340000, 73.942, 160.8915
1.360000, 74.171, 160.4873
1.380000, 74.397, 159.9833
1.400000, 74.620, 159.4528
1.430000, 74.946, 158.6883
1.450000, 75.158, 158.1920
1.475000, 75.415, 157.5876
1.500000, 75.667, 157.0202
1.525000, 75.916, 156.5016
1.550000, 76.162, 156.0334
1.575000, 76.405, 155.5420
1.600000, 76.644, 154.9669
1.625000, 76.881, 154.4344
1.650000, 77.116, 153.9397
1.675000, 77.347, 153.4781
1.700000, 77.576, 153.0446
1.725000, 77.802, 152.6344
1.750000, 78.025, 152.2430
1.775000, 78.246, 151.8124
1.800000, 78.465, 151.2873
1.825000, 78.681, 150.7705
1.850000, 78.895, 150.2604
1.875000, 79.106, 149.7637
1.900000, 79.314, 149.2850
1.925000, 79.520, 148.8268
1.950000, 79.723, 148.3916
1.975000, 79.923, 147.9288
2.000000, 80.121, 147.3895
2.030000, 80.355, 146.7751
2.060000, 80.585, 146.1888
2.090000, 80.813, 145.6276
2.120000, 81.037, 145.0882
2.140000, 81.184, 144.7389
2.180000, 81.475, 144.0077
2.200000, 81.619, 143.6004
2.240000, 81.901, 142.7972
2.270000, 82.109, 142.2072
2.300000, 82.313, 141.6313
2.330000, 82.513, 141.0724
2.360000, 82.711, 140.5312
2.400000, 82.969, 139.7210
2.430000, 83.160, 139.1197
2.470000, 83.409, 138.3481
2.500000, 83.594, 137.7906
2.540000, 83.836, 137.0729
2.580000, 84.073, 136.3367
2.620000, 84.306, 135.5297
2.650000, 84.477, 134.9337
2.690000, 84.700, 134.1536
2.720000, 84.865, 133.5822
2.760000, 85.080, 132.8453
2.800000, 85.291, 132.0464
2.850000, 85.549, 131.0739
2.900000, 85.801, 130.1462
2.950000, 86.046, 129.2543
3.000000, 86.285, 128.3084
3.040000, 86.471, 127.5363
3.070000, 86.607, 126.9664
3.110000, 86.786, 126.2219
3.150000, 86.961, 125.4982
3.200000, 87.174, 124.5691
3.250000, 87.383, 123.6525
3.300000, 87.587, 122.7734
3.350000, 87.785, 121.9191
3.400000, 87.979, 121.0204
3.450000, 88.166, 120.1152
3.500000, 88.349, 119.2345
3.550000, 88.528, 118.3849
3.600000, 88.702, 117.5234
3.650000, 88.873, 116.6776
3.700000, 89.039, 115.8591
3.750000, 89.201, 115.0564
3.820000, 89.421, 113.8969
3.870000, 89.574, 113.0792
3.950000, 89.811, 111.8244
4.000000, 89.955, 111.0435
4.060000, 90.125, 110.1226
4.120000, 90.290, 109.2264
4.180000, 90.450, 108.3405
4.250000, 90.632, 107.2876
4.310000, 90.784, 106.4185
4.370000, 90.933, 105.5769
4.440000, 91.102, 104.5877
4.500000, 91.243, 103.7610
4.550000, 91.358, 103.0874
4.620000, 91.516, 102.1316
4.680000, 91.648, 101.3289
4.750000, 91.799, 100.4245
4.820000, 91.947, 99.5166
4.870000, 92.050, 98.8758
4.940000, 92.191, 97.9991
5.000000, 92.310, 97.2475
5.080000, 92.465, 96.2579
5.150000, 92.597, 95.4193
5.220000, 92.725, 94.5760
5.300000, 92.869, 93.6254
5.380000, 93.008, 92.6964
5.450000, 93.127, 91.8813
5.520000, 93.244, 91.0887
5.600000, 93.373, 90.1900
5.700000, 93.531, 89.0724
5.800000, 93.683, 87.9818
5.900000, 93.830, 86.9066
6.000000, 93.971, 85.8527
6.080000, 94.081, 85.0133
6.150000, 94.175, 84.2988
6.220000, 94.266, 83.5856
6.300000, 94.368, 82.7862
6.400000, 94.492, 81.8038
6.500000, 94.611, 80.8330
6.600000, 94.727, 79.8881
6.700000, 94.839, 78.9565
6.800000, 94.948, 78.0452
6.900000, 95.053, 77.1461
7.000000, 95.156, 76.2698
7.100000, 95.256, 75.4053
7.200000, 95.353, 74.5593
7.300000, 95.448, 73.7244
7.400000, 95.540, 72.9075
7.500000, 95.631, 72.0992
7.620000, 95.736, 71.1487
7.750000, 95.847, 70.1409
7.880000, 95.954, 69.1448
8.000000, 96.050, 68.2460
8.120000, 96.143, 67.3600
8.250000, 96.240, 66.4149
8.380000, 96.334, 65.4885
8.500000, 96.418, 64.6455
8.620000, 96.500, 63.8167
8.750000, 96.585, 62.9341
8.850000, 96.648, 62.2647
9.000000, 96.740, 61.2814
9.120000, 96.811, 60.5081
9.250000, 96.886, 59.6854
9.380000, 96.959, 58.8799
9.500000, 97.024, 58.1460
9.620000, 97.088, 57.4265
9.750000, 97.154, 56.6601
9.880000, 97.211, 55.9051
10.000000, 97.253, 55.2234
10.150000, 97.292, 54.3617
10.300000, 97.322, 53.5235
10.440000, 97.344, 52.7613
10.600000, 97.367, 51.9135
10.750000, 97.389, 51.1406
10.900000, 97.411, 50.3879
11.060000, 97.434, 49.5900
11.200000, 97.453, 48.8849
11.380000, 97.475, 48.0021
11.500000, 97.489, 47.4279
11.720000, 97.515, 46.4035
11.800000, 97.525, 46.0398
12.060000, 97.559, 44.8750
12.200000, 97.579, 44.2429
12.410000, 97.609, 43.3178
12.500000, 97.621, 42.9295
12.650000, 97.641, 42.2930
12.800000, 97.660, 41.6696
13.150000, 97.701, 40.2393
13.200000, 97.707, 40.0356
13.400000, 97.730, 39.2348
13.600000, 97.754, 38.4550
13.800000, 97.779, 37.6956
14.000000, 97.802, 36.9528
14.300000, 97.835, 35.8369
14.500000, 97.856, 35.1120
14.750000, 97.880, 34.2283
15.000000, 97.905, 33.3678
15.250000, 97.932, 32.5064
15.500000, 97.959, 31.6692
15.750000, 97.985, 30.8573
16.000000, 98.009, 30.0695
16.250000, 98.033, 29.2832
16.500000, 98.055, 28.5169
16.750000, 98.077, 27.7691
17.000000, 98.100, 27.0364
17.250000, 98.123, 26.3040
17.500000, 98.144, 25.5860
17.750000, 98.164, 24.8851
18.000000, 98.183, 24.2003
18.250000, 98.200, 23.5208
18.500000, 98.217, 22.8575
18.750000, 98.233, 22.2112
19.000000, 98.250, 21.5798
19.250000, 98.267, 20.9482
19.500000, 98.284, 20.3281
19.750000, 98.301, 19.7188
20.000000, 98.316, 19.1198
20.299999, 98.333, 18.4014
20.600000, 98.349, 17.6994
20.900000, 98.363, 17.0146
21.200001, 98.375, 16.3392
21.400000, 98.383, 15.8956
21.799999, 98.397, 15.0291
22.000000, 98.403, 14.6041
22.400000, 98.416, 13.7555
22.700001, 98.425, 13.1282
23.000000, 98.432, 12.5070
23.299999, 98.439, 11.8866
23.600000, 98.443, 11.2758
24.000000, 98.448, 10.4824
24.299999, 98.451, 9.8993
24.700001, 98.454, 9.1466
25.000000, 98.457, 8.5978
25.400000, 98.462, 7.8706
25.799999, 98.467, 7.1518
26.200001, 98.471, 6.4353
26.500000, 98.472, 5.9019
26.900000, 98.473, 5.2063
27.200001, 98.472, 4.6948
27.600000, 98.472, 4.0277
28.000000, 98.471, 3.3756
28.500000, 98.470, 2.5681
29.000000, 98.468, 1.7745
29.500000, 98.463, 0.9937
30.000000, 98.457, 0.2339
30.400000, 98.451, -0.3657
30.700001, 98.446, -0.8099
31.100000, 98.438, -1.3970
31.500000, 98.429, -1.9806
32.000000, 98.416, -2.6962
32.500000, 98.402, -3.3989
33.000000, 98.388, -4.0843
33.500000, 98.373, -4.7593
34.000000, 98.360, -5.4232
34.500000, 98.348, -6.0803
35.000000, 98.335, -6.7283
35.500000, 98.323, -7.3705
36.000000, 98.309, -8.0034
36.500000, 98.295, -8.6281
37.000000, 98.280, -9.2406
37.500000, 98.264, -9.8446
38.200001, 98.241, -10.6758
38.700001, 98.224, -11.2606
39.500000, 98.194, -12.1721
40.000000, 98.175, -12.7261
40.599998, 98.153, -13.3865
