* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -35.3 dBFS, measurement signal peak level -34.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -45.1 dBFS using an acoustic timing reference
* Dated: May 4, 2025 10:58:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0276 ms (-9.5 mm, -0.37 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -28.5 ppm
* Measurement: ON L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 71.435, 169.8485
1.015000, 71.633, 169.2516
1.030000, 71.828, 168.6699
1.044000, 72.006, 168.1339
1.060000, 72.205, 167.5226
1.075000, 72.385, 166.9450
1.090000, 72.559, 166.3600
1.106000, 72.738, 165.7368
1.120000, 72.894, 165.2147
1.138000, 73.096, 164.5951
1.150000, 73.232, 164.2171
1.172000, 73.484, 163.5084
1.180000, 73.576, 163.1814
1.206000, 73.877, 162.2103
1.220000, 74.040, 161.7383
1.241000, 74.286, 161.0920
1.250000, 74.391, 160.8363
1.265000, 74.567, 160.4363
1.280000, 74.742, 160.0665
1.315000, 75.150, 159.3061
1.320000, 75.207, 159.2076
1.340000, 75.438, 158.8355
1.360000, 75.666, 158.4976
1.380000, 75.892, 158.0557
1.400000, 76.115, 157.5836
1.430000, 76.442, 156.9001
1.450000, 76.655, 156.4542
1.475000, 76.916, 155.9094
1.500000, 77.171, 155.3997
1.525000, 77.423, 154.9375
1.550000, 77.671, 154.5237
1.575000, 77.915, 154.0845
1.600000, 78.156, 153.5592
1.625000, 78.394, 153.0740
1.650000, 78.628, 152.6240
1.675000, 78.860, 152.2045
1.700000, 79.088, 151.8108
1.725000, 79.314, 151.4379
1.750000, 79.538, 151.0815
1.775000, 79.759, 150.6838
1.800000, 79.977, 150.1896
1.825000, 80.194, 149.7021
1.850000, 80.408, 149.2200
1.875000, 80.620, 148.7506
1.900000, 80.828, 148.2988
1.925000, 81.034, 147.8666
1.950000, 81.237, 147.4567
1.975000, 81.437, 147.0182
2.000000, 81.635, 146.5020
2.030000, 81.869, 145.9141
2.060000, 82.100, 145.3525
2.090000, 82.327, 144.8146
2.120000, 82.551, 144.2968
2.140000, 82.699, 143.9610
2.180000, 82.990, 143.2549
2.200000, 83.133, 142.8592
2.240000, 83.416, 142.0785
2.270000, 83.623, 141.5046
2.300000, 83.828, 140.9445
2.330000, 84.028, 140.4008
2.360000, 84.226, 139.8741
2.400000, 84.484, 139.0821
2.430000, 84.675, 138.4935
2.470000, 84.925, 137.7375
2.500000, 85.109, 137.1909
2.540000, 85.351, 136.4862
2.580000, 85.589, 135.7616
2.620000, 85.821, 134.9655
2.650000, 85.993, 134.3773
2.690000, 86.216, 133.6071
2.720000, 86.381, 133.0427
2.760000, 86.597, 132.3146
2.800000, 86.808, 131.5237
2.850000, 87.066, 130.5601
2.900000, 87.318, 129.6400
2.950000, 87.564, 128.7545
3.000000, 87.802, 127.8140
3.040000, 87.988, 127.0457
3.070000, 88.125, 126.4783
3.110000, 88.303, 125.7370
3.150000, 88.478, 125.0159
3.200000, 88.692, 124.0897
3.250000, 88.900, 123.1755
3.300000, 89.104, 122.2982
3.350000, 89.303, 121.4450
3.400000, 89.496, 120.5468
3.450000, 89.683, 119.6418
3.500000, 89.866, 118.7608
3.550000, 90.044, 117.9107
3.600000, 90.218, 117.0488
3.650000, 90.389, 116.2026
3.700000, 90.555, 115.3834
3.750000, 90.717, 114.5797
3.820000, 90.936, 113.4183
3.870000, 91.088, 112.5993
3.950000, 91.324, 111.3426
4.000000, 91.468, 110.5610
4.060000, 91.636, 109.6395
4.120000, 91.801, 108.7429
4.180000, 91.960, 107.8566
4.250000, 92.140, 106.8034
4.310000, 92.291, 105.9348
4.370000, 92.439, 105.0941
4.440000, 92.607, 104.1068
4.500000, 92.748, 103.2823
4.550000, 92.862, 102.6108
4.620000, 93.018, 101.6585
4.680000, 93.149, 100.8591
4.750000, 93.299, 99.9593
