* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -36.9 dBFS, measurement signal peak level -33.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -45.1 dBFS using an acoustic timing reference
* Dated: May 4, 2025 10:53:51 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0264 ms (-9.1 mm, -0.36 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -28.2 ppm
* Measurement: ON R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 71.536, 172.8314
1.015000, 71.722, 172.1189
1.030000, 71.905, 171.4283
1.044000, 72.074, 170.7959
1.060000, 72.263, 170.0798
1.075000, 72.434, 169.4084
1.090000, 72.600, 168.7329
1.106000, 72.772, 168.0161
1.120000, 72.924, 167.4136
1.138000, 73.121, 166.6932
1.150000, 73.255, 166.2501
1.172000, 73.506, 165.4267
1.180000, 73.598, 165.0598
1.206000, 73.901, 163.9656
1.220000, 74.066, 163.4317
1.241000, 74.316, 162.6984
1.250000, 74.423, 162.4075
1.265000, 74.603, 161.9513
1.280000, 74.783, 161.5287
1.315000, 75.202, 160.6564
1.320000, 75.262, 160.5433
1.340000, 75.500, 160.1151
1.360000, 75.735, 159.7252
1.380000, 75.968, 159.2353
1.400000, 76.197, 158.7187
1.430000, 76.533, 157.9741
1.450000, 76.750, 157.4907
1.475000, 77.014, 156.9020
1.500000, 77.273, 156.3508
1.525000, 77.528, 155.8492
1.550000, 77.779, 155.3982
1.575000, 78.027, 154.9241
1.600000, 78.271, 154.3662
1.625000, 78.511, 153.8506
1.650000, 78.748, 153.3724
1.675000, 78.983, 152.9267
1.700000, 79.214, 152.5088
1.725000, 79.443, 152.1134
1.750000, 79.668, 151.7362
1.775000, 79.892, 151.3192
1.800000, 80.113, 150.8070
1.825000, 80.332, 150.3028
1.850000, 80.548, 149.8049
1.875000, 80.761, 149.3204
1.900000, 80.971, 148.8539
1.925000, 81.179, 148.4078
1.950000, 81.383, 147.9846
1.975000, 81.585, 147.5336
2.000000, 81.784, 147.0057
2.030000, 82.020, 146.4047
2.060000, 82.252, 145.8312
2.090000, 82.481, 145.2823
2.120000, 82.706, 144.7547
2.140000, 82.855, 144.4129
2.180000, 83.147, 143.6961
2.200000, 83.292, 143.2957
2.240000, 83.576, 142.5061
2.270000, 83.784, 141.9260
2.300000, 83.989, 141.3601
2.330000, 84.191, 140.8110
2.360000, 84.389, 140.2793
2.400000, 84.649, 139.4813
2.430000, 84.840, 138.8887
2.470000, 85.091, 138.1282
2.500000, 85.276, 137.5787
2.540000, 85.519, 136.8710
2.580000, 85.757, 136.1442
2.620000, 85.990, 135.3464
2.650000, 86.162, 134.7572
2.690000, 86.386, 133.9859
2.720000, 86.551, 133.4211
2.760000, 86.768, 132.6926
2.800000, 86.979, 131.9015
2.850000, 87.238, 130.9383
2.900000, 87.490, 130.0190
2.950000, 87.736, 129.1348
3.000000, 87.976, 128.1962
3.040000, 88.162, 127.4298
3.070000, 88.299, 126.8640
3.110000, 88.478, 126.1248
3.150000, 88.653, 125.4060
3.200000, 88.867, 124.4826
3.250000, 89.076, 123.5711
3.300000, 89.281, 122.6964
3.350000, 89.480, 121.8460
3.400000, 89.673, 120.9508
3.450000, 89.861, 120.0489
3.500000, 90.044, 119.1710
3.550000, 90.223, 118.3238
3.600000, 90.398, 117.4644
3.650000, 90.569, 116.6202
3.700000, 90.736, 115.8028
3.750000, 90.898, 115.0008
3.820000, 91.118, 113.8416
3.870000, 91.271, 113.0238
3.950000, 91.508, 111.7683
4.000000, 91.652, 110.9868
4.060000, 91.822, 110.0647
4.120000, 91.987, 109.1668
4.180000, 92.147, 108.2788
4.250000, 92.328, 107.2231
4.310000, 92.480, 106.3516
4.370000, 92.628, 105.5074
4.440000, 92.797, 104.5152
4.500000, 92.938, 103.6857
4.550000, 93.053, 103.0097
4.620000, 93.210, 102.0504
4.680000, 93.341, 101.2447
4.750000, 93.491, 100.3372
4.820000, 93.638, 99.4264
4.870000, 93.741, 98.7836
4.940000, 93.882, 97.9042
5.000000, 94.000, 97.1503
5.080000, 94.153, 96.1580
5.150000, 94.285, 95.3175
5.220000, 94.413, 94.4726
5.300000, 94.555, 93.5204
5.380000, 94.694, 92.5900
5.450000, 94.812, 91.7738
5.520000, 94.928, 90.9803
5.600000, 95.057, 90.0808
5.700000, 95.214, 88.9624
5.800000, 95.365, 87.8710
5.900000, 95.512, 86.7944
6.000000, 95.653, 85.7391
6.080000, 95.763, 84.8984
6.150000, 95.857, 84.1825
6.220000, 95.948, 83.4673
6.300000, 96.050, 82.6653
6.400000, 96.174, 81.6790
6.500000, 96.294, 80.7037
6.600000, 96.410, 79.7535
6.700000, 96.522, 78.8158
6.800000, 96.631, 77.8976
6.900000, 96.737, 76.9913
7.000000, 96.840, 76.1075
7.100000, 96.940, 75.2350
7.200000, 97.037, 74.3809
7.300000, 97.132, 73.5380
7.400000, 97.224, 72.7134
7.500000, 97.314, 71.8976
7.620000, 97.420, 70.9387
7.750000, 97.530, 69.9225
7.880000, 97.637, 68.9190
8.000000, 97.733, 68.0140
8.120000, 97.825, 67.1224
8.250000, 97.923, 66.1720
8.380000, 98.017, 65.2406
8.500000, 98.101, 64.3931
8.620000, 98.183, 63.5597
8.750000, 98.268, 62.6722
8.850000, 98.332, 61.9988
9.000000, 98.424, 61.0093
9.120000, 98.496, 60.2310
9.250000, 98.571, 59.4030
9.380000, 98.643, 58.5925
9.500000, 98.708, 57.8546
9.620000, 98.772, 57.1322
9.750000, 98.838, 56.3636
9.880000, 98.895, 55.6077
10.000000, 98.936, 54.9265
10.150000, 98.974, 54.0672
10.300000, 99.005, 53.2326
10.440000, 99.028, 52.4750
10.600000, 99.051, 51.6325
10.750000, 99.074, 50.8637
10.900000, 99.098, 50.1139
11.060000, 99.122, 49.3164
11.200000, 99.143, 48.6093
11.380000, 99.167, 47.7203
11.500000, 99.182, 47.1396
11.720000, 99.209, 46.0999
11.800000, 99.219, 45.7298
12.060000, 99.253, 44.5437
12.200000, 99.272, 43.9014
12.410000, 99.301, 42.9639
12.500000, 99.313, 42.5719
12.650000, 99.331, 41.9316
12.800000, 99.348, 41.3071
13.150000, 99.386, 39.8828
13.200000, 99.392, 39.6806
13.400000, 99.415, 38.8856
13.600000, 99.439, 38.1105
13.800000, 99.463, 37.3528
14.000000, 99.488, 36.6086
14.300000, 99.521, 35.4847
14.500000, 99.542, 34.7524
14.750000, 99.566, 33.8593
15.000000, 99.589, 32.9916
15.250000, 99.615, 32.1262
15.500000, 99.642, 31.2874
15.750000, 99.667, 30.4749
16.000000, 99.691, 29.6852
16.250000, 99.715, 28.8942
16.500000, 99.738, 28.1203
16.750000, 99.760, 27.3627
17.000000, 99.783, 26.6194
17.250000, 99.805, 25.8773
17.500000, 99.826, 25.1511
17.750000, 99.846, 24.4435
18.000000, 99.864, 23.7530
18.250000, 99.881, 23.0675
18.500000, 99.897, 22.3983
18.750000, 99.913, 21.7460
19.000000, 99.929, 21.1094
19.250000, 99.945, 20.4745
19.500000, 99.961, 19.8531
19.750000, 99.978, 19.2441
20.000000, 99.993, 18.6458
20.299999, 100.010, 17.9258
20.600000, 100.027, 17.2175
20.900000, 100.041, 16.5215
21.200001, 100.053, 15.8314
21.400000, 100.060, 15.3781
21.799999, 100.071, 14.4967
22.000000, 100.076, 14.0680
22.400000, 100.085, 13.2197
22.700001, 100.092, 12.5969
23.000000, 100.099, 11.9809
23.299999, 100.105, 11.3636
23.600000, 100.110, 10.7525
24.000000, 100.115, 9.9534
24.299999, 100.117, 9.3632
24.700001, 100.120, 8.5997
25.000000, 100.122, 8.0436
25.400000, 100.125, 7.3092
25.799999, 100.129, 6.5870
26.200001, 100.132, 5.8699
26.500000, 100.133, 5.3358
26.900000, 100.134, 4.6360
27.200001, 100.134, 4.1173
27.600000, 100.134, 3.4354
28.000000, 100.133, 2.7661
28.500000, 100.130, 1.9398
29.000000, 100.125, 1.1336
29.500000, 100.119, 0.3425
30.000000, 100.112, -0.4300
30.400000, 100.104, -1.0409
30.700001, 100.097, -1.4919
31.100000, 100.086, -2.0836
31.500000, 100.075, -2.6654
32.000000, 100.061, -3.3751
32.500000, 100.048, -4.0771
33.000000, 100.035, -4.7732
33.500000, 100.020, -5.4659
34.000000, 100.005, -6.1458
34.500000, 99.990, -6.8121
35.000000, 99.976, -7.4641
35.500000, 99.961, -8.1080
36.000000, 99.946, -8.7408
36.500000, 99.930, -9.3633
37.000000, 99.914, -9.9730
37.500000, 99.898, -10.5762
38.200001, 99.873, -11.4105
38.700001, 99.855, -11.9999
39.500000, 99.822, -12.9257
40.000000, 99.801, -13.4905
40.599998, 99.776, -14.1580
41.200001, 99.750, -14.8152
41.799999, 99.724, -15.4674
42.500000, 99.692, -16.2192
43.099998, 99.666, -16.8459
43.700001, 99.640, -17.4554
44.400002, 99.612, -18.1536
45.000000, 99.588, -18.7515
45.500000, 99.568, -19.2512
46.200001, 99.538, -19.9437
46.799999, 99.511, -20.5248
47.500000, 99.480, -21.1854
48.200001, 99.448, -21.8318
48.700001, 99.426, -22.2882
49.400002, 99.394, -22.9208
50.000000, 99.365, -23.4535
50.799999, 99.328, -24.1496
51.500000, 99.294, -24.7520
52.200001, 99.261, -25.3505
53.000000, 99.221, -26.0220
53.799999, 99.181, -26.6799
54.500000, 99.146, -27.2524
55.200001, 99.109, -27.8207
56.000000, 99.066, -28.4545
57.000000, 99.014, -29.2251
58.000000, 98.961, -29.9853
59.000000, 98.908, -30.7305
60.000000, 98.854, -31.4574
60.799999, 98.812, -32.0302
61.500000, 98.774, -32.5258
62.200001, 98.736, -33.0140
63.000000, 98.693, -33.5625
64.000000, 98.639, -34.2394
65.000000, 98.585, -34.9028
66.000000, 98.532, -35.5561
67.000000, 98.478, -36.1987
68.000000, 98.424, -36.8287
69.000000, 98.368, -37.4461
70.000000, 98.313, -38.0500
71.000000, 98.258, -38.6441
72.000000, 98.203, -39.2343
73.000000, 98.148, -39.8168
74.000000, 98.092, -40.3883
75.000000, 98.036, -40.9490
76.199997, 97.971, -41.6066
77.500000, 97.901, -42.3073
78.800003, 97.830, -42.9922
80.000000, 97.765, -43.6129
81.199997, 97.701, -44.2216
82.500000, 97.631, -44.8671
83.800003, 97.562, -45.4986
85.000000, 97.499, -46.0696
86.199997, 97.438, -46.6329
87.500000, 97.371, -47.2340
88.500000, 97.320, -47.6889
90.000000, 97.244, -48.3555
91.199997, 97.183, -48.8811
92.500000, 97.118, -49.4408
93.800003, 97.054, -49.9896
95.000000, 96.994, -50.4868
96.199997, 96.935, -50.9728
97.500000, 96.870, -51.4917
98.800003, 96.806, -52.0026
100.000000, 96.746, -52.4644
101.500000, 96.673, -53.0298
103.000000, 96.599, -53.5886
104.400002, 96.532, -54.1005
106.000000, 96.455, -54.6765
107.500000, 96.383, -55.2106
109.000000, 96.312, -55.7333
110.599998, 96.236, -56.2796
