* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -48.8 dBFS, measurement signal peak level -30.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -28.8 dBFS using an acoustic timing reference
* Dated: Jul 16, 2025 7:39:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.0538 ms (-18 mm, -0.73 in) using estimated IR delay relative to Acoustic reference played from Master Volume L with no timing offset Clock adjustment: -27.5 ppm
* Measurement: 50 Ohm L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 71.742, -155.5103
1.015000, 71.769, -155.9169
1.030000, 71.804, -156.3352
1.044000, 71.845, -156.7389
1.060000, 71.901, -157.2187
1.075000, 71.965, -157.6884
1.090000, 72.041, -158.1767
1.106000, 72.134, -158.7015
1.120000, 72.224, -159.1340
1.138000, 72.351, -159.6320
1.150000, 72.442, -159.9270
1.172000, 72.621, -160.4857
1.180000, 72.689, -160.7601
1.206000, 72.923, -161.5719
1.220000, 73.055, -161.9674
1.241000, 73.262, -162.5137
1.250000, 73.353, -162.7324
1.265000, 73.507, -163.0790
1.280000, 73.665, -163.4059
1.315000, 74.042, -164.1079
1.320000, 74.097, -164.2028
1.340000, 74.316, -164.5722
1.360000, 74.537, -164.9254
1.380000, 74.757, -165.3996
1.400000, 74.976, -165.9197
1.430000, 75.299, -166.7021
1.450000, 75.509, -167.2285
1.475000, 75.766, -167.8759
1.500000, 76.023, -168.4624
1.525000, 76.283, -168.9688
1.550000, 76.545, -169.4021
1.575000, 76.810, -169.8444
1.600000, 77.076, -170.3638
1.625000, 77.343, -170.8403
1.650000, 77.610, -171.2838
1.675000, 77.877, -171.7031
1.700000, 78.144, -172.1064
1.725000, 78.409, -172.5011
1.750000, 78.672, -172.8932
1.775000, 78.933, -173.3420
1.800000, 79.191, -173.9030
1.825000, 79.446, -174.4698
1.850000, 79.698, -175.0299
1.875000, 79.948, -175.5599
1.900000, 80.198, -176.0529
1.925000, 80.446, -176.5108
1.950000, 80.693, -176.9360
1.975000, 80.938, -177.3837
2.000000, 81.182, -177.9068
2.030000, 81.472, -178.5051
2.060000, 81.759, -179.0838
2.090000, 82.044, -179.6502
2.120000, 82.325, 179.7889
2.140000, 82.511, 179.4150
2.180000, 82.877, 178.6086
2.200000, 83.058, 178.1541
2.240000, 83.415, 177.2628
2.270000, 83.680, 176.6221
2.300000, 83.941, 176.0074
2.330000, 84.198, 175.4171
2.360000, 84.453, 174.8478
2.400000, 84.788, 173.9985
2.430000, 85.036, 173.3624
2.470000, 85.362, 172.5307
2.500000, 85.603, 171.9146
2.540000, 85.919, 171.0969
2.580000, 86.231, 170.2414
2.620000, 86.536, 169.3165
2.650000, 86.762, 168.6387
2.690000, 87.059, 167.7567
2.720000, 87.277, 167.1119
2.760000, 87.565, 166.2774
2.800000, 87.847, 165.3761
2.850000, 88.192, 164.2622
2.900000, 88.530, 163.1703
2.950000, 88.860, 162.0916
3.000000, 89.182, 160.9536
3.040000, 89.434, 160.0304
3.070000, 89.619, 159.3486
3.110000, 89.862, 158.4557
3.150000, 90.101, 157.5823
3.200000, 90.392, 156.4612
3.250000, 90.678, 155.3417
3.300000, 90.957, 154.2454
3.350000, 91.229, 153.1635
3.400000, 91.494, 152.0338
3.450000, 91.753, 150.8971
3.500000, 92.005, 149.7846
3.550000, 92.251, 148.7019
3.600000, 92.491, 147.6039
3.650000, 92.726, 146.5153
3.700000, 92.956, 145.4463
3.750000, 93.180, 144.3870
3.820000, 93.483, 142.8636
3.870000, 93.693, 141.7854
3.950000, 94.020, 140.1147
4.000000, 94.218, 139.0737
4.060000, 94.451, 137.8373
4.120000, 94.676, 136.6196
4.180000, 94.895, 135.4084
4.250000, 95.143, 133.9763
4.310000, 95.350, 132.7853
4.370000, 95.551, 131.6253
4.440000, 95.780, 130.2654
4.500000, 95.970, 129.1182
4.550000, 96.125, 128.1765
4.620000, 96.335, 126.8477
4.680000, 96.511, 125.7298
4.750000, 96.712, 124.4642
4.820000, 96.907, 123.1983
4.870000, 97.044, 122.3016
4.940000, 97.230, 121.0676
5.000000, 97.385, 120.0128
5.080000, 97.587, 118.6262
5.150000, 97.760, 117.4468
5.220000, 97.928, 116.2653
5.300000, 98.114, 114.9304
5.380000, 98.295, 113.6214
5.450000, 98.449, 112.4785
5.520000, 98.600, 111.3626
5.600000, 98.768, 110.0972
5.700000, 98.971, 108.5244
5.800000, 99.167, 106.9844
5.900000, 99.357, 105.4650
6.000000, 99.540, 103.9689
6.080000, 99.682, 102.7773
6.150000, 99.802, 101.7566
6.220000, 99.920, 100.7394
6.300000, 100.052, 99.5934
6.400000, 100.210, 98.1777
6.500000, 100.364, 96.7758
6.600000, 100.512, 95.4039
6.700000, 100.655, 94.0466
6.800000, 100.792, 92.7103
6.900000, 100.925, 91.3903
7.000000, 101.054, 90.0980
7.100000, 101.179, 88.8189
7.200000, 101.299, 87.5613
7.300000, 101.416, 86.3206
7.400000, 101.529, 85.1036
7.500000, 101.638, 83.8991
7.620000, 101.765, 82.4795
7.750000, 101.897, 80.9734
7.880000, 102.024, 79.4879
8.000000, 102.137, 78.1450
8.120000, 102.246, 76.8231
8.250000, 102.360, 75.4124
8.380000, 102.470, 74.0278
8.500000, 102.568, 72.7685
8.620000, 102.662, 71.5284
8.750000, 102.761, 70.2059
8.850000, 102.834, 69.2008
9.000000, 102.940, 67.7180
9.120000, 103.021, 66.5496
9.250000, 103.106, 65.3024
9.380000, 103.188, 64.0757
9.500000, 103.261, 62.9572
9.620000, 103.332, 61.8565
9.750000, 103.405, 60.6805
9.880000, 103.467, 59.5200
10.000000, 103.513, 58.4682
10.150000, 103.556, 57.1504
10.300000, 103.590, 55.8640
10.440000, 103.614, 54.6905
10.600000, 103.637, 53.3811
10.750000, 103.659, 52.1846
10.900000, 103.680, 51.0163
11.060000, 103.702, 49.7847
11.200000, 103.718, 48.7077
11.380000, 103.738, 47.3566
11.500000, 103.749, 46.4759
11.720000, 103.770, 44.9001
11.800000, 103.778, 44.3390
12.060000, 103.805, 42.5422
12.200000, 103.821, 41.5750
12.410000, 103.844, 40.1526
12.500000, 103.853, 39.5532
12.650000, 103.867, 38.5670
12.800000, 103.880, 37.5968
13.150000, 103.902, 35.3705
13.200000, 103.905, 35.0549
13.400000, 103.916, 33.8112
13.600000, 103.927, 32.5979
13.800000, 103.936, 31.4155
14.000000, 103.943, 30.2613
14.300000, 103.951, 28.5497
14.500000, 103.955, 27.4418
14.750000, 103.958, 26.0923
15.000000, 103.961, 24.7775
15.250000, 103.967, 23.4698
15.500000, 103.973, 22.1909
15.750000, 103.977, 20.9406
16.000000, 103.979, 19.7169
16.250000, 103.979, 18.4980
16.500000, 103.977, 17.3041
16.750000, 103.973, 16.1345
17.000000, 103.970, 14.9863
17.250000, 103.966, 13.8445
17.500000, 103.961, 12.7222
17.750000, 103.954, 11.6211
18.000000, 103.944, 10.5403
