* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -51.1 dBFS, measurement signal peak level -32.8 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -28.8 dBFS using an acoustic timing reference
* Dated: Jul 16, 2025 7:44:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.0527 ms (-18 mm, -0.71 in) using estimated IR delay relative to Acoustic reference played from Master Volume R with no timing offset Clock adjustment: -27.6 ppm
* Measurement: 75 Ohm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 68.143, -154.6107
1.015000, 68.201, -155.0753
1.030000, 68.265, -155.5497
1.044000, 68.332, -156.0043
1.060000, 68.417, -156.5406
1.075000, 68.506, -157.0618
1.090000, 68.605, -157.5995
1.106000, 68.721, -158.1722
1.120000, 68.831, -158.6383
1.138000, 68.982, -159.1664
1.150000, 69.089, -159.4741
1.172000, 69.295, -160.0433
1.180000, 69.374, -160.3179
1.206000, 69.640, -161.1207
1.220000, 69.789, -161.5064
1.241000, 70.019, -162.0334
1.250000, 70.121, -162.2427
1.265000, 70.292, -162.5724
1.280000, 70.466, -162.8816
1.315000, 70.879, -163.5417
1.320000, 70.939, -163.6307
1.340000, 71.179, -163.9774
1.360000, 71.419, -164.3095
1.380000, 71.658, -164.7645
1.400000, 71.894, -165.2677
1.430000, 72.243, -166.0292
1.450000, 72.469, -166.5445
1.475000, 72.746, -167.1790
1.500000, 73.022, -167.7483
1.525000, 73.299, -168.2323
1.550000, 73.578, -168.6391
1.575000, 73.858, -169.0528
1.600000, 74.138, -169.5427
1.625000, 74.418, -169.9897
1.650000, 74.698, -170.4048
1.675000, 74.977, -170.7975
1.700000, 75.254, -171.1763
1.725000, 75.530, -171.5490
1.750000, 75.804, -171.9219
1.775000, 76.075, -172.3544
1.800000, 76.343, -172.9022
1.825000, 76.607, -173.4584
1.850000, 76.869, -174.0092
1.875000, 77.129, -174.5290
1.900000, 77.387, -175.0107
1.925000, 77.643, -175.4566
1.950000, 77.898, -175.8696
1.975000, 78.150, -176.3051
2.000000, 78.401, -176.8165
2.030000, 78.699, -177.4016
2.060000, 78.994, -177.9687
2.090000, 79.286, -178.5252
2.120000, 79.574, -179.0783
2.140000, 79.764, -179.4483
2.180000, 80.140, 179.7501
2.200000, 80.325, 179.2966
2.240000, 80.691, 178.4063
2.270000, 80.961, 177.7665
2.300000, 81.227, 177.1525
2.330000, 81.490, 176.5630
2.360000, 81.750, 175.9943
2.400000, 82.092, 175.1454
2.430000, 82.344, 174.5089
2.470000, 82.675, 173.6757
2.500000, 82.920, 173.0574
2.540000, 83.242, 172.2355
2.580000, 83.558, 171.3740
2.620000, 83.869, 170.4421
2.650000, 84.098, 169.7587
2.690000, 84.399, 168.8690
2.720000, 84.621, 168.2185
2.760000, 84.912, 167.3763
2.800000, 85.197, 166.4672
2.850000, 85.547, 165.3435
2.900000, 85.889, 164.2415
2.950000, 86.222, 163.1519
3.000000, 86.548, 162.0020
3.040000, 86.802, 161.0690
3.070000, 86.989, 160.3797
3.110000, 87.234, 159.4769
3.150000, 87.474, 158.5940
3.200000, 87.768, 157.4614
3.250000, 88.056, 156.3312
3.300000, 88.336, 155.2247
3.350000, 88.610, 154.1326
3.400000, 88.877, 152.9925
3.450000, 89.137, 151.8453
3.500000, 89.390, 150.7228
3.550000, 89.637, 149.6309
3.600000, 89.878, 148.5245
3.650000, 90.114, 147.4288
3.700000, 90.345, 146.3535
3.750000, 90.569, 145.2882
3.820000, 90.873, 143.7568
3.870000, 91.084, 142.6736
3.950000, 91.411, 140.9964
4.000000, 91.610, 139.9525
4.060000, 91.843, 138.7141
4.120000, 92.069, 137.4954
4.180000, 92.288, 136.2842
4.250000, 92.537, 134.8529
4.310000, 92.744, 133.6633
4.370000, 92.946, 132.5054
4.440000, 93.176, 131.1492
4.500000, 93.367, 130.0064
4.550000, 93.522, 129.0689
4.620000, 93.734, 127.7466
4.680000, 93.911, 126.6342
4.750000, 94.114, 125.3747
4.820000, 94.311, 124.1152
4.870000, 94.449, 123.2236
4.940000, 94.637, 121.9970
5.000000, 94.795, 120.9484
5.080000, 95.000, 119.5685
5.150000, 95.175, 118.3936
5.220000, 95.347, 117.2159
5.300000, 95.537, 115.8849
5.380000, 95.722, 114.5785
5.450000, 95.880, 113.4361
5.520000, 96.035, 112.3185
5.600000, 96.207, 111.0492
5.700000, 96.416, 109.4695
5.800000, 96.617, 107.9194
5.900000, 96.813, 106.3860
6.000000, 97.001, 104.8724
6.080000, 97.147, 103.6646
6.150000, 97.272, 102.6287
6.220000, 97.393, 101.5950
6.300000, 97.528, 100.4287
6.400000, 97.691, 98.9850
6.500000, 97.848, 97.5536
6.600000, 98.000, 96.1515
6.700000, 98.146, 94.7631
6.800000, 98.287, 93.3946
6.900000, 98.422, 92.0425
7.000000, 98.553, 90.7187
7.100000, 98.680, 89.4084
7.200000, 98.802, 88.1198
7.300000, 98.920, 86.8489
7.400000, 99.034, 85.6029
7.500000, 99.144, 84.3701
7.620000, 99.272, 82.9173
7.750000, 99.405, 81.3765
7.880000, 99.533, 79.8572
8.000000, 99.647, 78.4836
8.120000, 99.757, 77.1315
8.250000, 99.872, 75.6882
8.380000, 99.983, 74.2713
