* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -35.3 dBFS, measurement signal peak level -24.7 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -28.8 dBFS using an acoustic timing reference
* Dated: Jul 16, 2025 7:35:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.0597 ms (-20 mm, -0.81 in) using estimated IR delay relative to Acoustic reference played from Master Volume L with no timing offset Clock adjustment: -27.4 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 76.955, -160.9657
1.015000, 76.955, -161.1425
1.030000, 76.964, -161.3393
1.044000, 76.980, -161.5426
1.060000, 77.009, -161.7997
1.075000, 77.049, -162.0656
1.090000, 77.100, -162.3539
1.106000, 77.168, -162.6696
1.120000, 77.237, -162.9238
1.138000, 77.338, -163.2007
1.150000, 77.411, -163.3542
1.172000, 77.560, -163.6660
1.180000, 77.617, -163.8546
1.206000, 77.818, -164.4032
1.220000, 77.934, -164.6664
1.241000, 78.116, -165.0260
1.250000, 78.197, -165.1689
1.265000, 78.335, -165.3943
1.280000, 78.476, -165.6063
1.315000, 78.818, -166.0624
1.320000, 78.868, -166.1244
1.340000, 79.069, -166.3677
1.360000, 79.272, -166.6025
1.380000, 79.475, -166.9650
1.400000, 79.678, -167.3796
1.430000, 79.977, -168.0131
1.450000, 80.172, -168.4455
1.475000, 80.411, -168.9802
1.500000, 80.652, -169.4586
1.525000, 80.898, -169.8620
1.550000, 81.147, -170.1974
1.575000, 81.401, -170.5473
1.600000, 81.657, -170.9792
1.625000, 81.915, -171.3731
1.650000, 82.174, -171.7383
1.675000, 82.435, -172.0832
1.700000, 82.695, -172.4154
1.725000, 82.954, -172.7418
1.750000, 83.212, -173.0680
1.775000, 83.467, -173.4527
1.800000, 83.720, -173.9508
1.825000, 83.970, -174.4556
1.850000, 84.217, -174.9538
1.875000, 84.463, -175.4216
1.900000, 84.708, -175.8527
1.925000, 84.953, -176.2496
1.950000, 85.198, -176.6150
1.975000, 85.441, -177.0043
2.000000, 85.683, -177.4707
2.030000, 85.971, -178.0031
2.060000, 86.258, -178.5184
2.090000, 86.541, -179.0237
2.120000, 86.822, -179.5253
2.140000, 87.007, -179.8608
2.180000, 87.373, 179.4081
2.200000, 87.553, 178.9907
2.240000, 87.909, 178.1744
2.270000, 88.173, 177.5906
2.300000, 88.434, 177.0326
2.330000, 88.693, 176.4984
2.360000, 88.948, 175.9842
2.400000, 89.284, 175.2065
2.430000, 89.533, 174.6222
2.470000, 89.860, 173.8575
2.500000, 90.102, 173.2899
2.540000, 90.421, 172.5351
2.580000, 90.733, 171.7413
2.620000, 91.041, 170.8789
2.650000, 91.268, 170.2484
2.690000, 91.567, 169.4294
2.720000, 91.787, 168.8314
2.760000, 92.077, 168.0580
2.800000, 92.361, 167.2161
2.850000, 92.710, 166.1737
2.900000, 93.051, 165.1502
2.950000, 93.384, 164.1378
3.000000, 93.709, 163.0665
3.040000, 93.963, 162.1971
3.070000, 94.151, 161.5555
3.110000, 94.396, 160.7156
3.150000, 94.638, 159.8941
3.200000, 94.933, 158.8357
3.250000, 95.221, 157.7763
3.300000, 95.504, 156.7378
3.350000, 95.780, 155.7132
3.400000, 96.048, 154.6410
3.450000, 96.310, 153.5617
3.500000, 96.566, 152.5056
3.550000, 96.815, 151.4778
3.600000, 97.059, 150.4327
3.650000, 97.298, 149.3950
3.700000, 97.531, 148.3755
3.750000, 97.758, 147.3656
3.820000, 98.066, 145.9108
3.870000, 98.280, 144.8809
3.950000, 98.611, 143.2849
4.000000, 98.813, 142.2887
4.060000, 99.049, 141.1045
4.120000, 99.279, 139.9382
4.180000, 99.502, 138.7780
4.250000, 99.754, 137.4044
4.310000, 99.964, 136.2625
4.370000, 100.169, 135.1502
4.440000, 100.401, 133.8445
4.500000, 100.595, 132.7432
4.550000, 100.752, 131.8394
4.620000, 100.966, 130.5633
4.680000, 101.145, 129.4898
4.750000, 101.349, 128.2753
4.820000, 101.548, 127.0600
4.870000, 101.686, 126.1993
4.940000, 101.875, 125.0155
5.000000, 102.034, 124.0037
5.080000, 102.239, 122.6739
5.150000, 102.415, 121.5441
5.220000, 102.585, 120.4125
5.300000, 102.775, 119.1349
5.380000, 102.959, 117.8832
