* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -34.6 dBFS, measurement signal peak level -29.8 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -27.6 dBFS using an acoustic timing reference
* Dated: Apr 3, 2025 7:10:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.0642 ms (-22 mm, -0.87 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -28.7 ppm
* Measurement: ASMR L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 63.238, -155.0043
1.015000, 63.506, -155.7672
1.030000, 63.770, -156.4879
1.044000, 64.009, -157.1305
1.060000, 64.273, -157.8374
1.075000, 64.508, -158.4793
1.090000, 64.730, -159.1027
1.106000, 64.955, -159.7283
1.120000, 65.150, -160.2070
1.138000, 65.404, -160.7098
1.150000, 65.576, -160.9791
1.172000, 65.894, -161.4431
1.180000, 66.011, -161.6704
1.206000, 66.394, -162.2941
1.220000, 66.602, -162.5710
1.241000, 66.915, -162.9227
1.250000, 67.050, -163.0534
1.265000, 67.275, -163.2482
1.280000, 67.500, -163.4184
1.315000, 68.022, -163.7412
1.320000, 68.097, -163.7807
1.340000, 68.392, -163.9264
1.360000, 68.685, -164.0528
1.380000, 68.975, -164.2970
1.400000, 69.260, -164.5844
1.430000, 69.677, -165.0113
1.450000, 69.948, -165.2960
1.475000, 70.278, -165.6339
1.500000, 70.600, -165.9024
1.525000, 70.917, -166.0869
1.550000, 71.228, -166.1997
1.575000, 71.535, -166.3265
1.600000, 71.836, -166.5378
1.625000, 72.134, -166.7145
1.650000, 72.427, -166.8671
1.675000, 72.716, -167.0041
1.700000, 73.003, -167.1329
1.725000, 73.286, -167.2601
1.750000, 73.566, -167.3906
1.775000, 73.845, -167.5823
1.800000, 74.121, -167.8894
1.825000, 74.396, -168.2040
1.850000, 74.668, -168.5118
1.875000, 74.937, -168.7892
