* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -34.9 dBFS, measurement signal peak level -29.8 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -27.6 dBFS using an acoustic timing reference
* Dated: Apr 3, 2025 7:23:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.0637 ms (-22 mm, -0.86 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -28.9 ppm
* Measurement: ASMR R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 63.950, -155.2858
1.015000, 63.978, -155.1712
1.030000, 64.015, -155.1155
1.044000, 64.058, -155.1160
1.060000, 64.117, -155.1768
1.075000, 64.183, -155.2892
1.090000, 64.259, -155.4472
1.106000, 64.353, -155.6297
1.120000, 64.448, -155.7457
1.138000, 64.586, -155.8041
1.150000, 64.688, -155.7905
1.172000, 64.894, -155.7655
1.180000, 64.974, -155.8251
1.206000, 65.254, -155.9437
1.220000, 65.415, -155.9752
1.241000, 65.670, -155.9955
1.250000, 65.782, -155.9980
1.265000, 65.975, -155.9982
1.280000, 66.173, -155.9978
1.315000, 66.649, -156.0172
1.320000, 66.718, -156.0242
1.340000, 66.996, -156.0672
1.360000, 67.276, -156.1339
1.380000, 67.555, -156.3607
1.400000, 67.832, -156.6718
1.430000, 68.237, -157.2082
1.450000, 68.499, -157.6110
1.475000, 68.817, -158.1284
1.500000, 69.135, -158.5709
1.525000, 69.458, -158.9081
1.550000, 69.784, -159.1553
1.575000, 70.114, -159.4043
1.600000, 70.446, -159.7305
1.625000, 70.778, -160.0197
1.650000, 71.112, -160.2866
1.675000, 71.445, -160.5430
1.700000, 71.776, -160.7994
1.725000, 72.105, -161.0647
1.750000, 72.431, -161.3457
1.775000, 72.752, -161.7017
1.800000, 73.069, -162.1879
1.825000, 73.380, -162.6947
1.850000, 73.686, -163.1986
1.875000, 73.990, -163.6632
1.900000, 74.291, -164.0801
1.925000, 74.590, -164.4544
1.950000, 74.886, -164.7916
1.975000, 75.179, -165.1495
2.000000, 75.470, -165.5836
2.030000, 75.816, -166.0787
2.060000, 76.157, -166.5609
2.090000, 76.493, -167.0392
2.120000, 76.825, -167.5222
2.140000, 77.043, -167.8503
2.180000, 77.473, -168.5798
2.200000, 77.685, -169.0015
2.240000, 78.101, -169.8276
2.270000, 78.407, -170.4147
2.300000, 78.709, -170.9724
2.330000, 79.006, -171.5033
2.360000, 79.298, -172.0119
2.400000, 79.681, -172.7803
2.430000, 79.963, -173.3570
2.470000, 80.333, -174.1125
2.500000, 80.606, -174.6745
2.540000, 80.964, -175.4247
2.580000, 81.314, -176.2173
2.620000, 81.658, -177.0798
2.650000, 81.910, -177.7098
2.690000, 82.240, -178.5265
2.720000, 82.482, -179.1209
2.760000, 82.800, -179.8867
2.800000, 83.110, 179.2824
2.850000, 83.490, 178.2589
2.900000, 83.860, 177.2597
2.950000, 84.221, 176.2755
3.000000, 84.571, 175.2335
3.040000, 84.843, 174.3885
3.070000, 85.044, 173.7663
3.110000, 85.305, 172.9545
3.150000, 85.561, 172.1647
3.200000, 85.874, 171.1520
3.250000, 86.179, 170.1463
3.300000, 86.477, 169.1697
3.350000, 86.767, 168.2128
3.400000, 87.049, 167.2119
3.450000, 87.323, 166.2074
3.500000, 87.589, 165.2306
3.550000, 87.848, 164.2873
3.600000, 88.102, 163.3332
3.650000, 88.351, 162.3942
3.700000, 88.593, 161.4816
3.750000, 88.829, 160.5853
3.820000, 89.149, 159.2984
3.870000, 89.370, 158.3930
3.950000, 89.715, 157.0030
4.000000, 89.926, 156.1399
4.060000, 90.174, 155.1227
4.120000, 90.415, 154.1339
4.180000, 90.649, 153.1594
4.250000, 90.916, 152.0064
4.310000, 91.140, 151.0531
4.370000, 91.360, 150.1272
4.440000, 91.612, 149.0406
4.500000, 91.822, 148.1340
4.550000, 91.995, 147.3957
4.620000, 92.232, 146.3501
4.680000, 92.431, 145.4678
4.750000, 92.661, 144.4650
4.820000, 92.887, 143.4543
4.870000, 93.045, 142.7400
4.940000, 93.264, 141.7591
5.000000, 93.448, 140.9147
5.080000, 93.690, 139.7918
5.150000, 93.897, 138.8253
5.220000, 94.101, 137.8465
5.300000, 94.329, 136.7342
5.380000, 94.551, 135.6349
5.450000, 94.742, 134.6611
5.520000, 94.928, 133.6991
5.600000, 95.137, 132.5946
5.700000, 95.389, 131.2067
5.800000, 95.633, 129.8350
5.900000, 95.868, 128.4664
6.000000, 96.094, 127.1038
6.080000, 96.268, 126.0111
6.150000, 96.416, 125.0746
6.220000, 96.560, 124.1407
6.300000, 96.719, 123.0879
6.400000, 96.910, 121.7850
6.500000, 97.093, 120.4979
6.600000, 97.270, 119.2491
6.700000, 97.439, 118.0234
6.800000, 97.602, 116.8255
6.900000, 97.759, 115.6532
7.000000, 97.912, 114.5205
7.100000, 98.061, 113.4134
7.200000, 98.206, 112.3369
7.300000, 98.348, 111.2837
7.400000, 98.488, 110.2616
7.500000, 98.626, 109.2598
7.620000, 98.788, 108.0862
7.750000, 98.962, 106.8423
7.880000, 99.134, 105.6173
8.000000, 99.290, 104.5067
8.120000, 99.444, 103.4030
8.250000, 99.607, 102.2152
8.380000, 99.768, 101.0375
8.500000, 99.912, 99.9523
8.620000, 100.052, 98.8718
8.750000, 100.200, 97.7090
8.850000, 100.310, 96.8179
9.000000, 100.468, 95.4931
9.120000, 100.589, 94.4443
9.250000, 100.716, 93.3229
9.380000, 100.837, 92.2183
9.500000, 100.945, 91.2124
9.620000, 101.050, 90.2259
9.750000, 101.157, 89.1750
9.880000, 101.254, 88.1421
10.000000, 101.329, 87.2110
10.150000, 101.409, 86.0475
10.300000, 101.477, 84.9192
10.440000, 101.533, 83.8966
10.600000, 101.591, 82.7645
10.750000, 101.645, 81.7390
10.900000, 101.696, 80.7474
11.060000, 101.749, 79.7117
11.200000, 101.793, 78.8128
11.380000, 101.847, 77.6992
11.500000, 101.882, 76.9823
11.720000, 101.947, 75.7130
11.800000, 101.971, 75.2640
12.060000, 102.053, 73.8280
12.200000, 102.100, 73.0470
12.410000, 102.170, 71.8901
12.500000, 102.199, 71.3980
12.650000, 102.246, 70.5820
12.800000, 102.290, 69.7742
13.150000, 102.379, 67.9104
13.200000, 102.391, 67.6475
13.400000, 102.435, 66.6212
13.600000, 102.477, 65.6425
13.800000, 102.520, 64.7149
14.000000, 102.563, 63.8296
14.300000, 102.634, 62.5240
14.500000, 102.687, 61.6640
14.750000, 102.755, 60.5728
15.000000, 102.824, 59.4470
15.250000, 102.890, 58.2662
15.500000, 102.944, 57.0854
15.750000, 102.986, 55.9459
16.000000, 103.017, 54.8892
16.250000, 103.045, 53.9149
16.500000, 103.078, 53.0356
16.750000, 103.123, 52.2149
17.000000, 103.184, 51.3931
17.250000, 103.254, 50.5065
17.500000, 103.325, 49.5395
17.750000, 103.386, 48.5023
18.000000, 103.429, 47.4345
18.250000, 103.452, 46.3837
18.500000, 103.459, 45.4231
18.750000, 103.457, 44.5912
19.000000, 103.457, 43.8940
19.250000, 103.470, 43.2852
19.500000, 103.497, 42.7215
19.750000, 103.536, 42.1470
20.000000, 103.581, 41.5218
20.299999, 103.631, 40.6866
20.600000, 103.665, 39.8195
20.900000, 103.681, 38.9955
21.200001, 103.688, 38.2664
21.400000, 103.693, 37.8414
21.799999, 103.718, 37.0865
22.000000, 103.740, 36.7128
22.400000, 103.795, 35.8685
22.700001, 103.832, 35.1423
23.000000, 103.857, 34.3732
23.299999, 103.867, 33.6154
23.600000, 103.868, 32.9243
24.000000, 103.874, 32.1185
24.299999, 103.890, 31.5457
24.700001, 103.924, 30.7308
25.000000, 103.950, 30.0452
25.400000, 103.970, 29.0555
25.799999, 103.966, 28.0973
26.200001, 103.951, 27.2665
26.500000, 103.944, 26.7345
26.900000, 103.950, 26.0907
27.200001, 103.966, 25.5984
27.600000, 103.991, 24.8839
28.000000, 104.011, 24.1214
28.500000, 104.021, 23.1887
29.000000, 104.024, 22.3660
29.500000, 104.036, 21.6242
