* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -34.8 dBFS, measurement signal peak level -29.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -27.6 dBFS using an acoustic timing reference
* Dated: Apr 3, 2025 7:13:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.0571 ms (-20 mm, -0.77 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -28.7 ppm
* Measurement: Baroque L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 64.287, -156.4286
1.015000, 64.371, -156.6638
1.030000, 64.461, -156.9236
1.044000, 64.552, -157.1891
1.060000, 64.664, -157.5200
1.075000, 64.779, -157.8562
1.090000, 64.904, -158.2124
1.106000, 65.047, -158.5865
1.120000, 65.182, -158.8641
1.138000, 65.364, -159.1280
1.150000, 65.492, -159.2492
1.172000, 65.737, -159.4642
1.180000, 65.830, -159.6079
1.206000, 66.141, -159.9855
1.220000, 66.315, -160.1457
1.241000, 66.583, -160.3428
1.250000, 66.700, -160.4147
1.265000, 66.897, -160.5214
1.280000, 67.098, -160.6157
1.315000, 67.572, -160.8083
1.320000, 67.640, -160.8345
1.340000, 67.914, -160.9397
1.360000, 68.187, -161.0459
1.380000, 68.459, -161.2896
1.400000, 68.728, -161.5952
1.430000, 69.124, -162.0832
1.450000, 69.381, -162.4289
1.475000, 69.694, -162.8570
1.500000, 70.006, -163.2118
1.525000, 70.319, -163.4715
1.550000, 70.632, -163.6502
1.575000, 70.945, -163.8364
1.600000, 71.258, -164.1031
1.625000, 71.570, -164.3338
1.650000, 71.881, -164.5407
1.675000, 72.191, -164.7344
1.700000, 72.498, -164.9236
1.725000, 72.803, -165.1161
1.750000, 73.106, -165.3176
1.775000, 73.405, -165.5869
1.800000, 73.700, -165.9785
1.825000, 73.992, -166.3837
1.850000, 74.280, -166.7837
1.875000, 74.565, -167.1483
1.900000, 74.848, -167.4713
1.925000, 75.129, -167.7572
1.950000, 75.407, -168.0106
1.975000, 75.683, -168.2887
2.000000, 75.956, -168.6458
2.030000, 76.280, -169.0512
2.060000, 76.600, -169.4449
2.090000, 76.916, -169.8348
2.120000, 77.229, -170.2279
2.140000, 77.435, -170.4947
2.180000, 77.841, -171.0971
2.200000, 78.041, -171.4531
2.240000, 78.436, -172.1464
2.270000, 78.727, -172.6356
2.300000, 79.015, -173.0979
2.330000, 79.298, -173.5365
2.360000, 79.577, -173.9561
2.400000, 79.943, -174.6103
2.430000, 80.214, -175.1046
2.470000, 80.569, -175.7535
2.500000, 80.831, -176.2375
2.540000, 81.176, -176.8850
2.580000, 81.515, -177.5743
2.620000, 81.847, -178.3316
2.650000, 82.092, -178.8823
2.690000, 82.412, -179.5944
2.720000, 82.649, 179.8876
2.760000, 82.959, 179.2202
2.800000, 83.263, 178.4828
2.850000, 83.636, 177.5688
2.900000, 84.000, 176.6712
2.950000, 84.356, 175.7841
3.000000, 84.702, 174.8401
3.040000, 84.973, 174.0744
3.070000, 85.172, 173.5109
3.110000, 85.434, 172.7753
3.150000, 85.690, 172.0579
3.200000, 86.003, 171.1288
3.250000, 86.310, 170.1978
3.300000, 86.610, 169.2877
3.350000, 86.903, 168.3940
3.400000, 87.188, 167.4562
3.450000, 87.466, 166.5133
3.500000, 87.738, 165.5942
3.550000, 88.003, 164.7028
3.600000, 88.263, 163.7931
3.650000, 88.517, 162.8900
3.700000, 88.766, 162.0067
3.750000, 89.009, 161.1367
3.820000, 89.339, 159.8823
3.870000, 89.568, 158.9962
3.950000, 89.925, 157.6273
4.000000, 90.143, 156.7700
4.060000, 90.399, 155.7516
4.120000, 90.648, 154.7548
4.180000, 90.891, 153.7674
4.250000, 91.167, 152.5948
