* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -34.7 dBFS, measurement signal peak level -29.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -27.6 dBFS using an acoustic timing reference
* Dated: Apr 3, 2025 7:36:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.0616 ms (-21 mm, -0.83 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -29.1 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 65.834, -140.0060
1.015000, 65.757, -139.8896
1.030000, 65.692, -139.8397
1.044000, 65.643, -139.8539
1.060000, 65.601, -139.9424
1.075000, 65.576, -140.0948
1.090000, 65.568, -140.3094
1.106000, 65.576, -140.5789
1.120000, 65.598, -140.8027
1.138000, 65.644, -141.0437
1.150000, 65.685, -141.1750
1.172000, 65.781, -141.4533
1.180000, 65.822, -141.6328
1.206000, 65.976, -142.1664
1.220000, 66.072, -142.4329
1.241000, 66.230, -142.8149
1.250000, 66.302, -142.9745
1.265000, 66.429, -143.2379
1.280000, 66.562, -143.5013
1.315000, 66.896, -144.1329
1.320000, 66.945, -144.2266
1.340000, 67.148, -144.6133
1.360000, 67.356, -145.0184
1.380000, 67.567, -145.5778
1.400000, 67.780, -146.2152
1.430000, 68.098, -147.2284
1.450000, 68.308, -147.9403
1.475000, 68.568, -148.8340
1.500000, 68.837, -149.6403
1.525000, 69.120, -150.3261
1.550000, 69.415, -150.9056
1.575000, 69.719, -151.4700
1.600000, 70.033, -152.0952
1.625000, 70.353, -152.6682
1.650000, 70.678, -153.2044
1.675000, 71.007, -153.7171
1.700000, 71.337, -154.2180
1.725000, 71.666, -154.7169
1.750000, 71.994, -155.2216
1.775000, 72.318, -155.7922
1.800000, 72.636, -156.4841
1.825000, 72.948, -157.1872
1.850000, 73.256, -157.8742
1.875000, 73.563, -158.5044
1.900000, 73.870, -159.0699
1.925000, 74.177, -159.5783
1.950000, 74.484, -160.0373
1.975000, 74.790, -160.5073
2.000000, 75.095, -161.0457
2.030000, 75.459, -161.6580
