* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -34.2 dBFS, measurement signal peak level -29.3 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -27.6 dBFS using an acoustic timing reference
* Dated: Apr 3, 2025 7:21:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay -0.1400 ms (-48 mm, -1.89 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -61.1 ppm
* Measurement: S&S L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 63.492, -152.1199
1.015000, 63.646, -152.5879
1.030000, 63.802, -153.0619
1.044000, 63.951, -153.5120
1.060000, 64.125, -154.0375
1.075000, 64.291, -154.5413
1.090000, 64.460, -155.0522
1.106000, 64.645, -155.5767
1.120000, 64.812, -155.9725
1.138000, 65.034, -156.3707
1.150000, 65.186, -156.5716
1.172000, 65.472, -156.9149
1.180000, 65.579, -157.1003
1.206000, 65.933, -157.5973
1.220000, 66.128, -157.8129
1.241000, 66.424, -158.0834
1.250000, 66.553, -158.1834
1.265000, 66.769, -158.3331
1.280000, 66.986, -158.4659
1.315000, 67.496, -158.7330
1.320000, 67.569, -158.7682
1.340000, 67.861, -158.9058
1.360000, 68.152, -159.0389
1.380000, 68.440, -159.3043
1.400000, 68.725, -159.6269
1.430000, 69.144, -160.1318
1.450000, 69.416, -160.4834
1.475000, 69.749, -160.9129
1.500000, 70.078, -161.2627
1.525000, 70.405, -161.5126
1.550000, 70.730, -161.6781
1.575000, 71.053, -161.8493
1.600000, 71.374, -162.1003
1.625000, 71.693, -162.3151
1.650000, 72.010, -162.5067
1.675000, 72.324, -162.6858
1.700000, 72.635, -162.8615
1.725000, 72.944, -163.0417
1.750000, 73.250, -163.2322
1.775000, 73.552, -163.4916
1.800000, 73.852, -163.8746
1.825000, 74.148, -164.2720
1.850000, 74.441, -164.6637
1.875000, 74.731, -165.0186
1.900000, 75.018, -165.3304
1.925000, 75.302, -165.6045
1.950000, 75.583, -165.8461
1.975000, 75.862, -166.1129
2.000000, 76.138, -166.4597
2.030000, 76.465, -166.8544
2.060000, 76.788, -167.2400
2.090000, 77.107, -167.6244
2.120000, 77.422, -168.0150
2.140000, 77.630, -168.2819
2.180000, 78.040, -168.8885
2.200000, 78.243, -169.2482
2.240000, 78.642, -169.9487
2.270000, 78.937, -170.4421
2.300000, 79.227, -170.9081
2.330000, 79.514, -171.3505
2.360000, 79.796, -171.7745
2.400000, 80.167, -172.4368
2.430000, 80.440, -172.9393
2.470000, 80.799, -173.6031
2.500000, 81.065, -174.1015
2.540000, 81.413, -174.7731
2.580000, 81.756, -175.4913
2.620000, 82.092, -176.2794
2.650000, 82.340, -176.8533
2.690000, 82.665, -177.5968
2.720000, 82.904, -178.1387
2.760000, 83.218, -178.8394
2.800000, 83.526, -179.6119
2.850000, 83.903, 179.4262
2.900000, 84.271, 178.4752
2.950000, 84.631, 177.5280
3.000000, 84.981, 176.5190
3.040000, 85.254, 175.6990
3.070000, 85.455, 175.0941
3.110000, 85.719, 174.3026
3.150000, 85.976, 173.5288
3.200000, 86.292, 172.5284
3.250000, 86.600, 171.5247
3.300000, 86.901, 170.5390
3.350000, 87.194, 169.5648
3.400000, 87.479, 168.5417
3.450000, 87.756, 167.5110
3.500000, 88.026, 166.5039
3.550000, 88.289, 165.5261
3.600000, 88.546, 164.5324
3.650000, 88.797, 163.5477
3.700000, 89.041, 162.5820
3.750000, 89.279, 161.6256
3.820000, 89.600, 160.2466
3.870000, 89.823, 159.2726
3.950000, 90.167, 157.7722
4.000000, 90.376, 156.8405
4.060000, 90.621, 155.7388
4.120000, 90.859, 154.6587
4.180000, 91.088, 153.5880
4.250000, 91.348, 152.3235
4.310000, 91.564, 151.2802
4.370000, 91.775, 150.2725
4.440000, 92.016, 149.0978
4.500000, 92.215, 148.1158
4.550000, 92.377, 147.3153
4.620000, 92.599, 146.1887
4.680000, 92.784, 145.2469
4.750000, 92.997, 144.1909
4.820000, 93.205, 143.1418
4.870000, 93.351, 142.4055
4.940000, 93.551, 141.4014
5.000000, 93.719, 140.5456
5.080000, 93.939, 139.4232
5.150000, 94.129, 138.4743
5.220000, 94.316, 137.5280
5.300000, 94.526, 136.4672
5.380000, 94.732, 135.4302
5.450000, 94.909, 134.5182
5.520000, 95.085, 133.6260
5.600000, 95.282, 132.6142
5.700000, 95.525, 131.3549
5.800000, 95.763, 130.1121
5.900000, 95.996, 128.8668
6.000000, 96.224, 127.6300
6.080000, 96.403, 126.6360
6.150000, 96.557, 125.7781
6.220000, 96.707, 124.9119
6.300000, 96.876, 123.9255
6.400000, 97.081, 122.6942
6.500000, 97.281, 121.4617
6.600000, 97.473, 120.2435
6.700000, 97.660, 119.0240
6.800000, 97.839, 117.8131
6.900000, 98.013, 116.6109
7.000000, 98.180, 115.4304
7.100000, 98.341, 114.2565
7.200000, 98.496, 113.1004
7.300000, 98.645, 111.9620
7.400000, 98.790, 110.8498
7.500000, 98.929, 109.7514
7.620000, 99.091, 108.4632
7.750000, 99.260, 107.1082
7.880000, 99.423, 105.7826
8.000000, 99.569, 104.5933
8.120000, 99.711, 103.4306
8.250000, 99.861, 102.1990
8.380000, 100.007, 100.9961
8.500000, 100.140, 99.9047
8.620000, 100.269, 98.8331
8.750000, 100.406, 97.6910
8.850000, 100.509, 96.8216
9.000000, 100.660, 95.5381
9.120000, 100.777, 94.5256
9.250000, 100.900, 93.4431
9.380000, 101.019, 92.3774
9.500000, 101.126, 91.4059
9.620000, 101.231, 90.4513
9.750000, 101.339, 89.4329
9.880000, 101.437, 88.4305
10.000000, 101.514, 87.5258
10.150000, 101.597, 86.3931
10.300000, 101.669, 85.2921
10.440000, 101.730, 84.2917
10.600000, 101.795, 83.1775
10.750000, 101.857, 82.1586
10.900000, 101.917, 81.1624
11.060000, 101.979, 80.1049
11.200000, 102.031, 79.1722
11.380000, 102.093, 77.9973
11.500000, 102.131, 77.2287
11.720000, 102.197, 75.8547
11.800000, 102.220, 75.3677
12.060000, 102.290, 73.8237
12.200000, 102.326, 73.0077
12.410000, 102.378, 71.8376
12.500000, 102.399, 71.3577
12.650000, 102.433, 70.5863
12.800000, 102.467, 69.8479
13.150000, 102.549, 68.2105
13.200000, 102.562, 67.9807
13.400000, 102.618, 67.0756
13.600000, 102.680, 66.1758
13.800000, 102.745, 65.2654
14.000000, 102.811, 64.3285
14.300000, 102.904, 62.8351
14.500000, 102.956, 61.8106
14.750000, 103.008, 60.5294
15.000000, 103.046, 59.2847
15.250000, 103.073, 58.1003
15.500000, 103.094, 57.0330
15.750000, 103.116, 56.0916
16.000000, 103.149, 55.2536
16.250000, 103.197, 54.4414
16.500000, 103.262, 53.6117
16.750000, 103.339, 52.7027
17.000000, 103.418, 51.6810
17.250000, 103.487, 50.5418
17.500000, 103.535, 49.3437
17.750000, 103.557, 48.1647
18.000000, 103.555, 47.0810
18.250000, 103.538, 46.1456
18.500000, 103.520, 45.3980
18.750000, 103.513, 44.8191
19.000000, 103.530, 44.3498
19.250000, 103.572, 43.8885
19.500000, 103.634, 43.3718
19.750000, 103.706, 42.7532
20.000000, 103.774, 42.0271
20.299999, 103.840, 41.0508
20.600000, 103.882, 40.0644
20.900000, 103.905, 39.1550
21.200001, 103.921, 38.3556
21.400000, 103.934, 37.8778
21.799999, 103.971, 36.9865
22.000000, 103.996, 36.5353
22.400000, 104.045, 35.5620
22.700001, 104.073, 34.7957
23.000000, 104.089, 34.0436
23.299999, 104.097, 33.3400
23.600000, 104.103, 32.7057
24.000000, 104.122, 31.9315
24.299999, 104.144, 31.3465
24.700001, 104.178, 30.5136
25.000000, 104.198, 29.8517
25.400000, 104.212, 28.9612
25.799999, 104.216, 28.1346
26.200001, 104.222, 27.3857
26.500000, 104.232, 26.8507
26.900000, 104.253, 26.1298
27.200001, 104.271, 25.5596
27.600000, 104.292, 24.7646
28.000000, 104.304, 23.9633
28.500000, 104.311, 22.9976
29.000000, 104.313, 22.1027
29.500000, 104.316, 21.2596
30.000000, 104.321, 20.4493
30.400000, 104.324, 19.8083
30.700001, 104.325, 19.3321
31.100000, 104.326, 18.7015
31.500000, 104.325, 18.0765
32.000000, 104.319, 17.3209
32.500000, 104.309, 16.6077
33.000000, 104.301, 15.9522
33.500000, 104.301, 15.3273
34.000000, 104.312, 14.6761
34.500000, 104.325, 13.9484
35.000000, 104.326, 13.1776
35.500000, 104.311, 12.4575
36.000000, 104.294, 11.8534
36.500000, 104.290, 11.3137
37.000000, 104.296, 10.7377
37.500000, 104.296, 10.0935
38.200001, 104.271, 9.2381
38.700001, 104.250, 8.7430
39.500000, 104.234, 8.0011
40.000000, 104.223, 7.4944
40.599998, 104.198, 6.9257
41.200001, 104.180, 6.4515
41.799999, 104.183, 5.9277
42.500000, 104.184, 5.0913
43.099998, 104.154, 4.3290
43.700001, 104.108, 3.7180
44.400002, 104.075, 3.1505
45.000000, 104.062, 2.6224
45.500000, 104.048, 2.1466
46.200001, 104.022, 1.5411
46.799999, 104.010, 1.0798
47.500000, 104.007, 0.4960
48.200001, 103.998, -0.1390
48.700001, 103.987, -0.5847
49.400002, 103.970, -1.2097
50.000000, 103.946, -1.7556
50.799999, 103.899, -2.3939
51.500000, 103.865, -2.8439
52.200001, 103.844, -3.3191
53.000000, 103.816, -3.9457
53.799999, 103.778, -4.5599
54.500000, 103.744, -5.0465
55.200001, 103.716, -5.4840
56.000000, 103.699, -5.9865
57.000000, 103.682, -6.7723
58.000000, 103.632, -7.5565
59.000000, 103.580, -8.1204
60.000000, 103.546, -8.6571
60.799999, 103.517, -9.1423
61.500000, 103.484, -9.5606
62.200001, 103.450, -9.9377
63.000000, 103.417, -10.3470
64.000000, 103.380, -10.9178
65.000000, 103.335, -11.5223
66.000000, 103.286, -12.0664
67.000000, 103.246, -12.5785
68.000000, 103.208, -13.1333
69.000000, 103.159, -13.6795
70.000000, 103.104, -14.1304
71.000000, 103.054, -14.4890
72.000000, 103.014, -14.8275
73.000000, 102.974, -15.2130
74.000000, 102.927, -15.6278
75.000000, 102.875, -16.0421
76.199997, 102.815, -16.5572
77.500000, 102.757, -17.2031
78.800003, 102.690, -17.8879
80.000000, 102.630, -18.3454
81.199997, 102.599, -18.7309
82.500000, 102.563, -19.2313
83.800003, 102.500, -19.7132
