* Measurement data measured by REW V5.31.3
* Source: Analog 1/2 (E2x2), LINE_IN (Master Volume), L, volume: 1.000. Timing signal peak level -35.0 dBFS, measurement signal peak level -29.5 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -27.6 dBFS using an acoustic timing reference
* Dated: Apr 3, 2025 7:31:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & E2x2 Delay 0.2352 ms (81 mm, 3.18 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -61.3 ppm
* Measurement: S&S R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 63.481, -175.6768
1.015000, 63.754, -175.2854
1.030000, 64.023, -174.9254
1.044000, 64.269, -174.6175
1.060000, 64.543, -174.2982
1.075000, 64.791, -174.0288
1.090000, 65.032, -173.7836
1.106000, 65.280, -173.5233
1.120000, 65.492, -173.2578
1.138000, 65.759, -172.8468
1.150000, 65.935, -172.5343
1.172000, 66.250, -171.9886
1.180000, 66.363, -171.8669
1.206000, 66.724, -171.4214
1.220000, 66.915, -171.1622
1.241000, 67.197, -170.7596
1.250000, 67.316, -170.5843
1.265000, 67.514, -170.2917
1.280000, 67.709, -170.0011
1.315000, 68.158, -169.3457
1.320000, 68.221, -169.2558
1.340000, 68.474, -168.9083
1.360000, 68.724, -168.5783
1.380000, 68.974, -168.4004
1.400000, 69.222, -168.2974
1.430000, 69.593, -168.1932
1.450000, 69.841, -168.1565
1.475000, 70.151, -168.1218
1.500000, 70.458, -168.0377
1.525000, 70.763, -167.8862
1.550000, 71.064, -167.6805
1.575000, 71.363, -167.5077
1.600000, 71.658, -167.4389
1.625000, 71.951, -167.3553
1.650000, 72.241, -167.2672
1.675000, 72.528, -167.1828
1.700000, 72.813, -167.1091
1.725000, 73.096, -167.0520
1.750000, 73.376, -167.0158
1.775000, 73.654, -167.0576
1.800000, 73.930, -167.2306
1.825000, 74.205, -167.4252
1.850000, 74.477, -167.6221
1.875000, 74.747, -167.7923
1.900000, 75.014, -167.9303
1.925000, 75.279, -168.0408
1.950000, 75.542, -168.1288
1.975000, 75.803, -168.2511
2.000000, 76.061, -168.4620
2.030000, 76.367, -168.7036
2.060000, 76.671, -168.9457
2.090000, 76.971, -169.1954
2.120000, 77.268, -169.4585
2.140000, 77.464, -169.6439
2.180000, 77.852, -170.0947
2.200000, 78.044, -170.3794
2.240000, 78.423, -170.9359
2.270000, 78.704, -171.3268
2.300000, 78.981, -171.6955
2.330000, 79.254, -172.0462
2.360000, 79.525, -172.3840
2.400000, 79.880, -172.9399
2.430000, 80.144, -173.3687
2.470000, 80.490, -173.9413
2.500000, 80.746, -174.3764
2.540000, 81.083, -174.9694
2.580000, 81.416, -175.6135
2.620000, 81.743, -176.3292
2.650000, 81.984, -176.8502
2.690000, 82.302, -177.5258
2.720000, 82.536, -178.0196
2.760000, 82.845, -178.6606
2.800000, 83.148, -179.3789
2.850000, 83.520, 179.7186
2.900000, 83.884, 178.8181
2.950000, 84.241, 177.9150
3.000000, 84.589, 176.9495
3.040000, 84.862, 176.1641
3.070000, 85.063, 175.5843
3.110000, 85.328, 174.8242
3.150000, 85.587, 174.0783
3.200000, 85.905, 173.1069
3.250000, 86.217, 172.1246
3.300000, 86.521, 171.1533
3.350000, 86.819, 170.1907
3.400000, 87.110, 169.1792
3.450000, 87.394, 168.1593
3.500000, 87.671, 167.1605
3.550000, 87.941, 166.1866
3.600000, 88.206, 165.1912
3.650000, 88.465, 164.1982
3.700000, 88.718, 163.2195
3.750000, 88.965, 162.2482
3.820000, 89.299, 160.8463
3.870000, 89.532, 159.8537
3.950000, 89.892, 158.3173
4.000000, 90.111, 157.3579
4.060000, 90.368, 156.2172
4.120000, 90.617, 155.0935
4.180000, 90.858, 153.9765
4.250000, 91.131, 152.6556
4.310000, 91.359, 151.5623
4.370000, 91.581, 150.5027
4.440000, 91.832, 149.2634
4.500000, 92.041, 148.2220
4.550000, 92.211, 147.3704
4.620000, 92.442, 146.1721
4.680000, 92.635, 145.1707
4.750000, 92.856, 144.0481
4.820000, 93.071, 142.9333
4.870000, 93.221, 142.1494
4.940000, 93.426, 141.0792
5.000000, 93.598, 140.1696
5.080000, 93.822, 138.9832
5.150000, 94.015, 137.9867
5.220000, 94.203, 136.9977
5.300000, 94.413, 135.8927
5.380000, 94.619, 134.8192
5.450000, 94.796, 133.8842
5.520000, 94.971, 132.9780
5.600000, 95.168, 131.9599
5.700000, 95.409, 130.7042
5.800000, 95.646, 129.4768
5.900000, 95.879, 128.2597
6.000000, 96.108, 127.0646
