* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -35.3 dBFS, measurement signal peak level -21.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -44.3 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 3:35:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay -0.0334 ms (-11 mm, -0.45 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -28.0 ppm
* Measurement: ASMR L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 66.768, -137.8605
1.015000, 66.960, -138.3337
1.030000, 67.151, -138.7971
1.044000, 67.326, -139.2262
1.060000, 67.521, -139.7184
1.075000, 67.698, -140.1860
1.090000, 67.868, -140.6605
1.106000, 68.045, -141.1579
1.120000, 68.199, -141.5541
1.138000, 68.401, -141.9886
1.150000, 68.537, -142.2320
1.172000, 68.789, -142.6803
1.180000, 68.882, -142.9102
1.206000, 69.187, -143.5658
1.220000, 69.353, -143.8717
1.241000, 69.604, -144.2789
1.250000, 69.711, -144.4370
1.265000, 69.891, -144.6817
1.280000, 70.071, -144.9067
1.315000, 70.492, -145.3743
1.320000, 70.551, -145.4364
1.340000, 70.790, -145.6773
1.360000, 71.027, -145.9072
1.380000, 71.262, -146.2643
1.400000, 71.493, -146.6747
1.430000, 71.834, -147.3079
1.450000, 72.057, -147.7468
1.475000, 72.329, -148.3020
1.500000, 72.597, -148.8209
1.525000, 72.862, -149.2824
1.550000, 73.124, -149.6881
1.575000, 73.383, -150.1158
1.600000, 73.639, -150.6297
1.625000, 73.893, -151.1072
1.650000, 74.144, -151.5562
1.675000, 74.393, -151.9842
1.700000, 74.639, -152.3983
1.725000, 74.882, -152.8058
1.750000, 75.123, -153.2125
1.775000, 75.362, -153.6782
1.800000, 75.598, -154.2591
1.825000, 75.832, -154.8517
1.850000, 76.063, -155.4510
1.875000, 76.292, -156.0405
1.900000, 76.519, -156.6115
1.925000, 76.743, -157.1613
1.950000, 76.964, -157.6875
1.975000, 77.183, -158.2416
2.000000, 77.400, -158.8734
2.030000, 77.656, -159.6015
2.060000, 77.909, -160.3064
2.090000, 78.159, -160.9929
2.120000, 78.405, -161.6663
2.140000, 78.567, -162.1108
2.180000, 78.887, -163.0488
2.200000, 79.045, -163.5678
2.240000, 79.355, -164.6060
2.270000, 79.583, -165.3776
2.300000, 79.808, -166.1361
2.330000, 80.029, -166.8773
2.360000, 80.247, -167.5992
2.400000, 80.532, -168.6472
2.430000, 80.742, -169.4242
2.470000, 81.018, -170.4272
2.500000, 81.221, -171.1568
2.540000, 81.487, -172.1041
2.580000, 81.748, -173.0737
2.620000, 82.003, -174.1212
2.650000, 82.191, -174.9009
2.690000, 82.436, -175.9264
2.720000, 82.617, -176.6795
2.760000, 82.853, -177.6528
2.800000, 83.084, -178.6787
2.850000, 83.366, -179.9188
2.900000, 83.642, 178.9055
2.950000, 83.910, 177.7811
3.000000, 84.170, 176.6067
3.040000, 84.372, 175.6536
3.070000, 84.520, 174.9509
3.110000, 84.714, 174.0359
3.150000, 84.905, 173.1519
3.200000, 85.137, 172.0411
3.250000, 85.366, 170.9680
3.300000, 85.590, 169.9597
3.350000, 85.809, 168.9983
3.400000, 86.021, 168.0084
3.450000, 86.229, 167.0266
3.500000, 86.432, 166.0843
3.550000, 86.632, 165.1899
3.600000, 86.830, 164.3028
3.650000, 87.027, 163.4535
3.700000, 87.222, 162.6578
3.750000, 87.414, 161.9046
3.820000, 87.678, 160.8487
3.870000, 87.865, 160.1212
3.950000, 88.164, 159.0258
4.000000, 88.352, 158.3510
4.060000, 88.580, 157.5724
4.120000, 88.808, 156.8506
4.180000, 89.036, 156.1639
4.250000, 89.304, 155.3501
4.310000, 89.535, 154.6725
4.370000, 89.769, 153.9984
4.440000, 90.045, 153.1882
4.500000, 90.284, 152.5240
4.550000, 90.485, 151.9881
4.620000, 90.769, 151.2073
4.680000, 91.012, 150.5190
4.750000, 91.297, 149.6911
4.820000, 91.583, 148.8134
4.870000, 91.788, 148.1815
4.940000, 92.076, 147.2965
5.000000, 92.322, 146.5072
5.080000, 92.646, 145.4040
5.150000, 92.924, 144.3992
5.220000, 93.200, 143.3423
5.300000, 93.511, 142.1060
5.380000, 93.815, 140.8469
5.450000, 94.075, 139.7013
5.520000, 94.326, 138.5337
5.600000, 94.606, 137.1550
5.700000, 94.942, 135.3834
5.800000, 95.263, 133.6022
5.900000, 95.565, 131.8003
6.000000, 95.850, 129.9686
6.080000, 96.065, 128.4869
6.150000, 96.245, 127.2124
6.220000, 96.416, 125.9469
6.300000, 96.601, 124.5150
6.400000, 96.816, 122.7305
6.500000, 97.016, 120.9742
6.600000, 97.201, 119.2888
6.700000, 97.372, 117.6495
6.800000, 97.528, 116.0548
