* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -34.2 dBFS, measurement signal peak level -23.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -44.3 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 3:36:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 Macbook Delay -0.0329 ms (-11 mm, -0.44 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -28.1 ppm
* Measurement: ASMR R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 74.740, 60.0484
1.015000, 74.419, 61.2715
1.030000, 74.107, 62.5629
1.044000, 73.825, 63.8366
1.060000, 73.515, 65.3818
1.075000, 73.238, 66.9256
1.090000, 72.975, 68.5678
1.106000, 72.706, 70.4192
1.120000, 72.469, 72.0981
1.138000, 72.158, 74.3241
1.150000, 71.946, 75.8540
1.172000, 71.552, 78.6798
1.180000, 71.408, 79.6544
1.206000, 70.940, 82.9990
1.220000, 70.691, 84.9193
1.241000, 70.324, 87.9759
1.250000, 70.171, 89.3554
1.265000, 69.921, 91.7529
1.280000, 69.681, 94.2784
1.315000, 69.168, 100.6837
1.320000, 69.101, 101.6568
1.340000, 68.850, 105.6860
1.360000, 68.632, 109.9161
1.380000, 68.450, 114.1729
1.400000, 68.308, 118.4783
1.430000, 68.180, 124.9672
1.450000, 68.158, 129.2083
1.475000, 68.210, 134.3506
1.500000, 68.357, 139.3681
1.525000, 68.595, 144.2344
1.550000, 68.913, 148.8671
1.575000, 69.298, 153.1290
1.600000, 69.740, 156.9226
1.625000, 70.226, 160.3600
1.650000, 70.746, 163.4394
1.675000, 71.286, 166.1707
1.700000, 71.836, 168.5708
1.725000, 72.385, 170.6599
1.750000, 72.920, 172.4599
1.775000, 73.430, 173.9389
1.800000, 73.904, 175.0673
1.825000, 74.337, 175.9821
1.850000, 74.738, 176.7475
1.875000, 75.127, 177.4401
1.900000, 75.513, 178.0844
1.925000, 75.894, 178.6820
1.950000, 76.271, 179.2338
1.975000, 76.644, 179.6877
2.000000, 77.010, 179.9944
2.030000, 77.442, -179.6978
2.060000, 77.863, -179.4624
2.090000, 78.273, -179.3011
2.120000, 78.671, -179.2154
2.140000, 78.929, -179.2014
2.180000, 79.427, -179.3300
2.200000, 79.665, -179.4925
2.240000, 80.122, -179.8845
2.270000, 80.448, 179.7874
2.300000, 80.760, 179.4434
2.330000, 81.060, 179.0910
2.360000, 81.349, 178.7343
2.400000, 81.719, 178.1393
2.430000, 81.987, 177.6779
2.470000, 82.332, 177.0649
2.500000, 82.584, 176.6051
2.540000, 82.913, 175.9874
2.580000, 83.232, 175.3109
2.620000, 83.538, 174.5184
2.650000, 83.759, 173.9085
2.690000, 84.041, 173.0879
2.720000, 84.245, 172.4766
2.760000, 84.506, 171.6821
2.800000, 84.758, 170.8280
2.850000, 85.061, 169.7995
2.900000, 85.353, 168.8371
2.950000, 85.635, 167.9243
3.000000, 85.902, 166.9437
3.040000, 86.105, 166.1310
3.070000, 86.252, 165.5274
3.110000, 86.441, 164.7401
3.150000, 86.624, 163.9827
3.200000, 86.845, 163.0350
3.250000, 87.061, 162.1374
3.300000, 87.272, 161.3216
3.350000, 87.476, 160.5650
3.400000, 87.671, 159.7840
3.450000, 87.858, 159.0123
3.500000, 88.040, 158.2809
3.550000, 88.219, 157.5986
3.600000, 88.398, 156.9261
3.650000, 88.578, 156.2971
3.700000, 88.758, 155.7336
3.750000, 88.937, 155.2275
3.820000, 89.184, 154.5300
3.870000, 89.361, 154.0555
3.950000, 89.647, 153.3384
4.000000, 89.831, 152.8750
4.060000, 90.057, 152.3294
4.120000, 90.289, 151.8353
4.180000, 90.525, 151.3691
4.250000, 90.804, 150.7857
4.310000, 91.046, 150.2663
4.370000, 91.290, 149.7023
4.440000, 91.578, 148.9583
4.500000, 91.829, 148.3109
4.550000, 92.040, 147.7673
4.620000, 92.336, 146.9467
4.680000, 92.586, 146.1980
4.750000, 92.870, 145.2643
4.820000, 93.149, 144.2276
4.870000, 93.345, 143.4486
4.940000, 93.615, 142.3315
5.000000, 93.839, 141.3400
5.080000, 94.124, 139.9872
5.150000, 94.358, 138.7794
5.220000, 94.578, 137.4995
5.300000, 94.814, 135.9908
5.380000, 95.033, 134.4941
5.450000, 95.208, 133.2093
5.520000, 95.368, 131.9720
5.600000, 95.530, 130.5539
5.700000, 95.706, 128.7923
5.800000, 95.857, 127.1680
5.900000, 95.985, 125.7392
6.000000, 96.087, 124.4636
6.080000, 96.155, 123.5393
6.150000, 96.211, 122.8445
6.220000, 96.269, 122.2631
6.300000, 96.334, 121.7622
6.400000, 96.415, 121.3434
6.500000, 96.507, 121.0896
6.600000, 96.630, 120.9818
6.700000, 96.785, 121.0375
6.800000, 96.969, 121.2139
6.900000, 97.183, 121.3564
7.000000, 97.433, 121.3970
7.100000, 97.720, 121.3629
7.200000, 98.032, 121.2115
7.300000, 98.354, 120.8314
7.400000, 98.682, 120.2021
7.500000, 99.015, 119.3669
7.620000, 99.406, 118.1282
7.750000, 99.794, 116.4653
7.880000, 100.146, 114.4879
8.000000, 100.430, 112.5280
8.120000, 100.665, 110.4829
8.250000, 100.866, 108.1510
8.380000, 101.012, 105.8633
8.500000, 101.097, 103.8791
8.620000, 101.136, 101.9919
8.750000, 101.139, 100.1688
