* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -35.6 dBFS, measurement signal peak level -32.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.4 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 5:36:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0294 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -26.1 ppm
* Measurement: NF MS42 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 69.954, 32.8993
1.015000, 70.074, 31.9642
1.030000, 70.195, 31.0765
1.044000, 70.308, 30.2815
1.060000, 70.437, 29.4026
1.075000, 70.556, 28.5986
1.090000, 70.673, 27.8080
1.106000, 70.798, 26.9833
1.120000, 70.911, 26.2943
1.138000, 71.066, 25.4691
1.150000, 71.174, 24.9590
1.172000, 71.383, 24.0174
1.180000, 71.462, 23.6086
1.206000, 71.729, 22.3810
1.220000, 71.878, 21.7765
1.241000, 72.107, 20.9387
1.250000, 72.208, 20.6032
1.265000, 72.377, 20.0733
1.280000, 72.548, 19.5774
1.315000, 72.952, 18.5357
1.320000, 73.010, 18.3985
1.340000, 73.242, 17.8746
1.360000, 73.472, 17.3899
1.380000, 73.700, 16.8060
1.400000, 73.924, 16.1964
1.430000, 74.250, 15.3145
1.450000, 74.459, 14.7414
1.475000, 74.711, 14.0445
1.500000, 74.957, 13.3931
1.525000, 75.201, 12.7996
1.550000, 75.443, 12.2635
1.575000, 75.682, 11.7087
1.600000, 75.919, 11.0726
1.625000, 76.154, 10.4796
1.650000, 76.387, 9.9231
1.675000, 76.618, 9.3968
1.700000, 76.847, 8.8946
1.725000, 77.073, 8.4101
1.750000, 77.298, 7.9381
1.775000, 77.521, 7.4196
1.800000, 77.742, 6.7986
1.825000, 77.960, 6.1786
1.850000, 78.177, 5.5614
