* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -38.0 dBFS, measurement signal peak level -33.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.4 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 5:39:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0296 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -26.0 ppm
* Measurement: NF MS42 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 68.587, 33.4567
1.015000, 68.702, 31.8415
1.030000, 68.821, 30.3399
1.044000, 68.936, 29.0226
1.060000, 69.069, 27.5977
1.075000, 69.195, 26.3240
1.090000, 69.322, 25.0990
1.106000, 69.461, 23.8493
1.120000, 69.592, 22.8258
1.138000, 69.779, 21.6239
1.150000, 69.914, 20.8946
1.172000, 70.182, 19.6108
1.180000, 70.285, 19.0951
1.206000, 70.639, 17.5762
1.220000, 70.841, 16.8459
1.241000, 71.153, 15.8532
1.250000, 71.291, 15.4622
1.265000, 71.524, 14.8521
1.280000, 71.761, 14.2893
1.315000, 72.321, 13.1333
1.320000, 72.401, 12.9836
1.340000, 72.721, 12.4172
1.360000, 73.038, 11.8999
1.380000, 73.349, 11.2909
1.400000, 73.651, 10.6618
1.430000, 74.081, 9.7583
1.450000, 74.351, 9.1743
1.475000, 74.667, 8.4696
1.500000, 74.970, 7.8232
1.525000, 75.264, 7.2489
1.550000, 75.552, 6.7432
1.575000, 75.834, 6.2277
1.600000, 76.109, 5.6372
1.625000, 76.379, 5.0940
1.650000, 76.644, 4.5898
1.675000, 76.905, 4.1172
1.700000, 77.162, 3.6687
1.725000, 77.415, 3.2373
1.750000, 77.665, 2.8171
1.775000, 77.913, 2.3486
1.800000, 78.158, 1.7757
1.825000, 78.402, 1.2020
1.850000, 78.644, 0.6308
1.875000, 78.882, 0.0763
1.900000, 79.116, -0.4550
1.925000, 79.347, -0.9615
1.950000, 79.574, -1.4418
1.975000, 79.798, -1.9480
2.000000, 80.018, -2.5304
2.030000, 80.279, -3.1976
2.060000, 80.536, -3.8401
2.090000, 80.789, -4.4626
2.120000, 81.038, -5.0702
2.140000, 81.202, -5.4697
2.180000, 81.527, -6.3138
2.200000, 81.687, -6.7833
2.240000, 82.002, -7.7147
2.270000, 82.234, -8.4000
2.300000, 82.462, -9.0692
2.330000, 82.686, -9.7199
2.360000, 82.906, -10.3520
2.400000, 83.194, -11.2834
2.430000, 83.407, -11.9767
2.470000, 83.685, -12.8744
2.500000, 83.890, -13.5304
2.540000, 84.160, -14.3868
2.580000, 84.425, -15.2705
2.620000, 84.684, -16.2303
2.650000, 84.874, -16.9422
2.690000, 85.124, -17.8768
2.720000, 85.307, -18.5635
2.760000, 85.547, -19.4530
2.800000, 85.782, -20.4037
2.850000, 86.069, -21.5653
2.900000, 86.349, -22.6838
2.950000, 86.621, -23.7710
3.000000, 86.886, -24.9181
3.040000, 87.092, -25.8535
3.070000, 87.243, -26.5461
3.110000, 87.441, -27.4530
3.150000, 87.634, -28.3371
3.200000, 87.870, -29.4624
3.250000, 88.100, -30.5705
3.300000, 88.325, -31.6376
3.350000, 88.544, -32.6801
3.400000, 88.756, -33.7690
3.450000, 88.962, -34.8638
3.500000, 89.163, -35.9313
3.550000, 89.358, -36.9626
3.600000, 89.549, -37.9991
3.650000, 89.736, -39.0130
3.700000, 89.918, -39.9948
3.750000, 90.096, -40.9588
3.820000, 90.336, -42.3406
3.870000, 90.502, -43.3129
3.950000, 90.761, -44.8044
4.000000, 90.919, -45.7253
4.060000, 91.105, -46.8060
4.120000, 91.287, -47.8554
4.180000, 91.463, -48.8894
4.250000, 91.664, -50.1089
4.310000, 91.832, -51.1154
4.370000, 91.998, -52.0895
4.440000, 92.188, -53.2263
4.500000, 92.347, -54.1734
4.550000, 92.477, -54.9439
4.620000, 92.657, -56.0318
4.680000, 92.808, -56.9462
4.750000, 92.982, -57.9802
4.820000, 93.153, -59.0161
4.870000, 93.274, -59.7464
4.940000, 93.441, -60.7466
5.000000, 93.581, -61.6037
5.080000, 93.766, -62.7359
5.150000, 93.924, -63.7025
5.220000, 94.079, -64.6761
5.300000, 94.253, -65.7767
5.380000, 94.424, -66.8572
5.450000, 94.570, -67.8064
5.520000, 94.713, -68.7358
5.600000, 94.872, -69.7946
5.700000, 95.066, -71.1154
5.800000, 95.254, -72.4084
5.900000, 95.436, -73.6843
6.000000, 95.611, -74.9397
6.080000, 95.747, -75.9393
6.150000, 95.863, -76.7910
6.220000, 95.977, -77.6373
6.300000, 96.103, -78.5846
6.400000, 96.256, -79.7471
6.500000, 96.405, -80.8918
6.600000, 96.550, -82.0022
6.700000, 96.692, -83.0904
6.800000, 96.830, -84.1518
6.900000, 96.965, -85.1968
7.000000, 97.099, -86.2158
7.100000, 97.230, -87.2190
7.200000, 97.360, -88.2025
7.300000, 97.488, -89.1781
7.400000, 97.614, -90.1404
7.500000, 97.738, -91.0979
7.620000, 97.885, -92.2347
7.750000, 98.039, -93.4587
7.880000, 98.190, -94.6854
8.000000, 98.324, -95.8067
8.120000, 98.452, -96.9244
8.250000, 98.586, -98.1315
8.380000, 98.713, -99.3229
8.500000, 98.823, -100.4093
8.620000, 98.928, -101.4812
8.750000, 99.036, -102.6196
8.850000, 99.115, -103.4765
