* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -32.3 dBFS, measurement signal peak level -32.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -42.4 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 5:57:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0681 ms (-23 mm, -0.92 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -26.2 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 56.581, -119.1612
1.015000, 56.449, -119.7814
1.030000, 56.327, -120.3848
1.044000, 56.222, -120.9360
1.060000, 56.116, -121.5553
1.075000, 56.029, -122.1297
1.090000, 55.956, -122.7031
1.106000, 55.894, -123.3224
1.120000, 55.850, -123.8799
1.138000, 55.805, -124.6199
1.150000, 55.783, -125.1252
1.172000, 55.754, -126.1587
1.180000, 55.748, -126.6307
1.206000, 55.742, -128.1600
1.220000, 55.748, -128.9802
1.241000, 55.765, -130.1982
1.250000, 55.776, -130.7139
1.265000, 55.799, -131.5626
1.280000, 55.826, -132.3954
1.315000, 55.907, -134.2643
1.320000, 55.920, -134.5217
1.340000, 55.976, -135.5252
1.360000, 56.036, -136.4803
1.380000, 56.101, -137.5172
1.400000, 56.168, -138.5552
1.430000, 56.270, -140.0207
1.450000, 56.340, -140.9384
1.475000, 56.428, -142.0269
1.500000, 56.523, -143.0674
1.525000, 56.629, -144.0653
1.550000, 56.745, -145.0179
1.575000, 56.869, -145.9948
1.600000, 57.001, -147.0517
1.625000, 57.140, -148.0576
1.650000, 57.284, -149.0125
1.675000, 57.433, -149.9167
1.700000, 57.585, -150.7710
1.725000, 57.739, -151.5764
1.750000, 57.895, -152.3340
1.775000, 58.052, -153.0986
1.800000, 58.207, -153.9229
1.825000, 58.362, -154.7028
1.850000, 58.516, -155.4447
1.875000, 58.673, -156.1509
1.900000, 58.833, -156.8221
1.925000, 58.997, -157.4581
1.950000, 59.162, -158.0579
1.975000, 59.330, -158.6726
2.000000, 59.499, -159.3513
2.030000, 59.704, -160.1158
2.060000, 59.910, -160.8324
2.090000, 60.117, -161.5024
2.120000, 60.324, -162.1270
2.140000, 60.462, -162.5188
2.180000, 60.735, -163.2969
2.200000, 60.871, -163.7062
2.240000, 61.143, -164.4654
2.270000, 61.347, -164.9850
2.300000, 61.552, -165.4657
2.330000, 61.757, -165.9110
2.360000, 61.963, -166.3253
2.400000, 62.237, -166.9524
2.430000, 62.442, -167.4095
2.470000, 62.716, -167.9831
2.500000, 62.921, -168.3889
2.540000, 63.194, -168.8995
2.580000, 63.467, -169.4113
2.620000, 63.739, -169.9530
2.650000, 63.943, -170.3232
2.690000, 64.215, -170.7787
2.720000, 64.419, -171.0968
2.760000, 64.691, -171.4937
2.800000, 64.961, -171.9594
2.850000, 65.298, -172.5376
2.900000, 65.633, -173.1045
2.950000, 65.965, -173.6559
3.000000, 66.297, -174.2368
3.040000, 66.561, -174.6954
3.070000, 66.759, -175.0246
3.110000, 67.021, -175.4496
3.150000, 67.282, -175.8651
3.200000, 67.605, -176.4378
3.250000, 67.925, -177.0426
3.300000, 68.241, -177.6551
3.350000, 68.555, -178.2578
3.400000, 68.866, -178.8980
3.450000, 69.174, -179.5448
3.500000, 69.479, 179.8197
3.550000, 69.780, 179.1895
3.600000, 70.076, 178.5105
3.650000, 70.367, 177.8041
3.700000, 70.654, 177.0923
3.750000, 70.936, 176.3832
3.820000, 71.324, 175.3407
3.870000, 71.595, 174.5916
3.950000, 72.019, 173.4061
4.000000, 72.278, 172.6356
4.060000, 72.581, 171.6924
4.120000, 72.876, 170.7485
4.180000, 73.164, 169.7987
4.250000, 73.491, 168.6554
4.310000, 73.764, 167.6956
4.370000, 74.029, 166.7491
4.440000, 74.329, 165.6159
4.500000, 74.578, 164.6485
4.550000, 74.780, 163.8498
4.620000, 75.055, 162.7141
4.680000, 75.284, 161.7577
4.750000, 75.544, 160.6775
4.820000, 75.796, 159.5929
