* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -34.2 dBFS, measurement signal peak level -34.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -42.4 dBFS using an acoustic timing reference
* Dated: Apr 9, 2025 5:54:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.1024 ms (-35 mm, -1.38 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -26.1 ppm
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 43.683, 157.3923
1.015000, 44.251, 156.9535
1.030000, 44.800, 156.5424
1.044000, 45.289, 156.1774
1.060000, 45.815, 155.7770
1.075000, 46.271, 155.4151
1.090000, 46.688, 155.0699
1.106000, 47.094, 154.7543
1.120000, 47.433, 154.5756
1.138000, 47.858, 154.4972
1.150000, 48.136, 154.5273
1.172000, 48.635, 154.6294
1.180000, 48.813, 154.6100
1.206000, 49.380, 154.6564
1.220000, 49.678, 154.7322
1.241000, 50.117, 154.8934
1.250000, 50.301, 154.9759
1.265000, 50.605, 155.1261
1.280000, 50.904, 155.2880
1.315000, 51.583, 155.6886
1.320000, 51.678, 155.7466
1.340000, 52.053, 155.9765
1.360000, 52.422, 156.2036
1.380000, 52.784, 156.2914
1.400000, 53.139, 156.3163
1.430000, 53.662, 156.3232
1.450000, 54.004, 156.3073
1.475000, 54.423, 156.2885
1.500000, 54.828, 156.3315
1.525000, 55.218, 156.4534
1.550000, 55.594, 156.6397
1.575000, 55.958, 156.8028
1.600000, 56.310, 156.8715
1.625000, 56.651, 156.9642
1.650000, 56.984, 157.0706
1.675000, 57.308, 157.1826
1.700000, 57.626, 157.2929
1.725000, 57.939, 157.3959
1.750000, 58.247, 157.4871
1.775000, 58.552, 157.5092
1.800000, 58.856, 157.4088
1.825000, 59.158, 157.2942
1.850000, 59.457, 157.1791
1.875000, 59.752, 157.0870
1.900000, 60.040, 157.0230
1.925000, 60.323, 156.9842
1.950000, 60.600, 156.9676
1.975000, 60.873, 156.9180
2.000000, 61.140, 156.7828
2.030000, 61.455, 156.6373
2.060000, 61.765, 156.4989
2.090000, 62.069, 156.3620
2.120000, 62.368, 156.2216
2.140000, 62.564, 156.1237
2.180000, 62.953, 155.8621
2.200000, 63.144, 155.6765
2.240000, 63.521, 155.3127
2.270000, 63.796, 155.0565
2.300000, 64.066, 154.8162
2.330000, 64.330, 154.5909
2.360000, 64.590, 154.3782
2.400000, 64.928, 153.9933
2.430000, 65.177, 153.6989
2.470000, 65.503, 153.3167
2.500000, 65.743, 153.0349
2.540000, 66.057, 152.6621
2.580000, 66.365, 152.2500
2.620000, 66.666, 151.7610
2.650000, 66.887, 151.4033
2.690000, 67.175, 150.9392
2.720000, 67.387, 150.6022
2.760000, 67.662, 150.1722
2.800000, 67.932, 149.6715
2.850000, 68.261, 149.0568
2.900000, 68.581, 148.4674
2.950000, 68.893, 147.8964
3.000000, 69.196, 147.2641
3.040000, 69.430, 146.7408
