* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.710. Timing signal peak level -10.2 dBFS, measurement signal peak level -10.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -29.1 dBFS using an acoustic timing reference
* Dated: Dec 15, 2025 5:15:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & Abigail Pro Delay -0.0705 ms (-24 mm, -0.95 in) using estimated IR delay relative to Acoustic reference played from HEADPHONE R with no timing offset Clock adjustment: -26.8 ppm
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 74.633, 156.3012
1.015000, 74.892, 155.4305
1.030000, 75.150, 154.6209
1.044000, 75.388, 153.9206
1.060000, 75.657, 153.1852
1.075000, 75.905, 152.5531
1.090000, 76.149, 151.9363
1.106000, 76.407, 151.1196
1.120000, 76.634, 150.2615
1.138000, 76.930, 149.1749
1.150000, 77.131, 148.4902
1.172000, 77.502, 147.3134
1.180000, 77.638, 146.9052
1.206000, 78.082, 145.6571
1.220000, 78.322, 145.0286
1.241000, 78.682, 144.1340
1.250000, 78.836, 143.7661
1.265000, 79.091, 143.1708
1.280000, 79.344, 142.5952
1.315000, 79.925, 141.3130
1.320000, 80.006, 141.1355
1.340000, 80.327, 140.4360
1.360000, 80.640, 139.7516
1.380000, 80.942, 139.0400
1.400000, 81.234, 138.3211
1.430000, 81.646, 137.2498
1.450000, 81.904, 136.5388
1.475000, 82.203, 135.6701
1.500000, 82.479, 134.8672
1.525000, 82.733, 134.1429
1.550000, 82.968, 133.4864
1.575000, 83.186, 132.8685
1.600000, 83.390, 132.2645
1.625000, 83.581, 131.6952
1.650000, 83.763, 131.1516
1.675000, 83.938, 130.6263
1.700000, 84.107, 130.1125
1.725000, 84.274, 129.6045
1.750000, 84.440, 129.0975
1.775000, 84.609, 128.5735
1.800000, 84.782, 128.0159
1.825000, 84.961, 127.4539
1.850000, 85.143, 126.9020
1.875000, 85.326, 126.3805
1.900000, 85.507, 125.8928
1.925000, 85.686, 125.4348
1.950000, 85.864, 125.0018
1.975000, 86.039, 124.5781
2.000000, 86.213, 124.1487
2.030000, 86.418, 123.6494
2.060000, 86.621, 123.1602
2.090000, 86.822, 122.6754
2.120000, 87.019, 122.1900
2.140000, 87.149, 121.8638
2.180000, 87.406, 121.1821
2.200000, 87.532, 120.8199
2.240000, 87.781, 120.1127
2.270000, 87.964, 119.6075
2.300000, 88.144, 119.1232
2.330000, 88.322, 118.6567
2.360000, 88.496, 118.2045
2.400000, 88.725, 117.5804
2.430000, 88.894, 117.1157
2.470000, 89.115, 116.5021
2.500000, 89.278, 116.0428
2.540000, 89.492, 115.4274
2.580000, 89.703, 114.7953
2.620000, 89.908, 114.1444
2.650000, 90.060, 113.6692
2.690000, 90.258, 113.0521
2.720000, 90.404, 112.6007
2.760000, 90.595, 112.0135
2.800000, 90.783, 111.4024
2.850000, 91.011, 110.6458
2.900000, 91.234, 109.8978
2.950000, 91.452, 109.1550
3.000000, 91.663, 108.3948
