* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -25.4 dBFS, measurement signal peak level -14.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.6 dBFS using an acoustic timing reference
* Dated: Mar 6, 2025 8:29:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & Abigail Pro Delay -0.0655 ms (-22 mm, -0.88 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -26.3 ppm
* Measurement: Balanced 10 Ohm L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 73.625, 143.5551
1.015000, 73.993, 142.8939
1.030000, 74.354, 142.2284
1.044000, 74.684, 141.6021
1.060000, 75.053, 140.8793
1.075000, 75.390, 140.1943
1.090000, 75.717, 139.5045
1.106000, 76.057, 138.7801
1.120000, 76.350, 138.1838
1.138000, 76.720, 137.4828
1.150000, 76.964, 137.0535
1.172000, 77.404, 136.3301
1.180000, 77.561, 136.0816
1.206000, 78.064, 135.3322
1.220000, 78.330, 134.9595
1.241000, 78.719, 134.4320
1.250000, 78.884, 134.2156
1.265000, 79.153, 133.8651
1.280000, 79.417, 133.5250
1.315000, 80.013, 132.7584
1.320000, 80.096, 132.6509
1.340000, 80.420, 132.2227
1.360000, 80.734, 131.7967
1.380000, 81.037, 131.3312
1.400000, 81.330, 130.8467
1.430000, 81.747, 130.1071
1.450000, 82.011, 129.6046
1.475000, 82.321, 128.9818
1.500000, 82.606, 128.4066
1.525000, 82.866, 127.8915
1.550000, 83.102, 127.4273
1.575000, 83.318, 126.9862
1.600000, 83.517, 126.5452
1.625000, 83.701, 126.1263
1.650000, 83.873, 125.7222
1.675000, 84.036, 125.3264
1.700000, 84.194, 124.9333
1.725000, 84.349, 124.5382
1.750000, 84.503, 124.1371
1.775000, 84.660, 123.7126
1.800000, 84.822, 123.2489
1.825000, 84.992, 122.7753
1.850000, 85.166, 122.3055
1.875000, 85.340, 121.8591
1.900000, 85.513, 121.4397
1.925000, 85.682, 121.0438
1.950000, 85.850, 120.6674
1.975000, 86.016, 120.2952
2.000000, 86.179, 119.9130
2.030000, 86.373, 119.4653
2.060000, 86.563, 119.0229
2.090000, 86.751, 118.5809
2.120000, 86.937, 118.1346
2.140000, 87.059, 117.8328
2.180000, 87.301, 117.1960
2.200000, 87.420, 116.8545
2.240000, 87.655, 116.1840
2.270000, 87.828, 115.7022
2.300000, 87.999, 115.2380
2.330000, 88.166, 114.7886
2.360000, 88.331, 114.3506
2.400000, 88.548, 113.7419
2.430000, 88.707, 113.2861
2.470000, 88.917, 112.6815
2.500000, 89.071, 112.2267
2.540000, 89.274, 111.6150
2.580000, 89.474, 110.9838
2.620000, 89.670, 110.3312
2.650000, 89.814, 109.8528
2.690000, 90.003, 109.2294
2.720000, 90.142, 108.7716
2.760000, 90.324, 108.1740
2.800000, 90.503, 107.5502
2.850000, 90.721, 106.7747
2.900000, 90.934, 106.0045
2.950000, 91.142, 105.2360
3.000000, 91.344, 104.4472
3.040000, 91.502, 103.8155
3.070000, 91.618, 103.3485
3.110000, 91.770, 102.7355
3.150000, 91.918, 102.1335
3.200000, 92.099, 101.3665
3.250000, 92.275, 100.6000
3.300000, 92.447, 99.8446
3.350000, 92.614, 99.0970
3.400000, 92.776, 98.3315
3.450000, 92.933, 97.5673
3.500000, 93.086, 96.8188
3.550000, 93.234, 96.0894
3.600000, 93.379, 95.3533
3.650000, 93.520, 94.6245
3.700000, 93.657, 93.9082
3.750000, 93.790, 93.1990
3.820000, 93.970, 92.1942
3.870000, 94.094, 91.4875
3.950000, 94.285, 90.3965
4.000000, 94.401, 89.7179
4.060000, 94.536, 88.9143
4.120000, 94.666, 88.1255
4.180000, 94.791, 87.3451
4.250000, 94.932, 86.4313
4.310000, 95.049, 85.6768
4.370000, 95.163, 84.9474
4.440000, 95.291, 84.0989
4.500000, 95.398, 83.3884
4.550000, 95.484, 82.8091
4.620000, 95.600, 81.9971
4.680000, 95.698, 81.3202
4.750000, 95.809, 80.5624
4.820000, 95.917, 79.8122
4.870000, 95.993, 79.2858
4.940000, 96.095, 78.5684
5.000000, 96.181, 77.9580
5.080000, 96.294, 77.1612
5.150000, 96.390, 76.4919
5.220000, 96.485, 75.8246
5.300000, 96.591, 75.0778
5.380000, 96.695, 74.3524
5.450000, 96.783, 73.7168
5.520000, 96.870, 73.1016
5.600000, 96.967, 72.4077
5.700000, 97.085, 71.5493
5.800000, 97.201, 70.7124
5.900000, 97.314, 69.8839
6.000000, 97.425, 69.0720
6.080000, 97.512, 68.4257
6.150000, 97.586, 67.8748
6.220000, 97.659, 67.3181
6.300000, 97.740, 66.6897
6.400000, 97.839, 65.9124
6.500000, 97.935, 65.1389
6.600000, 98.028, 64.3798
6.700000, 98.118, 63.6191
6.800000, 98.206, 62.8697
6.900000, 98.290, 62.1263
7.000000, 98.371, 61.4016
7.100000, 98.447, 60.6825
7.200000, 98.520, 59.9784
7.300000, 98.591, 59.2855
7.400000, 98.660, 58.6127
7.500000, 98.727, 57.9501
7.620000, 98.805, 57.1755
7.750000, 98.886, 56.3626
7.880000, 98.963, 55.5646
8.000000, 99.033, 54.8517
8.120000, 99.101, 54.1522
8.250000, 99.173, 53.4112
8.380000, 99.244, 52.6898
8.500000, 99.307, 52.0344
8.620000, 99.369, 51.3926
8.750000, 99.435, 50.7104
8.850000, 99.485, 50.1916
9.000000, 99.558, 49.4293
9.120000, 99.615, 48.8258
9.250000, 99.676, 48.1790
9.380000, 99.735, 47.5430
9.500000, 99.789, 46.9559
9.620000, 99.841, 46.3784
9.750000, 99.894, 45.7589
9.880000, 99.938, 45.1499
10.000000, 99.969, 44.6041
10.150000, 99.995, 43.9069
10.300000, 100.013, 43.2379
10.440000, 100.022, 42.6384
10.600000, 100.030, 41.9818
10.750000, 100.038, 41.3937
10.900000, 100.046, 40.8302
11.060000, 100.057, 40.2231
11.200000, 100.068, 39.6663
11.380000, 100.082, 38.9758
11.500000, 100.091, 38.5303
11.720000, 100.105, 37.7413
11.800000, 100.112, 37.4626
12.060000, 100.135, 36.5642
12.200000, 100.151, 36.0600
12.410000, 100.177, 35.3246
12.500000, 100.187, 35.0170
