* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -31.9 dBFS, measurement signal peak level -16.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.6 dBFS using an acoustic timing reference
* Dated: Mar 6, 2025 8:53:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & Abigail Pro Delay -0.0637 ms (-22 mm, -0.86 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -26.1 ppm
* Measurement: Balanced 25 Ohm R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 73.251, 150.3323
1.015000, 73.631, 149.5184
1.030000, 74.004, 148.7002
1.044000, 74.345, 147.9308
1.060000, 74.726, 147.0428
1.075000, 75.075, 146.2006
1.090000, 75.414, 145.3509
1.106000, 75.766, 144.4531
1.120000, 76.068, 143.7035
1.138000, 76.450, 142.8054
1.150000, 76.700, 142.2458
1.172000, 77.149, 141.2877
1.180000, 77.310, 140.9555
1.206000, 77.821, 139.9413
1.220000, 78.089, 139.4311
1.241000, 78.482, 138.7041
1.250000, 78.648, 138.4048
1.265000, 78.918, 137.9195
1.280000, 79.183, 137.4489
1.315000, 79.779, 136.3933
1.320000, 79.861, 136.2462
1.340000, 80.184, 135.6638
1.360000, 80.497, 135.0893
1.380000, 80.798, 134.4809
1.400000, 81.089, 133.8583
1.430000, 81.504, 132.9193
1.450000, 81.767, 132.2879
1.475000, 82.076, 131.5067
1.500000, 82.360, 130.7731
1.525000, 82.617, 130.1001
1.550000, 82.851, 129.4801
1.575000, 83.063, 128.8868
1.600000, 83.257, 128.2979
1.625000, 83.436, 127.7363
1.650000, 83.604, 127.1948
1.675000, 83.762, 126.6671
1.700000, 83.914, 126.1477
1.725000, 84.062, 125.6316
1.750000, 84.211, 125.1146
1.775000, 84.362, 124.5789
1.800000, 84.518, 124.0084
1.825000, 84.682, 123.4315
1.850000, 84.851, 122.8598
1.875000, 85.019, 122.3110
1.900000, 85.185, 121.7889
1.925000, 85.349, 121.2910
1.950000, 85.510, 120.8142
1.975000, 85.669, 120.3439
2.000000, 85.826, 119.8665
2.030000, 86.011, 119.3086
2.060000, 86.194, 118.7612
2.090000, 86.373, 118.2194
2.120000, 86.551, 117.6789
2.140000, 86.668, 117.3171
2.180000, 86.899, 116.5673
2.200000, 87.013, 116.1719
2.240000, 87.238, 115.3952
2.270000, 87.403, 114.8339
2.300000, 87.565, 114.2908
2.330000, 87.725, 113.7640
2.360000, 87.882, 113.2507
2.400000, 88.089, 112.5456
2.430000, 88.240, 112.0211
2.470000, 88.440, 111.3299
2.500000, 88.587, 110.8145
2.540000, 88.780, 110.1272
2.580000, 88.971, 109.4256
2.620000, 89.157, 108.7047
2.650000, 89.295, 108.1759
2.690000, 89.475, 107.4865
2.720000, 89.607, 106.9806
2.760000, 89.781, 106.3209
2.800000, 89.952, 105.6379
2.850000, 90.160, 104.7930
2.900000, 90.364, 103.9588
2.950000, 90.563, 103.1313
3.000000, 90.756, 102.2866
3.040000, 90.907, 101.6117
3.070000, 91.018, 101.1130
3.110000, 91.164, 100.4590
3.150000, 91.306, 99.8173
3.200000, 91.480, 99.0021
3.250000, 91.650, 98.1895
3.300000, 91.816, 97.3899
3.350000, 91.977, 96.6000
3.400000, 92.134, 95.7939
3.450000, 92.286, 94.9904
3.500000, 92.434, 94.2031
3.550000, 92.579, 93.4350
3.600000, 92.719, 92.6599
3.650000, 92.857, 91.8915
3.700000, 92.991, 91.1357
3.750000, 93.121, 90.3872
3.820000, 93.298, 89.3279
3.870000, 93.420, 88.5819
3.950000, 93.609, 87.4258
4.000000, 93.723, 86.7047
4.060000, 93.856, 85.8476
4.120000, 93.984, 85.0037
4.180000, 94.109, 84.1668
4.250000, 94.248, 83.1854
4.310000, 94.364, 82.3711
4.370000, 94.477, 81.5802
4.440000, 94.603, 80.6562
4.500000, 94.708, 79.8782
4.550000, 94.793, 79.2408
4.620000, 94.908, 78.3462
4.680000, 95.003, 77.5979
4.750000, 95.111, 76.7564
4.820000, 95.215, 75.9203
4.870000, 95.288, 75.3304
4.940000, 95.386, 74.5227
5.000000, 95.467, 73.8352
5.080000, 95.573, 72.9381
5.150000, 95.663, 72.1837
5.220000, 95.750, 71.4312
5.300000, 95.846, 70.5870
5.380000, 95.940, 69.7672
5.450000, 96.019, 69.0544
5.520000, 96.095, 68.3673
5.600000, 96.180, 67.5952
5.700000, 96.282, 66.6445
5.800000, 96.380, 65.7253
5.900000, 96.476, 64.8276
6.000000, 96.570, 63.9571
6.080000, 96.643, 63.2703
6.150000, 96.705, 62.6890
6.220000, 96.766, 62.1068
6.300000, 96.835, 61.4558
6.400000, 96.918, 60.6584
6.500000, 96.998, 59.8710
6.600000, 97.078, 59.1026
6.700000, 97.156, 58.3377
6.800000, 97.232, 57.5883
6.900000, 97.306, 56.8453
7.000000, 97.378, 56.1194
7.100000, 97.446, 55.3986
7.200000, 97.511, 54.6913
7.300000, 97.576, 53.9913
7.400000, 97.638, 53.3063
7.500000, 97.700, 52.6274
7.620000, 97.771, 51.8280
7.750000, 97.845, 50.9810
