* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -8.4 dBFS, measurement signal peak level -8.4 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.6 dBFS using an acoustic timing reference
* Dated: Mar 6, 2025 8:56:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & Abigail Pro Delay -0.0663 ms (-23 mm, -0.9 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -26.3 ppm
* Measurement: Balanced R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 80.419, 140.5938
1.015000, 80.682, 140.0527
1.030000, 80.941, 139.5103
1.044000, 81.180, 139.0022
1.060000, 81.447, 138.4185
1.075000, 81.693, 137.8681
1.090000, 81.932, 137.3165
1.106000, 82.183, 136.7404
1.120000, 82.401, 136.2687
1.138000, 82.682, 135.7176
1.150000, 82.870, 135.3820
1.172000, 83.214, 134.8187
1.180000, 83.339, 134.6250
1.206000, 83.744, 134.0422
1.220000, 83.960, 133.7526
1.241000, 84.282, 133.3417
1.250000, 84.419, 133.1725
1.265000, 84.645, 132.8972
1.280000, 84.868, 132.6282
1.315000, 85.377, 132.0125
1.320000, 85.448, 131.9249
1.340000, 85.727, 131.5726
1.360000, 85.999, 131.2162
1.380000, 86.262, 130.8149
1.400000, 86.515, 130.3891
1.430000, 86.874, 129.7280
1.450000, 87.099, 129.2721
1.475000, 87.361, 128.7025
1.500000, 87.602, 128.1774
1.525000, 87.822, 127.7102
1.550000, 88.024, 127.2914
1.575000, 88.210, 126.8930
1.600000, 88.382, 126.4913
1.625000, 88.542, 126.1083
1.650000, 88.694, 125.7359
1.675000, 88.839, 125.3676
1.700000, 88.981, 124.9973
1.725000, 89.120, 124.6201
1.750000, 89.260, 124.2318
1.775000, 89.403, 123.8148
1.800000, 89.552, 123.3532
1.825000, 89.707, 122.8767
1.850000, 89.868, 122.4010
1.875000, 90.029, 121.9479
1.900000, 90.190, 121.5217
1.925000, 90.351, 121.1186
1.950000, 90.510, 120.7342
1.975000, 90.669, 120.3529
2.000000, 90.826, 119.9600
2.030000, 91.014, 119.4970
2.060000, 91.200, 119.0360
2.090000, 91.383, 118.5716
2.120000, 91.565, 118.0988
2.140000, 91.685, 117.7767
2.180000, 91.921, 117.0930
2.200000, 92.037, 116.7250
2.240000, 92.267, 115.9982
2.270000, 92.436, 115.4729
2.300000, 92.604, 114.9645
2.330000, 92.769, 114.4703
2.360000, 92.933, 113.9872
2.400000, 93.147, 113.3170
2.430000, 93.306, 112.8143
2.470000, 93.514, 112.1455
2.500000, 93.667, 111.6411
2.540000, 93.869, 110.9606
2.580000, 94.067, 110.2575
2.620000, 94.261, 109.5298
2.650000, 94.404, 108.9940
2.690000, 94.591, 108.2932
2.720000, 94.729, 107.7773
2.760000, 94.910, 107.1026
2.800000, 95.088, 106.4026
2.850000, 95.304, 105.5332
2.900000, 95.515, 104.6705
2.950000, 95.721, 103.8096
3.000000, 95.921, 102.9262
3.040000, 96.076, 102.2178
3.070000, 96.190, 101.6932
3.110000, 96.340, 101.0042
3.150000, 96.486, 100.3275
3.200000, 96.664, 99.4697
3.250000, 96.837, 98.6161
3.300000, 97.005, 97.7768
3.350000, 97.169, 96.9463
3.400000, 97.327, 96.0979
3.450000, 97.480, 95.2515
3.500000, 97.629, 94.4224
3.550000, 97.773, 93.6150
3.600000, 97.914, 92.8040
3.650000, 98.051, 92.0038
3.700000, 98.184, 91.2186
3.750000, 98.314, 90.4418
3.820000, 98.488, 89.3439
3.870000, 98.608, 88.5725
3.950000, 98.793, 87.3817
4.000000, 98.905, 86.6438
4.060000, 99.036, 85.7716
4.120000, 99.162, 84.9165
4.180000, 99.283, 84.0711
4.250000, 99.419, 83.0833
4.310000, 99.532, 82.2667
4.370000, 99.642, 81.4766
4.440000, 99.767, 80.5584
4.500000, 99.870, 79.7891
4.550000, 99.953, 79.1611
4.620000, 100.067, 78.2817
4.680000, 100.161, 77.5474
4.750000, 100.268, 76.7228
4.820000, 100.373, 75.9053
4.870000, 100.446, 75.3304
4.940000, 100.545, 74.5450
5.000000, 100.627, 73.8765
5.080000, 100.735, 73.0031
5.150000, 100.827, 72.2671
5.220000, 100.917, 71.5320
5.300000, 101.017, 70.7072
5.380000, 101.114, 69.9049
5.450000, 101.196, 69.2047
5.520000, 101.276, 68.5269
5.600000, 101.365, 67.7624
5.700000, 101.472, 66.8175
5.800000, 101.575, 65.9006
5.900000, 101.675, 65.0010
6.000000, 101.773, 64.1240
6.080000, 101.848, 63.4301
6.150000, 101.912, 62.8421
6.220000, 101.975, 62.2533
6.300000, 102.044, 61.5944
6.400000, 102.128, 60.7862
6.500000, 102.209, 59.9888
6.600000, 102.288, 59.2137
6.700000, 102.364, 58.4452
6.800000, 102.439, 57.6943
6.900000, 102.511, 56.9531
7.000000, 102.580, 56.2331
7.100000, 102.646, 55.5220
7.200000, 102.710, 54.8276
7.300000, 102.772, 54.1425
7.400000, 102.833, 53.4750
7.500000, 102.893, 52.8159
7.620000, 102.963, 52.0415
7.750000, 103.035, 51.2214
