* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -10.2 dBFS, measurement signal peak level -10.1 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.6 dBFS using an acoustic timing reference
* Dated: Mar 6, 2025 9:03:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & Abigail Pro Delay -0.0672 ms (-23 mm, -0.91 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -26.1 ppm
* Measurement: Foam L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 78.394, 146.1546
1.015000, 78.663, 145.5538
1.030000, 78.928, 144.9502
1.044000, 79.172, 144.3837
1.060000, 79.445, 143.7317
1.075000, 79.696, 143.1158
1.090000, 79.941, 142.4975
1.106000, 80.198, 141.8493
1.120000, 80.421, 141.3149
1.138000, 80.708, 140.6847
1.150000, 80.900, 140.2975
1.172000, 81.252, 139.6421
1.180000, 81.380, 139.4158
1.206000, 81.794, 138.7302
1.220000, 82.016, 138.3873
1.241000, 82.346, 137.8994
1.250000, 82.486, 137.6981
1.265000, 82.717, 137.3709
1.280000, 82.946, 137.0515
1.315000, 83.466, 136.3245
1.320000, 83.539, 136.2216
1.340000, 83.825, 135.8102
1.360000, 84.103, 135.3973
1.380000, 84.372, 134.9419
1.400000, 84.631, 134.4645
1.430000, 84.999, 133.7301
1.450000, 85.229, 133.2280
1.475000, 85.498, 132.6029
1.500000, 85.744, 132.0243
1.525000, 85.970, 131.5055
1.550000, 86.176, 131.0372
1.575000, 86.367, 130.5916
1.600000, 86.543, 130.1454
1.625000, 86.708, 129.7204
1.650000, 86.864, 129.3089
1.675000, 87.012, 128.9041
1.700000, 87.157, 128.5003
1.725000, 87.300, 128.0923
1.750000, 87.443, 127.6761
1.775000, 87.589, 127.2339
1.800000, 87.740, 126.7498
1.825000, 87.898, 126.2533
1.850000, 88.061, 125.7594
1.875000, 88.225, 125.2889
1.900000, 88.388, 124.8460
1.925000, 88.550, 124.4271
1.950000, 88.712, 124.0279
1.975000, 88.872, 123.6331
2.000000, 89.031, 123.2280
2.030000, 89.220, 122.7523
2.060000, 89.407, 122.2809
2.090000, 89.592, 121.8085
2.120000, 89.774, 121.3301
2.140000, 89.895, 121.0058
2.180000, 90.132, 120.3211
2.200000, 90.249, 119.9542
2.240000, 90.480, 119.2313
2.270000, 90.650, 118.7099
2.300000, 90.819, 118.2060
2.330000, 90.985, 117.7172
2.360000, 91.149, 117.2402
2.400000, 91.364, 116.5798
2.430000, 91.523, 116.0857
2.470000, 91.731, 115.4303
2.500000, 91.885, 114.9376
2.540000, 92.087, 114.2749
2.580000, 92.286, 113.5922
2.620000, 92.480, 112.8867
2.650000, 92.624, 112.3683
2.690000, 92.812, 111.6915
2.720000, 92.950, 111.1942
2.760000, 93.131, 110.5449
2.800000, 93.309, 109.8711
2.850000, 93.527, 109.0357
2.900000, 93.738, 108.2086
2.950000, 93.945, 107.3854
3.000000, 94.146, 106.5419
3.040000, 94.302, 105.8666
3.070000, 94.417, 105.3674
3.110000, 94.567, 104.7123
3.150000, 94.714, 104.0699
3.200000, 94.893, 103.2550
3.250000, 95.068, 102.4442
3.300000, 95.238, 101.6483
3.350000, 95.404, 100.8624
3.400000, 95.564, 100.0601
3.450000, 95.719, 99.2605
3.500000, 95.870, 98.4785
3.550000, 96.017, 97.7177
3.600000, 96.160, 96.9526
