* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -9.0 dBFS, measurement signal peak level -9.0 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.6 dBFS using an acoustic timing reference
* Dated: Mar 6, 2025 9:01:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & Abigail Pro Delay -0.0669 ms (-23 mm, -0.9 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -26.1 ppm
* Measurement: Foam R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 81.274, 146.5307
1.015000, 81.513, 145.8540
1.030000, 81.749, 145.1763
1.044000, 81.967, 144.5423
1.060000, 82.212, 143.8154
1.075000, 82.437, 143.1312
1.090000, 82.658, 142.4464
1.106000, 82.890, 141.7285
1.120000, 83.093, 141.1329
1.138000, 83.356, 140.4232
1.150000, 83.533, 139.9830
1.172000, 83.859, 139.2310
1.180000, 83.978, 138.9699
1.206000, 84.365, 138.1732
1.220000, 84.573, 137.7719
1.241000, 84.884, 137.1986
1.250000, 85.017, 136.9615
1.265000, 85.236, 136.5758
1.280000, 85.453, 136.1994
1.315000, 85.950, 135.3449
1.320000, 86.019, 135.2244
1.340000, 86.293, 134.7441
1.360000, 86.559, 134.2647
1.380000, 86.816, 133.7449
1.400000, 87.064, 133.2051
1.430000, 87.416, 132.3809
1.450000, 87.635, 131.8211
1.475000, 87.891, 131.1263
1.500000, 88.125, 130.4804
1.525000, 88.340, 129.8970
1.550000, 88.537, 129.3669
1.575000, 88.719, 128.8624
1.600000, 88.888, 128.3598
1.625000, 89.046, 127.8810
1.650000, 89.196, 127.4180
1.675000, 89.340, 126.9637
1.700000, 89.480, 126.5122
1.725000, 89.618, 126.0581
1.750000, 89.757, 125.5970
1.775000, 89.899, 125.1110
1.800000, 90.047, 124.5840
1.825000, 90.201, 124.0453
1.850000, 90.360, 123.5101
1.875000, 90.520, 122.9998
1.900000, 90.680, 122.5187
1.925000, 90.840, 122.0629
1.950000, 90.998, 121.6281
1.975000, 91.156, 121.1988
2.000000, 91.313, 120.7602
2.030000, 91.500, 120.2452
2.060000, 91.686, 119.7354
2.090000, 91.869, 119.2249
2.120000, 92.050, 118.7087
2.140000, 92.170, 118.3592
2.180000, 92.405, 117.6236
2.200000, 92.522, 117.2311
2.240000, 92.751, 116.4574
2.270000, 92.920, 115.8986
2.300000, 93.087, 115.3581
2.330000, 93.253, 114.8333
2.360000, 93.416, 114.3210
2.400000, 93.630, 113.6143
2.430000, 93.789, 113.0857
2.470000, 93.997, 112.3843
2.500000, 94.150, 111.8569
2.540000, 94.351, 111.1475
2.580000, 94.549, 110.4169
2.620000, 94.743, 109.6629
2.650000, 94.886, 109.1080
2.690000, 95.073, 108.3827
2.720000, 95.211, 107.8492
2.760000, 95.392, 107.1521
2.800000, 95.569, 106.4308
2.850000, 95.785, 105.5364
2.900000, 95.996, 104.6501
2.950000, 96.201, 103.7669
3.000000, 96.400, 102.8615
3.040000, 96.555, 102.1359
3.070000, 96.669, 101.5987
3.110000, 96.817, 100.8933
3.150000, 96.963, 100.2009
3.200000, 97.140, 99.3245
3.250000, 97.312, 98.4534
3.300000, 97.480, 97.5976
3.350000, 97.642, 96.7508
3.400000, 97.799, 95.8860
3.450000, 97.951, 95.0234
3.500000, 98.099, 94.1788
3.550000, 98.241, 93.3566
3.600000, 98.381, 92.5321
3.650000, 98.516, 91.7195
3.700000, 98.648, 90.9227
3.750000, 98.775, 90.1342
3.820000, 98.946, 89.0203
3.870000, 99.064, 88.2381
3.950000, 99.246, 87.0322
4.000000, 99.356, 86.2865
4.060000, 99.484, 85.4066
4.120000, 99.607, 84.5446
4.180000, 99.726, 83.6931
4.250000, 99.858, 82.6993
4.310000, 99.969, 81.8789
4.370000, 100.076, 81.0869
4.440000, 100.197, 80.1686
4.500000, 100.298, 79.4008
4.550000, 100.379, 78.7749
4.620000, 100.489, 77.8994
4.680000, 100.581, 77.1694
4.750000, 100.686, 76.3510
4.820000, 100.788, 75.5415
4.870000, 100.859, 74.9734
4.940000, 100.956, 74.1985
5.000000, 101.038, 73.5394
5.080000, 101.144, 72.6779
5.150000, 101.235, 71.9520
5.220000, 101.324, 71.2276
5.300000, 101.424, 70.4155
5.380000, 101.522, 69.6247
5.450000, 101.605, 68.9325
5.520000, 101.686, 68.2604
5.600000, 101.777, 67.5008
5.700000, 101.886, 66.5597
5.800000, 101.992, 65.6418
5.900000, 102.096, 64.7347
6.000000, 102.197, 63.8447
6.080000, 102.275, 63.1369
6.150000, 102.341, 62.5343
6.220000, 102.406, 61.9283
6.300000, 102.478, 61.2462
6.400000, 102.564, 60.4041
6.500000, 102.646, 59.5698
6.600000, 102.726, 58.7560
6.700000, 102.803, 57.9460
6.800000, 102.877, 57.1516
6.900000, 102.948, 56.3681
7.000000, 103.014, 55.6085
7.100000, 103.077, 54.8594
7.200000, 103.137, 54.1295
7.300000, 103.194, 53.4140
7.400000, 103.251, 52.7222
7.500000, 103.306, 52.0437
7.620000, 103.369, 51.2528
7.750000, 103.436, 50.4244
7.880000, 103.499, 49.6132
8.000000, 103.556, 48.8889
8.120000, 103.611, 48.1779
8.250000, 103.671, 47.4245
8.380000, 103.729, 46.6904
8.500000, 103.781, 46.0227
8.620000, 103.831, 45.3683
8.750000, 103.884, 44.6722
8.850000, 103.925, 44.1429
9.000000, 103.984, 43.3651
9.120000, 104.030, 42.7500
9.250000, 104.078, 42.0917
9.380000, 104.125, 41.4454
9.500000, 104.166, 40.8502
9.620000, 104.207, 40.2659
9.750000, 104.248, 39.6403
9.880000, 104.281, 39.0263
10.000000, 104.301, 38.4768
10.150000, 104.314, 37.7758
10.300000, 104.320, 37.1029
10.440000, 104.318, 36.4994
10.600000, 104.314, 35.8374
10.750000, 104.310, 35.2423
10.900000, 104.307, 34.6701
11.060000, 104.306, 34.0516
11.200000, 104.307, 33.4829
11.380000, 104.308, 32.7756
11.500000, 104.307, 32.3180
11.720000, 104.304, 31.5072
11.800000, 104.304, 31.2212
12.060000, 104.306, 30.3024
12.200000, 104.309, 29.7912
12.410000, 104.317, 29.0510
12.500000, 104.319, 28.7438
12.650000, 104.322, 28.2452
12.800000, 104.324, 27.7630
13.150000, 104.329, 26.6508
13.200000, 104.330, 26.4893
13.400000, 104.336, 25.8589
13.600000, 104.343, 25.2516
13.800000, 104.350, 24.6656
14.000000, 104.357, 24.0944
14.300000, 104.368, 23.2017
14.500000, 104.373, 22.6254
14.750000, 104.378, 21.9303
15.000000, 104.382, 21.2615
15.250000, 104.391, 20.5711
15.500000, 104.401, 19.9086
15.750000, 104.409, 19.2756
16.000000, 104.416, 18.6688
16.250000, 104.423, 18.0410
16.500000, 104.430, 17.4344
16.750000, 104.436, 16.8482
17.000000, 104.444, 16.2771
17.250000, 104.453, 15.6898
17.500000, 104.460, 15.1168
17.750000, 104.467, 14.5621
18.000000, 104.472, 14.0221
18.250000, 104.477, 13.4686
18.500000, 104.482, 12.9297
18.750000, 104.485, 12.4089
19.000000, 104.489, 11.9051
19.250000, 104.494, 11.3888
19.500000, 104.500, 10.8882
19.750000, 104.504, 10.4032
20.000000, 104.509, 9.9327
20.299999, 104.514, 9.3521
20.600000, 104.519, 8.7888
20.900000, 104.523, 8.2412
21.200001, 104.526, 7.6889
