* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -9.1 dBFS, measurement signal peak level -9.2 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.6 dBFS using an acoustic timing reference
* Dated: Mar 6, 2025 8:39:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & Abigail Pro Delay -0.0665 ms (-23 mm, -0.9 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -26.2 ppm
* Measurement: Vocal L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 77.352, 142.8902
1.015000, 77.682, 142.4900
1.030000, 78.007, 142.1436
1.044000, 78.304, 141.8674
1.060000, 78.637, 141.6048
1.075000, 78.941, 141.4027
1.090000, 79.237, 141.1989
1.106000, 79.545, 140.7915
1.120000, 79.811, 140.2675
1.138000, 80.150, 139.5936
1.150000, 80.374, 139.1750
1.172000, 80.781, 138.4667
1.180000, 80.927, 138.2226
1.206000, 81.398, 137.4841
1.220000, 81.647, 137.1154
1.241000, 82.016, 136.5918
1.250000, 82.171, 136.3763
1.265000, 82.427, 136.0264
1.280000, 82.679, 135.6858
1.315000, 83.249, 134.9141
1.320000, 83.329, 134.8054
1.340000, 83.640, 134.3716
1.360000, 83.942, 133.9381
1.380000, 84.234, 133.4636
1.400000, 84.515, 132.9686
1.430000, 84.915, 132.2101
1.450000, 85.167, 131.6932
1.475000, 85.462, 131.0507
1.500000, 85.733, 130.4548
1.525000, 85.981, 129.9189
1.550000, 86.206, 129.4337
1.575000, 86.413, 128.9719
1.600000, 86.603, 128.5100
1.625000, 86.780, 128.0704
1.650000, 86.947, 127.6454
1.675000, 87.105, 127.2285
1.700000, 87.258, 126.8139
1.725000, 87.408, 126.3968
1.750000, 87.558, 125.9731
1.775000, 87.710, 125.5252
1.800000, 87.869, 125.0372
1.825000, 88.034, 124.5383
1.850000, 88.203, 124.0424
1.875000, 88.373, 123.5695
1.900000, 88.542, 123.1236
1.925000, 88.708, 122.7012
1.950000, 88.873, 122.2985
1.975000, 89.036, 121.9005
2.000000, 89.197, 121.4927
2.030000, 89.388, 121.0147
2.060000, 89.576, 120.5425
2.090000, 89.762, 120.0710
2.120000, 89.946, 119.5955
2.140000, 90.067, 119.2743
2.180000, 90.305, 118.5988
2.200000, 90.423, 118.2377
2.240000, 90.655, 117.5273
2.270000, 90.826, 117.0151
2.300000, 90.994, 116.5204
2.330000, 91.160, 116.0407
2.360000, 91.323, 115.5731
2.400000, 91.537, 114.9258
2.430000, 91.695, 114.4422
2.470000, 91.902, 113.8018
2.500000, 92.055, 113.3215
2.540000, 92.256, 112.6771
2.580000, 92.453, 112.0144
2.620000, 92.646, 111.3301
2.650000, 92.789, 110.8279
2.690000, 92.975, 110.1728
2.720000, 93.113, 109.6918
2.760000, 93.293, 109.0642
2.800000, 93.469, 108.4121
2.850000, 93.684, 107.6038
2.900000, 93.895, 106.8039
2.950000, 94.100, 106.0088
3.000000, 94.300, 105.1945
3.040000, 94.455, 104.5430
3.070000, 94.569, 104.0616
3.110000, 94.719, 103.4302
3.150000, 94.865, 102.8110
3.200000, 95.044, 102.0240
3.250000, 95.218, 101.2399
3.300000, 95.388, 100.4693
3.350000, 95.553, 99.7087
3.400000, 95.713, 98.9319
3.450000, 95.869, 98.1576
3.500000, 96.020, 97.4000
3.550000, 96.167, 96.6623
3.600000, 96.310, 95.9185
3.650000, 96.451, 95.1827
3.700000, 96.587, 94.4608
3.750000, 96.720, 93.7476
3.820000, 96.900, 92.7389
3.870000, 97.025, 92.0298
3.950000, 97.217, 90.9340
4.000000, 97.334, 90.2515
4.060000, 97.470, 89.4423
4.120000, 97.602, 88.6485
4.180000, 97.730, 87.8635
4.250000, 97.873, 86.9436
4.310000, 97.993, 86.1819
4.370000, 98.109, 85.4429
4.440000, 98.241, 84.5801
4.500000, 98.351, 83.8560
4.550000, 98.440, 83.2643
4.620000, 98.560, 82.4335
4.680000, 98.661, 81.7386
4.750000, 98.776, 80.9569
4.820000, 98.887, 80.1792
4.870000, 98.965, 79.6312
4.940000, 99.071, 78.8817
5.000000, 99.159, 78.2428
5.080000, 99.274, 77.4071
5.150000, 99.373, 76.7025
5.220000, 99.469, 75.9977
5.300000, 99.575, 75.2061
5.380000, 99.679, 74.4361
5.450000, 99.767, 73.7638
5.520000, 99.852, 73.1138
5.600000, 99.947, 72.3810
5.700000, 100.062, 71.4754
5.800000, 100.173, 70.5977
5.900000, 100.281, 69.7374
6.000000, 100.385, 68.9005
6.080000, 100.467, 68.2386
6.150000, 100.537, 67.6782
6.220000, 100.606, 67.1164
6.300000, 100.682, 66.4882
6.400000, 100.775, 65.7180
6.500000, 100.865, 64.9576
6.600000, 100.953, 64.2170
6.700000, 101.039, 63.4810
6.800000, 101.124, 62.7609
6.900000, 101.206, 62.0483
7.000000, 101.286, 61.3539
7.100000, 101.362, 60.6659
7.200000, 101.436, 59.9924
7.300000, 101.508, 59.3263
7.400000, 101.580, 58.6756
7.500000, 101.650, 58.0315
7.620000, 101.731, 57.2736
7.750000, 101.816, 56.4702
7.880000, 101.897, 55.6733
8.000000, 101.970, 54.9564
8.120000, 102.040, 54.2493
8.250000, 102.113, 53.4960
8.380000, 102.184, 52.7621
8.500000, 102.246, 52.0975
8.620000, 102.306, 51.4489
8.750000, 102.369, 50.7637
8.850000, 102.416, 50.2479
9.000000, 102.486, 49.4975
9.120000, 102.540, 48.9097
9.250000, 102.598, 48.2863
9.380000, 102.655, 47.6798
9.500000, 102.707, 47.1226
9.620000, 102.758, 46.5767
9.750000, 102.812, 45.9924
9.880000, 102.858, 45.4164
10.000000, 102.892, 44.8978
10.150000, 102.922, 44.2296
10.300000, 102.944, 43.5814
10.440000, 102.959, 42.9933
10.600000, 102.971, 42.3412
10.750000, 102.983, 41.7493
10.900000, 102.995, 41.1757
11.060000, 103.008, 40.5540
11.200000, 103.021, 39.9820
11.380000, 103.035, 39.2724
11.500000, 103.043, 38.8157
11.720000, 103.055, 38.0114
11.800000, 103.060, 37.7296
12.060000, 103.080, 36.8294
12.200000, 103.094, 36.3297
12.410000, 103.117, 35.6069
12.500000, 103.126, 35.3064
12.650000, 103.140, 34.8172
12.800000, 103.154, 34.3419
13.150000, 103.185, 33.2351
13.200000, 103.190, 33.0733
13.400000, 103.210, 32.4398
13.600000, 103.230, 31.8281
13.800000, 103.250, 31.2374
14.000000, 103.270, 30.6624
14.300000, 103.299, 29.7661
14.500000, 103.317, 29.1878
14.750000, 103.338, 28.4886
15.000000, 103.358, 27.8123
15.250000, 103.383, 27.1095
15.500000, 103.408, 26.4302
15.750000, 103.431, 25.7776
16.000000, 103.452, 25.1503
16.250000, 103.472, 24.5027
16.500000, 103.491, 23.8777
16.750000, 103.510, 23.2742
17.000000, 103.530, 22.6859
17.250000, 103.551, 22.0811
17.500000, 103.571, 21.4897
17.750000, 103.588, 20.9169
18.000000, 103.605, 20.3605
18.250000, 103.620, 19.7933
18.500000, 103.635, 19.2437
18.750000, 103.650, 18.7137
19.000000, 103.666, 18.2000
19.250000, 103.683, 17.6698
19.500000, 103.701, 17.1495
19.750000, 103.717, 16.6384
20.000000, 103.733, 16.1365
20.299999, 103.750, 15.5155
20.600000, 103.766, 14.9143
20.900000, 103.780, 14.3348
21.200001, 103.793, 13.7556
21.400000, 103.802, 13.3713
21.799999, 103.817, 12.6173
22.000000, 103.824, 12.2439
22.400000, 103.836, 11.4790
22.700001, 103.842, 10.9207
23.000000, 103.845, 10.3818
23.299999, 103.847, 9.8525
23.600000, 103.849, 9.3462
24.000000, 103.855, 8.6980
24.299999, 103.861, 8.2042
24.700001, 103.870, 7.5482
25.000000, 103.875, 7.0589
25.400000, 103.879, 6.3995
25.799999, 103.880, 5.7661
26.200001, 103.880, 5.1501
26.500000, 103.880, 4.6954
26.900000, 103.881, 4.1061
27.200001, 103.882, 3.6656
27.600000, 103.882, 3.0829
28.000000, 103.881, 2.5134
28.500000, 103.879, 1.7983
29.000000, 103.875, 1.1076
29.500000, 103.871, 0.4323
30.000000, 103.863, -0.2302
30.400000, 103.856, -0.7684
30.700001, 103.849, -1.1641
31.100000, 103.839, -1.6823
31.500000, 103.829, -2.1968
32.000000, 103.815, -2.8254
32.500000, 103.799, -3.4456
33.000000, 103.781, -4.0443
33.500000, 103.763, -4.6433
34.000000, 103.748, -5.2257
34.500000, 103.734, -5.7966
35.000000, 103.720, -6.3620
35.500000, 103.703, -6.9280
36.000000, 103.686, -7.4757
36.500000, 103.668, -8.0084
37.000000, 103.649, -8.5250
37.500000, 103.630, -9.0403
38.200001, 103.603, -9.7373
38.700001, 103.583, -10.2236
39.500000, 103.554, -11.0009
40.000000, 103.534, -11.4860
40.599998, 103.506, -12.0767
41.200001, 103.476, -12.6426
41.799999, 103.447, -13.1910
42.500000, 103.412, -13.8175
43.099998, 103.383, -14.3417
43.700001, 103.357, -14.8535
44.400002, 103.326, -15.4671
45.000000, 103.296, -15.9875
45.500000, 103.271, -16.3930
46.200001, 103.239, -16.9539
46.799999, 103.213, -17.4557
