* Measurement data measured by REW V5.31.3
* Source: Headset (DS by VECLAN.COM), MICROPHONE (Master Volume), L, volume: 0.720. Timing signal peak level -8.6 dBFS, measurement signal peak level -8.6 dBFS
* Format: 2M Log Swept Sine, 1 sweep at -30.6 dBFS using an acoustic timing reference
* Dated: Mar 6, 2025 8:58:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: ; Fosi DS1 & Abigail Pro Delay -0.0659 ms (-23 mm, -0.89 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -26.2 ppm
* Measurement: Vocal R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 81.180, 131.4809
1.015000, 81.448, 131.2104
1.030000, 81.713, 130.9351
1.044000, 81.956, 130.6729
1.060000, 82.228, 130.3666
1.075000, 82.478, 130.0727
1.090000, 82.723, 129.7739
1.106000, 82.979, 129.4618
1.120000, 83.200, 129.2135
1.138000, 83.484, 128.9378
1.150000, 83.672, 128.7785
1.172000, 84.014, 128.5239
1.180000, 84.138, 128.4381
1.206000, 84.535, 128.1911
1.220000, 84.747, 128.0735
1.241000, 85.059, 127.9103
1.250000, 85.192, 127.8436
1.265000, 85.410, 127.7350
1.280000, 85.624, 127.6275
1.315000, 86.111, 127.3706
1.320000, 86.179, 127.3324
1.340000, 86.445, 127.1734
1.360000, 86.703, 127.0043
1.380000, 86.952, 126.7844
1.400000, 87.193, 126.5350
1.430000, 87.534, 126.1299
1.450000, 87.748, 125.8392
1.475000, 87.999, 125.4695
1.500000, 88.229, 125.1339
1.525000, 88.437, 124.8449
1.550000, 88.627, 124.5937
1.575000, 88.800, 124.3531
1.600000, 88.960, 124.1003
1.625000, 89.108, 123.8581
1.650000, 89.247, 123.6193
1.675000, 89.380, 123.3779
1.700000, 89.509, 123.1287
1.725000, 89.637, 122.8673
1.750000, 89.765, 122.5901
1.775000, 89.897, 122.2799
1.800000, 90.035, 121.9214
1.825000, 90.180, 121.5445
1.850000, 90.330, 121.1647
1.875000, 90.483, 120.8033
1.900000, 90.635, 120.4645
1.925000, 90.786, 120.1445
1.950000, 90.937, 119.8391
1.975000, 91.088, 119.5329
2.000000, 91.237, 119.2114
2.030000, 91.415, 118.8294
2.060000, 91.592, 118.4449
2.090000, 91.767, 118.0526
2.120000, 91.940, 117.6481
2.140000, 92.055, 117.3696
2.180000, 92.280, 116.7688
2.200000, 92.392, 116.4404
2.240000, 92.612, 115.7896
2.270000, 92.775, 115.3184
2.300000, 92.936, 114.8616
2.330000, 93.095, 114.4163
2.360000, 93.253, 113.9793
2.400000, 93.461, 113.3667
2.430000, 93.614, 112.9040
2.470000, 93.816, 112.2845
2.500000, 93.965, 111.8144
2.540000, 94.160, 111.1760
2.580000, 94.352, 110.5116
2.620000, 94.541, 109.8204
2.650000, 94.681, 109.3106
2.690000, 94.864, 108.6423
2.720000, 94.999, 108.1493
2.760000, 95.176, 107.5027
2.800000, 95.349, 106.8280
2.850000, 95.562, 105.9862
2.900000, 95.769, 105.1465
2.950000, 95.970, 104.3045
3.000000, 96.167, 103.4374
3.040000, 96.320, 102.7404
3.070000, 96.432, 102.2235
3.110000, 96.579, 101.5432
3.150000, 96.723, 100.8737
3.200000, 96.899, 100.0225
3.250000, 97.070, 99.1725
3.300000, 97.236, 98.3341
3.350000, 97.398, 97.5019
3.400000, 97.554, 96.6498
3.450000, 97.706, 95.7982
3.500000, 97.853, 94.9624
3.550000, 97.995, 94.1468
3.600000, 98.134, 93.3263
3.650000, 98.270, 92.5149
3.700000, 98.401, 91.7170
3.750000, 98.529, 90.9256
3.820000, 98.701, 89.8051
3.870000, 98.819, 89.0166
3.950000, 99.002, 87.7974
4.000000, 99.112, 87.0415
4.060000, 99.240, 86.1472
4.120000, 99.364, 85.2684
4.180000, 99.482, 84.3983
4.250000, 99.616, 83.3812
4.310000, 99.726, 82.5400
4.370000, 99.833, 81.7262
4.440000, 99.955, 80.7812
4.500000, 100.055, 79.9887
4.550000, 100.135, 79.3414
4.620000, 100.245, 78.4354
