* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -34.7 dBFS, measurement signal peak level -32.1 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -33.6 dBFS using an acoustic timing reference
* Dated: Apr 26, 2025 1:26:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay -0.0279 ms (-9.6 mm, -0.38 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -26.9 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 40.865, 46.1536
1.015000, 40.839, 44.7774
1.030000, 40.825, 43.4314
1.044000, 40.823, 42.1977
1.060000, 40.835, 40.8088
1.075000, 40.861, 39.5224
1.090000, 40.902, 38.2489
1.106000, 40.963, 36.9154
1.120000, 41.033, 35.7940
1.138000, 41.144, 34.4359
1.150000, 41.230, 33.5857
1.172000, 41.413, 32.0521
1.180000, 41.487, 31.4382
1.206000, 41.750, 29.5803
1.220000, 41.905, 28.6589
1.241000, 42.152, 27.3739
1.250000, 42.263, 26.8569
1.265000, 42.454, 26.0374
1.280000, 42.650, 25.2676
1.315000, 43.126, 23.6455
1.320000, 43.195, 23.4319
1.340000, 43.474, 22.6179
1.360000, 43.754, 21.8677
1.380000, 44.032, 21.0424
1.400000, 44.304, 20.2154
1.430000, 44.699, 19.0528
1.450000, 44.950, 18.3236
1.475000, 45.249, 17.4748
1.500000, 45.545, 16.7336
1.525000, 45.843, 16.1088
1.550000, 46.143, 15.5870
1.575000, 46.444, 15.0809
1.600000, 46.747, 14.5189
1.625000, 47.050, 14.0182
1.650000, 47.352, 13.5670
1.675000, 47.654, 13.1553
1.700000, 47.954, 12.7741
1.725000, 48.252, 12.4160
1.750000, 48.548, 12.0748
1.775000, 48.840, 11.6917
1.800000, 49.127, 11.2117
1.825000, 49.411, 10.7421
1.850000, 49.691, 10.2962
1.875000, 49.968, 9.8965
1.900000, 50.242, 9.5460
1.925000, 50.515, 9.2389
1.950000, 50.784, 8.9701
1.975000, 51.052, 8.6821
2.000000, 51.317, 8.3204
2.030000, 51.632, 7.9167
2.060000, 51.944, 7.5325
2.090000, 52.253, 7.1605
2.120000, 52.558, 6.7940
2.140000, 52.760, 6.5500
2.180000, 53.158, 6.0066
2.200000, 53.356, 5.6874
2.240000, 53.745, 5.0821
2.270000, 54.033, 4.6692
2.300000, 54.318, 4.2883
2.330000, 54.599, 3.9338
2.360000, 54.876, 3.5991
2.400000, 55.242, 3.0563
2.430000, 55.512, 2.6430
2.470000, 55.868, 2.0974
2.500000, 56.132, 1.6869
2.540000, 56.479, 1.1324
2.580000, 56.821, 0.5346
2.620000, 57.158, -0.1242
2.650000, 57.407, -0.5963
2.690000, 57.735, -1.2011
2.720000, 57.977, -1.6395
2.760000, 58.295, -2.2056
2.800000, 58.608, -2.8498
2.850000, 58.993, -3.6633
2.900000, 59.369, -4.4812
2.950000, 59.738, -5.3057
3.000000, 60.098, -6.1898
3.040000, 60.380, -6.9075
3.070000, 60.589, -7.4362
3.110000, 60.862, -8.1294
3.150000, 61.131, -8.8113
3.200000, 61.460, -9.7094
3.250000, 61.782, -10.6279
3.300000, 62.097, -11.5453
3.350000, 62.404, -12.4604
3.400000, 62.704, -13.4269
3.450000, 62.997, -14.4048
3.500000, 63.282, -15.3660
3.550000, 63.560, -16.3080
3.600000, 63.832, -17.2789
3.650000, 64.097, -18.2557
3.700000, 64.355, -19.2268
3.750000, 64.606, -20.1973
3.820000, 64.947, -21.6065
3.870000, 65.182, -22.6094
3.950000, 65.545, -24.1705
4.000000, 65.765, -25.1507
4.060000, 66.021, -26.3239
4.120000, 66.268, -27.4898
4.180000, 66.507, -28.6572
4.250000, 66.775, -30.0424
4.310000, 66.996, -31.1929
4.370000, 67.211, -32.3100
4.440000, 67.453, -33.6195
4.500000, 67.653, -34.7278
4.550000, 67.813, -35.6389
4.620000, 68.031, -36.9230
4.680000, 68.211, -37.9962
4.750000, 68.416, -39.1977
4.820000, 68.613, -40.3879
4.870000, 68.750, -41.2268
4.940000, 68.935, -42.3747
5.000000, 69.090, -43.3492
5.080000, 69.290, -44.6153
5.150000, 69.462, -45.6729
5.220000, 69.629, -46.7171
5.300000, 69.815, -47.8809
5.380000, 69.996, -49.0085
5.450000, 70.153, -49.9859
5.520000, 70.308, -50.9282
5.600000, 70.484, -51.9798
5.700000, 70.700, -53.2707
5.800000, 70.915, -54.5331
5.900000, 71.128, -55.7869
6.000000, 71.342, -57.0160
6.080000, 71.511, -57.9994
6.150000, 71.659, -58.8526
6.220000, 71.805, -59.7222
6.300000, 71.972, -60.7196
6.400000, 72.179, -61.9706
6.500000, 72.383, -63.2402
6.600000, 72.582, -64.5260
6.700000, 72.776, -65.8432
6.800000, 72.966, -67.1759
6.900000, 73.148, -68.5251
7.000000, 73.322, -69.8826
7.100000, 73.487, -71.2644
7.200000, 73.644, -72.6495
7.300000, 73.792, -74.0273
7.400000, 73.930, -75.3920
7.500000, 74.057, -76.7579
7.620000, 74.199, -78.3637
7.750000, 74.337, -80.0357
7.880000, 74.461, -81.6587
8.000000, 74.565, -83.0864
8.120000, 74.661, -84.4314
8.250000, 74.758, -85.8024
8.380000, 74.852, -87.0845
8.500000, 74.939, -88.1865
8.620000, 75.026, -89.2129
8.750000, 75.125, -90.2656
8.850000, 75.206, -91.0434
9.000000, 75.335, -92.1565
9.120000, 75.445, -93.0371
9.250000, 75.570, -94.0021
9.380000, 75.701, -94.9776
9.500000, 75.824, -95.9110
9.620000, 75.947, -96.8832
9.750000, 76.078, -97.9764
9.880000, 76.195, -99.1070
10.000000, 76.286, -100.1801
10.150000, 76.379, -101.5751
10.300000, 76.450, -102.9598
10.440000, 76.498, -104.2357
10.600000, 76.537, -105.6396
10.750000, 76.564, -106.8735
10.900000, 76.583, -108.0239
11.060000, 76.599, -109.1544
11.200000, 76.613, -110.0730
11.380000, 76.638, -111.1487
11.500000, 76.660, -111.8070
11.720000, 76.720, -112.9512
11.800000, 76.748, -113.3635
12.060000, 76.862, -114.7497
12.200000, 76.932, -115.5777
12.410000, 77.040, -116.9068
12.500000, 77.083, -117.5095
12.650000, 77.148, -118.5540
12.800000, 77.203, -119.6247
13.150000, 77.280, -122.1421
13.200000, 77.286, -122.4914
13.400000, 77.300, -123.8253
13.600000, 77.303, -125.0306
13.800000, 77.304, -126.0904
14.000000, 77.311, -127.0257
14.300000, 77.343, -128.2987
14.500000, 77.381, -129.1134
14.750000, 77.442, -130.1676
15.000000, 77.510, -131.3014
15.250000, 77.572, -132.5331
15.500000, 77.618, -133.7815
15.750000, 77.646, -134.9795
16.000000, 77.660, -136.0664
16.250000, 77.674, -137.0451
16.500000, 77.696, -137.9192
