* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -34.8 dBFS, measurement signal peak level -31.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -33.6 dBFS using an acoustic timing reference
* Dated: Apr 26, 2025 1:28:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay -0.0299 ms (-10 mm, -0.4 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -27.1 ppm
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 44.206, 60.9479
1.015000, 44.032, 60.6946
1.030000, 43.869, 60.4145
1.044000, 43.729, 60.1263
1.060000, 43.584, 59.7621
1.075000, 43.466, 59.3835
1.090000, 43.366, 58.9661
1.106000, 43.277, 58.4781
1.120000, 43.211, 58.0203
1.138000, 43.136, 57.3971
1.150000, 43.093, 56.9626
1.172000, 43.027, 56.0415
1.180000, 43.007, 55.6040
1.206000, 42.956, 54.1603
1.220000, 42.937, 53.3675
1.241000, 42.920, 52.1631
1.250000, 42.916, 51.6425
1.265000, 42.916, 50.7705
1.280000, 42.922, 49.8946
1.315000, 42.958, 47.8443
1.320000, 42.965, 47.5514
1.340000, 43.002, 46.3819
1.360000, 43.048, 45.2217
1.380000, 43.103, 43.9406
1.400000, 43.166, 42.6199
1.430000, 43.275, 40.6607
1.450000, 43.357, 39.3714
1.475000, 43.471, 37.7927
1.500000, 43.606, 36.2854
1.525000, 43.762, 34.8670
1.550000, 43.937, 33.5382
1.575000, 44.131, 32.2235
1.600000, 44.339, 30.8600
1.625000, 44.561, 29.5715
1.650000, 44.793, 28.3507
1.675000, 45.034, 27.1908
1.700000, 45.282, 26.0847
1.725000, 45.534, 25.0262
1.750000, 45.788, 24.0096
1.775000, 46.042, 22.9763
1.800000, 46.293, 21.8713
1.825000, 46.542, 20.8021
1.850000, 46.790, 19.7840
1.875000, 47.043, 18.8420
1.900000, 47.302, 17.9796
1.925000, 47.567, 17.1897
1.950000, 47.837, 16.4654
1.975000, 48.110, 15.7474
2.000000, 48.385, 14.9792
2.030000, 48.718, 14.1160
2.060000, 49.052, 13.3003
2.090000, 49.385, 12.5216
2.120000, 49.715, 11.7710
2.140000, 49.933, 11.2823
