* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -38.3 dBFS, measurement signal peak level -31.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -32.2 dBFS using an acoustic timing reference
* Dated: Aug 23, 2025 8:52:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0359 ms (-12 mm, -0.48 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -27.6 ppm
* Measurement: Black L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 61.662, -152.3456
1.015000, 61.928, -152.9436
1.030000, 62.189, -153.5148
1.044000, 62.427, -154.0298
1.060000, 62.688, -154.6030
1.075000, 62.921, -155.1299
1.090000, 63.142, -155.6465
1.106000, 63.367, -156.1653
1.120000, 63.560, -156.5547
1.138000, 63.811, -156.9479
1.150000, 63.979, -157.1475
1.172000, 64.290, -157.4912
1.180000, 64.404, -157.6772
1.206000, 64.776, -158.1761
1.220000, 64.976, -158.3918
1.241000, 65.279, -158.6597
1.250000, 65.408, -158.7572
1.265000, 65.624, -158.9007
1.280000, 65.840, -159.0242
1.315000, 66.341, -159.2556
1.320000, 66.412, -159.2839
1.340000, 66.696, -159.3898
1.360000, 66.978, -159.4836
1.380000, 67.256, -159.7023
1.400000, 67.531, -159.9708
1.430000, 67.937, -160.3809
1.450000, 68.201, -160.6613
1.475000, 68.525, -160.9988
1.500000, 68.844, -161.2663
1.525000, 69.157, -161.4476
1.550000, 69.467, -161.5560
1.575000, 69.772, -161.6785
1.600000, 70.074, -161.8866
1.625000, 70.372, -162.0623
1.650000, 70.667, -162.2167
1.675000, 70.958, -162.3590
1.700000, 71.247, -162.4972
1.725000, 71.532, -162.6381
1.750000, 71.816, -162.7869
1.775000, 72.097, -163.0017
1.800000, 72.376, -163.3367
1.825000, 72.653, -163.6836
1.850000, 72.928, -164.0255
1.875000, 73.200, -164.3356
1.900000, 73.470, -164.6084
1.925000, 73.736, -164.8483
1.950000, 74.001, -165.0598
1.975000, 74.262, -165.2995
2.000000, 74.521, -165.6213
2.030000, 74.828, -165.9878
2.060000, 75.132, -166.3460
2.090000, 75.432, -166.7028
2.120000, 75.729, -167.0647
2.140000, 75.925, -167.3116
2.180000, 76.313, -167.8750
2.200000, 76.505, -168.2117
2.240000, 76.884, -168.8669
2.270000, 77.164, -169.3285
2.300000, 77.440, -169.7650
2.330000, 77.713, -170.1798
2.360000, 77.983, -170.5782
2.400000, 78.337, -171.2087
2.430000, 78.599, -171.6888
2.470000, 78.944, -172.3236
2.500000, 79.199, -172.8007
2.540000, 79.535, -173.4437
2.580000, 79.865, -174.1324
2.620000, 80.191, -174.8900
2.650000, 80.431, -175.4408
2.690000, 80.747, -176.1542
2.720000, 80.980, -176.6745
2.760000, 81.286, -177.3480
2.800000, 81.587, -178.0950
2.850000, 81.956, -179.0280
2.900000, 82.318, -179.9533
2.950000, 82.672, 179.1241
3.000000, 83.018, 178.1415
3.040000, 83.288, 177.3438
3.070000, 83.488, 176.7556
3.110000, 83.750, 175.9856
3.150000, 84.007, 175.2317
3.200000, 84.322, 174.2529
3.250000, 84.631, 173.2668
3.300000, 84.933, 172.2955
3.350000, 85.228, 171.3355
3.400000, 85.516, 170.3284
3.450000, 85.797, 169.3143
3.500000, 86.071, 168.3228
3.550000, 86.339, 167.3579
3.600000, 86.602, 166.3734
3.650000, 86.858, 165.3938
3.700000, 87.109, 164.4308
3.750000, 87.354, 163.4776
3.820000, 87.686, 162.1034
3.870000, 87.917, 161.1317
3.950000, 88.275, 159.6299
4.000000, 88.494, 158.6931
4.060000, 88.750, 157.5812
4.120000, 88.998, 156.4895
4.180000, 89.240, 155.4063
4.250000, 89.514, 154.1255
4.310000, 89.743, 153.0652
4.370000, 89.966, 152.0369
4.440000, 90.221, 150.8338
4.500000, 90.433, 149.8250
