* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -37.2 dBFS, measurement signal peak level -31.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -32.2 dBFS using an acoustic timing reference
* Dated: Aug 23, 2025 8:48:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0346 ms (-12 mm, -0.47 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -27.6 ppm
* Measurement: Black R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 62.308, -138.6461
1.015000, 62.411, -139.5770
1.030000, 62.519, -140.4821
1.044000, 62.623, -141.3093
1.060000, 62.747, -142.2396
1.075000, 62.867, -143.1019
1.090000, 62.990, -143.9552
1.106000, 63.128, -144.8376
1.120000, 63.256, -145.5520
1.138000, 63.433, -146.3694
1.150000, 63.558, -146.8523
1.172000, 63.802, -147.7093
1.180000, 63.895, -148.0787
1.206000, 64.210, -149.1566
1.220000, 64.387, -149.6716
1.241000, 64.661, -150.3705
1.250000, 64.781, -150.6459
1.265000, 64.984, -151.0767
1.280000, 65.190, -151.4760
1.315000, 65.679, -152.3082
1.320000, 65.749, -152.4177
1.340000, 66.031, -152.8368
1.360000, 66.311, -153.2269
1.380000, 66.590, -153.7262
1.400000, 66.864, -154.2607
1.430000, 67.263, -155.0450
1.450000, 67.519, -155.5602
1.475000, 67.829, -156.1780
1.500000, 68.134, -156.7154
1.525000, 68.437, -157.1563
1.550000, 68.740, -157.5121
1.575000, 69.041, -157.8690
1.600000, 69.340, -158.2977
1.625000, 69.638, -158.6805
1.650000, 69.934, -159.0285
1.675000, 70.228, -159.3515
1.700000, 70.519, -159.6581
1.725000, 70.808, -159.9557
1.750000, 71.095, -160.2504
1.775000, 71.379, -160.6008
1.800000, 71.659, -161.0621
1.825000, 71.937, -161.5270
1.850000, 72.212, -161.9812
1.875000, 72.484, -162.4003
1.900000, 72.753, -162.7789
1.925000, 73.020, -163.1204
1.950000, 73.284, -163.4288
1.975000, 73.546, -163.7600
2.000000, 73.806, -164.1678
2.030000, 74.114, -164.6296
2.060000, 74.418, -165.0742
2.090000, 74.719, -165.5086
2.120000, 75.017, -165.9391
2.140000, 75.213, -166.2269
2.180000, 75.601, -166.8611
2.200000, 75.793, -167.2284
2.240000, 76.171, -167.9401
2.270000, 76.451, -168.4416
2.300000, 76.727, -168.9154
2.330000, 76.999, -169.3647
2.360000, 77.268, -169.7941
2.400000, 77.621, -170.4597
2.430000, 77.882, -170.9610
2.470000, 78.225, -171.6166
2.500000, 78.479, -172.1033
2.540000, 78.813, -172.7508
2.580000, 79.142, -173.4358
2.620000, 79.466, -174.1846
2.650000, 79.705, -174.7270
2.690000, 80.019, -175.4266
2.720000, 80.251, -175.9347
2.760000, 80.555, -176.5891
2.800000, 80.854, -177.3136
2.850000, 81.222, -178.2126
2.900000, 81.582, -179.0965
2.950000, 81.934, -179.9698
3.000000, 82.279, 179.1038
3.040000, 82.548, 178.3542
3.070000, 82.747, 177.8035
3.110000, 83.009, 177.0847
3.150000, 83.265, 176.3830
3.200000, 83.580, 175.4705
3.250000, 83.889, 174.5520
3.300000, 84.192, 173.6505
3.350000, 84.488, 172.7650
3.400000, 84.778, 171.8370
3.450000, 85.061, 170.9043
3.500000, 85.338, 169.9942
3.550000, 85.609, 169.1092
3.600000, 85.875, 168.2017
3.650000, 86.135, 167.2962
3.700000, 86.391, 166.4071
3.750000, 86.641, 165.5303
3.820000, 86.981, 164.2652
3.870000, 87.218, 163.3699
3.950000, 87.587, 161.9819
4.000000, 87.813, 161.1089
4.060000, 88.078, 160.0674
4.120000, 88.336, 159.0443
4.180000, 88.588, 158.0286
4.250000, 88.875, 156.8214
4.310000, 89.114, 155.8169
4.370000, 89.349, 154.8353
4.440000, 89.616, 153.6760
4.500000, 89.839, 152.6990
4.550000, 90.021, 151.8985
4.620000, 90.270, 150.7639
4.680000, 90.479, 149.8074
4.750000, 90.718, 148.7226
4.820000, 90.951, 147.6321
4.870000, 91.114, 146.8595
4.940000, 91.337, 145.7977
5.000000, 91.524, 144.8879
5.080000, 91.768, 143.6889
5.150000, 91.977, 142.6685
5.220000, 92.181, 141.6436
5.300000, 92.407, 140.4860
5.380000, 92.628, 139.3517
5.450000, 92.818, 138.3589
5.520000, 93.003, 137.3900
5.600000, 93.210, 136.2912
5.700000, 93.462, 134.9254
5.800000, 93.706, 133.5886
5.900000, 93.944, 132.2682
6.000000, 94.174, 130.9699
6.080000, 94.354, 129.9355
6.150000, 94.508, 129.0500
6.220000, 94.659, 128.1652
6.300000, 94.828, 127.1684
6.400000, 95.034, 125.9375
6.500000, 95.234, 124.7165
6.600000, 95.429, 123.5187
6.700000, 95.619, 122.3303
6.800000, 95.804, 121.1588
6.900000, 95.984, 119.9974
7.000000, 96.159, 118.8561
7.100000, 96.329, 117.7227
7.200000, 96.495, 116.6054
7.300000, 96.656, 115.4988
7.400000, 96.813, 114.4094
7.500000, 96.966, 113.3266
7.620000, 97.144, 112.0476
7.750000, 97.330, 110.6873
7.880000, 97.509, 109.3403
8.000000, 97.669, 108.1216
8.120000, 97.824, 106.9217
8.250000, 97.986, 105.6412
8.380000, 98.143, 104.3860
8.500000, 98.283, 103.2465
8.620000, 98.418, 102.1263
8.750000, 98.560, 100.9344
8.850000, 98.667, 100.0316
9.000000, 98.822, 98.7043
9.120000, 98.942, 97.6606
9.250000, 99.069, 96.5494
9.380000, 99.192, 95.4590
9.500000, 99.304, 94.4651
9.620000, 99.413, 93.4880
9.750000, 99.527, 92.4446
9.880000, 99.631, 91.4149
10.000000, 99.714, 90.4812
10.150000, 99.805, 89.3065
10.300000, 99.886, 88.1578
10.440000, 99.954, 87.1080
10.600000, 100.026, 85.9343
10.750000, 100.094, 84.8590
10.900000, 100.161, 83.8069
11.060000, 100.229, 82.6936
11.200000, 100.287, 81.7159
11.380000, 100.357, 80.4877
11.500000, 100.402, 79.6865
11.720000, 100.481, 78.2532
11.800000, 100.510, 77.7432
12.060000, 100.604, 76.1124
12.200000, 100.654, 75.2358
12.410000, 100.729, 73.9521
12.500000, 100.760, 73.4135
12.650000, 100.809, 72.5306
12.800000, 100.857, 71.6662
13.150000, 100.963, 69.6938
13.200000, 100.977, 69.4149
13.400000, 101.036, 68.3179
13.600000, 101.095, 67.2491
13.800000, 101.152, 66.2066
14.000000, 101.209, 65.1856
14.300000, 101.289, 63.6592
14.500000, 101.340, 62.6643
14.750000, 101.401, 61.4464
15.000000, 101.460, 60.2555
15.250000, 101.520, 59.0682
15.500000, 101.577, 57.9108
15.750000, 101.631, 56.7857
16.000000, 101.681, 55.6929
16.250000, 101.728, 54.6110
16.500000, 101.773, 53.5594
16.750000, 101.816, 52.5368
17.000000, 101.859, 51.5398
17.250000, 101.901, 50.5529
17.500000, 101.941, 49.5892
17.750000, 101.979, 48.6495
18.000000, 102.016, 47.7312
18.250000, 102.050, 46.8212
18.500000, 102.084, 45.9296
18.750000, 102.117, 45.0562
19.000000, 102.149, 44.1995
19.250000, 102.180, 43.3456
19.500000, 102.211, 42.5079
19.750000, 102.239, 41.6871
20.000000, 102.266, 40.8838
20.299999, 102.296, 39.9296
20.600000, 102.323, 39.0004
20.900000, 102.350, 38.0945
21.200001, 102.374, 37.2019
21.400000, 102.389, 36.6154
21.799999, 102.416, 35.4691
22.000000, 102.428, 34.9085
22.400000, 102.451, 33.8008
22.700001, 102.467, 32.9904
23.000000, 102.481, 32.1949
23.299999, 102.495, 31.4065
23.600000, 102.507, 30.6315
24.000000, 102.520, 29.6230
24.299999, 102.529, 28.8812
24.700001, 102.540, 27.9222
25.000000, 102.548, 27.2241
25.400000, 102.558, 26.3051
25.799999, 102.568, 25.4028
26.200001, 102.576, 24.5108
26.500000, 102.580, 23.8508
26.900000, 102.584, 22.9922
27.200001, 102.586, 22.3616
27.600000, 102.589, 21.5386
28.000000, 102.590, 20.7360
28.500000, 102.590, 19.7561
29.000000, 102.589, 18.8130
29.500000, 102.589, 17.8931
30.000000, 102.590, 16.9784
30.400000, 102.588, 16.2349
30.700001, 102.583, 15.6769
31.100000, 102.571, 14.9466
31.500000, 102.555, 14.2469
32.000000, 102.533, 13.4329
32.500000, 102.515, 12.6617
33.000000, 102.500, 11.9055
33.500000, 102.485, 11.1454
34.000000, 102.469, 10.3924
34.500000, 102.453, 9.6533
35.000000, 102.436, 8.9304
35.500000, 102.419, 8.2167
36.000000, 102.400, 7.5181
36.500000, 102.379, 6.8373
37.000000, 102.359, 6.1771
37.500000, 102.338, 5.5285
38.200001, 102.308, 4.6350
38.700001, 102.286, 4.0067
39.500000, 102.247, 3.0256
40.000000, 102.222, 2.4308
40.599998, 102.191, 1.7322
41.200001, 102.160, 1.0494
41.799999, 102.128, 0.3790
42.500000, 102.090, -0.3809
43.099998, 102.059, -1.0095
43.700001, 102.029, -1.6312
44.400002, 101.994, -2.3604
45.000000, 101.959, -2.9730
45.500000, 101.929, -3.4598
46.200001, 101.889, -4.1052
46.799999, 101.858, -4.6495
47.500000, 101.822, -5.2925
48.200001, 101.784, -5.9313
48.700001, 101.755, -6.3755
49.400002, 101.714, -6.9780
50.000000, 101.679, -7.4784
50.799999, 101.632, -8.1299
51.500000, 101.590, -8.6881
52.200001, 101.547, -9.2316
53.000000, 101.498, -9.8363
53.799999, 101.448, -10.4337
54.500000, 101.403, -10.9470
55.200001, 101.358, -11.4453
56.000000, 101.306, -12.0037
57.000000, 101.241, -12.6851
58.000000, 101.175, -13.3322
59.000000, 101.110, -13.9625
60.000000, 101.043, -14.5726
60.799999, 100.989, -15.0333
61.500000, 100.944, -15.4270
62.200001, 100.900, -15.8253
63.000000, 100.847, -16.2865
64.000000, 100.778, -16.8478
65.000000, 100.708, -17.3801
66.000000, 100.639, -17.8942
67.000000, 100.572, -18.3928
68.000000, 100.504, -18.8803
69.000000, 100.435, -19.3456
70.000000, 100.368, -19.7911
71.000000, 100.301, -20.2310
72.000000, 100.233, -20.6653
73.000000, 100.163, -21.0791
74.000000, 100.094, -21.4792
75.000000, 100.026, -21.8809
76.199997, 99.942, -22.3441
77.500000, 99.854, -22.8052
78.800003, 99.768, -23.2589
80.000000, 99.687, -23.6718
81.199997, 99.606, -24.0580
82.500000, 99.519, -24.4673
83.800003, 99.433, -24.8699
85.000000, 99.353, -25.2324
86.199997, 99.274, -25.5801
87.500000, 99.191, -25.9418
88.500000, 99.126, -26.2098
90.000000, 99.030, -26.5899
91.199997, 98.954, -26.8798
92.500000, 98.870, -27.1807
93.800003, 98.786, -27.4703
95.000000, 98.709, -27.7222
96.199997, 98.631, -27.9622
97.500000, 98.548, -28.2169
98.800003, 98.465, -28.4673
100.000000, 98.388, -28.6926
101.500000, 98.291, -28.9521
103.000000, 98.195, -29.1841
104.400002, 98.108, -29.3905
106.000000, 98.008, -29.6151
107.500000, 97.913, -29.8118
109.000000, 97.818, -29.9933
110.599998, 97.717, -30.1843
112.000000, 97.629, -30.3475
113.800003, 97.515, -30.5344
115.000000, 97.442, -30.6471
117.199997, 97.309, -30.8390
118.000000, 97.261, -30.9060
120.599998, 97.106, -31.0948
122.000000, 97.024, -31.1823
124.099998, 96.903, -31.2908
125.000000, 96.851, -31.3330
126.500000, 96.766, -31.3943
128.000000, 96.681, -31.4438
131.500000, 96.485, -31.5359
132.000000, 96.458, -31.5436
134.000000, 96.349, -31.5646
136.000000, 96.243, -31.5765
138.000000, 96.139, -31.5717
140.000000, 96.036, -31.5532
143.000000, 95.883, -31.4989
145.000000, 95.782, -31.4377
147.500000, 95.659, -31.3455
150.000000, 95.537, -31.2319
152.500000, 95.413, -31.0947
155.000000, 95.285, -30.9199
157.500000, 95.161, -30.7427
160.000000, 95.040, -30.5786
162.500000, 94.919, -30.3687
165.000000, 94.800, -30.1164
167.500000, 94.682, -29.8515
170.000000, 94.561, -29.5674
172.500000, 94.441, -29.2429
175.000000, 94.321, -28.9074
177.500000, 94.199, -28.5420
180.000000, 94.079, -28.1167
182.500000, 93.963, -27.6138
185.000000, 93.858, -27.0266
187.500000, 93.773, -26.3962
190.000000, 93.707, -25.8089
192.500000, 93.651, -25.3289
195.000000, 93.588, -24.9946
197.500000, 93.509, -24.6946
200.000000, 93.424, -24.3578
203.000000, 93.324, -23.8893
206.000000, 93.224, -23.3463
209.000000, 93.126, -22.7356
212.000000, 93.030, -22.0991
214.000000, 92.968, -21.6495
218.000000, 92.852, -20.7108
220.000000, 92.794, -20.2292
224.000000, 92.686, -19.1809
227.000000, 92.618, -18.2836
230.000000, 92.578, -17.3069
233.000000, 92.578, -16.3610
236.000000, 92.590, -15.6776
240.000000, 92.574, -15.0150
243.000000, 92.548, -14.5144
247.000000, 92.507, -13.7751
250.000000, 92.475, -13.1899
254.000000, 92.440, -12.3705
258.000000, 92.416, -11.5060
262.000000, 92.403, -10.6478
265.000000, 92.399, -10.0184
269.000000, 92.401, -9.1779
272.000000, 92.409, -8.5512
276.000000, 92.425, -7.7375
280.000000, 92.445, -6.9653
285.000000, 92.477, -6.0696
290.000000, 92.517, -5.2076
295.000000, 92.566, -4.4135
300.000000, 92.618, -3.6728
304.000000, 92.665, -3.1036
307.000000, 92.702, -2.7023
311.000000, 92.751, -2.1968
315.000000, 92.803, -1.7293
320.000000, 92.871, -1.2106
325.000000, 92.941, -0.7456
330.000000, 93.008, -0.3171
335.000000, 93.074, 0.0677
340.000000, 93.138, 0.3829
345.000000, 93.198, 0.6698
350.000000, 93.253, 0.9418
355.000000, 93.307, 1.1578
360.000000, 93.360, 1.3340
365.000000, 93.408, 1.4844
370.000000, 93.453, 1.6039
375.000000, 93.494, 1.7091
382.000000, 93.544, 1.8345
387.000000, 93.576, 1.9092
395.000000, 93.621, 1.9951
400.000000, 93.644, 2.0347
406.000000, 93.668, 2.0790
412.000000, 93.688, 2.1202
418.000000, 93.705, 2.1525
425.000000, 93.720, 2.1917
431.000000, 93.729, 2.2316
437.000000, 93.734, 2.2712
444.000000, 93.738, 2.3124
450.000000, 93.738, 2.3542
455.000000, 93.736, 2.3956
462.000000, 93.730, 2.4628
468.000000, 93.723, 2.5287
475.000000, 93.713, 2.6155
482.000000, 93.702, 2.7167
487.000000, 93.694, 2.7943
494.000000, 93.682, 2.9084
500.000000, 93.671, 3.0182
508.000000, 93.656, 3.1777
515.000000, 93.642, 3.3275
522.000000, 93.626, 3.4902
530.000000, 93.607, 3.6953
538.000000, 93.588, 3.9138
545.000000, 93.572, 4.1165
552.000000, 93.555, 4.3289
560.000000, 93.537, 4.5834
570.000000, 93.515, 4.9166
580.000000, 93.493, 5.2734
590.000000, 93.472, 5.6508
600.000000, 93.451, 6.0415
608.000000, 93.433, 6.3652
615.000000, 93.417, 6.6566
622.000000, 93.401, 6.9570
630.000000, 93.383, 7.3069
640.000000, 93.362, 7.7565
650.000000, 93.343, 8.2185
660.000000, 93.325, 8.6942
670.000000, 93.310, 9.1764
680.000000, 93.298, 9.6659
690.000000, 93.289, 10.1653
700.000000, 93.283, 10.6743
710.000000, 93.278, 11.1891
720.000000, 93.276, 11.7079
730.000000, 93.276, 12.2301
740.000000, 93.278, 12.7583
750.000000, 93.281, 13.2883
762.000000, 93.288, 13.9249
775.000000, 93.300, 14.6127
788.000000, 93.314, 15.3025
800.000000, 93.331, 15.9355
812.000000, 93.351, 16.5671
825.000000, 93.375, 17.2394
838.000000, 93.403, 17.9045
850.000000, 93.431, 18.5137
862.000000, 93.463, 19.1111
875.000000, 93.500, 19.7415
885.000000, 93.531, 20.2155
900.000000, 93.581, 20.9113
912.000000, 93.624, 21.4487
925.000000, 93.672, 22.0084
938.000000, 93.723, 22.5494
950.000000, 93.771, 23.0276
962.000000, 93.820, 23.4816
975.000000, 93.874, 23.9412
988.000000, 93.928, 24.3643
1000.000000, 93.979, 24.7151
1015.000000, 94.040, 25.0775
1030.000000, 94.088, 25.3223
1044.000000, 94.101, 25.5171
1060.000000, 94.087, 26.0513
1075.000000, 94.108, 26.9210
1090.000000, 94.189, 27.7179
1106.000000, 94.304, 28.2900
1120.000000, 94.401, 28.6309
1138.000000, 94.509, 28.9839
1150.000000, 94.574, 29.2019
1172.000000, 94.686, 29.5878
1180.000000, 94.726, 29.7269
1206.000000, 94.850, 30.1678
1220.000000, 94.917, 30.4011
1241.000000, 95.016, 30.7463
1250.000000, 95.058, 30.8921
1265.000000, 95.128, 31.1324
1280.000000, 95.196, 31.3684
1315.000000, 95.350, 31.9153
1320.000000, 95.371, 31.9924
