* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -38.0 dBFS, measurement signal peak level -31.3 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -32.2 dBFS using an acoustic timing reference
* Dated: Aug 23, 2025 8:44:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0362 ms (-12 mm, -0.49 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -27.6 ppm
* Measurement: White L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 62.769, -137.8117
1.015000, 62.873, -138.7694
1.030000, 62.981, -139.7021
1.044000, 63.086, -140.5559
1.060000, 63.211, -141.5177
1.075000, 63.332, -142.4104
1.090000, 63.457, -143.2950
1.106000, 63.596, -144.2110
1.120000, 63.725, -144.9532
1.138000, 63.905, -145.8033
1.150000, 64.032, -146.3061
1.172000, 64.279, -147.1958
1.180000, 64.373, -147.5759
1.206000, 64.692, -148.6853
1.220000, 64.872, -149.2156
1.241000, 65.150, -149.9354
1.250000, 65.272, -150.2193
1.265000, 65.478, -150.6638
1.280000, 65.687, -151.0763
1.315000, 66.184, -151.9388
1.320000, 66.255, -152.0526
1.340000, 66.541, -152.4894
1.360000, 66.826, -152.8979
1.380000, 67.108, -153.4166
1.400000, 67.386, -153.9715
1.430000, 67.791, -154.7892
1.450000, 68.051, -155.3284
1.475000, 68.364, -155.9776
1.500000, 68.673, -156.5457
1.525000, 68.980, -157.0154
1.550000, 69.286, -157.3983
1.575000, 69.590, -157.7806
1.600000, 69.893, -158.2336
1.625000, 70.194, -158.6396
1.650000, 70.493, -159.0103
1.675000, 70.790, -159.3558
1.700000, 71.084, -159.6849
1.725000, 71.376, -160.0053
1.750000, 71.665, -160.3234
1.775000, 71.951, -160.6981
1.800000, 72.234, -161.1846
1.825000, 72.514, -161.6759
1.850000, 72.791, -162.1574
1.875000, 73.065, -162.6037
1.900000, 73.337, -163.0092
1.925000, 73.605, -163.3772
1.950000, 73.871, -163.7115
1.975000, 74.135, -164.0680
2.000000, 74.396, -164.5006
2.030000, 74.706, -164.9914
2.060000, 75.012, -165.4647
2.090000, 75.314, -165.9275
2.120000, 75.613, -166.3864
2.140000, 75.810, -166.6932
2.180000, 76.200, -167.3659
2.200000, 76.392, -167.7530
2.240000, 76.772, -168.5051
2.270000, 77.052, -169.0375
2.300000, 77.329, -169.5422
2.330000, 77.601, -170.0222
2.360000, 77.871, -170.4817
2.400000, 78.224, -171.1866
2.430000, 78.485, -171.7165
2.470000, 78.828, -172.4092
2.500000, 79.082, -172.9232
2.540000, 79.416, -173.6064
2.580000, 79.745, -174.3270
2.620000, 80.068, -175.1126
2.650000, 80.307, -175.6831
2.690000, 80.619, -176.4203
2.720000, 80.850, -176.9562
2.760000, 81.154, -177.6470
2.800000, 81.452, -178.4066
2.850000, 81.817, -179.3475
2.900000, 82.175, 179.7291
2.950000, 82.525, 178.8178
3.000000, 82.867, 177.8526
3.040000, 83.135, 177.0716
3.070000, 83.332, 176.4973
3.110000, 83.591, 175.7476
3.150000, 83.845, 175.0159
3.200000, 84.157, 174.0680
3.250000, 84.463, 173.1167
3.300000, 84.762, 172.1849
3.350000, 85.055, 171.2697
3.400000, 85.341, 170.3120
3.450000, 85.621, 169.3499
3.500000, 85.894, 168.4113
3.550000, 86.161, 167.4994
3.600000, 86.423, 166.5673
3.650000, 86.680, 165.6396
3.700000, 86.931, 164.7302
3.750000, 87.177, 163.8336
3.820000, 87.512, 162.5419
3.870000, 87.745, 161.6287
3.950000, 88.108, 160.2146
4.000000, 88.330, 159.3275
4.060000, 88.591, 158.2712
4.120000, 88.845, 157.2350
4.180000, 89.093, 156.2073
4.250000, 89.375, 154.9873
4.310000, 89.610, 153.9730
4.370000, 89.841, 152.9826
4.440000, 90.105, 151.8146
4.500000, 90.325, 150.8315
4.550000, 90.504, 150.0267
4.620000, 90.750, 148.8864
4.680000, 90.956, 147.9249
4.750000, 91.192, 146.8342
4.820000, 91.423, 145.7379
4.870000, 91.585, 144.9615
4.940000, 91.806, 143.8946
5.000000, 91.992, 142.9800
5.080000, 92.234, 141.7734
5.150000, 92.442, 140.7448
5.220000, 92.644, 139.7108
5.300000, 92.870, 138.5419
5.380000, 93.090, 137.3952
5.450000, 93.279, 136.3900
5.520000, 93.463, 135.4072
5.600000, 93.670, 134.2905
5.700000, 93.920, 132.9001
5.800000, 94.164, 131.5372
5.900000, 94.400, 130.1888
6.000000, 94.629, 128.8600
6.080000, 94.807, 127.8001
6.150000, 94.959, 126.8925
6.220000, 95.108, 125.9858
6.300000, 95.275, 124.9640
6.400000, 95.478, 123.7014
6.500000, 95.674, 122.4497
6.600000, 95.865, 121.2237
6.700000, 96.051, 120.0093
6.800000, 96.230, 118.8134
6.900000, 96.405, 117.6301
7.000000, 96.575, 116.4705
7.100000, 96.741, 115.3218
7.200000, 96.901, 114.1917
7.300000, 97.058, 113.0748
7.400000, 97.210, 111.9779
7.500000, 97.359, 110.8901
7.620000, 97.532, 109.6072
7.750000, 97.713, 108.2443
7.880000, 97.888, 106.8967
8.000000, 98.045, 105.6776
8.120000, 98.197, 104.4764
8.250000, 98.356, 103.1938
8.380000, 98.509, 101.9350
8.500000, 98.647, 100.7900
8.620000, 98.780, 99.6625
8.750000, 98.920, 98.4611
8.850000, 99.024, 97.5499
9.000000, 99.176, 96.2081
9.120000, 99.293, 95.1524
9.250000, 99.416, 94.0280
9.380000, 99.536, 92.9247
9.500000, 99.644, 91.9198
9.620000, 99.749, 90.9332
9.750000, 99.858, 89.8810
9.880000, 99.957, 88.8446
10.000000, 100.036, 87.9070
10.150000, 100.121, 86.7297
10.300000, 100.196, 85.5811
10.440000, 100.259, 84.5336
10.600000, 100.326, 83.3643
10.750000, 100.389, 82.2942
10.900000, 100.451, 81.2478
11.060000, 100.515, 80.1406
11.200000, 100.569, 79.1677
11.380000, 100.634, 77.9443
11.500000, 100.676, 77.1452
11.720000, 100.750, 75.7129
11.800000, 100.777, 75.2023
12.060000, 100.865, 73.5656
12.200000, 100.912, 72.6837
12.410000, 100.980, 71.3894
12.500000, 101.008, 70.8457
12.650000, 101.053, 69.9537
12.800000, 101.096, 69.0802
13.150000, 101.187, 67.0911
13.200000, 101.200, 66.8108
13.400000, 101.249, 65.7115
13.600000, 101.298, 64.6466
13.800000, 101.347, 63.6148
14.000000, 101.395, 62.6107
14.300000, 101.465, 61.1174
14.500000, 101.510, 60.1462
14.750000, 101.565, 58.9545
15.000000, 101.620, 57.7823
15.250000, 101.676, 56.6038
15.500000, 101.729, 55.4461
15.750000, 101.778, 54.3152
16.000000, 101.823, 53.2155
16.250000, 101.864, 52.1300
16.500000, 101.902, 51.0800
16.750000, 101.939, 50.0641
17.000000, 101.977, 49.0756
17.250000, 102.015, 48.0956
17.500000, 102.052, 47.1337
17.750000, 102.087, 46.1899
18.000000, 102.120, 45.2633
18.250000, 102.150, 44.3447
18.500000, 102.177, 43.4487
18.750000, 102.203, 42.5787
19.000000, 102.229, 41.7343
19.250000, 102.255, 40.9000
19.500000, 102.282, 40.0848
19.750000, 102.308, 39.2852
20.000000, 102.333, 38.4975
20.299999, 102.361, 37.5527
20.600000, 102.387, 36.6245
20.900000, 102.409, 35.7163
21.200001, 102.429, 34.8240
21.400000, 102.440, 34.2408
21.799999, 102.461, 33.1092
22.000000, 102.470, 32.5588
22.400000, 102.487, 31.4734
22.700001, 102.499, 30.6798
23.000000, 102.510, 29.9011
23.299999, 102.520, 29.1299
23.600000, 102.529, 28.3723
24.000000, 102.539, 27.3842
24.299999, 102.547, 26.6530
24.700001, 102.554, 25.7007
25.000000, 102.559, 25.0037
25.400000, 102.564, 24.0881
25.799999, 102.568, 23.1967
26.200001, 102.570, 22.3245
26.500000, 102.571, 21.6829
26.900000, 102.571, 20.8497
27.200001, 102.571, 20.2374
27.600000, 102.570, 19.4366
28.000000, 102.569, 18.6523
28.500000, 102.565, 17.6875
29.000000, 102.557, 16.7562
29.500000, 102.549, 15.8629
30.000000, 102.541, 15.0034
30.400000, 102.536, 14.3161
30.700001, 102.531, 13.7952
31.100000, 102.522, 13.0928
31.500000, 102.508, 12.3918
