* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -37.4 dBFS, measurement signal peak level -31.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -32.2 dBFS using an acoustic timing reference
* Dated: Aug 23, 2025 8:45:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0348 ms (-12 mm, -0.47 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -27.6 ppm
* Measurement: White R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 61.678, -139.8122
1.015000, 61.808, -140.8272
1.030000, 61.941, -141.8059
1.044000, 62.068, -142.6933
1.060000, 62.216, -143.6836
1.075000, 62.356, -144.5941
1.090000, 62.497, -145.4881
1.106000, 62.652, -146.4050
1.120000, 62.794, -147.1398
1.138000, 62.989, -147.9704
1.150000, 63.126, -148.4552
1.172000, 63.392, -149.3039
1.180000, 63.492, -149.6671
1.206000, 63.832, -150.7166
1.220000, 64.023, -151.2122
1.241000, 64.316, -151.8782
1.250000, 64.445, -152.1386
1.265000, 64.661, -152.5433
1.280000, 64.881, -152.9158
1.315000, 65.400, -153.6839
1.320000, 65.474, -153.7841
1.340000, 65.772, -154.1667
1.360000, 66.069, -154.5207
1.380000, 66.362, -154.9846
1.400000, 66.650, -155.4843
1.430000, 67.070, -156.2180
1.450000, 67.338, -156.7003
1.475000, 67.662, -157.2770
1.500000, 67.980, -157.7717
1.525000, 68.294, -158.1682
1.550000, 68.606, -158.4791
1.575000, 68.915, -158.7916
1.600000, 69.222, -159.1770
1.625000, 69.526, -159.5178
1.650000, 69.827, -159.8258
1.675000, 70.126, -160.1106
1.700000, 70.422, -160.3809
1.725000, 70.716, -160.6443
1.750000, 71.006, -160.9065
1.775000, 71.294, -161.2264
1.800000, 71.579, -161.6588
1.825000, 71.861, -162.0961
1.850000, 72.140, -162.5234
1.875000, 72.416, -162.9155
1.900000, 72.690, -163.2670
1.925000, 72.960, -163.5818
1.950000, 73.228, -163.8640
1.975000, 73.493, -164.1700
2.000000, 73.755, -164.5534
2.030000, 74.066, -164.9873
2.060000, 74.374, -165.4059
2.090000, 74.677, -165.8160
2.120000, 74.978, -166.2240
2.140000, 75.176, -166.4978
2.180000, 75.568, -167.1060
2.200000, 75.761, -167.4613
2.240000, 76.143, -168.1493
2.270000, 76.425, -168.6330
2.300000, 76.704, -169.0895
2.330000, 76.978, -169.5219
2.360000, 77.249, -169.9350
2.400000, 77.605, -170.5803
2.430000, 77.868, -171.0674
2.470000, 78.214, -171.7058
2.500000, 78.470, -172.1809
2.540000, 78.807, -172.8148
2.580000, 79.138, -173.4877
2.620000, 79.464, -174.2250
2.650000, 79.705, -174.7590
2.690000, 80.021, -175.4476
2.720000, 80.255, -175.9479
2.760000, 80.561, -176.5926
2.800000, 80.863, -177.3083
2.850000, 81.233, -178.1980
2.900000, 81.595, -179.0745
2.950000, 81.950, -179.9422
3.000000, 82.297, 179.1360
3.040000, 82.568, 178.3898
3.070000, 82.769, 177.8414
3.110000, 83.031, 177.1252
3.150000, 83.290, 176.4257
3.200000, 83.607, 175.5152
3.250000, 83.917, 174.5978
3.300000, 84.222, 173.6964
3.350000, 84.520, 172.8099
3.400000, 84.811, 171.8804
3.450000, 85.095, 170.9458
3.500000, 85.374, 170.0334
3.550000, 85.646, 169.1459
3.600000, 85.913, 168.2359
3.650000, 86.175, 167.3277
3.700000, 86.431, 166.4355
3.750000, 86.682, 165.5550
3.820000, 87.023, 164.2844
3.870000, 87.261, 163.3851
3.950000, 87.631, 161.9914
4.000000, 87.857, 161.1153
4.060000, 88.122, 160.0707
4.120000, 88.381, 159.0444
4.180000, 88.633, 158.0255
4.250000, 88.919, 156.8151
4.310000, 89.158, 155.8087
4.370000, 89.393, 154.8262
4.440000, 89.660, 153.6670
4.500000, 89.883, 152.6909
4.550000, 90.065, 151.8914
4.620000, 90.314, 150.7590
4.680000, 90.522, 149.8051
4.750000, 90.760, 148.7244
4.820000, 90.993, 147.6394
4.870000, 91.156, 146.8715
4.940000, 91.380, 145.8169
5.000000, 91.567, 144.9137
5.080000, 91.811, 143.7239
5.150000, 92.020, 142.7119
5.220000, 92.225, 141.6962
5.300000, 92.452, 140.5500
5.380000, 92.674, 139.4269
5.450000, 92.865, 138.4432
5.520000, 93.052, 137.4827
5.600000, 93.260, 136.3931
5.700000, 93.515, 135.0383
5.800000, 93.762, 133.7103
5.900000, 94.002, 132.3954
6.000000, 94.236, 131.1003
6.080000, 94.419, 130.0668
6.150000, 94.575, 129.1808
6.220000, 94.728, 128.2937
6.300000, 94.900, 127.2922
6.400000, 95.109, 126.0529
6.500000, 95.312, 124.8214
6.600000, 95.509, 123.6115
6.700000, 95.701, 122.4088
6.800000, 95.887, 121.2214
6.900000, 96.067, 120.0439
7.000000, 96.242, 118.8875
7.100000, 96.413, 117.7389
7.200000, 96.577, 116.6071
7.300000, 96.738, 115.4884
7.400000, 96.893, 114.3896
7.500000, 97.044, 113.2996
7.620000, 97.220, 112.0153
7.750000, 97.403, 110.6547
7.880000, 97.580, 109.3127
8.000000, 97.738, 108.1023
8.120000, 97.890, 106.9141
8.250000, 98.051, 105.6500
8.380000, 98.206, 104.4130
8.500000, 98.346, 103.2906
8.620000, 98.482, 102.1882
8.750000, 98.625, 101.0144
8.850000, 98.732, 100.1238
9.000000, 98.889, 98.8122
9.120000, 99.011, 97.7783
9.250000, 99.140, 96.6738
9.380000, 99.266, 95.5870
9.500000, 99.379, 94.5938
9.620000, 99.490, 93.6150
9.750000, 99.605, 92.5675
9.880000, 99.710, 91.5325
10.000000, 99.794, 90.5933
10.150000, 99.885, 89.4112
10.300000, 99.966, 88.2558
10.440000, 100.033, 87.2008
10.600000, 100.105, 86.0225
10.750000, 100.172, 84.9446
10.900000, 100.238, 83.8912
11.060000, 100.306, 82.7779
11.200000, 100.363, 81.8010
11.380000, 100.432, 80.5747
11.500000, 100.476, 79.7751
11.720000, 100.555, 78.3455
11.800000, 100.584, 77.8371
12.060000, 100.677, 76.2123
12.200000, 100.727, 75.3397
12.410000, 100.802, 74.0627
12.500000, 100.832, 73.5270
12.650000, 100.883, 72.6491
12.800000, 100.931, 71.7889
13.150000, 101.039, 69.8208
13.200000, 101.054, 69.5415
13.400000, 101.115, 68.4398
13.600000, 101.175, 67.3613
13.800000, 101.234, 66.3042
14.000000, 101.290, 65.2654
14.300000, 101.369, 63.7114
14.500000, 101.418, 62.7014
14.750000, 101.475, 61.4723
15.000000, 101.530, 60.2809
15.250000, 101.586, 59.1037
15.500000, 101.641, 57.9633
15.750000, 101.695, 56.8576
16.000000, 101.746, 55.7811
16.250000, 101.795, 54.7083
16.500000, 101.843, 53.6572
16.750000, 101.888, 52.6276
17.000000, 101.931, 51.6190
17.250000, 101.973, 50.6197
17.500000, 102.013, 49.6462
17.750000, 102.050, 48.7015
18.000000, 102.085, 47.7832
18.250000, 102.120, 46.8771
18.500000, 102.154, 45.9913
18.750000, 102.187, 45.1234
19.000000, 102.220, 44.2701
19.250000, 102.254, 43.4167
19.500000, 102.286, 42.5763
19.750000, 102.316, 41.7501
20.000000, 102.343, 40.9396
20.299999, 102.374, 39.9757
20.600000, 102.402, 39.0375
20.900000, 102.428, 38.1250
21.200001, 102.452, 37.2291
21.400000, 102.467, 36.6425
21.799999, 102.494, 35.5010
22.000000, 102.506, 34.9446
22.400000, 102.530, 33.8475
22.700001, 102.546, 33.0453
23.000000, 102.562, 32.2567
23.299999, 102.577, 31.4728
23.600000, 102.591, 30.6993
24.000000, 102.607, 29.6867
24.299999, 102.617, 28.9376
24.700001, 102.628, 27.9651
25.000000, 102.636, 27.2565
25.400000, 102.644, 26.3284
25.799999, 102.651, 25.4249
26.200001, 102.657, 24.5381
26.500000, 102.661, 23.8829
26.900000, 102.664, 23.0272
27.200001, 102.667, 22.3948
27.600000, 102.669, 21.5649
28.000000, 102.670, 20.7543
28.500000, 102.668, 19.7664
29.000000, 102.666, 18.8158
29.500000, 102.665, 17.8844
30.000000, 102.665, 16.9556
30.400000, 102.660, 16.2047
30.700001, 102.654, 15.6463
31.100000, 102.640, 14.9232
31.500000, 102.623, 14.2372
32.000000, 102.603, 13.4395
32.500000, 102.588, 12.6735
33.000000, 102.576, 11.9080
33.500000, 102.562, 11.1328
34.000000, 102.544, 10.3728
34.500000, 102.526, 9.6425
35.000000, 102.510, 8.9388
35.500000, 102.494, 8.2406
36.000000, 102.478, 7.5424
36.500000, 102.459, 6.8489
37.000000, 102.438, 6.1728
37.500000, 102.415, 5.5144
38.200001, 102.382, 4.6219
38.700001, 102.358, 4.0002
39.500000, 102.320, 3.0239
40.000000, 102.296, 2.4211
40.599998, 102.266, 1.7062
41.200001, 102.234, 1.0141
41.799999, 102.202, 0.3451
42.500000, 102.166, -0.4210
43.099998, 102.136, -1.0666
43.700001, 102.105, -1.6923
44.400002, 102.069, -2.3968
45.000000, 102.039, -2.9974
45.500000, 102.012, -3.4995
46.200001, 101.971, -4.1804
46.799999, 101.935, -4.7312
47.500000, 101.896, -5.3555
48.200001, 101.857, -5.9794
48.700001, 101.827, -6.4182
49.400002, 101.786, -7.0123
50.000000, 101.751, -7.5081
50.799999, 101.706, -8.1667
51.500000, 101.664, -8.7388
52.200001, 101.621, -9.2965
53.000000, 101.570, -9.9064
53.799999, 101.519, -10.4879
54.500000, 101.475, -10.9847
55.200001, 101.430, -11.4749
56.000000, 101.379, -12.0242
57.000000, 101.314, -12.6984
58.000000, 101.248, -13.3563
59.000000, 101.182, -13.9971
60.000000, 101.115, -14.6274
60.799999, 101.062, -15.1186
61.500000, 101.015, -15.5430
62.200001, 100.967, -15.9570
63.000000, 100.911, -16.4030
64.000000, 100.843, -16.9296
65.000000, 100.776, -17.4467
66.000000, 100.710, -17.9556
67.000000, 100.642, -18.4503
68.000000, 100.573, -18.9260
69.000000, 100.505, -19.3884
70.000000, 100.437, -19.8427
71.000000, 100.369, -20.2897
72.000000, 100.300, -20.7222
73.000000, 100.231, -21.1353
74.000000, 100.162, -21.5326
75.000000, 100.095, -21.9095
76.199997, 100.017, -22.3683
77.500000, 99.929, -22.8656
78.800003, 99.841, -23.3319
80.000000, 99.759, -23.7545
81.199997, 99.677, -24.1572
82.500000, 99.590, -24.5715
83.800003, 99.504, -24.9670
85.000000, 99.425, -25.3251
86.199997, 99.346, -25.6693
87.500000, 99.261, -26.0251
88.500000, 99.196, -26.2919
90.000000, 99.098, -26.6705
91.199997, 99.021, -26.9623
92.500000, 98.938, -27.2669
93.800003, 98.855, -27.5532
95.000000, 98.778, -27.8067
96.199997, 98.701, -28.0557
97.500000, 98.617, -28.3148
98.800003, 98.532, -28.5624
100.000000, 98.455, -28.7846
101.500000, 98.358, -29.0430
103.000000, 98.263, -29.2885
104.400002, 98.175, -29.5039
106.000000, 98.074, -29.7327
107.500000, 97.978, -29.9367
109.000000, 97.882, -30.1282
110.599998, 97.780, -30.3141
112.000000, 97.693, -30.4707
113.800003, 97.583, -30.6611
115.000000, 97.509, -30.7758
117.199997, 97.373, -30.9595
118.000000, 97.324, -31.0172
120.599998, 97.170, -31.1914
122.000000, 97.088, -31.2875
124.099998, 96.966, -31.4083
125.000000, 96.914, -31.4500
126.500000, 96.827, -31.5076
128.000000, 96.742, -31.5674
131.500000, 96.545, -31.6792
132.000000, 96.518, -31.6929
134.000000, 96.408, -31.7326
136.000000, 96.301, -31.7412
138.000000, 96.197, -31.7228
140.000000, 96.095, -31.6923
143.000000, 95.943, -31.6256
145.000000, 95.842, -31.5618
147.500000, 95.716, -31.4698
150.000000, 95.591, -31.3645
152.500000, 95.467, -31.2272
155.000000, 95.342, -31.0614
157.500000, 95.219, -30.8731
160.000000, 95.098, -30.6737
162.500000, 94.979, -30.4551
165.000000, 94.862, -30.2144
167.500000, 94.746, -29.9569
170.000000, 94.629, -29.6711
172.500000, 94.512, -29.3657
175.000000, 94.396, -29.0493
177.500000, 94.281, -28.7078
180.000000, 94.170, -28.3397
182.500000, 94.062, -27.9553
185.000000, 93.957, -27.5601
187.500000, 93.856, -27.1626
190.000000, 93.753, -26.7577
192.500000, 93.648, -26.3196
195.000000, 93.548, -25.8813
197.500000, 93.452, -25.4294
200.000000, 93.356, -24.9122
203.000000, 93.235, -24.2239
206.000000, 93.111, -23.4884
209.000000, 92.997, -22.5953
212.000000, 92.907, -21.4668
214.000000, 92.868, -20.6643
218.000000, 92.866, -19.1906
220.000000, 92.893, -18.7142
224.000000, 92.910, -18.2195
227.000000, 92.873, -17.9150
230.000000, 92.821, -17.5076
233.000000, 92.762, -17.0040
236.000000, 92.702, -16.4357
240.000000, 92.632, -15.6253
243.000000, 92.585, -14.9991
247.000000, 92.532, -14.0992
250.000000, 92.505, -13.3790
254.000000, 92.477, -12.4736
258.000000, 92.450, -11.6151
262.000000, 92.434, -10.7494
265.000000, 92.429, -10.1099
269.000000, 92.430, -9.2627
272.000000, 92.438, -8.6291
276.000000, 92.453, -7.8091
280.000000, 92.476, -7.0002
285.000000, 92.509, -6.0905
290.000000, 92.552, -5.2191
295.000000, 92.606, -4.4003
300.000000, 92.663, -3.6414
304.000000, 92.710, -3.0958
307.000000, 92.746, -2.7139
311.000000, 92.794, -2.2186
315.000000, 92.845, -1.7471
320.000000, 92.911, -1.2223
325.000000, 92.981, -0.7733
330.000000, 93.050, -0.3701
335.000000, 93.114, 0.0071
340.000000, 93.175, 0.3521
345.000000, 93.233, 0.6458
350.000000, 93.290, 0.9037
355.000000, 93.346, 1.1231
360.000000, 93.399, 1.3053
365.000000, 93.447, 1.4619
370.000000, 93.491, 1.5958
375.000000, 93.532, 1.7126
382.000000, 93.582, 1.8369
387.000000, 93.613, 1.9037
395.000000, 93.656, 2.0071
400.000000, 93.680, 2.0637
406.000000, 93.705, 2.1183
412.000000, 93.727, 2.1704
418.000000, 93.745, 2.2173
425.000000, 93.763, 2.2593
