* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -36.6 dBFS, measurement signal peak level -33.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.2 dBFS using an acoustic timing reference
* Dated: May 4, 2025 11:18:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0275 ms (-9.4 mm, -0.37 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -29.2 ppm
* Measurement: CP145 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 60.857, 56.1149
1.015000, 60.898, 55.5853
1.030000, 60.947, 55.0315
1.044000, 61.001, 54.4896
1.060000, 61.073, 53.8380
1.075000, 61.152, 53.1939
1.090000, 61.242, 52.5200
1.106000, 61.352, 51.7921
1.120000, 61.457, 51.1897
1.138000, 61.604, 50.4921
1.150000, 61.709, 50.0759
1.172000, 61.914, 49.3167
1.180000, 61.993, 48.9758
1.206000, 62.261, 47.9662
1.220000, 62.413, 47.4734
1.241000, 62.650, 46.7900
1.250000, 62.754, 46.5147
1.265000, 62.930, 46.0756
1.280000, 63.110, 45.6573
1.315000, 63.541, 44.7395
1.320000, 63.603, 44.6131
1.340000, 63.853, 44.1138
1.360000, 64.105, 43.6241
1.380000, 64.355, 43.0054
1.400000, 64.604, 42.3315
1.430000, 64.971, 41.3001
1.450000, 65.210, 40.5956
1.475000, 65.502, 39.7194
1.500000, 65.794, 38.9172
1.525000, 66.089, 38.2159
1.550000, 66.387, 37.6070
1.575000, 66.687, 37.0047
1.600000, 66.988, 36.3376
1.625000, 67.290, 35.7222
1.650000, 67.593, 35.1457
1.675000, 67.895, 34.5966
1.700000, 68.196, 34.0644
1.725000, 68.495, 33.5398
1.750000, 68.791, 33.0149
1.775000, 69.085, 32.4293
1.800000, 69.375, 31.7265
1.825000, 69.660, 31.0133
1.850000, 69.943, 30.3071
1.875000, 70.223, 29.6385
1.900000, 70.502, 29.0162
1.925000, 70.778, 28.4376
1.950000, 71.053, 27.8994
1.975000, 71.326, 27.3450
2.000000, 71.597, 26.7202
2.030000, 71.919, 26.0049
2.060000, 72.238, 25.3127
