* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -35.6 dBFS, measurement signal peak level -33.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.2 dBFS using an acoustic timing reference
* Dated: May 4, 2025 11:44:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0266 ms (-9.1 mm, -0.36 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -29.5 ppm
* Measurement: CP145 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 56.609, 61.8876
1.015000, 56.689, 61.3613
1.030000, 56.777, 60.7967
1.044000, 56.866, 60.2333
1.060000, 56.978, 59.5445
1.075000, 57.094, 58.8553
1.090000, 57.221, 58.1289
1.106000, 57.369, 57.3467
1.120000, 57.508, 56.7117
1.138000, 57.698, 55.9988
1.150000, 57.831, 55.5872
1.172000, 58.086, 54.8611
1.180000, 58.183, 54.5384
1.206000, 58.508, 53.6037
1.220000, 58.690, 53.1580
1.241000, 58.970, 52.5493
1.250000, 59.092, 52.3065
1.265000, 59.299, 51.9212
1.280000, 59.509, 51.5550
1.315000, 60.006, 50.7477
1.320000, 60.077, 50.6354
1.340000, 60.365, 50.1878
1.360000, 60.652, 49.7416
1.380000, 60.938, 49.1577
1.400000, 61.221, 48.5101
1.430000, 61.638, 47.5024
1.450000, 61.909, 46.8046
1.475000, 62.240, 45.9338
1.500000, 62.569, 45.1487
1.525000, 62.900, 44.4797
1.550000, 63.232, 43.9139
1.575000, 63.565, 43.3613
1.600000, 63.897, 42.7470
1.625000, 64.230, 42.1849
1.650000, 64.561, 41.6602
1.675000, 64.891, 41.1599
1.700000, 65.218, 40.6727
1.725000, 65.543, 40.1887
1.750000, 65.865, 39.6997
1.775000, 66.184, 39.1454
1.800000, 66.498, 38.4696
1.825000, 66.808, 37.7803
1.850000, 67.113, 37.0992
1.875000, 67.416, 36.4616
1.900000, 67.716, 35.8762
1.925000, 68.014, 35.3385
1.950000, 68.309, 34.8434
1.975000, 68.601, 34.3332
2.000000, 68.891, 33.7525
2.030000, 69.234, 33.0888
2.060000, 69.574, 32.4456
2.090000, 69.909, 31.8133
2.120000, 70.240, 31.1831
2.140000, 70.458, 30.7603
2.180000, 70.888, 29.8491
2.200000, 71.100, 29.3403
2.240000, 71.518, 28.3476
2.270000, 71.826, 27.6424
2.300000, 72.130, 26.9719
2.330000, 72.429, 26.3328
2.360000, 72.724, 25.7199
2.400000, 73.111, 24.8179
2.430000, 73.396, 24.1441
2.470000, 73.771, 23.2628
2.500000, 74.048, 22.6083
2.540000, 74.412, 21.7370
2.580000, 74.770, 20.8273
2.620000, 75.121, 19.8549
2.650000, 75.379, 19.1478
2.690000, 75.718, 18.2339
2.720000, 75.968, 17.5697
2.760000, 76.295, 16.7132
2.800000, 76.616, 15.7932
2.850000, 77.010, 14.6578
2.900000, 77.395, 13.5442
2.950000, 77.771, 12.4447
3.000000, 78.137, 11.2936
3.040000, 78.423, 10.3669
3.070000, 78.634, 9.6857
3.110000, 78.910, 8.7970
3.150000, 79.181, 7.9306
3.200000, 79.513, 6.8198
3.250000, 79.837, 5.7109
3.300000, 80.155, 4.6254
3.350000, 80.465, 3.5585
3.400000, 80.767, 2.4508
3.450000, 81.062, 1.3420
3.500000, 81.349, 0.2612
3.550000, 81.630, -0.7879
3.600000, 81.905, -1.8520
3.650000, 82.175, -2.9070
3.700000, 82.438, -3.9410
3.750000, 82.695, -4.9607
3.820000, 83.044, -6.4215
3.870000, 83.287, -7.4517
3.950000, 83.664, -9.0442
4.000000, 83.894, -10.0372
4.060000, 84.164, -11.2159
4.120000, 84.427, -12.3722
4.180000, 84.682, -13.5178
4.250000, 84.972, -14.8705
4.310000, 85.214, -15.9932
4.370000, 85.451, -17.0864
4.440000, 85.721, -18.3688
4.500000, 85.946, -19.4473
4.550000, 86.129, -20.3299
4.620000, 86.379, -21.5752
4.680000, 86.589, -22.6220
4.750000, 86.828, -23.8066
4.820000, 87.062, -24.9916
4.870000, 87.226, -25.8294
4.940000, 87.450, -26.9794
5.000000, 87.637, -27.9620
5.080000, 87.882, -29.2537
5.150000, 88.091, -30.3516
5.220000, 88.295, -31.4512
5.300000, 88.522, -32.6912
5.380000, 88.743, -33.9049
5.450000, 88.932, -34.9647
5.520000, 89.118, -35.9985
5.600000, 89.325, -37.1698
5.700000, 89.576, -38.6238
5.800000, 89.820, -40.0453
5.900000, 90.057, -41.4472
6.000000, 90.287, -42.8251
6.080000, 90.466, -43.9216
6.150000, 90.619, -44.8595
6.220000, 90.768, -45.7950
6.300000, 90.936, -46.8481
6.400000, 91.139, -48.1473
6.500000, 91.337, -49.4334
6.600000, 91.529, -50.6918
6.700000, 91.715, -51.9370
6.800000, 91.896, -53.1620
6.900000, 92.072, -54.3727
7.000000, 92.243, -55.5581
7.100000, 92.409, -56.7314
7.200000, 92.571, -57.8845
7.300000, 92.728, -59.0223
7.400000, 92.880, -60.1384
7.500000, 93.029, -61.2436
7.620000, 93.202, -62.5446
7.750000, 93.384, -63.9230
7.880000, 93.559, -65.2822
8.000000, 93.716, -66.5084
8.120000, 93.868, -67.7129
8.250000, 94.027, -68.9948
8.380000, 94.182, -70.2491
8.500000, 94.320, -71.3869
8.620000, 94.455, -72.5041
8.750000, 94.597, -73.6922
8.850000, 94.703, -74.5920
9.000000, 94.858, -75.9150
9.120000, 94.978, -76.9553
9.250000, 95.105, -78.0635
9.380000, 95.229, -79.1510
9.500000, 95.341, -80.1424
9.620000, 95.451, -81.1171
9.750000, 95.565, -82.1579
9.880000, 95.669, -83.1846
10.000000, 95.752, -84.1148
10.150000, 95.842, -85.2841
10.300000, 95.922, -86.4253
10.440000, 95.989, -87.4661
10.600000, 96.061, -88.6262
10.750000, 96.127, -89.6849
10.900000, 96.192, -90.7166
11.060000, 96.258, -91.8027
11.200000, 96.314, -92.7522
11.380000, 96.382, -93.9378
11.500000, 96.426, -94.7066
11.720000, 96.505, -96.0737
11.800000, 96.534, -96.5577
12.060000, 96.629, -98.0990
12.200000, 96.682, -98.9262
12.410000, 96.761, -100.1366
12.500000, 96.794, -100.6451
12.650000, 96.848, -101.4801
12.800000, 96.901, -102.3004
13.150000, 97.019, -104.1871
13.200000, 97.036, -104.4557
13.400000, 97.101, -105.5157
13.600000, 97.165, -106.5523
13.800000, 97.228, -107.5650
14.000000, 97.288, -108.5552
14.300000, 97.373, -110.0283
14.500000, 97.427, -110.9804
14.750000, 97.491, -112.1361
15.000000, 97.554, -113.2564
15.250000, 97.619, -114.3681
15.500000, 97.683, -115.4490
15.750000, 97.745, -116.4995
16.000000, 97.804, -117.5219
16.250000, 97.861, -118.5380
16.500000, 97.916, -119.5281
16.750000, 97.969, -120.4926
17.000000, 98.021, -121.4344
17.250000, 98.073, -122.3686
17.500000, 98.123, -123.2824
17.750000, 98.171, -124.1745
18.000000, 98.217, -125.0470
18.250000, 98.261, -125.9114
18.500000, 98.303, -126.7561
18.750000, 98.344, -127.5797
19.000000, 98.385, -128.3831
19.250000, 98.425, -129.1806
19.500000, 98.464, -129.9604
19.750000, 98.503, -130.7239
20.000000, 98.539, -131.4724
20.299999, 98.582, -132.3653
20.600000, 98.622, -133.2378
20.900000, 98.660, -134.0891
21.200001, 98.696, -134.9268
21.400000, 98.718, -135.4761
21.799999, 98.760, -136.5466
22.000000, 98.781, -137.0696
22.400000, 98.820, -138.1052
22.700001, 98.847, -138.8644
23.000000, 98.874, -139.6101
23.299999, 98.899, -140.3488
23.600000, 98.922, -141.0733
24.000000, 98.952, -142.0158
24.299999, 98.973, -142.7116
24.700001, 99.001, -143.6169
25.000000, 99.020, -144.2795
25.400000, 99.045, -145.1521
25.799999, 99.068, -146.0039
26.200001, 99.090, -146.8402
26.500000, 99.105, -147.4575
26.900000, 99.123, -148.2616
27.200001, 99.136, -148.8537
27.600000, 99.153, -149.6272
28.000000, 99.169, -150.3816
28.500000, 99.187, -151.3088
29.000000, 99.203, -152.2157
29.500000, 99.217, -153.1072
30.000000, 99.228, -153.9725
30.400000, 99.233, -154.6485
30.700001, 99.237, -155.1444
31.100000, 99.240, -155.7946
31.500000, 99.244, -156.4381
32.000000, 99.246, -157.2289
32.500000, 99.246, -158.0058
33.000000, 99.244, -158.7582
33.500000, 99.241, -159.4892
34.000000, 99.240, -160.2012
34.500000, 99.239, -160.9042
35.000000, 99.238, -161.5975
35.500000, 99.235, -162.2801
36.000000, 99.231, -162.9440
36.500000, 99.226, -163.5913
37.000000, 99.220, -164.2232
37.500000, 99.213, -164.8459
38.200001, 99.202, -165.6989
38.700001, 99.191, -166.2937
39.500000, 99.173, -167.2194
40.000000, 99.161, -167.7825
40.599998, 99.146, -168.4472
41.200001, 99.129, -169.0966
41.799999, 99.112, -169.7310
42.500000, 99.091, -170.4522
43.099998, 99.073, -171.0543
43.700001, 99.056, -171.6451
44.400002, 99.035, -172.3182
45.000000, 99.016, -172.8798
45.500000, 99.000, -173.3380
46.200001, 98.976, -173.9635
46.799999, 98.955, -174.4850
47.500000, 98.930, -175.0771
48.200001, 98.906, -175.6554
48.700001, 98.888, -176.0615
49.400002, 98.861, -176.6190
50.000000, 98.838, -177.0854
50.799999, 98.806, -177.6931
51.500000, 98.777, -178.2110
52.200001, 98.748, -178.7146
53.000000, 98.714, -179.2741
