* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -36.0 dBFS, measurement signal peak level -33.9 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.2 dBFS using an acoustic timing reference
* Dated: May 4, 2025 11:05:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0233 ms (-8.0 mm, -0.31 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -28.9 ppm
* Measurement: L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 60.355, 50.4789
1.015000, 60.430, 49.9360
1.030000, 60.512, 49.3746
1.044000, 60.594, 48.8310
1.060000, 60.697, 48.1839
1.075000, 60.802, 47.5505
1.090000, 60.916, 46.8941
1.106000, 61.048, 46.1938
1.120000, 61.172, 45.6253
1.138000, 61.343, 44.9838
1.150000, 61.462, 44.6113
1.172000, 61.694, 43.9423
1.180000, 61.781, 43.6366
1.206000, 62.078, 42.7471
1.220000, 62.244, 42.3215
1.241000, 62.500, 41.7402
1.250000, 62.613, 41.5089
1.265000, 62.802, 41.1430
1.280000, 62.995, 40.7976
1.315000, 63.453, 40.0475
1.320000, 63.519, 39.9447
1.340000, 63.784, 39.5391
1.360000, 64.049, 39.1416
1.380000, 64.312, 38.6139
1.400000, 64.574, 38.0300
1.430000, 64.958, 37.1322
1.450000, 65.207, 36.5162
1.475000, 65.512, 35.7510
1.500000, 65.815, 35.0603
1.525000, 66.119, 34.4699
1.550000, 66.424, 33.9695
1.575000, 66.730, 33.4722
1.600000, 67.037, 32.9062
1.625000, 67.343, 32.3877
1.650000, 67.648, 31.9039
1.675000, 67.952, 31.4436
1.700000, 68.255, 30.9964
1.725000, 68.555, 30.5535
1.750000, 68.852, 30.1074
1.775000, 69.147, 29.5982
1.800000, 69.438, 28.9697
1.825000, 69.725, 28.3291
1.850000, 70.009, 27.6941
1.875000, 70.290, 27.0955
1.900000, 70.569, 26.5413
1.925000, 70.846, 26.0286
1.950000, 71.121, 25.5537
1.975000, 71.394, 25.0601
2.000000, 71.664, 24.4936
2.030000, 71.985, 23.8450
2.060000, 72.302, 23.2161
2.090000, 72.615, 22.5984
