* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -37.0 dBFS, measurement signal peak level -34.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.2 dBFS using an acoustic timing reference
* Dated: May 4, 2025 11:13:47 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0236 ms (-8.1 mm, -0.32 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -29.1 ppm
* Measurement: Spring L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 60.451, 53.5426
1.015000, 60.509, 53.0437
1.030000, 60.573, 52.5193
1.044000, 60.641, 52.0041
1.060000, 60.729, 51.3822
1.075000, 60.821, 50.7657
1.090000, 60.924, 50.1198
1.106000, 61.046, 49.4240
1.120000, 61.163, 48.8540
1.138000, 61.323, 48.2046
1.150000, 61.436, 47.8238
1.172000, 61.657, 47.1344
1.180000, 61.740, 46.8199
1.206000, 62.024, 45.8980
1.220000, 62.184, 45.4529
1.241000, 62.432, 44.8404
1.250000, 62.540, 44.5950
1.265000, 62.724, 44.2049
1.280000, 62.911, 43.8344
1.315000, 63.357, 43.0224
1.320000, 63.421, 42.9103
1.340000, 63.679, 42.4668
1.360000, 63.938, 42.0298
1.380000, 64.196, 41.4608
1.400000, 64.452, 40.8337
1.430000, 64.829, 39.8674
1.450000, 65.074, 39.2032
1.475000, 65.374, 38.3753
1.500000, 65.673, 37.6210
1.525000, 65.974, 36.9679
1.550000, 66.278, 36.4064
1.575000, 66.583, 35.8502
1.600000, 66.888, 35.2272
1.625000, 67.194, 34.6539
1.650000, 67.500, 34.1172
1.675000, 67.805, 33.6054
1.700000, 68.108, 33.1082
1.725000, 68.410, 32.6161
1.750000, 68.709, 32.1216
1.775000, 69.004, 31.5643
1.800000, 69.296, 30.8877
1.825000, 69.584, 30.1989
1.850000, 69.869, 29.5159
1.875000, 70.151, 28.8700
1.900000, 70.432, 28.2698
1.925000, 70.710, 27.7127
1.950000, 70.987, 27.1950
1.975000, 71.261, 26.6602
2.000000, 71.533, 26.0541
2.030000, 71.856, 25.3598
2.060000, 72.176, 24.6870
2.090000, 72.491, 24.0268
2.120000, 72.803, 23.3708
2.140000, 73.009, 22.9320
2.180000, 73.415, 21.9916
2.200000, 73.615, 21.4684
2.240000, 74.009, 20.4424
2.270000, 74.300, 19.7067
2.300000, 74.587, 19.0022
2.330000, 74.870, 18.3271
2.360000, 75.149, 17.6772
2.400000, 75.516, 16.7260
2.430000, 75.787, 16.0163
2.470000, 76.142, 15.0890
2.500000, 76.405, 14.4021
2.540000, 76.750, 13.4901
2.580000, 77.089, 12.5403
2.620000, 77.421, 11.5238
2.650000, 77.666, 10.7803
2.690000, 77.988, 9.8152
2.720000, 78.224, 9.1115
2.760000, 78.535, 8.2025
2.800000, 78.840, 7.2314
2.850000, 79.212, 6.0351
2.900000, 79.577, 4.8651
2.950000, 79.933, 3.7115
3.000000, 80.279, 2.5023
3.040000, 80.550, 1.5259
3.070000, 80.749, 0.8063
3.110000, 81.010, -0.1337
3.150000, 81.266, -1.0507
3.200000, 81.578, -2.2220
3.250000, 81.884, -3.3870
3.300000, 82.183, -4.5247
3.350000, 82.475, -5.6441
3.400000, 82.759, -6.8072
3.450000, 83.035, -7.9730
3.500000, 83.304, -9.1104
3.550000, 83.567, -10.2139
3.600000, 83.824, -11.3288
3.650000, 84.076, -12.4302
3.700000, 84.322, -13.5084
3.750000, 84.561, -14.5731
3.820000, 84.885, -16.0981
3.870000, 85.110, -17.1735
3.950000, 85.460, -18.8333
4.000000, 85.673, -19.8638
4.060000, 85.922, -21.0833
4.120000, 86.165, -22.2794
4.180000, 86.400, -23.4645
4.250000, 86.666, -24.8616
4.310000, 86.889, -26.0194
4.370000, 87.106, -27.1438
4.440000, 87.354, -28.4583
4.500000, 87.559, -29.5625
4.550000, 87.727, -30.4658
4.620000, 87.956, -31.7384
4.680000, 88.148, -32.8067
4.750000, 88.366, -34.0133
4.820000, 88.580, -35.2174
4.870000, 88.729, -36.0678
4.940000, 88.933, -37.2345
5.000000, 89.104, -38.2303
5.080000, 89.327, -39.5380
5.150000, 89.518, -40.6483
5.220000, 89.703, -41.7593
5.300000, 89.910, -43.0116
5.380000, 90.111, -44.2367
5.450000, 90.283, -45.3057
5.520000, 90.451, -46.3482
5.600000, 90.639, -47.5292
5.700000, 90.867, -48.9950
5.800000, 91.087, -50.4269
5.900000, 91.300, -51.8375
6.000000, 91.507, -53.2237
6.080000, 91.667, -54.3260
6.150000, 91.803, -55.2676
6.220000, 91.937, -56.2050
6.300000, 92.085, -57.2585
6.400000, 92.265, -58.5564
6.500000, 92.439, -59.8382
6.600000, 92.608, -61.0874
6.700000, 92.771, -62.3190
6.800000, 92.929, -63.5267
6.900000, 93.082, -64.7162
7.000000, 93.231, -65.8758
7.100000, 93.375, -67.0187
7.200000, 93.515, -68.1381
7.300000, 93.652, -69.2400
7.400000, 93.785, -70.3176
7.500000, 93.915, -71.3817
7.620000, 94.066, -72.6326
7.750000, 94.226, -73.9578
7.880000, 94.380, -75.2643
8.000000, 94.518, -76.4441
8.120000, 94.652, -77.6061
8.250000, 94.792, -78.8459
8.380000, 94.928, -80.0617
8.500000, 95.049, -81.1675
8.620000, 95.166, -82.2556
8.750000, 95.288, -83.4132
8.850000, 95.379, -84.2893
9.000000, 95.510, -85.5760
9.120000, 95.611, -86.5841
9.250000, 95.717, -87.6520
9.380000, 95.820, -88.6940
9.500000, 95.912, -89.6378
9.620000, 96.003, -90.5585
9.750000, 96.098, -91.5345
9.880000, 96.183, -92.4919
10.000000, 96.251, -93.3547
10.150000, 96.323, -94.4371
10.300000, 96.387, -95.4943
10.440000, 96.442, -96.4608
10.600000, 96.501, -97.5453
10.750000, 96.556, -98.5464
10.900000, 96.612, -99.5330
11.060000, 96.667, -100.5867
11.200000, 96.713, -101.5203
11.380000, 96.767, -102.6972
11.500000, 96.799, -103.4658
11.720000, 96.854, -104.8338
11.800000, 96.873, -105.3157
12.060000, 96.932, -106.8328
12.200000, 96.963, -107.6289
12.410000, 97.009, -108.7652
12.500000, 97.029, -109.2310
12.650000, 97.062, -109.9806
12.800000, 97.095, -110.7011
13.150000, 97.178, -112.3182
13.200000, 97.191, -112.5471
13.400000, 97.246, -113.4514
13.600000, 97.304, -114.3468
13.800000, 97.364, -115.2412
14.000000, 97.423, -116.1403
14.300000, 97.507, -117.5269
14.500000, 97.558, -118.4485
14.750000, 97.615, -119.5830
15.000000, 97.666, -120.6873
15.250000, 97.716, -121.7735
15.500000, 97.763, -122.8108
15.750000, 97.807, -123.7967
16.000000, 97.850, -124.7351
16.250000, 97.893, -125.6543
16.500000, 97.936, -126.5417
16.750000, 97.980, -127.4050
17.000000, 98.026, -128.2530
17.250000, 98.073, -129.1045
17.500000, 98.119, -129.9482
17.750000, 98.162, -130.7822
18.000000, 98.202, -131.6060
18.250000, 98.239, -132.4278
18.500000, 98.273, -133.2310
18.750000, 98.305, -134.0097
19.000000, 98.334, -134.7610
19.250000, 98.364, -135.4965
19.500000, 98.393, -136.2048
19.750000, 98.422, -136.8891
20.000000, 98.452, -137.5549
20.299999, 98.488, -138.3506
20.600000, 98.524, -139.1350
20.900000, 98.558, -139.9114
21.200001, 98.590, -140.6868
21.400000, 98.610, -141.1993
21.799999, 98.645, -142.2003
22.000000, 98.660, -142.6874
22.400000, 98.690, -143.6449
22.700001, 98.712, -144.3413
23.000000, 98.732, -145.0241
23.299999, 98.753, -145.7032
23.600000, 98.771, -146.3733
24.000000, 98.795, -147.2495
24.299999, 98.810, -147.8965
24.700001, 98.829, -148.7315
25.000000, 98.843, -149.3368
25.400000, 98.861, -150.1308
25.799999, 98.880, -150.9096
26.200001, 98.898, -151.6851
26.500000, 98.910, -152.2643
26.900000, 98.923, -153.0225
27.200001, 98.931, -153.5795
27.600000, 98.942, -154.3022
28.000000, 98.952, -155.0032
28.500000, 98.964, -155.8671
29.000000, 98.974, -156.7162
29.500000, 98.981, -157.5486
30.000000, 98.986, -158.3491
30.400000, 98.988, -158.9736
30.700001, 98.990, -159.4345
31.100000, 98.991, -160.0442
31.500000, 98.991, -160.6510
32.000000, 98.989, -161.3927
32.500000, 98.984, -162.1139
33.000000, 98.979, -162.8116
33.500000, 98.974, -163.4962
34.000000, 98.969, -164.1678
34.500000, 98.964, -164.8294
35.000000, 98.958, -165.4781
35.500000, 98.951, -166.1156
36.000000, 98.941, -166.7336
36.500000, 98.931, -167.3304
37.000000, 98.921, -167.9084
37.500000, 98.912, -168.4832
38.200001, 98.897, -169.2870
38.700001, 98.882, -169.8475
39.500000, 98.857, -170.6987
40.000000, 98.842, -171.2157
40.599998, 98.825, -171.8416
41.200001, 98.804, -172.4568
41.799999, 98.780, -173.0382
42.500000, 98.756, -173.6837
43.099998, 98.740, -174.2423
43.700001, 98.720, -174.8107
44.400002, 98.691, -175.4401
45.000000, 98.666, -175.9279
45.500000, 98.649, -176.3185
46.200001, 98.630, -176.8887
46.799999, 98.610, -177.4057
47.500000, 98.579, -177.9925
48.200001, 98.546, -178.5236
48.700001, 98.524, -178.8803
49.400002, 98.496, -179.3787
50.000000, 98.472, -179.8123
50.799999, 98.437, 179.6130
51.500000, 98.404, 179.1246
52.200001, 98.369, 178.6595
53.000000, 98.330, 178.1642
53.799999, 98.294, 177.6877
54.500000, 98.263, 177.2607
55.200001, 98.229, 176.8248
56.000000, 98.186, 176.3463
57.000000, 98.131, 175.8104
58.000000, 98.081, 175.3084
59.000000, 98.034, 174.7870
60.000000, 97.982, 174.2665
60.799999, 97.938, 173.8792
61.500000, 97.900, 173.5637
62.200001, 97.865, 173.2618
63.000000, 97.826, 172.9186
64.000000, 97.777, 172.4767
65.000000, 97.724, 172.0473
66.000000, 97.669, 171.6571
67.000000, 97.617, 171.2977
68.000000, 97.568, 170.9409
69.000000, 97.518, 170.5708
70.000000, 97.465, 170.2048
71.000000, 97.409, 169.8755
72.000000, 97.356, 169.5828
73.000000, 97.306, 169.3013
74.000000, 97.257, 169.0141
75.000000, 97.208, 168.7209
76.199997, 97.144, 168.3810
77.500000, 97.073, 168.0599
78.800003, 97.007, 167.7716
80.000000, 96.949, 167.5022
81.199997, 96.890, 167.2288
82.500000, 96.825, 166.9465
83.800003, 96.759, 166.7006
85.000000, 96.702, 166.5001
86.199997, 96.648, 166.3027
87.500000, 96.589, 166.0829
88.500000, 96.543, 165.9158
90.000000, 96.473, 165.6906
91.199997, 96.418, 165.5356
92.500000, 96.362, 165.3796
93.800003, 96.307, 165.2256
95.000000, 96.256, 165.0875
96.199997, 96.204, 164.9555
97.500000, 96.146, 164.8276
98.800003, 96.088, 164.7188
100.000000, 96.037, 164.6276
101.500000, 95.976, 164.5142
103.000000, 95.915, 164.4000
104.400002, 95.857, 164.3052
106.000000, 95.790, 164.2266
107.500000, 95.730, 164.1652
109.000000, 95.671, 164.1007
110.599998, 95.609, 164.0308
112.000000, 95.556, 163.9769
113.800003, 95.488, 163.9265
115.000000, 95.443, 163.9037
117.199997, 95.363, 163.8662
118.000000, 95.335, 163.8513
120.599998, 95.244, 163.8212
122.000000, 95.199, 163.8208
124.099998, 95.133, 163.8356
125.000000, 95.105, 163.8427
126.500000, 95.060, 163.8521
128.000000, 95.015, 163.8614
131.500000, 94.912, 163.9185
132.000000, 94.898, 163.9310
134.000000, 94.842, 163.9868
136.000000, 94.790, 164.0421
138.000000, 94.740, 164.0897
140.000000, 94.692, 164.1514
143.000000, 94.620, 164.2857
145.000000, 94.574, 164.3751
147.500000, 94.518, 164.4706
150.000000, 94.463, 164.5823
152.500000, 94.407, 164.7248
155.000000, 94.352, 164.8716
157.500000, 94.298, 165.0139
160.000000, 94.246, 165.1691
162.500000, 94.193, 165.3459
165.000000, 94.140, 165.5346
167.500000, 94.091, 165.7265
170.000000, 94.045, 165.9256
172.500000, 93.999, 166.1423
175.000000, 93.954, 166.3771
177.500000, 93.913, 166.6217
180.000000, 93.876, 166.8575
182.500000, 93.842, 167.0817
185.000000, 93.809, 167.2970
187.500000, 93.777, 167.5051
190.000000, 93.749, 167.7066
192.500000, 93.725, 167.8998
195.000000, 93.704, 168.0849
197.500000, 93.683, 168.2606
200.000000, 93.662, 168.4249
203.000000, 93.636, 168.6082
206.000000, 93.611, 168.7794
209.000000, 93.585, 168.9416
212.000000, 93.557, 169.1113
214.000000, 93.538, 169.2295
218.000000, 93.501, 169.4796
220.000000, 93.485, 169.6085
224.000000, 93.453, 169.8788
227.000000, 93.431, 170.0822
230.000000, 93.410, 170.2717
233.000000, 93.391, 170.4469
236.000000, 93.374, 170.6085
240.000000, 93.351, 170.8133
243.000000, 93.331, 170.9590
247.000000, 93.303, 171.1502
250.000000, 93.282, 171.3021
254.000000, 93.255, 171.5196
258.000000, 93.227, 171.7440
262.000000, 93.201, 171.9694
265.000000, 93.182, 172.1366
269.000000, 93.158, 172.3610
272.000000, 93.142, 172.5358
276.000000, 93.122, 172.7774
280.000000, 93.104, 173.0166
285.000000, 93.082, 173.3043
290.000000, 93.061, 173.6044
295.000000, 93.042, 173.9051
300.000000, 93.024, 174.1990
304.000000, 93.011, 174.4290
307.000000, 93.002, 174.6010
311.000000, 92.991, 174.8325
315.000000, 92.981, 175.0696
320.000000, 92.969, 175.3647
325.000000, 92.957, 175.6468
330.000000, 92.947, 175.9207
335.000000, 92.937, 176.2027
340.000000, 92.928, 176.4911
345.000000, 92.917, 176.7765
350.000000, 92.907, 177.0556
355.000000, 92.898, 177.3280
360.000000, 92.890, 177.5971
365.000000, 92.882, 177.8694
370.000000, 92.875, 178.1337
375.000000, 92.868, 178.3873
382.000000, 92.858, 178.7263
387.000000, 92.850, 178.9670
395.000000, 92.837, 179.3658
400.000000, 92.828, 179.6143
406.000000, 92.819, 179.9049
412.000000, 92.812, -179.8096
418.000000, 92.803, -179.5227
425.000000, 92.794, -179.1844
431.000000, 92.787, -178.8919
437.000000, 92.780, -178.6063
444.000000, 92.772, -178.2776
450.000000, 92.766, -177.9970
455.000000, 92.761, -177.7601
462.000000, 92.754, -177.4280
468.000000, 92.749, -177.1494
475.000000, 92.745, -176.8313
482.000000, 92.742, -176.5120
487.000000, 92.741, -176.2811
494.000000, 92.740, -175.9570
500.000000, 92.740, -175.6824
508.000000, 92.740, -175.3242
515.000000, 92.741, -175.0135
522.000000, 92.743, -174.7002
530.000000, 92.744, -174.3389
538.000000, 92.746, -173.9808
545.000000, 92.749, -173.6666
552.000000, 92.753, -173.3488
560.000000, 92.759, -172.9917
570.000000, 92.766, -172.5500
580.000000, 92.773, -172.0993
590.000000, 92.782, -171.6502
600.000000, 92.792, -171.2094
608.000000, 92.798, -170.8502
615.000000, 92.802, -170.5312
622.000000, 92.806, -170.2142
630.000000, 92.812, -169.8590
640.000000, 92.820, -169.4214
650.000000, 92.829, -168.9832
660.000000, 92.838, -168.5317
670.000000, 92.849, -168.0822
680.000000, 92.862, -167.6478
690.000000, 92.877, -167.2126
700.000000, 92.892, -166.7711
710.000000, 92.908, -166.3341
720.000000, 92.925, -165.8970
730.000000, 92.942, -165.4514
740.000000, 92.962, -165.0070
750.000000, 92.983, -164.5683
762.000000, 93.008, -164.0390
775.000000, 93.037, -163.4599
788.000000, 93.068, -162.8906
800.000000, 93.099, -162.3736
812.000000, 93.133, -161.8598
825.000000, 93.171, -161.3132
838.000000, 93.211, -160.7770
850.000000, 93.251, -160.2956
862.000000, 93.292, -159.8278
875.000000, 93.337, -159.3335
885.000000, 93.372, -158.9606
900.000000, 93.428, -158.4158
912.000000, 93.474, -158.0001
925.000000, 93.526, -157.5658
938.000000, 93.578, -157.1492
