* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -36.0 dBFS, measurement signal peak level -34.8 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.2 dBFS using an acoustic timing reference
* Dated: May 4, 2025 11:40:13 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0217 ms (-7.4 mm, -0.29 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -29.4 ppm
* Measurement: Spring R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 55.205, 53.4910
1.015000, 55.359, 53.0633
1.030000, 55.518, 52.5941
1.044000, 55.671, 52.1180
1.060000, 55.853, 51.5288
1.075000, 56.031, 50.9342
1.090000, 56.218, 50.3066
1.106000, 56.426, 49.6413
1.120000, 56.614, 49.1271
1.138000, 56.863, 48.5948
1.150000, 57.033, 48.3157
1.172000, 57.351, 47.8483
1.180000, 57.468, 47.6228
1.206000, 57.857, 47.0076
1.220000, 58.070, 46.7332
1.241000, 58.393, 46.3766
1.250000, 58.533, 46.2394
1.265000, 58.767, 46.0260
1.280000, 59.003, 45.8263
1.315000, 59.554, 45.3839
1.320000, 59.633, 45.3210
1.340000, 59.947, 45.0643
1.360000, 60.260, 44.7982
1.380000, 60.571, 44.3844
1.400000, 60.878, 43.8972
1.430000, 61.329, 43.1140
1.450000, 61.624, 42.5563
1.475000, 61.984, 41.8538
1.500000, 62.340, 41.2355
1.525000, 62.694, 40.7319
1.550000, 63.045, 40.3275
1.575000, 63.394, 39.9303
1.600000, 63.741, 39.4642
1.625000, 64.085, 39.0426
1.650000, 64.426, 38.6503
1.675000, 64.765, 38.2746
1.700000, 65.100, 37.9044
1.725000, 65.432, 37.5301
1.750000, 65.760, 37.1442
1.775000, 66.084, 36.6867
1.800000, 66.405, 36.1020
1.825000, 66.722, 35.4989
1.850000, 67.035, 34.9005
1.875000, 67.344, 34.3432
1.900000, 67.650, 33.8355
1.925000, 67.952, 33.3726
1.950000, 68.251, 32.9493
1.975000, 68.547, 32.5074
2.000000, 68.839, 31.9916
2.030000, 69.185, 31.4013
2.060000, 69.526, 30.8268
2.090000, 69.863, 30.2586
2.120000, 70.196, 29.6884
2.140000, 70.415, 29.3033
2.180000, 70.848, 28.4627
2.200000, 71.061, 27.9869
2.240000, 71.481, 27.0572
2.270000, 71.790, 26.3966
2.300000, 72.095, 25.7685
2.330000, 72.395, 25.1696
2.360000, 72.690, 24.5948
2.400000, 73.077, 23.7402
2.430000, 73.363, 23.0998
2.470000, 73.737, 22.2599
2.500000, 74.014, 21.6346
2.540000, 74.378, 20.7999
2.580000, 74.736, 19.9242
2.620000, 75.086, 18.9838
2.650000, 75.344, 18.2993
2.690000, 75.682, 17.4139
2.720000, 75.931, 16.7698
2.760000, 76.258, 15.9387
2.800000, 76.578, 15.0426
2.850000, 76.970, 13.9351
2.900000, 77.354, 12.8476
2.950000, 77.729, 11.7728
3.000000, 78.094, 10.6448
3.040000, 78.379, 9.7355
3.070000, 78.589, 9.0668
3.110000, 78.864, 8.1940
3.150000, 79.134, 7.3426
3.200000, 79.464, 6.2498
3.250000, 79.787, 5.1581
3.300000, 80.103, 4.0892
3.350000, 80.412, 3.0383
3.400000, 80.713, 1.9460
3.450000, 81.006, 0.8521
3.500000, 81.293, -0.2145
3.550000, 81.572, -1.2500
3.600000, 81.846, -2.3010
3.650000, 82.114, -3.3432
3.700000, 82.377, -4.3646
3.750000, 82.633, -5.3719
3.820000, 82.981, -6.8156
3.870000, 83.222, -7.8340
3.950000, 83.598, -9.4086
4.000000, 83.828, -10.3908
4.060000, 84.097, -11.5569
4.120000, 84.359, -12.7007
4.180000, 84.614, -13.8338
4.250000, 84.903, -15.1724
4.310000, 85.145, -16.2837
4.370000, 85.381, -17.3663
4.440000, 85.651, -18.6369
4.500000, 85.876, -19.7054
4.550000, 86.059, -20.5799
4.620000, 86.309, -21.8142
4.680000, 86.519, -22.8524
4.750000, 86.759, -24.0279
4.820000, 86.993, -25.2047
4.870000, 87.157, -26.0368
4.940000, 87.382, -27.1795
5.000000, 87.570, -28.1563
5.080000, 87.815, -29.4412
5.150000, 88.024, -30.5343
5.220000, 88.229, -31.6298
5.300000, 88.457, -32.8659
5.380000, 88.679, -34.0765
5.450000, 88.869, -35.1343
5.520000, 89.055, -36.1669
5.600000, 89.262, -37.3376
5.700000, 89.515, -38.7917
5.800000, 89.759, -40.2140
5.900000, 89.996, -41.6174
6.000000, 90.226, -42.9976
6.080000, 90.405, -44.0963
6.150000, 90.558, -45.0361
6.220000, 90.708, -45.9735
6.300000, 90.875, -47.0285
6.400000, 91.079, -48.3304
6.500000, 91.276, -49.6189
6.600000, 91.467, -50.8789
6.700000, 91.653, -52.1251
6.800000, 91.833, -53.3507
6.900000, 92.008, -54.5613
7.000000, 92.178, -55.7457
7.100000, 92.344, -56.9172
7.200000, 92.504, -58.0680
7.300000, 92.661, -59.2030
7.400000, 92.813, -60.3156
7.500000, 92.961, -61.4168
7.620000, 93.134, -62.7129
7.750000, 93.315, -64.0861
7.880000, 93.491, -65.4401
8.000000, 93.648, -66.6621
8.120000, 93.800, -67.8634
8.250000, 93.960, -69.1432
8.380000, 94.115, -70.3970
8.500000, 94.255, -71.5361
8.620000, 94.390, -72.6564
8.750000, 94.532, -73.8495
8.850000, 94.639, -74.7546
9.000000, 94.794, -76.0876
9.120000, 94.915, -77.1370
9.250000, 95.042, -78.2560
9.380000, 95.166, -79.3551
9.500000, 95.277, -80.3571
9.620000, 95.386, -81.3418
9.750000, 95.499, -82.3927
9.880000, 95.601, -83.4279
10.000000, 95.683, -84.3643
10.150000, 95.771, -85.5391
10.300000, 95.849, -86.6828
10.440000, 95.914, -87.7233
10.600000, 95.984, -88.8805
10.750000, 96.049, -89.9346
10.900000, 96.113, -90.9603
11.060000, 96.179, -92.0400
11.200000, 96.235, -92.9841
11.380000, 96.304, -94.1645
11.500000, 96.349, -94.9313
11.720000, 96.429, -96.2983
11.800000, 96.459, -96.7835
12.060000, 96.556, -98.3332
12.200000, 96.609, -99.1669
12.410000, 96.688, -100.3887
12.500000, 96.722, -100.9023
12.650000, 96.776, -101.7454
12.800000, 96.828, -102.5731
13.150000, 96.944, -104.4720
13.200000, 96.960, -104.7416
13.400000, 97.024, -105.8043
13.600000, 97.087, -106.8413
13.800000, 97.148, -107.8525
14.000000, 97.207, -108.8400
14.300000, 97.291, -110.3074
14.500000, 97.343, -111.2544
14.750000, 97.405, -112.4017
15.000000, 97.467, -113.5104
15.250000, 97.530, -114.6067
15.500000, 97.593, -115.6687
15.750000, 97.655, -116.6983
16.000000, 97.714, -117.6998
16.250000, 97.772, -118.6980
16.500000, 97.829, -119.6750
