* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -36.1 dBFS, measurement signal peak level -33.7 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.2 dBFS using an acoustic timing reference
* Dated: May 4, 2025 11:07:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0282 ms (-9.7 mm, -0.38 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -28.9 ppm
* Measurement: Type E L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 60.875, 54.7160
1.015000, 60.902, 54.2831
1.030000, 60.938, 53.8182
1.044000, 60.981, 53.3530
1.060000, 61.040, 52.7819
1.075000, 61.109, 52.2069
1.090000, 61.190, 51.5963
1.106000, 61.291, 50.9299
1.120000, 61.390, 50.3768
1.138000, 61.529, 49.7364
1.150000, 61.628, 49.3547
1.172000, 61.824, 48.6518
1.180000, 61.899, 48.3292
1.206000, 62.156, 47.3718
1.220000, 62.302, 46.9030
1.241000, 62.529, 46.2505
1.250000, 62.629, 45.9867
1.265000, 62.800, 45.5648
1.280000, 62.974, 45.1612
1.315000, 63.391, 44.2692
1.320000, 63.451, 44.1455
1.340000, 63.695, 43.6554
1.360000, 63.939, 43.1717
1.380000, 64.184, 42.5561
1.400000, 64.427, 41.8828
1.430000, 64.786, 40.8479
1.450000, 65.020, 40.1383
1.475000, 65.307, 39.2535
1.500000, 65.595, 38.4413
1.525000, 65.886, 37.7297
1.550000, 66.182, 37.1102
1.575000, 66.480, 36.4973
1.600000, 66.781, 35.8196
1.625000, 67.082, 35.1938
1.650000, 67.385, 34.6070
1.675000, 67.687, 34.0476
1.700000, 67.989, 33.5052
1.725000, 68.289, 32.9704
1.750000, 68.586, 32.4354
1.775000, 68.880, 31.8397
1.800000, 69.171, 31.1268
1.825000, 69.457, 30.4036
1.850000, 69.740, 29.6876
1.875000, 70.021, 29.0101
1.900000, 70.300, 28.3797
1.925000, 70.578, 27.7938
1.950000, 70.854, 27.2490
1.975000, 71.129, 26.6886
2.000000, 71.401, 26.0585
2.030000, 71.725, 25.3374
2.060000, 72.045, 24.6400
2.090000, 72.362, 23.9572
2.120000, 72.675, 23.2805
2.140000, 72.882, 22.8290
2.180000, 73.289, 21.8652
2.200000, 73.489, 21.3314
2.240000, 73.884, 20.2860
2.270000, 74.176, 19.5372
2.300000, 74.464, 18.8208
2.330000, 74.748, 18.1349
2.360000, 75.029, 17.4753
2.400000, 75.397, 16.5128
2.430000, 75.669, 15.7957
2.470000, 76.026, 14.8601
2.500000, 76.290, 14.1679
2.540000, 76.637, 13.2502
2.580000, 76.977, 12.2961
2.620000, 77.311, 11.2765
2.650000, 77.557, 10.5316
2.690000, 77.880, 9.5654
2.720000, 78.117, 8.8615
2.760000, 78.429, 7.9529
2.800000, 78.735, 6.9828
2.850000, 79.110, 5.7888
2.900000, 79.476, 4.6219
2.950000, 79.833, 3.4723
3.000000, 80.181, 2.2683
3.040000, 80.453, 1.2966
3.070000, 80.653, 0.5810
3.110000, 80.915, -0.3536
3.150000, 81.171, -1.2650
3.200000, 81.485, -2.4290
3.250000, 81.792, -3.5866
3.300000, 82.092, -4.7169
3.350000, 82.385, -5.8285
3.400000, 82.670, -6.9833
3.450000, 82.948, -8.1405
3.500000, 83.218, -9.2693
3.550000, 83.482, -10.3644
3.600000, 83.740, -11.4710
3.650000, 83.993, -12.5647
3.700000, 84.239, -13.6352
3.750000, 84.479, -14.6923
3.820000, 84.805, -16.2066
3.870000, 85.031, -17.2745
3.950000, 85.381, -18.9231
4.000000, 85.595, -19.9472
4.060000, 85.845, -21.1596
4.120000, 86.088, -22.3491
4.180000, 86.324, -23.5278
4.250000, 86.591, -24.9180
4.310000, 86.814, -26.0704
4.370000, 87.032, -27.1898
4.440000, 87.280, -28.4991
4.500000, 87.486, -29.5995
4.550000, 87.653, -30.5000
4.620000, 87.882, -31.7689
4.680000, 88.074, -32.8343
4.750000, 88.293, -34.0375
4.820000, 88.506, -35.2386
4.870000, 88.655, -36.0871
4.940000, 88.859, -37.2513
5.000000, 89.029, -38.2452
5.080000, 89.251, -39.5499
5.150000, 89.441, -40.6572
5.220000, 89.626, -41.7652
5.300000, 89.832, -43.0138
5.380000, 90.032, -44.2351
5.450000, 90.203, -45.3004
5.520000, 90.370, -46.3386
5.600000, 90.557, -47.5141
5.700000, 90.783, -48.9725
5.800000, 91.002, -50.3968
5.900000, 91.215, -51.7994
6.000000, 91.420, -53.1769
6.080000, 91.579, -54.2722
6.150000, 91.716, -55.2080
6.220000, 91.849, -56.1400
6.300000, 91.997, -57.1877
6.400000, 92.178, -58.4787
6.500000, 92.352, -59.7545
6.600000, 92.521, -60.9996
6.700000, 92.685, -62.2286
6.800000, 92.843, -63.4350
6.900000, 92.997, -64.6246
7.000000, 93.147, -65.7860
7.100000, 93.292, -66.9324
7.200000, 93.432, -68.0564
7.300000, 93.569, -69.1633
7.400000, 93.702, -70.2463
7.500000, 93.832, -71.3164
7.620000, 93.983, -72.5740
7.750000, 94.141, -73.9044
7.880000, 94.295, -75.2143
8.000000, 94.432, -76.3950
8.120000, 94.564, -77.5549
8.250000, 94.704, -78.7894
8.380000, 94.839, -79.9975
8.500000, 94.960, -81.0941
8.620000, 95.078, -82.1714
8.750000, 95.201, -83.3172
8.850000, 95.293, -84.1852
9.000000, 95.427, -85.4610
9.120000, 95.531, -86.4633
9.250000, 95.640, -87.5292
9.380000, 95.746, -88.5734
9.500000, 95.842, -89.5228
9.620000, 95.935, -90.4532
9.750000, 96.032, -91.4434
9.880000, 96.118, -92.4166
10.000000, 96.186, -93.2946
10.150000, 96.258, -94.3954
10.300000, 96.320, -95.4655
10.440000, 96.372, -96.4378
10.600000, 96.427, -97.5190
10.750000, 96.479, -98.5048
10.900000, 96.530, -99.4652
11.060000, 96.583, -100.4797
11.200000, 96.628, -101.3704
11.380000, 96.684, -102.4872
11.500000, 96.719, -103.2146
11.720000, 96.782, -104.5140
11.800000, 96.805, -104.9758
12.060000, 96.880, -106.4514
12.200000, 96.921, -107.2451
12.410000, 96.982, -108.4048
12.500000, 97.007, -108.8904
12.650000, 97.047, -109.6848
12.800000, 97.086, -110.4605
13.150000, 97.171, -112.2256
13.200000, 97.183, -112.4748
13.400000, 97.230, -113.4528
13.600000, 97.278, -114.4021
13.800000, 97.326, -115.3243
14.000000, 97.372, -116.2237
14.300000, 97.438, -117.5637
14.500000, 97.481, -118.4312
14.750000, 97.532, -119.4865
15.000000, 97.582, -120.5120
15.250000, 97.635, -121.5333
15.500000, 97.688, -122.5271
15.750000, 97.739, -123.4935
16.000000, 97.787, -124.4345
16.250000, 97.833, -125.3722
16.500000, 97.877, -126.2863
16.750000, 97.920, -127.1761
17.000000, 97.962, -128.0432
