* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -35.7 dBFS, measurement signal peak level -33.4 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.2 dBFS using an acoustic timing reference
* Dated: May 4, 2025 11:35:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0267 ms (-9.1 mm, -0.36 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -29.4 ppm
* Measurement: Type E R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 56.624, 62.6879
1.015000, 56.731, 61.9294
1.030000, 56.844, 61.1567
1.044000, 56.954, 60.4192
1.060000, 57.087, 59.5538
1.075000, 57.217, 58.7188
1.090000, 57.355, 57.8643
1.106000, 57.509, 56.9614
1.120000, 57.653, 56.2304
1.138000, 57.849, 55.4048
1.150000, 57.987, 54.9243
1.172000, 58.252, 54.0843
1.180000, 58.352, 53.7241
1.206000, 58.689, 52.6812
1.220000, 58.878, 52.1856
1.241000, 59.169, 51.5123
1.250000, 59.296, 51.2455
1.265000, 59.510, 50.8247
1.280000, 59.727, 50.4288
1.315000, 60.242, 49.5725
1.320000, 60.316, 49.4554
1.340000, 60.613, 48.9942
1.360000, 60.908, 48.5425
1.380000, 61.202, 47.9609
1.400000, 61.492, 47.3229
1.430000, 61.917, 46.3424
1.450000, 62.191, 45.6703
1.475000, 62.525, 44.8370
1.500000, 62.856, 44.0886
1.525000, 63.186, 43.4528
1.550000, 63.515, 42.9171
1.575000, 63.844, 42.3923
1.600000, 64.172, 41.8042
1.625000, 64.498, 41.2675
1.650000, 64.823, 40.7680
1.675000, 65.146, 40.2932
1.700000, 65.466, 39.8321
1.725000, 65.783, 39.3752
1.750000, 66.098, 38.9145
1.775000, 66.408, 38.3899
1.800000, 66.715, 37.7451
1.825000, 67.018, 37.0878
1.850000, 67.318, 36.4377
1.875000, 67.614, 35.8279
1.900000, 67.907, 35.2666
1.925000, 68.198, 34.7499
1.950000, 68.486, 34.2735
1.975000, 68.770, 33.7801
2.000000, 69.052, 33.2147
2.030000, 69.387, 32.5683
2.060000, 69.717, 31.9418
2.090000, 70.043, 31.3262
2.120000, 70.365, 30.7131
2.140000, 70.577, 30.3020
2.180000, 70.996, 29.4154
2.200000, 71.203, 28.9191
2.240000, 71.610, 27.9494
2.270000, 71.911, 27.2586
2.300000, 72.207, 26.6003
2.330000, 72.498, 25.9716
2.360000, 72.786, 25.3680
2.400000, 73.163, 24.4770
2.430000, 73.442, 23.8110
2.470000, 73.808, 22.9399
2.500000, 74.078, 22.2935
2.540000, 74.433, 21.4337
2.580000, 74.783, 20.5358
2.620000, 75.125, 19.5743
2.650000, 75.378, 18.8742
2.690000, 75.709, 17.9682
2.720000, 75.953, 17.3091
2.760000, 76.274, 16.4587
2.800000, 76.588, 15.5444
2.850000, 76.973, 14.4160
2.900000, 77.350, 13.3099
2.950000, 77.719, 12.2186
3.000000, 78.078, 11.0754
3.040000, 78.359, 10.1544
3.070000, 78.566, 9.4772
3.110000, 78.837, 8.5933
3.150000, 79.103, 7.7313
3.200000, 79.429, 6.6259
3.250000, 79.748, 5.5225
3.300000, 80.060, 4.4428
3.350000, 80.366, 3.3821
3.400000, 80.664, 2.2807
3.450000, 80.954, 1.1781
3.500000, 81.238, 0.1031
3.550000, 81.515, -0.9405
3.600000, 81.787, -1.9994
3.650000, 82.053, -3.0495
3.700000, 82.314, -4.0784
3.750000, 82.568, -5.0926
3.820000, 82.914, -6.5455
3.870000, 83.154, -7.5703
3.950000, 83.529, -9.1551
4.000000, 83.757, -10.1439
4.060000, 84.026, -11.3180
4.120000, 84.287, -12.4696
4.180000, 84.542, -13.6103
4.250000, 84.831, -14.9577
4.310000, 85.072, -16.0767
4.370000, 85.309, -17.1672
4.440000, 85.579, -18.4474
4.500000, 85.804, -19.5243
4.550000, 85.987, -20.4057
4.620000, 86.238, -21.6498
4.680000, 86.448, -22.6965
4.750000, 86.689, -23.8820
4.820000, 86.924, -25.0692
4.870000, 87.088, -25.9089
4.940000, 87.313, -27.0622
5.000000, 87.502, -28.0480
5.080000, 87.748, -29.3449
5.150000, 87.958, -30.4483
5.220000, 88.163, -31.5543
5.300000, 88.391, -32.8023
5.380000, 88.614, -34.0244
5.450000, 88.804, -35.0918
5.520000, 88.991, -36.1335
5.600000, 89.199, -37.3143
5.700000, 89.451, -38.7805
5.800000, 89.696, -40.2136
5.900000, 89.933, -41.6261
6.000000, 90.163, -43.0142
6.080000, 90.342, -44.1182
6.150000, 90.495, -45.0619
6.220000, 90.644, -46.0020
6.300000, 90.811, -47.0591
6.400000, 91.014, -48.3621
6.500000, 91.211, -49.6501
6.600000, 91.403, -50.9079
6.700000, 91.588, -52.1500
6.800000, 91.768, -53.3699
6.900000, 91.944, -54.5736
7.000000, 92.114, -55.7499
7.100000, 92.280, -56.9121
7.200000, 92.441, -58.0526
7.300000, 92.598, -59.1771
7.400000, 92.752, -60.2790
7.500000, 92.901, -61.3693
7.620000, 93.076, -62.6526
7.750000, 93.259, -64.0134
7.880000, 93.437, -65.3562
8.000000, 93.596, -66.5695
8.120000, 93.750, -67.7643
8.250000, 93.913, -69.0391
8.380000, 94.070, -70.2898
8.500000, 94.211, -71.4279
8.620000, 94.348, -72.5486
8.750000, 94.491, -73.7429
8.850000, 94.598, -74.6489
9.000000, 94.754, -75.9833
9.120000, 94.874, -77.0327
9.250000, 95.000, -78.1495
9.380000, 95.123, -79.2443
9.500000, 95.233, -80.2396
9.620000, 95.340, -81.2146
9.750000, 95.452, -82.2520
9.880000, 95.553, -83.2710
10.000000, 95.634, -84.1899
10.150000, 95.723, -85.3405
10.300000, 95.801, -86.4598
10.440000, 95.868, -87.4776
10.600000, 95.940, -88.6118
10.750000, 96.008, -89.6489
10.900000, 96.076, -90.6629
11.060000, 96.146, -91.7377
11.200000, 96.205, -92.6843
11.380000, 96.279, -93.8763
11.500000, 96.326, -94.6560
11.720000, 96.409, -96.0540
11.800000, 96.439, -96.5519
12.060000, 96.536, -98.1447
12.200000, 96.587, -98.9998
12.410000, 96.663, -100.2484
12.500000, 96.695, -100.7706
12.650000, 96.746, -101.6243
12.800000, 96.795, -102.4576
13.150000, 96.905, -104.3530
13.200000, 96.921, -104.6209
13.400000, 96.983, -105.6743
13.600000, 97.045, -106.7013
13.800000, 97.107, -107.7039
14.000000, 97.166, -108.6855
14.300000, 97.251, -110.1497
14.500000, 97.305, -111.0979
14.750000, 97.369, -112.2489
15.000000, 97.432, -113.3636
15.250000, 97.498, -114.4691
15.500000, 97.564, -115.5453
15.750000, 97.628, -116.5960
16.000000, 97.690, -117.6264
16.250000, 97.749, -118.6590
16.500000, 97.804, -119.6714
16.750000, 97.855, -120.6588
17.000000, 97.904, -121.6174
17.250000, 97.951, -122.5566
17.500000, 97.996, -123.4608
17.750000, 98.040, -124.3300
18.000000, 98.084, -125.1715
18.250000, 98.128, -126.0040
18.500000, 98.172, -126.8232
18.750000, 98.216, -127.6322
19.000000, 98.259, -128.4332
19.250000, 98.302, -129.2378
19.500000, 98.342, -130.0293
19.750000, 98.379, -130.8036
20.000000, 98.414, -131.5581
20.299999, 98.454, -132.4503
20.600000, 98.493, -133.3156
20.900000, 98.531, -134.1587
21.200001, 98.567, -134.9920
21.400000, 98.589, -135.5412
21.799999, 98.632, -136.6168
22.000000, 98.652, -137.1428
22.400000, 98.690, -138.1811
22.700001, 98.717, -138.9388
23.000000, 98.744, -139.6821
23.299999, 98.770, -140.4208
23.600000, 98.795, -141.1503
24.000000, 98.826, -142.1065
24.299999, 98.847, -142.8143
24.700001, 98.873, -143.7308
25.000000, 98.891, -144.3954
25.400000, 98.915, -145.2628
25.799999, 98.938, -146.1061
26.200001, 98.961, -146.9375
26.500000, 98.977, -147.5557
26.900000, 98.996, -148.3655
27.200001, 99.009, -148.9628
27.600000, 99.025, -149.7402
28.000000, 99.040, -150.4932
28.500000, 99.058, -151.4138
29.000000, 99.074, -152.3154
29.500000, 99.089, -153.2079
30.000000, 99.100, -154.0793
30.400000, 99.105, -154.7607
30.700001, 99.108, -155.2596
31.100000, 99.111, -155.9114
31.500000, 99.113, -156.5533
32.000000, 99.114, -157.3378
32.500000, 99.115, -158.1065
33.000000, 99.114, -158.8559
33.500000, 99.113, -159.5952
34.000000, 99.112, -160.3239
34.500000, 99.109, -161.0396
35.000000, 99.106, -161.7309
35.500000, 99.102, -162.4003
36.000000, 99.098, -163.0545
36.500000, 99.095, -163.7054
37.000000, 99.089, -164.3498
37.500000, 99.081, -164.9814
38.200001, 99.067, -165.8305
38.700001, 99.057, -166.4193
39.500000, 99.040, -167.3466
40.000000, 99.028, -167.9156
40.599998, 99.012, -168.5854
41.200001, 98.994, -169.2359
41.799999, 98.976, -169.8691
42.500000, 98.955, -170.5898
43.099998, 98.938, -171.1929
43.700001, 98.920, -171.7820
44.400002, 98.898, -172.4475
45.000000, 98.880, -173.0038
45.500000, 98.864, -173.4622
46.200001, 98.840, -174.0907
46.799999, 98.818, -174.6137
47.500000, 98.794, -175.2094
48.200001, 98.768, -175.7912
48.700001, 98.748, -176.1944
49.400002, 98.722, -176.7445
50.000000, 98.699, -177.2120
50.799999, 98.666, -177.8244
51.500000, 98.636, -178.3331
52.200001, 98.608, -178.8308
53.000000, 98.574, -179.4039
53.799999, 98.535, -179.9407
54.500000, 98.504, 179.6244
55.200001, 98.476, 179.1708
56.000000, 98.437, 178.6336
57.000000, 98.382, 178.0533
58.000000, 98.342, 177.4994
59.000000, 98.294, 176.8574
60.000000, 98.232, 176.3238
60.799999, 98.194, 175.9745
61.500000, 98.170, 175.6225
62.200001, 98.140, 175.2292
63.000000, 98.099, 174.7947
64.000000, 98.045, 174.3049
65.000000, 97.991, 173.8697
66.000000, 97.943, 173.4667
67.000000, 97.895, 173.0421
68.000000, 97.842, 172.6360
69.000000, 97.791, 172.2751
70.000000, 97.745, 171.9046
71.000000, 97.697, 171.5156
72.000000, 97.645, 171.1539
73.000000, 97.596, 170.8337
74.000000, 97.554, 170.5021
75.000000, 97.510, 170.1244
76.199997, 97.446, 169.6865
77.500000, 97.371, 169.3088
78.800003, 97.302, 168.9826
80.000000, 97.240, 168.6860
81.199997, 97.179, 168.3848
82.500000, 97.112, 168.0630
83.800003, 97.046, 167.7621
85.000000, 96.986, 167.5057
86.199997, 96.930, 167.2674
87.500000, 96.870, 167.0244
88.500000, 96.824, 166.8461
90.000000, 96.756, 166.5929
91.199997, 96.702, 166.4034
92.500000, 96.645, 166.2048
93.800003, 96.587, 166.0117
95.000000, 96.534, 165.8450
96.199997, 96.481, 165.6877
97.500000, 96.423, 165.5269
98.800003, 96.366, 165.3756
100.000000, 96.313, 165.2459
101.500000, 96.248, 165.0950
103.000000, 96.184, 164.9534
104.400002, 96.125, 164.8346
106.000000, 96.059, 164.7127
107.500000, 95.998, 164.6074
109.000000, 95.936, 164.5168
110.599998, 95.872, 164.4242
112.000000, 95.816, 164.3474
113.800003, 95.746, 164.2661
115.000000, 95.700, 164.2206
117.199997, 95.619, 164.1417
118.000000, 95.589, 164.1138
120.599998, 95.495, 164.0399
122.000000, 95.447, 164.0189
124.099998, 95.380, 163.9991
125.000000, 95.351, 163.9898
126.500000, 95.304, 163.9747
128.000000, 95.255, 163.9678
131.500000, 95.148, 163.9884
132.000000, 95.133, 163.9915
134.000000, 95.075, 164.0082
136.000000, 95.019, 164.0451
138.000000, 94.966, 164.0932
140.000000, 94.915, 164.1437
143.000000, 94.840, 164.2283
145.000000, 94.791, 164.2934
147.500000, 94.732, 164.3799
150.000000, 94.674, 164.4750
152.500000, 94.616, 164.5842
155.000000, 94.559, 164.7042
157.500000, 94.502, 164.8311
160.000000, 94.446, 164.9667
162.500000, 94.391, 165.1087
165.000000, 94.337, 165.2599
167.500000, 94.283, 165.4203
