* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -37.0 dBFS, measurement signal peak level -34.2 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.2 dBFS using an acoustic timing reference
* Dated: May 4, 2025 11:11:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0228 ms (-7.8 mm, -0.31 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -29.0 ppm
* Measurement: Velvet L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 61.221, 54.6138
1.015000, 61.267, 54.0526
1.030000, 61.321, 53.4729
1.044000, 61.378, 52.9120
1.060000, 61.453, 52.2443
1.075000, 61.534, 51.5903
1.090000, 61.625, 50.9111
1.106000, 61.735, 50.1811
1.120000, 61.840, 49.5780
1.138000, 61.987, 48.8796
1.150000, 62.092, 48.4627
1.172000, 62.297, 47.7025
1.180000, 62.376, 47.3613
1.206000, 62.644, 46.3511
1.220000, 62.795, 45.8586
1.241000, 63.031, 45.1765
1.250000, 63.135, 44.9022
1.265000, 63.311, 44.4655
1.280000, 63.490, 44.0504
1.315000, 63.919, 43.1443
1.320000, 63.981, 43.0200
1.340000, 64.230, 42.5308
1.360000, 64.480, 42.0535
1.380000, 64.729, 41.4494
1.400000, 64.976, 40.7925
1.430000, 65.341, 39.7914
1.450000, 65.577, 39.1098
1.475000, 65.866, 38.2642
1.500000, 66.155, 37.4914
1.525000, 66.447, 36.8171
1.550000, 66.741, 36.2326
1.575000, 67.037, 35.6527
1.600000, 67.334, 35.0065
1.625000, 67.632, 34.4109
1.650000, 67.930, 33.8534
1.675000, 68.228, 33.3230
1.700000, 68.524, 32.8094
1.725000, 68.818, 32.3036
1.750000, 69.110, 31.7980
1.775000, 69.399, 31.2324
1.800000, 69.685, 30.5503
1.825000, 69.966, 29.8584
1.850000, 70.245, 29.1733
1.875000, 70.521, 28.5246
1.900000, 70.795, 27.9205
1.925000, 71.068, 27.3588
1.950000, 71.339, 26.8361
1.975000, 71.608, 26.2961
2.000000, 71.875, 25.6851
2.030000, 72.192, 24.9855
2.060000, 72.507, 24.3085
2.090000, 72.817, 23.6454
2.120000, 73.124, 22.9881
2.140000, 73.326, 22.5495
2.180000, 73.725, 21.6118
2.200000, 73.922, 21.0910
2.240000, 74.310, 20.0705
2.270000, 74.596, 19.3385
2.300000, 74.879, 18.6375
2.330000, 75.158, 17.9656
2.360000, 75.433, 17.3189
2.400000, 75.795, 16.3719
2.430000, 76.062, 15.6657
2.470000, 76.413, 14.7438
2.500000, 76.673, 14.0616
2.540000, 77.014, 13.1569
2.580000, 77.348, 12.2156
2.620000, 77.677, 11.2083
2.650000, 77.919, 10.4718
2.690000, 78.237, 9.5159
2.720000, 78.472, 8.8190
2.760000, 78.779, 7.9190
2.800000, 79.081, 6.9567
2.850000, 79.450, 5.7714
2.900000, 79.811, 4.6126
2.950000, 80.164, 3.4707
3.000000, 80.508, 2.2740
3.040000, 80.777, 1.3077
3.070000, 80.975, 0.5958
3.110000, 81.234, -0.3342
3.150000, 81.488, -1.2414
3.200000, 81.799, -2.4010
3.250000, 82.103, -3.5547
3.300000, 82.400, -4.6816
3.350000, 82.690, -5.7899
3.400000, 82.973, -6.9416
3.450000, 83.248, -8.0960
3.500000, 83.517, -9.2224
3.550000, 83.779, -10.3154
3.600000, 84.036, -11.4205
3.650000, 84.287, -12.5131
3.700000, 84.532, -13.5828
3.750000, 84.771, -14.6391
3.820000, 85.095, -16.1525
3.870000, 85.320, -17.2199
3.950000, 85.670, -18.8684
4.000000, 85.883, -19.8927
4.060000, 86.132, -21.1059
4.120000, 86.375, -22.2962
4.180000, 86.611, -23.4759
4.250000, 86.878, -24.8673
4.310000, 87.101, -26.0210
4.370000, 87.319, -27.1421
4.440000, 87.566, -28.4537
4.500000, 87.773, -29.5562
4.550000, 87.941, -30.4584
4.620000, 88.170, -31.7299
4.680000, 88.362, -32.7976
4.750000, 88.581, -34.0038
4.820000, 88.795, -35.2081
4.870000, 88.945, -36.0590
4.940000, 89.149, -37.2266
5.000000, 89.320, -38.2233
5.080000, 89.543, -39.5322
5.150000, 89.734, -40.6432
5.220000, 89.920, -41.7549
5.300000, 90.126, -43.0080
5.380000, 90.327, -44.2337
5.450000, 90.499, -45.3029
5.520000, 90.667, -46.3450
