* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -35.6 dBFS, measurement signal peak level -34.5 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.2 dBFS using an acoustic timing reference
* Dated: May 4, 2025 11:37:17 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0206 ms (-7.1 mm, -0.28 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -29.4 ppm
* Measurement: Velvet R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 58.053, 61.0241
1.015000, 58.096, 60.8732
1.030000, 58.146, 60.6640
1.044000, 58.201, 60.4148
1.060000, 58.274, 60.0653
1.075000, 58.353, 59.6751
1.090000, 58.444, 59.2294
1.106000, 58.554, 58.7233
1.120000, 58.659, 58.3058
1.138000, 58.805, 57.8381
1.150000, 58.909, 57.5699
1.172000, 59.112, 57.0693
1.180000, 59.189, 56.8178
1.206000, 59.453, 56.0801
1.220000, 59.603, 55.7214
1.241000, 59.835, 55.2219
1.250000, 59.937, 55.0190
1.265000, 60.111, 54.6920
1.280000, 60.287, 54.3749
1.315000, 60.711, 53.6514
1.320000, 60.772, 53.5480
1.340000, 61.020, 53.1290
1.360000, 61.269, 52.7012
1.380000, 61.518, 52.1264
1.400000, 61.766, 51.4791
1.430000, 62.133, 50.4564
1.450000, 62.374, 49.7385
1.475000, 62.670, 48.8306
1.500000, 62.969, 47.9936
1.525000, 63.272, 47.2608
1.550000, 63.579, 46.6231
1.575000, 63.889, 45.9936
1.600000, 64.202, 45.2995
1.625000, 64.517, 44.6566
1.650000, 64.833, 44.0510
1.675000, 65.148, 43.4704
1.700000, 65.463, 42.9038
1.725000, 65.777, 42.3416
1.750000, 66.088, 41.7755
1.775000, 66.395, 41.1449
1.800000, 66.699, 40.3936
1.825000, 66.999, 39.6290
1.850000, 67.294, 38.8723
1.875000, 67.588, 38.1584
1.900000, 67.881, 37.4968
1.925000, 68.172, 36.8840
1.950000, 68.462, 36.3156
1.975000, 68.749, 35.7341
2.000000, 69.035, 35.0846
2.030000, 69.375, 34.3416
2.060000, 69.711, 33.6228
2.090000, 70.044, 32.9184
2.120000, 70.373, 32.2195
2.140000, 70.589, 31.7524
2.180000, 71.016, 30.7564
2.200000, 71.226, 30.2064
2.240000, 71.641, 29.1329
2.270000, 71.947, 28.3683
2.300000, 72.249, 27.6400
2.330000, 72.548, 26.9452
2.360000, 72.842, 26.2790
2.400000, 73.228, 25.3098
2.430000, 73.514, 24.5887
2.470000, 73.889, 23.6482
2.500000, 74.165, 22.9523
2.540000, 74.529, 22.0294
2.580000, 74.886, 21.0711
2.620000, 75.237, 20.0519
2.650000, 75.495, 19.3107
2.690000, 75.834, 18.3532
2.720000, 76.084, 17.6577
2.760000, 76.411, 16.7619
2.800000, 76.733, 15.8056
2.850000, 77.126, 14.6291
2.900000, 77.511, 13.4791
2.950000, 77.888, 12.3474
3.000000, 78.254, 11.1664
3.040000, 78.541, 10.2172
3.070000, 78.751, 9.5201
3.110000, 79.028, 8.6115
3.150000, 79.299, 7.7269
3.200000, 79.631, 6.5959
3.250000, 79.955, 5.4701
3.300000, 80.273, 4.3707
3.350000, 80.584, 3.2922
3.400000, 80.886, 2.1747
3.450000, 81.181, 1.0577
3.500000, 81.469, -0.0298
3.550000, 81.750, -1.0839
3.600000, 82.025, -2.1513
3.650000, 82.295, -3.2079
3.700000, 82.559, -4.2417
3.750000, 82.816, -5.2596
3.820000, 83.166, -6.7157
3.870000, 83.409, -7.7414
3.950000, 83.788, -9.3253
4.000000, 84.019, -10.3121
4.060000, 84.290, -11.4824
4.120000, 84.553, -12.6289
4.180000, 84.810, -13.7634
4.250000, 85.102, -15.1024
4.310000, 85.345, -16.2134
4.370000, 85.584, -17.2951
4.440000, 85.855, -18.5643
4.500000, 86.082, -19.6310
4.550000, 86.266, -20.5034
4.620000, 86.519, -21.7346
4.680000, 86.731, -22.7699
4.750000, 86.972, -23.9420
4.820000, 87.209, -25.1156
4.870000, 87.374, -25.9455
4.940000, 87.600, -27.0848
5.000000, 87.789, -28.0586
5.080000, 88.036, -29.3397
5.150000, 88.247, -30.4295
5.220000, 88.453, -31.5220
5.300000, 88.682, -32.7548
5.380000, 88.906, -33.9620
5.450000, 89.096, -35.0167
5.520000, 89.283, -36.0460
5.600000, 89.491, -37.2129
5.700000, 89.744, -38.6623
5.800000, 89.989, -40.0795
5.900000, 90.227, -41.4770
6.000000, 90.457, -42.8509
6.080000, 90.636, -43.9443
6.150000, 90.789, -44.8794
