* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -36.5 dBFS, measurement signal peak level -34.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.2 dBFS using an acoustic timing reference
* Dated: May 4, 2025 11:21:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0234 ms (-8.0 mm, -0.32 in) using estimated IR delay relative to Acoustic reference played from SPEAKER L with no timing offset Clock adjustment: -29.2 ppm
* Measurement: W1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 59.613, 52.6138
1.015000, 59.706, 52.0151
1.030000, 59.804, 51.3954
1.044000, 59.902, 50.7950
1.060000, 60.021, 50.0804
1.075000, 60.141, 49.3815
1.090000, 60.270, 48.6581
1.106000, 60.417, 47.8881
1.120000, 60.554, 47.2649
1.138000, 60.740, 46.5646
1.150000, 60.871, 46.1597
1.172000, 61.122, 45.4433
1.180000, 61.217, 45.1236
1.206000, 61.536, 44.1984
1.220000, 61.714, 43.7584
1.241000, 61.989, 43.1599
1.250000, 62.109, 42.9223
1.265000, 62.312, 42.5472
1.280000, 62.517, 42.1934
1.315000, 63.004, 41.4244
1.320000, 63.074, 41.3187
1.340000, 63.355, 40.9009
1.360000, 63.635, 40.4896
1.380000, 63.914, 39.9460
1.400000, 64.189, 39.3437
1.430000, 64.594, 38.4133
1.450000, 64.857, 37.7723
1.475000, 65.177, 36.9746
1.500000, 65.495, 36.2553
1.525000, 65.814, 35.6423
1.550000, 66.133, 35.1241
1.575000, 66.451, 34.6128
1.600000, 66.770, 34.0352
1.625000, 67.087, 33.5068
1.650000, 67.403, 33.0139
1.675000, 67.718, 32.5444
1.700000, 68.030, 32.0876
1.725000, 68.340, 31.6342
1.750000, 68.647, 31.1764
1.775000, 68.951, 30.6538
1.800000, 69.250, 30.0103
1.825000, 69.546, 29.3531
1.850000, 69.838, 28.7013
1.875000, 70.128, 28.0869
1.900000, 70.415, 27.5186
1.925000, 70.699, 26.9933
1.950000, 70.980, 26.5070
1.975000, 71.259, 26.0029
2.000000, 71.536, 25.4265
