* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -35.4 dBFS, measurement signal peak level -34.0 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -38.2 dBFS using an acoustic timing reference
* Dated: May 4, 2025 11:46:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 4.4mm + E2x2 MacBook Delay -0.0242 ms (-8.3 mm, -0.33 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -29.5 ppm
* Measurement: W1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 57.050, 60.7800
1.015000, 57.147, 60.1210
1.030000, 57.251, 59.4423
1.044000, 57.353, 58.7880
1.060000, 57.478, 58.0128
1.075000, 57.602, 57.2583
1.090000, 57.734, 56.4806
1.106000, 57.885, 55.6553
1.120000, 58.025, 54.9880
1.138000, 58.216, 54.2375
1.150000, 58.349, 53.8030
1.172000, 58.607, 53.0393
1.180000, 58.704, 52.7043
1.206000, 59.032, 51.7354
1.220000, 59.215, 51.2749
1.241000, 59.497, 50.6488
1.250000, 59.620, 50.4004
1.265000, 59.829, 50.0083
1.280000, 60.040, 49.6386
1.315000, 60.540, 48.8357
1.320000, 60.612, 48.7255
1.340000, 60.900, 48.2901
1.360000, 61.188, 47.8619
1.380000, 61.475, 47.3020
1.400000, 61.758, 46.6840
1.430000, 62.173, 45.7314
1.450000, 62.442, 45.0766
1.475000, 62.770, 44.2639
1.500000, 63.096, 43.5346
1.525000, 63.421, 42.9165
1.550000, 63.747, 42.3968
1.575000, 64.073, 41.8866
1.600000, 64.398, 41.3118
1.625000, 64.722, 40.7873
1.650000, 65.044, 40.2989
1.675000, 65.365, 39.8343
1.700000, 65.684, 39.3826
1.725000, 66.000, 38.9346
1.750000, 66.313, 38.4823
1.775000, 66.623, 37.9658
1.800000, 66.928, 37.3288
1.825000, 67.230, 36.6792
1.850000, 67.528, 36.0371
1.875000, 67.824, 35.4354
1.900000, 68.116, 34.8825
1.925000, 68.406, 34.3742
1.950000, 68.693, 33.9061
1.975000, 68.978, 33.4207
2.000000, 69.260, 32.8632
2.030000, 69.594, 32.2259
2.060000, 69.925, 31.6080
2.090000, 70.251, 31.0006
2.120000, 70.573, 30.3953
2.140000, 70.786, 29.9892
2.180000, 71.205, 29.1123
2.200000, 71.412, 28.6207
2.240000, 71.819, 27.6609
2.270000, 72.120, 26.9779
2.300000, 72.417, 26.3276
2.330000, 72.709, 25.7070
2.360000, 72.997, 25.1112
2.400000, 73.375, 24.2304
2.430000, 73.654, 23.5718
2.470000, 74.021, 22.7100
2.500000, 74.292, 22.0701
2.540000, 74.648, 21.2186
2.580000, 74.998, 20.3286
2.620000, 75.342, 19.3750
2.650000, 75.595, 18.6810
2.690000, 75.927, 17.7833
2.720000, 76.172, 17.1303
2.760000, 76.493, 16.2879
2.800000, 76.808, 15.3812
2.850000, 77.195, 14.2618
2.900000, 77.572, 13.1639
2.950000, 77.942, 12.0802
3.000000, 78.302, 10.9443
3.040000, 78.584, 10.0291
3.070000, 78.791, 9.3561
3.110000, 79.063, 8.4779
3.150000, 79.330, 7.6214
3.200000, 79.656, 6.5224
3.250000, 79.976, 5.4251
3.300000, 80.290, 4.3510
3.350000, 80.596, 3.2955
3.400000, 80.894, 2.1991
3.450000, 81.185, 1.1012
3.500000, 81.469, 0.0308
3.550000, 81.747, -1.0083
3.600000, 82.019, -2.0629
3.650000, 82.285, -3.1087
3.700000, 82.546, -4.1335
3.750000, 82.801, -5.1440
3.820000, 83.147, -6.5920
3.870000, 83.387, -7.6133
3.950000, 83.761, -9.1924
4.000000, 83.990, -10.1775
4.060000, 84.258, -11.3470
4.120000, 84.519, -12.4941
4.180000, 84.773, -13.6303
4.250000, 85.062, -14.9725
4.310000, 85.303, -16.0868
4.370000, 85.539, -17.1722
4.440000, 85.808, -18.4459
4.500000, 86.032, -19.5171
4.550000, 86.215, -20.3937
4.620000, 86.465, -21.6307
4.680000, 86.675, -22.6711
4.750000, 86.914, -23.8490
4.820000, 87.148, -25.0279
4.870000, 87.312, -25.8614
4.940000, 87.536, -27.0058
5.000000, 87.724, -27.9839
5.080000, 87.969, -29.2704
5.150000, 88.179, -30.3645
5.220000, 88.384, -31.4609
5.300000, 88.612, -32.6977
5.380000, 88.834, -33.9087
5.450000, 89.024, -34.9667
5.520000, 89.210, -35.9993
5.600000, 89.418, -37.1697
5.700000, 89.671, -38.6233
5.800000, 89.916, -40.0448
5.900000, 90.154, -41.4472
6.000000, 90.384, -42.8263
6.080000, 90.564, -43.9238
6.150000, 90.717, -44.8626
6.220000, 90.868, -45.7989
6.300000, 91.036, -46.8527
6.400000, 91.240, -48.1529
6.500000, 91.438, -49.4396
6.600000, 91.630, -50.6978
6.700000, 91.817, -51.9422
6.800000, 91.998, -53.1658
6.900000, 92.174, -54.3744
7.000000, 92.345, -55.5569
7.100000, 92.512, -56.7266
7.200000, 92.673, -57.8754
7.300000, 92.831, -59.0087
7.400000, 92.984, -60.1198
7.500000, 93.134, -61.2196
7.620000, 93.308, -62.5144
7.750000, 93.490, -63.8866
