* Measurement data measured by REW V5.31.3
* Source: E2x2, MICROPHONE (Analogue 1), 1, volume: 1.000. Timing signal peak level -27.6 dBFS, measurement signal peak level -26.6 dBFS
* Format: 512k Log Swept Sine, 1 sweep at -32.3 dBFS using an acoustic timing reference
* Dated: Apr 19, 2025 4:54:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Fosi DS1 + E2x2 MacBook Delay -0.0289 ms (-9.9 mm, -0.39 in) using estimated IR delay relative to Acoustic reference played from SPEAKER R with no timing offset Clock adjustment: -29.0 ppm
* Measurement: R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz), SPL(dB), Phase(degrees)
1.000000, 68.895, -109.3048
1.015000, 68.682, -110.4610
1.030000, 68.482, -111.6022
1.044000, 68.309, -112.6571
1.060000, 68.128, -113.8555
1.075000, 67.978, -114.9781
1.090000, 67.847, -116.1087
1.106000, 67.729, -117.3456
1.120000, 67.640, -118.4822
1.138000, 67.542, -120.0301
1.150000, 67.487, -121.1119
1.172000, 67.405, -123.2722
1.180000, 67.381, -124.1737
1.206000, 67.324, -127.1563
1.220000, 67.306, -128.7867
1.241000, 67.293, -131.2408
1.250000, 67.293, -132.2900
1.265000, 67.299, -134.0276
1.280000, 67.312, -135.7438
1.315000, 67.370, -139.6222
1.320000, 67.381, -140.1584
1.340000, 67.430, -142.2509
1.360000, 67.488, -144.2493
1.380000, 67.553, -146.2802
1.400000, 67.623, -148.2614
1.430000, 67.736, -151.0488
1.450000, 67.816, -152.7906
1.475000, 67.922, -154.8637
1.500000, 68.045, -156.8689
1.525000, 68.190, -158.8143
1.550000, 68.354, -160.6848
1.575000, 68.535, -162.5387
1.600000, 68.730, -164.4237
1.625000, 68.936, -166.2034
1.650000, 69.151, -167.8752
1.675000, 69.372, -169.4388
1.700000, 69.596, -170.8963
1.725000, 69.821, -172.2513
1.750000, 70.044, -173.5084
1.775000, 70.262, -174.7267
1.800000, 70.473, -175.9641
1.825000, 70.675, -177.1245
1.850000, 70.871, -178.2316
1.875000, 71.067, -179.3041
